"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","twala.info","X24hdz.com","elkhabar.com","el.massa.com","elwatan.dz.com","echaab.dz"
"2012-01-01","Algeria",8,0,22,6,11,0,0,4,22,14,0,3,7,2,28,3,0,4,7,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.00554400554400554,0,0.0152460152460152,0.00415800415800416,0.00762300762300762,0,0,0.00277200277200277,0.0152460152460152,0.0097020097020097,0,0.00207900207900208,0.00485100485100485,0.00138600138600139,0.0194040194040194,0.00207900207900208,0,0.00277200277200277,0.00485100485100485,0.00485100485100485,0,0,0,0,0,0,0,0,0,0.000693000693000693,0.00138600138600139,0,0,0,0,0,0,0,0,0,0,0,10,10,3,0,17,16,2,0,6,13,9,0.00693000693000693,0.00693000693000693,0.00207900207900208,0,0.0117810117810118,0.0110880110880111,0.00138600138600139,0,0.00415800415800416,0.00900900900900901,0.00623700623700624,1443,1218,1,12.0850640684379,0.00207900207900208,0,1443,0,0,0,0,0,0
"2012-02-01","Algeria",3,1,50,9,21,1,0,28,13,7,0,5,9,0,12,7,1,3,18,20,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.00247933884297521,0.000826446280991736,0.0413223140495868,0.00743801652892562,0.0173553719008264,0.000826446280991736,0,0.0231404958677686,0.0107438016528926,0.00578512396694215,0,0.00413223140495868,0.00743801652892562,0,0.00991735537190083,0.00578512396694215,0.000826446280991736,0.00247933884297521,0.0148760330578512,0.0165289256198347,0,0,0,0,0,0.000826446280991736,0,0,0,0,0.00165289256198347,0,0,0,0,0,0,0,0,0,0.000826446280991736,0,11,4,4,0,9,6,4,0,3,7,9,0.00909090909090909,0.00330578512396694,0.00330578512396694,0,0.00743801652892562,0.00495867768595041,0.00330578512396694,0,0.00247933884297521,0.00578512396694215,0.00743801652892562,1210,956,2,9.70276338897341,0.000826446280991736,0.00247933884297521,1210,0,0,0,0,0,0
"2012-03-01","Algeria",6,1,69,10,22,5,0,8,10,7,0,5,5,5,21,5,0,10,9,23,0,0,0,1,1,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.00409276944065484,0.000682128240109141,0.0470668485675307,0.00682128240109141,0.0150068212824011,0.0034106412005457,0,0.00545702592087312,0.00682128240109141,0.00477489768076398,0,0.0034106412005457,0.0034106412005457,0.0034106412005457,0.014324693042292,0.0034106412005457,0,0.00682128240109141,0.00613915416098226,0.0156889495225102,0,0,0,0.000682128240109141,0.000682128240109141,0,0.000682128240109141,0.00136425648021828,0,0,0,0,0,0.00136425648021828,0,0,0,0,0.000682128240109141,0,0,0,11,18,3,0,9,12,2,1,2,17,7,0.00750341064120055,0.0122783083219645,0.00204638472032742,0,0.00613915416098226,0.00818553888130969,0.00136425648021828,0.000682128240109141,0.00136425648021828,0.0115961800818554,0.00477489768076398,1466,1170,2,10.2319716532413,0.00545702592087312,0,1466,0,0,0,0,0,0
"2012-04-01","Algeria",3,0,76,14,15,1,0,5,21,3,0,9,14,3,45,4,1,7,4,31,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00197368421052632,0,0.05,0.00921052631578947,0.00986842105263158,0.000657894736842105,0,0.00328947368421053,0.0138157894736842,0.00197368421052632,0,0.00592105263157895,0.00921052631578947,0.00197368421052632,0.0296052631578947,0.00263157894736842,0.000657894736842105,0.00460526315789474,0.00263157894736842,0.0203947368421053,0,0,0,0,0,0,0,0.00131578947368421,0,0,0.000657894736842105,0,0,0,0.000657894736842105,0,0,0,0,0,0,0,3,5,2,0,8,10,2,1,6,4,9,0.00197368421052632,0.00328947368421053,0.00131578947368421,0,0.00526315789473684,0.00657894736842105,0.00131578947368421,0.000657894736842105,0.00394736842105263,0.00263157894736842,0.00592105263157895,1520,1226,7,9.90816287536019,0.00197368421052632,0.000657894736842105,1520,0,0,0,0,0,0
"2012-05-01","Algeria",10,0,153,19,11,4,0,17,19,12,1,4,13,1,24,11,1,6,12,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0.005824111822947,0,0.0891089108910891,0.0110658124635993,0.0064065230052417,0.0023296447291788,0,0.0099009900990099,0.0110658124635993,0.0069889341875364,0.0005824111822947,0.0023296447291788,0.0075713453698311,0.0005824111822947,0.0139778683750728,0.0064065230052417,0.0005824111822947,0.0034944670937682,0.0069889341875364,0.0040768782760629,0,0,0,0,0,0,0.0005824111822947,0,0,0,0,0,0,0.0005824111822947,0,0.0005824111822947,0,0.0005824111822947,0,0,0.0011648223645894,0,21,10,3,1,16,10,2,0,3,8,9,0.0122306348281887,0.005824111822947,0.0017472335468841,0.0005824111822947,0.0093185789167152,0.005824111822947,0.0011648223645894,0,0.0017472335468841,0.0046592894583576,0.0052417006406523,1717,1324,3,11.7190659406394,0.0029120559114735,0.0005824111822947,1717,0,0,0,0,0,0
"2012-06-01","Algeria",5,1,33,7,12,3,2,9,23,12,1,13,6,1,8,9,0,3,12,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.00283446712018141,0.000566893424036281,0.0187074829931973,0.00396825396825397,0.00680272108843537,0.00170068027210884,0.00113378684807256,0.00510204081632653,0.0130385487528345,0.00680272108843537,0.000566893424036281,0.00736961451247166,0.00340136054421769,0.000566893424036281,0.00453514739229025,0.00510204081632653,0,0.00170068027210884,0.00680272108843537,0.00963718820861678,0,0.000566893424036281,0,0,0,0,0,0.000566893424036281,0,0,0,0,0,0,0.000566893424036281,0,0,0,0,0,0.000566893424036281,0,12,13,7,1,22,6,3,0,4,15,8,0.00680272108843537,0.00736961451247166,0.00396825396825397,0.000566893424036281,0.0124716553287982,0.00340136054421769,0.00170068027210884,0,0.00226757369614512,0.00850340136054422,0.00453514739229025,1764,1510,4,11.0926860848811,0,0.00226757369614512,1764,0,0,0,0,0,0
"2012-07-01","Algeria",2,0,18,2,14,2,1,16,18,13,0,11,6,6,17,9,3,4,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0.00110558319513543,0,0.00995024875621891,0.00110558319513543,0.00773908236594804,0.00110558319513543,0.000552791597567717,0.00884466556108347,0.00995024875621891,0.00718629076838032,0,0.00608070757324489,0.0033167495854063,0.0033167495854063,0.00939745715865119,0.00497512437810945,0.00165837479270315,0.00221116639027087,0.00276395798783858,0.0105030403537866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552791597567717,0,0.00110558319513543,0,0,0,0,0.000552791597567717,0,12,16,7,0,10,13,0,2,4,8,17,0.0066334991708126,0.00884466556108347,0.00386954118297402,0,0.00552791597567717,0.00718629076838032,0,0.00110558319513543,0.00221116639027087,0.00442233278054174,0.00939745715865119,1809,1564,3,10.5094997932654,0.00110558319513543,0.00110558319513543,1809,0,0,0,0,0,0
"2012-08-01","Algeria",8,1,14,0,13,2,1,15,9,8,1,3,4,2,9,5,0,4,9,11,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0.0058055152394775,0.000725689404934688,0.0101596516690856,0,0.00943396226415094,0.00145137880986938,0.000725689404934688,0.0108853410740203,0.00653120464441219,0.0058055152394775,0.000725689404934688,0.00217706821480406,0.00290275761973875,0.00145137880986938,0.00653120464441219,0.00362844702467344,0,0.00290275761973875,0.00653120464441219,0.00798258345428157,0,0,0.00145137880986938,0,0,0,0.000725689404934688,0,0,0,0.000725689404934688,0,0,0,0.000725689404934688,0.000725689404934688,0,0,0,0,0.00217706821480406,0,10,9,3,0,10,6,2,0,8,9,7,0.00725689404934688,0.00653120464441219,0.00217706821480406,0,0.00725689404934688,0.00435413642960813,0.00145137880986938,0,0.0058055152394775,0.00653120464441219,0.00507982583454282,1378,1200,23,11.6075764871114,0.00435413642960813,0.00217706821480406,1378,0,0,0,0,0,0
"2012-09-01","Algeria",3,1,26,4,20,1,0,10,10,10,0,6,3,3,36,9,2,3,13,16,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00201748486886348,0.000672494956287828,0.0174848688634835,0.00268997982515131,0.0134498991257566,0.000672494956287828,0,0.00672494956287828,0.00672494956287828,0.00672494956287828,0,0.00403496973772697,0.00201748486886348,0.00201748486886348,0.0242098184263618,0.00605245460659045,0.00134498991257566,0.00201748486886348,0.00874243443174176,0.0107599193006052,0.000672494956287828,0,0.000672494956287828,0,0,0,0.00268997982515131,0,0,0,0,0,0,0,0,0.000672494956287828,0,0,0,0,0,0,14,11,4,1,20,9,2,2,7,5,8,0.00941492938802959,0.00739744451916611,0.00268997982515131,0.000672494956287828,0.0134498991257566,0.00605245460659045,0.00134498991257566,0.00134498991257566,0.0047074646940148,0.00336247478143914,0.00537995965030262,1487,1233,2,10.3570956310753,0.00201748486886348,0.00336247478143914,1487,0,0,0,0,0,0
"2012-10-01","Algeria",5,1,16,4,24,2,1,13,17,8,0,9,7,4,17,3,0,6,7,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.0032133676092545,0.0006426735218509,0.0102827763496144,0.0025706940874036,0.0154241645244216,0.0012853470437018,0.0006426735218509,0.0083547557840617,0.0109254498714653,0.0051413881748072,0,0.0057840616966581,0.0044987146529563,0.0025706940874036,0.0109254498714653,0.0019280205655527,0,0.0038560411311054,0.0044987146529563,0.006426735218509,0,0.0006426735218509,0.0006426735218509,0,0,0,0.0006426735218509,0,0,0,0.0006426735218509,0,0,0,0.0006426735218509,0.0006426735218509,0,0,0,0,0.0006426735218509,0,12,18,11,3,25,5,1,0,7,11,2,0.0077120822622108,0.0115681233933162,0.0070694087403599,0.0019280205655527,0.0160668380462725,0.0032133676092545,0.0006426735218509,0,0.0044987146529563,0.0070694087403599,0.0012853470437018,1556,1323,3,11.2626111629272,0.0025706940874036,0.0025706940874036,1556,0,0,0,0,0,0
