"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","opais.co.ao","jornalf8.net","angola24horas.com","portaldeangola.com","angola.online.net","vozdeangola.com","jornaldeangola.ao"
"2012-01-01","Angola",1,1,26,2,7,2,0,16,5,6,0,2,4,1,6,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00152671755725191,0.00152671755725191,0.0396946564885496,0.00305343511450382,0.0106870229007634,0.00305343511450382,0,0.0244274809160305,0.00763358778625954,0.00916030534351145,0,0.00305343511450382,0.00610687022900763,0.00152671755725191,0.00916030534351145,0.00610687022900763,0,0,0.00610687022900763,0.00305343511450382,0,0,0,0,0,0,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,5,8,2,0,4,6,0,0,0,2,4,0.00763358778625954,0.0122137404580153,0.00305343511450382,0,0.00610687022900763,0.00916030534351145,0,0,0,0.00305343511450382,0.00610687022900763,655,538,654,4.26244910162277,0,0.00152671755725191,655,0,0,0,1,0,0,0
"2012-02-01","Angola",0,0,22,6,11,1,0,12,11,7,0,5,6,2,4,1,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0308555399719495,0.00841514726507714,0.0154277699859748,0.00140252454417952,0,0.0168302945301543,0.0154277699859748,0.00981767180925666,0,0.00701262272089762,0.00841514726507714,0.00280504908835905,0.00561009817671809,0.00140252454417952,0,0.00140252454417952,0.00280504908835905,0.00841514726507714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140252454417952,0,6,6,0,0,3,7,2,0,2,5,1,0.00841514726507714,0.00841514726507714,0,0,0.00420757363253857,0.00981767180925666,0.00280504908835905,0,0.00280504908835905,0.00701262272089762,0.00140252454417952,713,586,712,3.53320232116123,0,0.00280504908835905,713,0,0,0,1,0,0,0
"2012-03-01","Angola",2,0,22,2,8,5,2,9,13,7,2,2,2,2,6,5,1,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00248447204968944,0,0.0273291925465838,0.00248447204968944,0.00993788819875776,0.0062111801242236,0.00248447204968944,0.0111801242236025,0.0161490683229814,0.00869565217391304,0.00248447204968944,0.00248447204968944,0.00248447204968944,0.00248447204968944,0.00745341614906832,0.0062111801242236,0.00124223602484472,0.00372670807453416,0.00248447204968944,0.0062111801242236,0,0,0,0,0,0,0,0,0.00124223602484472,0,0,0,0,0,0,0,0,0,3,13,3,0,6,13,0,2,1,1,4,0.00372670807453416,0.0161490683229814,0.00372670807453416,0,0.00745341614906832,0.0161490683229814,0,0.00248447204968944,0.00124223602484472,0.00124223602484472,0.00496894409937888,805,664,804,5.20568897098803,0.00124223602484472,0.00124223602484472,805,0,0,0,1,0,0,0
"2012-04-01","Angola",0,0,35,2,25,11,0,19,11,10,0,8,11,2,10,4,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0325581395348837,0.00186046511627907,0.0232558139534884,0.0102325581395349,0,0.0176744186046512,0.0102325581395349,0.00930232558139535,0,0.00744186046511628,0.0102325581395349,0.00186046511627907,0.00930232558139535,0.00372093023255814,0.000930232558139535,0.00372093023255814,0.000930232558139535,0.00372093023255814,0,0,0,0,0,0,0,0,0,0,0,0.000930232558139535,0,0,0,0,0,0,2,12,1,0,4,11,0,2,1,0,3,0.00186046511627907,0.0111627906976744,0.000930232558139535,0,0.00372093023255814,0.0102325581395349,0,0.00186046511627907,0.000930232558139535,0,0.0027906976744186,1075,887,1074,3.55919575632822,0,0.00186046511627907,1075,0,0,0,1,0,0,0
"2012-05-01","Angola",0,1,34,1,14,2,0,8,4,11,2,8,0,7,9,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112359550561798,0.0382022471910112,0.00112359550561798,0.0157303370786517,0.00224719101123596,0,0.00898876404494382,0.00449438202247191,0.0123595505617978,0.00224719101123596,0.00898876404494382,0,0.00786516853932584,0.0101123595505618,0.00224719101123596,0,0,0.00224719101123596,0.00674157303370787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,2,10,2,0,0,1,9,0.00898876404494382,0.0146067415730337,0,0,0.00224719101123596,0.0112359550561798,0.00224719101123596,0,0,0.00112359550561798,0.0101123595505618,890,734,890,2.41945239579272,0,0.00112359550561798,890,0,0,0,1,0,0,0
"2012-06-01","Angola",3,0,49,7,16,5,0,8,10,6,0,9,3,3,11,2,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00341685649202733,0,0.0558086560364465,0.00797266514806378,0.0182232346241458,0.00569476082004556,0,0.00911161731207289,0.0113895216400911,0.00683371298405467,0,0.010250569476082,0.00341685649202733,0.00341685649202733,0.0125284738041002,0.00227790432801822,0.00113895216400911,0.00341685649202733,0.00227790432801822,0.00455580865603645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113895216400911,7,16,4,0,6,4,0,1,0,3,1,0.00797266514806378,0.0182232346241458,0.00455580865603645,0,0.00683371298405467,0.00455580865603645,0,0.00113895216400911,0,0.00341685649202733,0.00113895216400911,878,698,877,3.48643130015864,0,0.00113895216400911,878,0,0,0,1,0,0,0
"2012-07-01","Angola",9,0,71,6,26,0,0,7,9,7,0,8,9,4,5,5,0,2,1,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0106257378984652,0,0.0838252656434475,0.00708382526564345,0.0306965761511216,0,0,0.00826446280991736,0.0106257378984652,0.00826446280991736,0,0.00944510035419126,0.0106257378984652,0.00472255017709563,0.00590318772136954,0.00590318772136954,0,0.00236127508854782,0.00118063754427391,0.00472255017709563,0,0,0,0,0,0,0,0,0.00118063754427391,0,0.00118063754427391,0.00118063754427391,0,0,0,0,0,0,1,17,3,0,4,6,0,0,0,2,3,0.00118063754427391,0.0200708382526564,0.00354191263282172,0,0.00472255017709563,0.00708382526564345,0,0,0,0.00236127508854782,0.00354191263282172,847,645,844,5.0371043541337,0,0.00354191263282172,847,0,0,1,1,0,0,0
"2012-08-01","Angola",4,1,101,20,16,1,0,8,6,4,0,4,7,5,17,3,0,2,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00426439232409382,0.00106609808102345,0.107675906183369,0.0213219616204691,0.0170575692963753,0.00106609808102345,0,0.00852878464818763,0.00639658848614072,0.00426439232409382,0,0.00426439232409382,0.00746268656716418,0.00533049040511727,0.0181236673773987,0.00319829424307036,0,0.00213219616204691,0.00106609808102345,0.00852878464818763,0,0,0,0,0,0,0,0,0,0.00106609808102345,0,0,0,0,0,0,0,0,4,10,2,0,8,5,1,0,0,1,2,0.00426439232409382,0.0106609808102345,0.00213219616204691,0,0.00852878464818763,0.00533049040511727,0.00106609808102345,0,0,0.00106609808102345,0.00213219616204691,938,705,937,4.16961827660037,0.00106609808102345,0.00106609808102345,938,0,0,0,1,0,0,0
"2012-09-01","Angola",2,2,76,26,3,0,0,6,18,5,1,1,13,1,4,2,0,0,6,6,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0.00265604249667995,0.00265604249667995,0.100929614873838,0.0345285524568393,0.00398406374501992,0,0,0.00796812749003984,0.0239043824701195,0.00664010624169987,0.00132802124833997,0.00132802124833997,0.0172642762284197,0.00132802124833997,0.00531208499335989,0.00265604249667995,0,0,0.00796812749003984,0.00796812749003984,0,0,0,0,0.00132802124833997,0,0,0,0.00265604249667995,0.00132802124833997,0,0,0,0,0,0,0,0,2,3,1,0,2,3,0,0,0,1,0,0.00265604249667995,0.00398406374501992,0.00132802124833997,0,0.00265604249667995,0.00398406374501992,0,0,0,0.00132802124833997,0,753,579,749,5.90372170903777,0,0.00664010624169987,753,0,0,0,1,0,0,0
"2012-10-01","Angola",3,2,21,2,17,1,0,27,9,11,0,4,6,1,9,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306748466257669,0.00204498977505112,0.0214723926380368,0.00204498977505112,0.0173824130879346,0.00102249488752556,0,0.0276073619631902,0.00920245398773006,0.0112474437627812,0,0.00408997955010225,0.00613496932515337,0.00102249488752556,0.00920245398773006,0.00715746421267894,0,0.00102249488752556,0.00204498977505112,0.00204498977505112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,5,11,2,0,1,3,3,0.00102249488752556,0.016359918200409,0.00204498977505112,0,0.00511247443762781,0.0112474437627812,0.00204498977505112,0,0.00102249488752556,0.00306748466257669,0.00306748466257669,978,815,978,4.37228838824819,0,0.00102249488752556,978,0,0,0,1,0,0,0
