"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","azatutyun.am","X168.am","golosarmenii.am"
"2012-01-01","Armenia",4,2,34,0,18,0,0,19,8,14,1,3,6,8,7,2,0,1,7,8,0,0,2,0,2,2,2,2,0,1,1,1,1,1,6,1,1,0,2,0,0,0,0.00129827977929244,0.000649139889646219,0.0110353781239857,0,0.00584225900681597,0,0,0.00616682895163908,0.00259655955858487,0.00454397922752353,0.000324569944823109,0.000973709834469328,0.00194741966893866,0.00259655955858487,0.00227198961376177,0.000649139889646219,0,0.000324569944823109,0.00227198961376177,0.00259655955858487,0,0,0.000649139889646219,0,0.000649139889646219,0.000649139889646219,0.000649139889646219,0.000649139889646219,0,0.000324569944823109,0.000324569944823109,0.000324569944823109,0.000324569944823109,0.000324569944823109,0.00194741966893866,0.000324569944823109,0.000324569944823109,0,0.000649139889646219,0,0,0,11,6,3,0,29,7,3,2,1,9,23,0.0035702693930542,0.00194741966893866,0.000973709834469328,0,0.00941252839987017,0.00227198961376177,0.000973709834469328,0.000649139889646219,0.000324569944823109,0.00292112950340798,0.00746510873093152,3081,2848,3056,10.3202582073999,0.00811424862057773,0.00259655955858487,3081,0,0,0
"2012-02-01","Armenia",3,4,69,4,13,0,1,23,15,11,0,6,7,10,5,2,0,2,5,9,0,0,1,0,0,3,3,1,0,1,1,0,0,0,5,3,0,0,4,0,0,0,0.000863806507342355,0.00115174200978981,0.0198675496688742,0.00115174200978981,0.00374316153181687,0,0.000287935502447452,0.00662251655629139,0.00431903253671178,0.00316729052692197,0,0.00172761301468471,0.00201554851713216,0.00287935502447452,0.00143967751223726,0.000575871004894904,0,0.000575871004894904,0.00143967751223726,0.00259141952202707,0,0,0.000287935502447452,0,0,0.000863806507342355,0.000863806507342355,0.000287935502447452,0,0.000287935502447452,0.000287935502447452,0,0,0,0.00143967751223726,0.000863806507342355,0,0,0.00115174200978981,0,0,0,18,16,5,0,20,12,4,0,4,7,14,0.00518283904405413,0.00460696803915923,0.00143967751223726,0,0.00575871004894904,0.00345522602936942,0.00115174200978981,0,0.00115174200978981,0.00201554851713216,0.00403109703426432,3473,3187,3451,10.9839673521503,0.00604664555139649,0.00259141952202707,3473,0,0,1
"2012-03-01","Armenia",6,2,55,5,10,0,0,28,25,10,0,6,8,11,4,4,0,4,14,9,2,0,0,0,0,3,2,2,0,0,2,0,1,0,3,4,1,0,3,0,0,0,0.00154639175257732,0.000515463917525773,0.0141752577319588,0.00128865979381443,0.00257731958762887,0,0,0.00721649484536083,0.00644329896907216,0.00257731958762887,0,0.00154639175257732,0.00206185567010309,0.00283505154639175,0.00103092783505155,0.00103092783505155,0,0.00103092783505155,0.00360824742268041,0.00231958762886598,0.000515463917525773,0,0,0,0,0.00077319587628866,0.000515463917525773,0.000515463917525773,0,0,0.000515463917525773,0,0.000257731958762887,0,0.00077319587628866,0.00103092783505155,0.000257731958762887,0,0.00077319587628866,0,0,0,20,17,5,0,31,11,1,0,3,12,25,0.00515463917525773,0.00438144329896907,0.00128865979381443,0,0.00798969072164948,0.00283505154639175,0.000257731958762887,0,0.00077319587628866,0.00309278350515464,0.00644329896907216,3880,3560,3857,10.8446498458985,0.00463917525773196,0.00335051546391753,3880,1,0,0
"2012-04-01","Armenia",4,2,98,16,25,1,0,34,26,7,1,8,7,14,8,5,1,6,20,21,0,0,1,1,2,0,6,2,1,0,0,0,2,0,10,4,0,0,3,0,1,1,0.000863930885529158,0.000431965442764579,0.0211663066954644,0.00345572354211663,0.00539956803455724,0.000215982721382289,0,0.00734341252699784,0.00561555075593952,0.00151187904967603,0.000215982721382289,0.00172786177105832,0.00151187904967603,0.00302375809935205,0.00172786177105832,0.00107991360691145,0.000215982721382289,0.00129589632829374,0.00431965442764579,0.00453563714902808,0,0,0.000215982721382289,0.000215982721382289,0.000431965442764579,0,0.00129589632829374,0.000431965442764579,0.000215982721382289,0,0,0,0.000431965442764579,0,0.00215982721382289,0.000863930885529158,0,0,0.000647948164146868,0,0.000215982721382289,0.000215982721382289,11,21,6,0,29,13,0,1,7,14,30,0.00237580993520518,0.00453563714902808,0.00129589632829374,0,0.00626349892008639,0.00280777537796976,0,0.000215982721382289,0.00151187904967603,0.00302375809935205,0.00647948164146868,4630,4200,4596,11.2916426626438,0.00561555075593952,0.00323974082073434,4630,1,0,1
"2012-05-01","Armenia",8,5,158,17,27,2,0,36,35,6,1,7,16,7,4,3,0,8,9,19,0,0,1,0,1,3,6,2,0,0,5,2,0,1,12,4,0,1,2,0,2,1,0.00168598524762908,0.00105374077976818,0.0332982086406744,0.0035827186512118,0.00569020021074816,0.000421496311907271,0,0.00758693361433087,0.00737618545837724,0.00126448893572181,0.000210748155953635,0.00147523709167545,0.00337197049525817,0.00147523709167545,0.000842992623814542,0.000632244467860906,0,0.00168598524762908,0.00189673340358272,0.00400421496311907,0,0,0.000210748155953635,0,0.000210748155953635,0.000632244467860906,0.00126448893572181,0.000421496311907271,0,0,0.00105374077976818,0.000421496311907271,0,0.000210748155953635,0.00252897787144362,0.000842992623814542,0,0.000210748155953635,0.000421496311907271,0,0.000421496311907271,0.000210748155953635,16,22,7,0,32,7,0,1,4,12,31,0.00337197049525817,0.00463645943097998,0.00147523709167545,0,0.00674394099051633,0.00147523709167545,0,0.000210748155953635,0.000842992623814542,0.00252897787144362,0.0065331928345627,4745,4260,4702,11.523865086986,0.00885142255005269,0.00273972602739726,4745,1,0,1
"2012-06-01","Armenia",6,3,57,2,23,2,0,28,30,13,2,5,7,8,9,1,0,10,28,28,2,0,5,0,0,1,3,2,0,1,4,0,2,1,9,7,2,2,3,1,3,1,0.00135165577832845,0.000675827889164226,0.0128407298941203,0.000450551926109484,0.00518134715025907,0.000450551926109484,0,0.00630772696553278,0.00675827889164226,0.00292858751971165,0.000450551926109484,0.00112637981527371,0.00157693174138319,0.00180220770443794,0.00202748366749268,0.000225275963054742,0,0.00225275963054742,0.00630772696553278,0.00630772696553278,0.000450551926109484,0,0.00112637981527371,0,0,0.000225275963054742,0.000675827889164226,0.000450551926109484,0,0.000225275963054742,0.000901103852218968,0,0.000450551926109484,0.000225275963054742,0.00202748366749268,0.00157693174138319,0.000450551926109484,0.000450551926109484,0.000675827889164226,0.000225275963054742,0.000675827889164226,0.000225275963054742,33,18,8,0,39,8,3,0,8,21,36,0.00743410678080649,0.00405496733498536,0.00180220770443794,0,0.00878576255913494,0.00180220770443794,0.000675827889164226,0,0.00180220770443794,0.00473079522414958,0.00810993466997071,4439,4011,4390,11.9775706505987,0.00968686641135391,0.00315386348276639,4439,1,1,1
"2012-07-01","Armenia",9,3,65,4,16,1,0,27,35,16,0,7,14,13,11,5,0,5,19,35,1,0,4,0,1,2,4,2,0,0,2,2,0,0,15,3,2,0,2,0,0,0,0.001919795221843,0.000639931740614334,0.0138651877133106,0.000853242320819113,0.00341296928327645,0.000213310580204778,0,0.00575938566552901,0.00746587030716724,0.00341296928327645,0,0.00149317406143345,0.00298634812286689,0.00277303754266212,0.00234641638225256,0.00106655290102389,0,0.00106655290102389,0.00405290102389078,0.00746587030716724,0.000213310580204778,0,0.000853242320819113,0,0.000213310580204778,0.000426621160409556,0.000853242320819113,0.000426621160409556,0,0,0.000426621160409556,0.000426621160409556,0,0,0.00319965870307167,0.000639931740614334,0.000426621160409556,0,0.000426621160409556,0,0,0,16,17,5,0,41,15,0,1,5,22,37,0.00341296928327645,0.00362627986348123,0.00106655290102389,0,0.0087457337883959,0.00319965870307167,0,0.000213310580204778,0.00106655290102389,0.00469283276450512,0.00789249146757679,4688,4251,4648,11.7240827656651,0.0121587030716724,0.00170648464163823,4688,1,1,1
"2012-08-01","Armenia",4,2,52,4,10,0,1,44,44,11,1,5,7,14,9,10,0,5,13,26,1,3,4,0,0,2,12,4,0,0,7,1,3,1,19,7,3,1,2,1,1,4,0.00083073727933541,0.000415368639667705,0.0107995846313603,0.00083073727933541,0.00207684319833853,0,0.000207684319833853,0.00913811007268951,0.00913811007268951,0.00228452751817238,0.000207684319833853,0.00103842159916926,0.00145379023883697,0.00290758047767394,0.00186915887850467,0.00207684319833853,0,0.00103842159916926,0.00269989615784008,0.00539979231568017,0.000207684319833853,0.000623052959501558,0.00083073727933541,0,0,0.000415368639667705,0.00249221183800623,0.00083073727933541,0,0,0.00145379023883697,0.000207684319833853,0.000623052959501558,0.000207684319833853,0.0039460020768432,0.00145379023883697,0.000623052959501558,0.000207684319833853,0.000415368639667705,0.000207684319833853,0.000207684319833853,0.00083073727933541,14,11,10,0,61,18,4,0,3,13,33,0.00290758047767394,0.00228452751817238,0.00207684319833853,0,0.012668743509865,0.00373831775700935,0.00083073727933541,0,0.000623052959501558,0.00269989615784008,0.00685358255451713,4815,4394,4739,11.2182479352359,0.0178608515057113,0.0039460020768432,4815,1,1,1
"2012-09-01","Armenia",14,5,82,4,23,0,0,36,37,7,3,7,14,6,6,5,0,1,22,22,0,2,1,0,0,4,9,5,0,0,5,2,1,0,7,3,4,0,7,0,3,2,0.00247831474597274,0.000885112409275978,0.014515843512126,0.000708089927420782,0.0040715170826695,0,0,0.00637280934678704,0.00654983182864224,0.00123915737298637,0.000531067445565587,0.00123915737298637,0.00247831474597274,0.00106213489113117,0.00106213489113117,0.000885112409275978,0,0.000177022481855196,0.0038944946008143,0.0038944946008143,0,0.000354044963710391,0.000177022481855196,0,0,0.000708089927420782,0.00159320233669676,0.000885112409275978,0,0,0.000885112409275978,0.000354044963710391,0.000177022481855196,0,0.00123915737298637,0.000531067445565587,0.000708089927420782,0,0.00123915737298637,0,0.000531067445565587,0.000354044963710391,31,15,12,1,49,16,4,1,7,23,35,0.00548769693751106,0.00265533722782793,0.00212426978226235,0.000177022481855196,0.00867410161090459,0.00283235970968313,0.000708089927420782,0.000177022481855196,0.00123915737298637,0.0040715170826695,0.00619578686493185,5649,5172,5594,10.7786630998248,0.00991325898389095,0.00230129226411754,5649,1,1,1
"2012-10-01","Armenia",7,1,70,3,32,3,0,39,32,7,2,8,13,7,6,3,0,7,9,25,0,0,1,2,1,3,6,4,0,2,5,0,2,2,14,5,2,1,2,1,1,1,0.00105026256564141,0.000150037509377344,0.0105026256564141,0.000450112528132033,0.00480120030007502,0.000450112528132033,0,0.00585146286571643,0.00480120030007502,0.00105026256564141,0.000300075018754689,0.00120030007501875,0.00195048762190548,0.00105026256564141,0.000900225056264066,0.000450112528132033,0,0.00105026256564141,0.0013503375843961,0.00375093773443361,0,0,0.000150037509377344,0.000300075018754689,0.000150037509377344,0.000450112528132033,0.000900225056264066,0.000600150037509377,0,0.000300075018754689,0.000750187546886722,0,0.000300075018754689,0.000300075018754689,0.00210052513128282,0.000750187546886722,0.000300075018754689,0.000150037509377344,0.000300075018754689,0.000150037509377344,0.000150037509377344,0.000150037509377344,20,24,9,0,57,14,3,0,10,19,23,0.00300075018754689,0.00360090022505626,0.0013503375843961,0,0.00855213803450863,0.00210052513128282,0.000450112528132033,0,0.00150037509377344,0.00285071267816954,0.00345086271567892,6665,6223,6610,10.2077299454116,0.00810202550637659,0.00255063765941485,6665,1,1,1
