"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","azeritimes.com","abzas.org","turan.az","zerkalo.az","mikroskopmedia.com","xalqcebhesi.az","ru.echo.az"
"2012-01-01","Azerbaijan",9,3,11,0,10,1,0,6,8,3,0,1,14,1,11,2,1,6,2,4,0,0,0,1,0,0,6,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0.0132352941176471,0.00441176470588235,0.0161764705882353,0,0.0147058823529412,0.00147058823529412,0,0.00882352941176471,0.0117647058823529,0.00441176470588235,0,0.00147058823529412,0.0205882352941176,0.00147058823529412,0.0161764705882353,0.00294117647058824,0.00147058823529412,0.00882352941176471,0.00294117647058824,0.00588235294117647,0,0,0,0.00147058823529412,0,0,0.00882352941176471,0.00147058823529412,0,0,0.00147058823529412,0.00147058823529412,0.00294117647058824,0,0,0,0,0,0,0,0.00147058823529412,0,6,3,4,0,5,2,3,1,2,4,14,0.00882352941176471,0.00441176470588235,0.00588235294117647,0,0.00735294117647059,0.00294117647058824,0.00441176470588235,0.00147058823529412,0.00294117647058824,0.00588235294117647,0.0205882352941176,680,556,4,10.0210020610684,0.0176470588235294,0.00147058823529412,680,0,0,1,0,0,0,0
"2012-02-01","Azerbaijan",12,2,7,2,8,1,0,21,14,3,0,0,11,3,13,3,0,5,8,8,1,0,0,0,0,0,3,1,0,0,5,0,0,0,1,2,1,1,1,0,3,3,0.0157687253613666,0.0026281208935611,0.00919842312746386,0.0026281208935611,0.0105124835742444,0.00131406044678055,0,0.0275952693823916,0.0183968462549277,0.00394218134034166,0,0,0.0144546649145861,0.00394218134034166,0.0170827858081472,0.00394218134034166,0,0.00657030223390276,0.0105124835742444,0.0105124835742444,0.00131406044678055,0,0,0,0,0,0.00394218134034166,0.00131406044678055,0,0,0.00657030223390276,0,0,0,0.00131406044678055,0.0026281208935611,0.00131406044678055,0.00131406044678055,0.00131406044678055,0,0.00394218134034166,0.00394218134034166,9,4,5,1,16,2,1,1,1,3,8,0.011826544021025,0.00525624178712221,0.00657030223390276,0.00131406044678055,0.0210249671484888,0.0026281208935611,0.00131406044678055,0.00131406044678055,0.00131406044678055,0.00394218134034166,0.0105124835742444,761,602,2,9.22887264076724,0.0236530880420499,0.00525624178712221,761,0,0,0,0,0,0,0
"2012-03-01","Azerbaijan",12,2,9,0,13,4,0,10,12,2,1,0,11,5,24,5,2,5,5,11,1,0,1,0,0,0,6,2,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0.0146520146520147,0.00244200244200244,0.010989010989011,0,0.0158730158730159,0.00488400488400488,0,0.0122100122100122,0.0146520146520147,0.00244200244200244,0.00122100122100122,0,0.0134310134310134,0.00610500610500611,0.0293040293040293,0.00610500610500611,0.00244200244200244,0.00610500610500611,0.00610500610500611,0.0134310134310134,0.00122100122100122,0,0.00122100122100122,0,0,0,0.00732600732600733,0.00244200244200244,0,0,0.00122100122100122,0,0.00122100122100122,0,0.00366300366300366,0,0,0,0,0,0,0.00122100122100122,12,5,4,0,10,1,1,3,2,5,10,0.0146520146520147,0.00610500610500611,0.00488400488400488,0,0.0122100122100122,0.00122100122100122,0.00122100122100122,0.00366300366300366,0.00244200244200244,0.00610500610500611,0.0122100122100122,819,644,7,11.8784582948356,0.0183150183150183,0.00122100122100122,819,0,0,1,0,0,0,0
"2012-04-01","Azerbaijan",13,1,14,0,14,0,0,10,14,3,0,7,13,7,39,9,0,7,9,16,0,0,0,0,0,1,8,2,0,0,2,0,0,0,4,2,1,0,0,0,3,0,0.014722536806342,0.00113250283125708,0.0158550396375991,0,0.0158550396375991,0,0,0.0113250283125708,0.0158550396375991,0.00339750849377123,0,0.00792751981879955,0.014722536806342,0.00792751981879955,0.044167610419026,0.0101925254813137,0,0.00792751981879955,0.0101925254813137,0.0181200453001133,0,0,0,0,0,0.00113250283125708,0.00906002265005663,0.00226500566251416,0,0,0.00226500566251416,0,0,0,0.00453001132502831,0.00226500566251416,0.00113250283125708,0,0,0,0.00339750849377123,0,15,2,4,0,13,8,0,2,0,3,11,0.0169875424688562,0.00226500566251416,0.00453001132502831,0,0.014722536806342,0.00906002265005663,0,0.00226500566251416,0,0.00339750849377123,0.0124575311438279,883,661,7,10.3644124330307,0.0237825594563986,0.00226500566251416,883,0,0,1,0,0,0,0
"2012-05-01","Azerbaijan",16,2,9,0,4,0,1,18,19,3,2,1,12,3,22,2,1,13,5,12,0,0,0,1,0,1,5,2,0,0,0,0,1,0,3,3,0,0,1,0,1,0,0.0160965794768612,0.00201207243460765,0.00905432595573441,0,0.00402414486921529,0,0.00100603621730382,0.0181086519114688,0.0191146881287726,0.00301810865191147,0.00201207243460765,0.00100603621730382,0.0120724346076459,0.00301810865191147,0.0221327967806841,0.00201207243460765,0.00100603621730382,0.0130784708249497,0.00503018108651911,0.0120724346076459,0,0,0,0.00100603621730382,0,0.00100603621730382,0.00503018108651911,0.00201207243460765,0,0,0,0,0.00100603621730382,0,0.00301810865191147,0.00301810865191147,0,0,0.00100603621730382,0,0.00100603621730382,0,13,6,16,0,14,1,4,0,1,6,8,0.0130784708249497,0.00603621730382294,0.0160965794768612,0,0.0140845070422535,0.00100603621730382,0.00402414486921529,0,0.00100603621730382,0.00603621730382294,0.00804828973843058,994,804,12,9.68006741441775,0.0160965794768612,0.00201207243460765,994,0,0,1,0,0,0,0
"2012-06-01","Azerbaijan",12,7,7,0,18,5,0,15,12,9,2,2,12,11,12,4,1,13,15,8,0,0,2,1,0,4,6,1,0,1,4,0,1,1,1,2,1,0,0,1,2,0,0.0105913503971756,0.00617828773168579,0.00617828773168579,0,0.0158870255957635,0.00441306266548985,0,0.0132391879964696,0.0105913503971756,0.00794351279788173,0.00176522506619594,0.00176522506619594,0.0105913503971756,0.00970873786407767,0.0105913503971756,0.00353045013239188,0.00088261253309797,0.0114739629302736,0.0132391879964696,0.00706090026478376,0,0,0.00176522506619594,0.00088261253309797,0,0.00353045013239188,0.00529567519858782,0.00088261253309797,0,0.00088261253309797,0.00353045013239188,0,0.00088261253309797,0.00088261253309797,0.00088261253309797,0.00176522506619594,0.00088261253309797,0,0,0.00088261253309797,0.00176522506619594,0,19,13,5,2,18,5,2,1,6,9,8,0.0167696381288614,0.0114739629302736,0.00441306266548985,0.00176522506619594,0.0158870255957635,0.00441306266548985,0.00176522506619594,0.00088261253309797,0.00529567519858782,0.00794351279788173,0.00706090026478376,1133,893,4,10.8211686427788,0.0247131509267432,0,1133,0,0,1,0,0,0,0
"2012-07-01","Azerbaijan",14,4,15,0,14,2,4,22,36,4,0,4,25,3,17,4,0,5,8,8,0,1,0,0,0,2,9,1,3,0,5,2,0,0,4,3,1,0,0,1,2,0,0.00730307772561294,0.00208659363588941,0.00782472613458529,0,0.00730307772561294,0.00104329681794471,0.00208659363588941,0.0114762649973918,0.0187793427230047,0.00208659363588941,0,0.00208659363588941,0.0130412102243088,0.00156494522691706,0.00886802295253,0.00208659363588941,0,0.00260824204486176,0.00417318727177882,0.00417318727177882,0,0.000521648408972353,0,0,0,0.00104329681794471,0.00469483568075117,0.000521648408972353,0.00156494522691706,0,0.00260824204486176,0.00104329681794471,0,0,0.00208659363588941,0.00156494522691706,0.000521648408972353,0,0,0.000521648408972353,0.00104329681794471,0,22,6,11,0,11,7,0,2,3,13,12,0.0114762649973918,0.00312989045383412,0.00573813249869588,0,0.00573813249869588,0.00365153886280647,0,0.00104329681794471,0.00156494522691706,0.00678142931664058,0.00625978090766823,1917,1669,5,6.56520793823749,0.0146061554512259,0.00312989045383412,1917,0,0,1,0,0,0,0
"2012-08-01","Azerbaijan",12,6,7,0,18,4,1,37,19,5,0,4,15,5,25,10,0,4,18,5,0,0,0,0,0,6,9,2,1,0,3,0,1,2,3,5,4,1,2,0,0,1,0.00487012987012987,0.00243506493506494,0.00284090909090909,0,0.00730519480519481,0.00162337662337662,0.000405844155844156,0.0150162337662338,0.00771103896103896,0.00202922077922078,0,0.00162337662337662,0.00608766233766234,0.00202922077922078,0.0101461038961039,0.00405844155844156,0,0.00162337662337662,0.00730519480519481,0.00202922077922078,0,0,0,0,0,0.00243506493506494,0.0036525974025974,0.000811688311688312,0.000405844155844156,0,0.00121753246753247,0,0.000405844155844156,0.000811688311688312,0.00121753246753247,0.00202922077922078,0.00162337662337662,0.000405844155844156,0.000811688311688312,0,0,0.000405844155844156,18,8,16,1,21,7,2,5,2,8,23,0.00730519480519481,0.00324675324675325,0.00649350649350649,0.000405844155844156,0.00852272727272727,0.00284090909090909,0.000811688311688312,0.00202922077922078,0.000811688311688312,0.00324675324675325,0.00933441558441558,2464,2179,10,5.29097241004475,0.012987012987013,0.00324675324675325,2464,0,0,1,1,0,0,0
"2012-09-01","Azerbaijan",14,7,14,1,43,2,0,42,43,12,1,2,38,6,36,10,2,6,11,9,0,2,1,1,1,2,13,3,0,1,6,0,2,1,13,5,3,2,3,2,5,0,0.00440251572327044,0.00220125786163522,0.00440251572327044,0.000314465408805031,0.0135220125786164,0.000628930817610063,0,0.0132075471698113,0.0135220125786164,0.00377358490566038,0.000314465408805031,0.000628930817610063,0.0119496855345912,0.00188679245283019,0.0113207547169811,0.00314465408805031,0.000628930817610063,0.00188679245283019,0.00345911949685535,0.00283018867924528,0,0.000628930817610063,0.000314465408805031,0.000314465408805031,0.000314465408805031,0.000628930817610063,0.00408805031446541,0.000943396226415094,0,0.000314465408805031,0.00188679245283019,0,0.000628930817610063,0.000314465408805031,0.00408805031446541,0.00157232704402516,0.000943396226415094,0.000628930817610063,0.000943396226415094,0.000628930817610063,0.00157232704402516,0,42,11,16,1,29,12,1,0,2,9,17,0.0132075471698113,0.00345911949685535,0.0050314465408805,0.000314465408805031,0.00911949685534591,0.00377358490566038,0.000314465408805031,0,0.000628930817610063,0.00283018867924528,0.00534591194968553,3180,2774,8,6.31863679205677,0.0207547169811321,0,3180,0,0,1,1,0,0,0
"2012-10-01","Azerbaijan",15,11,16,2,32,5,0,38,45,11,1,4,36,8,33,12,0,11,8,11,0,3,1,0,0,2,12,4,0,0,13,0,1,0,8,5,0,0,3,0,2,1,0.00565397663022993,0.00414624952883528,0.00603090840557859,0.000753863550697324,0.0120618168111572,0.00188465887674331,0,0.0143234074632492,0.0169619298906898,0.00414624952883528,0.000376931775348662,0.00150772710139465,0.0135695439125518,0.0030154542027893,0.0124387485865058,0.00452318130418394,0,0.00414624952883528,0.0030154542027893,0.00414624952883528,0,0.00113079532604599,0.000376931775348662,0,0,0.000753863550697324,0.00452318130418394,0.00150772710139465,0,0,0.0049001130795326,0,0.000376931775348662,0,0.0030154542027893,0.00188465887674331,0,0,0.00113079532604599,0,0.000753863550697324,0.000376931775348662,19,23,18,0,30,11,5,3,1,14,22,0.00716170373162458,0.00866943083301922,0.00678477195627591,0,0.0113079532604599,0.00414624952883528,0.00188465887674331,0.00113079532604599,0.000376931775348662,0.00527704485488127,0.00829249905767056,2653,2241,8,7.79763966547196,0.0199773840934791,0.00113079532604599,2653,0,0,1,1,0,0,0
"2012-11-01","Azerbaijan",13,1,11,0,32,3,1,26,33,11,1,1,34,6,23,5,2,5,10,21,1,3,1,0,1,1,9,2,2,1,9,0,1,1,3,0,1,1,0,0,1,2,0.0057092665788318,0.00043917435221783,0.00483091787439614,0,0.0140535792709706,0.00131752305665349,0.00043917435221783,0.0114185331576636,0.0144927536231884,0.00483091787439614,0.00043917435221783,0.00043917435221783,0.0149319279754062,0.00263504611330698,0.0101010101010101,0.00219587176108915,0.000878348704435661,0.00219587176108915,0.0043917435221783,0.00922266139657444,0.00043917435221783,0.00131752305665349,0.00043917435221783,0,0.00043917435221783,0.00043917435221783,0.00395256916996047,0.000878348704435661,0.000878348704435661,0.00043917435221783,0.00395256916996047,0,0.00043917435221783,0.00043917435221783,0.00131752305665349,0,0.00043917435221783,0.00043917435221783,0,0,0.00043917435221783,0.000878348704435661,28,14,13,1,23,6,4,3,4,10,17,0.0122968818620993,0.00614844093104963,0.0057092665788318,0.00043917435221783,0.0101010101010101,0.00263504611330698,0.00175669740887132,0.00131752305665349,0.00175669740887132,0.0043917435221783,0.00746596398770312,2277,1943,7,6.68611734505933,0.0175669740887132,0,2277,0,0,1,0,0,0,0
