"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","bd.pratidin.com","kalerkantho.com","jugantor.com","dailyjanakantha.com"
"2012-01-01","Bangladesh",48,0,51,6,15,19,0,35,49,6,1,9,24,4,145,11,0,5,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0118081180811808,0,0.0125461254612546,0.0014760147601476,0.003690036900369,0.0046740467404674,0,0.00861008610086101,0.0120541205412054,0.0014760147601476,0.0002460024600246,0.0022140221402214,0.00590405904059041,0.000984009840098401,0.035670356703567,0.0027060270602706,0,0.001230012300123,0.00836408364083641,0.0162361623616236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738007380073801,0,0,0,0,0,0,0,148,18,15,0,105,14,4,2,5,97,69,0.0364083640836408,0.0044280442804428,0.003690036900369,0,0.025830258302583,0.0034440344403444,0.000984009840098401,0.0004920049200492,0.001230012300123,0.0238622386223862,0.0169741697416974,4065,3084,4062,20.5749733036071,0.000738007380073801,0.0004920049200492,4065,0,0,0,1
"2012-02-01","Bangladesh",31,1,38,6,14,7,0,36,47,8,2,1,26,4,112,14,0,4,31,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881182490051165,0.000284252416145537,0.0108015918135304,0.00170551449687322,0.00397953382603752,0.00198976691301876,0,0.0102330869812393,0.0133598635588402,0.0022740193291643,0.000568504832291074,0.000284252416145537,0.00739056281978397,0.00113700966458215,0.0318362706083002,0.00397953382603752,0,0.00113700966458215,0.00881182490051165,0.0119386014781126,0.000284252416145537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,13,16,0,76,20,13,1,2,86,64,0.0355315520181922,0.00369528140989198,0.0045480386583286,0,0.0216031836270608,0.00568504832291074,0.00369528140989198,0.000284252416145537,0.000568504832291074,0.0244457077885162,0.0181921546333144,3518,2711,3517,19.6487498012028,0.000284252416145537,0.00113700966458215,3518,0,0,0,0
"2012-03-01","Bangladesh",23,2,51,2,12,1,0,64,51,9,0,9,21,10,133,14,2,3,41,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.00581542351453856,0.000505689001264222,0.0128950695322377,0.000505689001264222,0.00303413400758534,0.000252844500632111,0,0.0161820480404551,0.0128950695322377,0.002275600505689,0,0.002275600505689,0.00530973451327434,0.00252844500632111,0.0336283185840708,0.00353982300884956,0.000505689001264222,0.000758533501896334,0.0103666245259166,0.0141592920353982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000505689001264222,0,0,0,0,0,0,0,96,15,15,1,98,14,8,2,5,87,79,0.0242730720606827,0.00379266750948167,0.00379266750948167,0.000252844500632111,0.0247787610619469,0.00353982300884956,0.00202275600505689,0.000505689001264222,0.00126422250316056,0.0219974715549937,0.0199747155499368,3955,3059,3953,20.2045649645479,0.000252844500632111,0.000252844500632111,3955,1,0,0,0
"2012-04-01","Bangladesh",27,1,37,7,13,2,1,68,56,4,0,12,34,6,132,25,0,1,35,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00757150869321368,0.000280426247896803,0.0103757711721817,0.00196298373527762,0.00364554122265844,0.000560852495793606,0.000280426247896803,0.0190689848569826,0.015703869882221,0.00112170499158721,0,0.00336511497476164,0.00953449242849131,0.00168255748738082,0.037016264722378,0.00701065619742008,0,0.000280426247896803,0.00981491867638811,0.014301738642737,0,0,0,0,0,0,0,0,0,0,0.000280426247896803,0,0,0,0.000280426247896803,0,0,0,0,0,0,0,104,8,24,0,68,17,13,3,4,59,74,0.0291643297812675,0.00224340998317443,0.00673022994952328,0,0.0190689848569826,0.00476724621424565,0.00364554122265844,0.000841278743690409,0.00112170499158721,0.0165451486259114,0.0207515423443634,3566,2724,3564,20.9425248046467,0.000280426247896803,0.00112170499158721,3566,0,0,0,0
"2012-05-01","Bangladesh",39,0,30,3,18,2,0,55,80,5,0,13,24,6,131,7,1,4,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109519797809604,0,0.008424599831508,0.0008424599831508,0.0050547598989048,0.0005616399887672,0,0.015445099691098,0.022465599550688,0.001404099971918,0,0.0036506599269868,0.0067396798652064,0.0016849199663016,0.0367874192642516,0.0019657399606852,0.0002808199943836,0.0011232799775344,0.012636899747262,0.015445099691098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,8,26,0,96,25,3,5,2,92,69,0.03510249929795,0.0022465599550688,0.0073013198539736,0,0.0269587194608256,0.00702049985959,0.0008424599831508,0.001404099971918,0.0005616399887672,0.0258354394832912,0.0193765796124684,3561,2625,3561,21.2171341395302,0,0.0005616399887672,3561,0,0,0,0
"2012-06-01","Bangladesh",47,4,33,5,9,2,1,85,52,12,0,5,33,7,109,18,0,1,39,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0137587822014052,0.00117096018735363,0.00966042154566745,0.00146370023419204,0.00263466042154567,0.000585480093676815,0.000292740046838407,0.0248829039812646,0.0152224824355972,0.00351288056206089,0,0.00146370023419204,0.00966042154566745,0.00204918032786885,0.0319086651053864,0.00526932084309133,0,0.000292740046838407,0.0114168618266979,0.0114168618266979,0,0,0,0,0,0,0,0,0,0,0.000585480093676815,0,0,0,0,0,0,0,0,0,0,0,113,9,16,1,89,41,9,0,4,79,53,0.03307962529274,0.00263466042154567,0.00468384074941452,0.000292740046838407,0.0260538641686183,0.0120023419203747,0.00263466042154567,0,0.00117096018735363,0.0231264637002342,0.0155152224824356,3416,2535,3414,21.3762835235664,0.000585480093676815,0.000292740046838407,3416,0,0,0,0
"2012-07-01","Bangladesh",44,3,44,3,5,6,1,58,52,10,0,6,46,8,127,19,0,0,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119760479041916,0.000816548720740337,0.0119760479041916,0.000816548720740337,0.00136091453456723,0.00163309744148067,0.000272182906913446,0.0157866086009799,0.0141535111594992,0.00272182906913446,0,0.00163309744148067,0.0125204137180185,0.00217746325530757,0.0345672291780076,0.00517147523135547,0,0,0.0119760479041916,0.0125204137180185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,14,1,106,23,14,3,2,94,76,0.0323897659227001,0.00190528034839412,0.00381056069678824,0.000272182906913446,0.0288513881328253,0.00626020685900925,0.00381056069678824,0.000816548720740337,0.000544365813826892,0.0255851932498639,0.0206859009254219,3674,2735,3674,21.4374031007213,0,0.000272182906913446,3674,0,0,0,1
"2012-08-01","Bangladesh",26,2,44,4,12,5,0,49,46,8,0,3,19,8,73,14,1,1,56,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799507995079951,0.000615006150061501,0.013530135301353,0.001230012300123,0.003690036900369,0.00153751537515375,0,0.0150676506765068,0.0141451414514145,0.002460024600246,0,0.000922509225092251,0.00584255842558426,0.002460024600246,0.0224477244772448,0.0043050430504305,0.00030750307503075,0.00030750307503075,0.017220172201722,0.0153751537515375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,11,16,2,85,20,5,5,3,103,53,0.039360393603936,0.00338253382533825,0.00492004920049201,0.000615006150061501,0.0261377613776138,0.00615006150061501,0.00153751537515375,0.00153751537515375,0.000922509225092251,0.0316728167281673,0.0162976629766298,3252,2430,3252,20.6323162039673,0,0.00153751537515375,3252,0,0,0,0
"2012-09-01","Bangladesh",32,3,56,5,13,5,1,59,61,23,1,5,40,5,124,14,1,2,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847906730259671,0.000794912559618442,0.0148383677795443,0.00132485426603074,0.00344462109167992,0.00132485426603074,0.000264970853206147,0.0156332803391627,0.016163222045575,0.00609432962374139,0.000264970853206147,0.00132485426603074,0.0105988341282459,0.00132485426603074,0.0328563857975623,0.00370959194488606,0.000264970853206147,0.000529941706412295,0.00715421303656598,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,9,29,1,107,19,17,3,2,98,93,0.0339162692103869,0.00238473767885533,0.00768415474297827,0.000264970853206147,0.0283518812930578,0.0050344462109168,0.0045045045045045,0.000794912559618442,0.000529941706412295,0.0259671436142024,0.0246422893481717,3774,2766,3774,21.5279413986651,0.000264970853206147,0.000264970853206147,3774,0,0,0,1
"2012-10-01","Bangladesh",30,4,44,4,11,2,2,61,78,7,1,10,35,12,94,4,1,0,39,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.00854214123006834,0.00113895216400911,0.0125284738041002,0.00113895216400911,0.00313211845102506,0.000569476082004556,0.000569476082004556,0.017369020501139,0.0222095671981777,0.00199316628701595,0.000284738041002278,0.00284738041002278,0.00996583143507973,0.00341685649202733,0.0267653758542141,0.00113895216400911,0.000284738041002278,0,0.0111047835990888,0.0244874715261959,0,0,0,0,0,0,0,0,0,0,0.000284738041002278,0,0,0,0.000284738041002278,0,0.000284738041002278,0,0,0,0.000284738041002278,0,139,5,31,2,73,17,5,1,1,102,68,0.0395785876993166,0.00142369020501139,0.00882687927107061,0.000569476082004556,0.0207858769931663,0.00484054669703872,0.00142369020501139,0.000284738041002278,0.000284738041002278,0.0290432801822323,0.0193621867881549,3512,2594,3508,22.3780699186704,0.000569476082004556,0.000854214123006834,3512,0,0,0,0
