"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","diplomatic_recognition","diplomatic_statement","diplomatic_visit","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","diplomatic_recognitionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","news.acotonou.com","lematinal.media","levenementprecis.com"
"2012-12-01","Benin",0,1,8,1,1,0,1,5,4,4,0,0,2,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00440528634361234,0.0352422907488987,0.00440528634361234,0.00440528634361234,0,0.00440528634361234,0.0220264317180617,0.0176211453744493,0.0176211453744493,0,0,0.00881057268722467,0.00440528634361234,0.013215859030837,0.00440528634361234,0,0.00881057268722467,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,1,1,0,0,1,0,0.00440528634361234,0.00881057268722467,0,0.00881057268722467,0.013215859030837,0.00440528634361234,0.00440528634361234,0,0,0.00440528634361234,0,227,186,227,5.43508568858589,0,0,227,0,0,1
"2013-01-01","Benin",8,0,7,2,4,0,1,2,8,6,0,6,3,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0.0284697508896797,0,0.0249110320284698,0.00711743772241993,0.0142348754448399,0,0.00355871886120996,0.00711743772241993,0.0284697508896797,0.0213523131672598,0,0.0213523131672598,0.0106761565836299,0,0,0.00355871886120996,0,0,0.00711743772241993,0.00711743772241993,0,0,0,0.00355871886120996,0,0,0,0,0,4,2,0,2,8,6,0,0,0,1,0,0.0142348754448399,0.00711743772241993,0,0.00711743772241993,0.0284697508896797,0.0213523131672598,0,0,0,0.00355871886120996,0,281,212,280,13.5550155139411,0,0.00355871886120996,281,1,0,1
"2013-02-01","Benin",1,1,11,5,7,1,0,4,27,8,0,0,11,1,6,5,0,1,1,7,0,0,0,0,0,1,0,0,0,0.00145137880986938,0.00145137880986938,0.0159651669085631,0.00725689404934688,0.0101596516690856,0.00145137880986938,0,0.0058055152394775,0.0391872278664731,0.011611030478955,0,0,0.0159651669085631,0.00145137880986938,0.00870827285921625,0.00725689404934688,0,0.00145137880986938,0.00145137880986938,0.0101596516690856,0,0,0,0,0,0.00145137880986938,0,0,0,6,6,6,0,2,7,3,0,1,0,5,0.00870827285921625,0.00870827285921625,0.00870827285921625,0,0.00290275761973875,0.0101596516690856,0.00435413642960813,0,0.00145137880986938,0,0.00725689404934688,689,565,688,7.87206610707985,0,0.00145137880986938,689,1,0,1
"2013-03-01","Benin",3,0,17,6,7,9,0,9,9,11,0,3,6,2,13,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.00467289719626168,0,0.0264797507788162,0.00934579439252336,0.0109034267912773,0.014018691588785,0,0.014018691588785,0.014018691588785,0.0171339563862928,0,0.00467289719626168,0.00934579439252336,0.00311526479750779,0.0202492211838006,0,0,0.00155763239875389,0.00155763239875389,0,0,0,0,0.00155763239875389,0,0,0,0,0,1,5,1,0,6,4,0,0,0,3,3,0.00155763239875389,0.00778816199376947,0.00155763239875389,0,0.00934579439252336,0.00623052959501558,0,0,0,0.00467289719626168,0.00467289719626168,642,529,641,7.78021106558292,0.00155763239875389,0,642,1,0,1
"2013-04-01","Benin",2,0,8,2,4,3,0,1,5,9,0,3,3,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00351493848857645,0,0.0140597539543058,0.00351493848857645,0.0070298769771529,0.00527240773286467,0,0.00175746924428822,0.00878734622144113,0.015817223198594,0,0.00527240773286467,0.00527240773286467,0,0.0105448154657293,0.00527240773286467,0,0,0.00175746924428822,0,0,0,0,0,0,0,0,0,0,9,4,3,0,1,3,0,0,1,0,0,0.015817223198594,0.0070298769771529,0.00527240773286467,0,0.00175746924428822,0.00527240773286467,0,0,0.00175746924428822,0,0,569,500,569,6.81503992515829,0,0.00175746924428822,569,1,0,1
"2013-05-01","Benin",3,0,10,1,0,3,0,3,14,3,1,3,14,2,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0.00581395348837209,0,0.0193798449612403,0.00193798449612403,0,0.00581395348837209,0,0.00581395348837209,0.0271317829457364,0.00581395348837209,0.00193798449612403,0.00581395348837209,0.0271317829457364,0.00387596899224806,0.0155038759689922,0.00193798449612403,0,0.00193798449612403,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,2,0,0,0,1,3,0.0116279069767442,0,0,0,0.0232558139534884,0.00387596899224806,0,0,0,0.00193798449612403,0.00581395348837209,516,429,516,8.8927385958065,0,0,516,1,0,1
"2013-06-01","Benin",2,0,11,0,4,0,0,3,14,23,0,0,1,2,12,3,1,1,2,4,0,0,0,0,0,0,0,0,0,0.0036697247706422,0,0.0201834862385321,0,0.0073394495412844,0,0,0.0055045871559633,0.0256880733944954,0.0422018348623853,0,0,0.0018348623853211,0.0036697247706422,0.0220183486238532,0.0055045871559633,0.0018348623853211,0.0018348623853211,0.0036697247706422,0.0073394495412844,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,3,0,0,0.0018348623853211,0,0.0073394495412844,0.0036697247706422,0,0,0,0,0.0055045871559633,545,452,545,6.39711275128477,0,0,545,1,0,1
"2013-07-01","Benin",3,0,13,2,4,1,0,4,12,40,0,0,3,3,13,2,1,0,1,4,0,0,0,0,0,1,0,0,0,0.00392670157068063,0,0.0170157068062827,0.00261780104712042,0.00523560209424084,0.00130890052356021,0,0.00523560209424084,0.0157068062827225,0.0523560209424084,0,0,0.00392670157068063,0.00392670157068063,0.0170157068062827,0.00261780104712042,0.00130890052356021,0,0.00130890052356021,0.00523560209424084,0,0,0,0,0,0.00130890052356021,0,0,0,3,4,1,0,1,4,3,1,1,2,3,0.00392670157068063,0.00523560209424084,0.00130890052356021,0,0.00130890052356021,0.00523560209424084,0.00392670157068063,0.00130890052356021,0.00130890052356021,0.00261780104712042,0.00392670157068063,764,636,763,5.94775454684839,0,0.00130890052356021,764,1,0,1
"2013-08-01","Benin",0,0,14,1,3,3,0,1,6,37,5,5,3,0,6,31,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0185922974767596,0.00132802124833997,0.00398406374501992,0.00398406374501992,0,0.00132802124833997,0.00796812749003984,0.049136786188579,0.00664010624169987,0.00664010624169987,0.00398406374501992,0,0.00796812749003984,0.0411686586985392,0,0.00265604249667995,0.00132802124833997,0.00132802124833997,0,0,0,0,0,0.00132802124833997,0,0,0,2,10,4,0,4,1,1,0,2,1,3,0.00265604249667995,0.0132802124833997,0.00531208499335989,0,0.00531208499335989,0.00132802124833997,0.00132802124833997,0,0.00265604249667995,0.00132802124833997,0.00398406374501992,753,609,751,5.80573947193341,0,0.00265604249667995,753,1,0,1
"2013-09-01","Benin",1,1,31,4,14,0,0,5,8,42,0,2,2,5,4,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0.00118343195266272,0.00118343195266272,0.0366863905325444,0.00473372781065089,0.0165680473372781,0,0,0.00591715976331361,0.00946745562130178,0.0497041420118343,0,0.00236686390532544,0.00236686390532544,0.00591715976331361,0.00473372781065089,0.00710059171597633,0,0.00236686390532544,0.00236686390532544,0.00118343195266272,0,0,0,0,0,0,0,0,0,5,11,1,0,8,3,0,1,1,0,1,0.00591715976331361,0.0130177514792899,0.00118343195266272,0,0.00946745562130178,0.00355029585798817,0,0.00118343195266272,0.00118343195266272,0,0.00118343195266272,845,685,845,5.24832340023356,0,0,845,1,0,1
"2013-10-01","Benin",2,0,22,1,5,0,0,2,11,22,0,2,5,8,5,5,0,1,0,2,0,0,0,0,0,1,0,0,0,0.00249376558603491,0,0.027431421446384,0.00124688279301746,0.00623441396508728,0,0,0.00249376558603491,0.013715710723192,0.027431421446384,0,0.00249376558603491,0.00623441396508728,0.00997506234413965,0.00623441396508728,0.00623441396508728,0,0.00124688279301746,0,0.00249376558603491,0,0,0,0,0,0.00124688279301746,0,0,0,4,10,1,0,3,10,2,0,1,0,2,0.00498753117206983,0.0124688279301746,0.00124688279301746,0,0.00374064837905237,0.0124688279301746,0.00249376558603491,0,0.00124688279301746,0,0.00249376558603491,802,680,801,5.76897335253523,0.00124688279301746,0,802,1,0,1
