"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","journalducameroun.com","camerounweb.com","X237actu.com","X237online.com","cameroonvoice.com","lebledparle.com","thesunnewspaper.cm"
"2012-01-01","Cameroon",0,0,14,3,1,0,0,3,3,2,0,5,4,0,5,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421686746987952,0.00903614457831325,0.00301204819277108,0,0,0.00903614457831325,0.00903614457831325,0.00602409638554217,0,0.0150602409638554,0.0120481927710843,0,0.0150602409638554,0.00301204819277108,0,0,0.00602409638554217,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,2,1,0.00301204819277108,0,0,0,0.00903614457831325,0.0150602409638554,0,0,0,0.00602409638554217,0.00301204819277108,332,276,0,4.97077584704998,0,0,332,1,1,0,1,1,0,0
"2012-02-01","Cameroon",2,1,16,1,0,0,0,2,2,3,0,0,2,0,4,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00560224089635854,0.00280112044817927,0.0448179271708683,0.00280112044817927,0,0,0,0.00560224089635854,0.00560224089635854,0.00840336134453781,0,0,0.00560224089635854,0,0.0112044817927171,0.00280112044817927,0.00280112044817927,0,0.00840336134453781,0.00560224089635854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,2,1,0,0,0,0,0.0140056022408964,0.00280112044817927,0.00280112044817927,0,0,0.00560224089635854,0.00280112044817927,357,308,0,5.28766384045476,0,0,357,1,0,0,1,1,0,0
"2012-03-01","Cameroon",4,0,12,1,0,3,1,2,5,1,1,3,5,0,3,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.00813008130081301,0,0.024390243902439,0.00203252032520325,0,0.00609756097560976,0.00203252032520325,0.0040650406504065,0.0101626016260163,0.00203252032520325,0.00203252032520325,0.00609756097560976,0.0101626016260163,0,0.00609756097560976,0.00203252032520325,0,0,0.00609756097560976,0.00609756097560976,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040650406504065,0.0040650406504065,1,3,4,0,3,2,0,0,1,4,0,0.00203252032520325,0.00609756097560976,0.00813008130081301,0,0.00609756097560976,0.0040650406504065,0,0,0.00203252032520325,0.00813008130081301,0,492,429,0,6.96413212451594,0.00203252032520325,0.00813008130081301,492,1,0,0,1,1,0,0
"2012-04-01","Cameroon",3,1,13,4,0,0,0,3,4,11,0,2,6,0,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00759493670886076,0.00253164556962025,0.0329113924050633,0.010126582278481,0,0,0,0.00759493670886076,0.010126582278481,0.0278481012658228,0,0.00506329113924051,0.0151898734177215,0,0.0151898734177215,0,0,0,0.0126582278481013,0.00253164556962025,0,0,0,0,0,0,0,0,0,0,0.00506329113924051,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0.00253164556962025,0.00506329113924051,0.00506329113924051,0,0,0,0,0,0,0.00253164556962025,0.00253164556962025,395,333,1,5.54262854509475,0,0.00506329113924051,395,1,0,0,1,1,0,0
"2012-05-01","Cameroon",0,0,7,2,2,1,1,1,5,0,1,0,1,4,4,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0179487179487179,0.00512820512820513,0.00512820512820513,0.00256410256410256,0.00256410256410256,0.00256410256410256,0.0128205128205128,0,0.00256410256410256,0,0.00256410256410256,0.0102564102564103,0.0102564102564103,0,0,0.00512820512820513,0.00256410256410256,0.00512820512820513,0,0,0,0,0,0,0.00256410256410256,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0.00256410256410256,5,2,1,0,6,2,1,0,0,0,0,0.0128205128205128,0.00512820512820513,0.00256410256410256,0,0.0153846153846154,0.00512820512820513,0.00256410256410256,0,0,0,0,390,341,3,7.82391652059571,0,0.00769230769230769,390,1,0,0,1,1,1,0
"2012-06-01","Cameroon",2,5,7,0,0,0,0,4,15,2,2,3,8,0,2,0,0,0,5,2,0,0,0,0,0,2,0,0,1,0,3,0,0,0,2,0,0,0,0,2,0,0,0.00472813238770686,0.0118203309692671,0.016548463356974,0,0,0,0,0.00945626477541371,0.0354609929078014,0.00472813238770686,0.00472813238770686,0.00709219858156028,0.0189125295508274,0,0.00472813238770686,0,0,0,0.0118203309692671,0.00472813238770686,0,0,0,0,0,0.00472813238770686,0,0,0.00236406619385343,0,0.00709219858156028,0,0,0,0.00472813238770686,0,0,0,0,0.00472813238770686,0,0,2,2,3,0,11,3,2,1,1,1,1,0.00472813238770686,0.00472813238770686,0.00709219858156028,0,0.0260047281323877,0.00709219858156028,0.00472813238770686,0.00236406619385343,0.00236406619385343,0.00236406619385343,0.00236406619385343,423,348,1,7.7412817234027,0.00236406619385343,0.0212765957446809,423,1,0,0,1,1,1,0
"2012-07-01","Cameroon",2,1,1,0,1,0,0,6,11,0,0,0,4,1,2,2,0,2,4,2,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0051150895140665,0.00255754475703325,0.00255754475703325,0,0.00255754475703325,0,0,0.0153452685421995,0.0281329923273657,0,0,0,0.010230179028133,0.00255754475703325,0.0051150895140665,0.0051150895140665,0,0.0051150895140665,0.010230179028133,0.0051150895140665,0,0,0,0,0,0,0.0127877237851662,0,0.00255754475703325,0,0.0051150895140665,0,0,0,0,0.00255754475703325,0,0,0,0,0,0,2,1,1,2,7,0,1,0,0,3,1,0.0051150895140665,0.00255754475703325,0.00255754475703325,0.0051150895140665,0.0179028132992327,0,0.00255754475703325,0,0,0.00767263427109974,0.00255754475703325,391,341,2,8.16615255363386,0,0.0230179028132992,391,1,0,0,1,1,1,0
"2012-08-01","Cameroon",5,4,1,0,2,3,0,4,11,4,0,2,5,3,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,2,0,0,0,0.0120192307692308,0.00961538461538462,0.00240384615384615,0,0.00480769230769231,0.00721153846153846,0,0.00961538461538462,0.0264423076923077,0.00961538461538462,0,0.00480769230769231,0.0120192307692308,0.00721153846153846,0.00480769230769231,0,0,0,0.00721153846153846,0.00721153846153846,0,0,0,0,0,0,0,0,0,0,0.0120192307692308,0.00240384615384615,0,0,0.00480769230769231,0,0,0,0.00480769230769231,0,0,0,3,0,2,0,7,0,0,0,0,1,1,0.00721153846153846,0,0.00480769230769231,0,0.0168269230769231,0,0,0,0,0.00240384615384615,0.00240384615384615,416,356,2,7.91632731768532,0,0.0240384615384615,416,1,0,0,1,1,1,0
"2012-09-01","Cameroon",0,2,10,0,4,0,0,13,15,0,0,1,3,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.00557103064066852,0.0278551532033426,0,0.011142061281337,0,0,0.0362116991643454,0.0417827298050139,0,0,0.00278551532033426,0.00835654596100279,0.00278551532033426,0,0,0,0.00278551532033426,0.00278551532033426,0.011142061281337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557103064066852,0,0,0,0,0,0,0,2,0,1,0,8,2,0,0,0,0,1,0.00557103064066852,0,0.00278551532033426,0,0.0222841225626741,0.00557103064066852,0,0,0,0,0.00278551532033426,359,294,2,8.03065850746678,0,0.00557103064066852,359,1,0,0,1,1,1,0
"2012-10-01","Cameroon",1,1,15,1,2,0,1,5,7,0,0,1,5,1,2,1,0,0,5,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.00200400801603206,0.00200400801603206,0.030060120240481,0.00200400801603206,0.00400801603206413,0,0.00200400801603206,0.0100200400801603,0.0140280561122244,0,0,0.00200400801603206,0.0100200400801603,0.00200400801603206,0.00400801603206413,0.00200400801603206,0,0,0.0100200400801603,0.0140280561122244,0,0,0,0,0,0,0,0,0,0,0.00601202404809619,0,0,0,0,0,0,0,0.00200400801603206,0,0,0,3,4,1,2,8,0,0,0,0,1,0,0.00601202404809619,0.00801603206412826,0.00200400801603206,0.00400801603206413,0.0160320641282565,0,0,0,0,0.00200400801603206,0,499,431,2,7.00366286485275,0,0.00801603206412826,499,1,0,0,1,1,1,0
