"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lesoftonline.net","acpcongo.com","lephareonline.net","groupelavenir.org","matininfos.net","cas.info.ca","actualite.cd","X7sur7.cd"
"2012-01-01","DR Congo",2,1,31,11,6,0,0,29,5,3,0,2,6,17,13,4,0,0,17,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0035778175313059,0.00178890876565295,0.0554561717352415,0.0196779964221825,0.0107334525939177,0,0,0.0518783542039356,0.00894454382826476,0.00536672629695885,0,0.0035778175313059,0.0107334525939177,0.0304114490161002,0.0232558139534884,0.00715563506261181,0,0,0.0304114490161002,0.0304114490161002,0,0,0,0,0,0,0,0.0035778175313059,0,0,0,0,0,0,0,3,1,4,0,4,6,0,0,0,4,6,0.00536672629695885,0.00178890876565295,0.00715563506261181,0,0.00715563506261181,0.0107334525939177,0,0,0,0.00715563506261181,0.0107334525939177,559,373,557,2.20740406591473,0.00178890876565295,0.00178890876565295,559,1,0,1,0,0,0,0,0
"2012-02-01","DR Congo",10,4,21,8,3,1,0,22,15,2,0,3,6,11,7,3,0,3,15,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0173913043478261,0.00695652173913044,0.0365217391304348,0.0139130434782609,0.00521739130434783,0.00173913043478261,0,0.0382608695652174,0.0260869565217391,0.00347826086956522,0,0.00521739130434783,0.0104347826086957,0.0191304347826087,0.0121739130434783,0.00521739130434783,0,0.00521739130434783,0.0260869565217391,0.0226086956521739,0,0,0,0,0,0,0,0.00173913043478261,0,0.00173913043478261,0,0,0,0,0,2,2,1,0,4,2,1,0,0,2,7,0.00347826086956522,0.00347826086956522,0.00173913043478261,0,0.00695652173913044,0.00347826086956522,0.00173913043478261,0,0,0.00347826086956522,0.0121739130434783,575,408,573,4.65679403056493,0,0.00521739130434783,575,1,0,1,0,0,0,0,0
"2012-03-01","DR Congo",4,0,8,3,16,0,1,41,24,6,0,5,7,26,7,5,0,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00551724137931034,0,0.0110344827586207,0.00413793103448276,0.0220689655172414,0,0.00137931034482759,0.056551724137931,0.0331034482758621,0.00827586206896552,0,0.00689655172413793,0.0096551724137931,0.0358620689655172,0.0096551724137931,0.00689655172413793,0,0,0.0413793103448276,0.023448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137931034482759,0,5,5,0,0,10,3,0,0,2,2,3,0.00689655172413793,0.00689655172413793,0,0,0.0137931034482759,0.00413793103448276,0,0,0.00275862068965517,0.00275862068965517,0.00413793103448276,725,501,724,2.97426427188848,0.00275862068965517,0,725,1,0,1,0,0,0,0,0
"2012-04-01","DR Congo",9,2,28,2,8,3,0,27,5,1,1,7,0,19,17,4,0,2,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125523012552301,0.00278940027894003,0.0390516039051604,0.00278940027894003,0.0111576011157601,0.00418410041841004,0,0.0376569037656904,0.00697350069735007,0.00139470013947001,0.00139470013947001,0.0097629009762901,0,0.0264993026499303,0.0237099023709902,0.00557880055788006,0,0.00278940027894003,0.0195258019525802,0.0390516039051604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,2,1,0,0,1,6,0.00697350069735007,0.00139470013947001,0,0,0.00836820083682008,0.00278940027894003,0.00139470013947001,0,0,0.00139470013947001,0.00836820083682008,717,518,717,1.64755859048908,0,0.00139470013947001,717,1,0,1,0,0,0,0,0
"2012-05-01","DR Congo",8,4,8,0,13,0,0,24,19,2,0,5,10,20,11,5,1,2,27,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00842105263157895,0.00421052631578947,0.00842105263157895,0,0.0136842105263158,0,0,0.0252631578947368,0.02,0.00210526315789474,0,0.00526315789473684,0.0105263157894737,0.0210526315789474,0.0115789473684211,0.00526315789473684,0.00105263157894737,0.00210526315789474,0.0284210526315789,0.0536842105263158,0,0,0,0,0,0,0,0.00105263157894737,0,0,0,0,0,0,0,7,2,2,0,8,6,0,0,0,6,8,0.00736842105263158,0.00210526315789474,0.00210526315789474,0,0.00842105263157895,0.00631578947368421,0,0,0,0.00631578947368421,0.00842105263157895,950,708,949,3.10999740708771,0,0.00421052631578947,950,1,0,1,1,0,0,0,0
"2012-06-01","DR Congo",8,0,13,4,12,5,0,23,24,5,1,8,5,16,9,8,1,3,20,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0087431693989071,0,0.014207650273224,0.00437158469945355,0.0131147540983607,0.00546448087431694,0,0.0251366120218579,0.0262295081967213,0.00546448087431694,0.00109289617486339,0.0087431693989071,0.00546448087431694,0.0174863387978142,0.00983606557377049,0.0087431693989071,0.00109289617486339,0.00327868852459016,0.0218579234972678,0.033879781420765,0,0,0,0,0,0,0,0.00218579234972678,0,0,0,0,0,0,0,0,2,6,0,22,9,0,0,1,7,5,0,0.00218579234972678,0.00655737704918033,0,0.0240437158469945,0.00983606557377049,0,0,0.00109289617486339,0.00765027322404372,0.00546448087431694,915,674,913,2.95425685729293,0.00218579234972678,0.00218579234972678,915,1,0,1,0,0,0,0,0
"2012-07-01","DR Congo",9,4,11,0,28,5,0,22,35,8,0,20,7,16,17,10,3,5,19,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0081374321880651,0.00361663652802893,0.00994575045207957,0,0.0253164556962025,0.00452079566003617,0,0.0198915009041591,0.0316455696202532,0.00723327305605787,0,0.0180831826401447,0.00632911392405063,0.0144665461121157,0.015370705244123,0.00904159132007233,0.0027124773960217,0.00452079566003617,0.0171790235081374,0.0678119349005425,0,0,0,0,0,0,0.000904159132007233,0,0,0,0,0,0,0,0,8,5,1,0,9,7,0,0,1,5,0,0.00723327305605787,0.00452079566003617,0.000904159132007233,0,0.0081374321880651,0.00632911392405063,0,0,0.000904159132007233,0.00452079566003617,0,1106,780,1105,3.32477922992295,0,0.000904159132007233,1106,1,0,1,0,0,0,0,0
"2012-08-01","DR Congo",8,1,7,2,11,2,0,38,17,7,1,8,2,12,14,0,2,5,25,27,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0.00835945663531871,0.00104493207941484,0.00731452455590387,0.00208986415882968,0.0114942528735632,0.00208986415882968,0,0.0397074190177638,0.0177638453500522,0.00731452455590387,0.00104493207941484,0.00835945663531871,0.00208986415882968,0.0125391849529781,0.0146290491118077,0,0.00208986415882968,0.00522466039707419,0.0261233019853709,0.0282131661442006,0,0,0,0,0,0,0.00104493207941484,0.00522466039707419,0,0,0,0,0,0,0,4,3,1,0,7,4,1,1,0,4,6,0.00417972831765935,0.00313479623824451,0.00104493207941484,0,0.00731452455590387,0.00417972831765935,0.00104493207941484,0.00104493207941484,0,0.00417972831765935,0.00626959247648903,957,737,951,2.73361198969033,0,0.00626959247648903,957,1,0,1,0,0,0,0,0
"2012-09-01","DR Congo",6,3,7,2,14,1,0,30,21,7,1,11,4,13,4,2,1,2,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779220779220779,0.0038961038961039,0.00909090909090909,0.0025974025974026,0.0181818181818182,0.0012987012987013,0,0.038961038961039,0.0272727272727273,0.00909090909090909,0.0012987012987013,0.0142857142857143,0.00519480519480519,0.0168831168831169,0.00519480519480519,0.0025974025974026,0.0012987012987013,0.0025974025974026,0.0142857142857143,0.0363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4,7,1,0,2,2,2,0.0038961038961039,0.0025974025974026,0.0012987012987013,0,0.00519480519480519,0.00909090909090909,0.0012987012987013,0,0.0025974025974026,0.0025974025974026,0.0025974025974026,770,581,770,2.48323415743597,0,0,770,1,0,1,0,0,0,0,0
"2012-10-01","DR Congo",5,1,21,0,11,1,0,24,19,7,1,4,5,18,13,2,0,15,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005005005005005,0.001001001001001,0.021021021021021,0,0.011011011011011,0.001001001001001,0,0.024024024024024,0.019019019019019,0.00700700700700701,0.001001001001001,0.004004004004004,0.005005005005005,0.018018018018018,0.013013013013013,0.002002002002002,0,0.015015015015015,0.016016016016016,0.03003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,7,7,1,0,0,3,9,0.002002002002002,0.003003003003003,0.001001001001001,0,0.00700700700700701,0.00700700700700701,0.001001001001001,0,0,0.003003003003003,0.00900900900900901,999,777,999,3.05956119767751,0,0,999,1,0,1,0,0,0,0,0
