"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","diariolibre.com","listindiario.com","elnacional.com.do","hoy.com.do","elviajero.com.do"
"2012-01-01","Dominican Republic",6,2,194,20,55,3,3,125,104,40,2,10,37,3,29,8,0,5,19,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.00162557572473584,0.000541858574911948,0.052560281766459,0.00541858574911948,0.0149011108100786,0.000812787862367922,0.000812787862367922,0.0338661609319967,0.0281766458954213,0.010837171498239,0.000541858574911948,0.00270929287455974,0.010024383635871,0.000812787862367922,0.00785694933622325,0.00216743429964779,0,0.00135464643727987,0.00514765646166351,0.00135464643727987,0,0,0,0,0,0,0,0.000270929287455974,0.000270929287455974,0,0,0,0,0,102,41,13,0,107,39,10,3,3,67,34,0.0276347873205093,0.0111081007856949,0.00352208073692766,0,0.0289894337577892,0.010566242210783,0.00270929287455974,0.000812787862367922,0.000812787862367922,0.0181522622595503,0.00921159577350312,3691,2643,8,4.900062159828,0.000270929287455974,0.000270929287455974,3691,1,1,0,0,0
"2012-02-01","Dominican Republic",16,7,220,27,87,14,5,70,99,33,1,5,53,12,50,22,13,17,11,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.00427464600587764,0.00187015762757147,0.0587763825808175,0.00721346513491851,0.0232433876569597,0.00374031525514293,0.00133582687683676,0.0187015762757147,0.0264493721613679,0.00881645738712263,0.000267165375367352,0.00133582687683676,0.0141597648944697,0.00320598450440823,0.0133582687683676,0.00587763825808175,0.00347314987977558,0.00454181138124499,0.00293881912904088,0.00293881912904088,0,0,0,0,0,0,0,0,0.000801496126102057,0,0,0,0,0,92,29,2,1,52,25,2,5,4,80,27,0.0245792145337964,0.00774779588565322,0.000534330750734705,0.000267165375367352,0.0138925995191023,0.00667913438418381,0.000534330750734705,0.00133582687683676,0.00106866150146941,0.0213732300293882,0.00721346513491851,3743,2678,8,7.55377493177988,0,0.000801496126102057,3743,1,1,0,0,0
"2012-03-01","Dominican Republic",15,3,230,32,86,14,4,46,77,26,2,13,58,12,63,18,1,14,10,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.003725782414307,0.000745156482861401,0.0571286636860407,0.00794833581718828,0.0213611525086935,0.00347739692001987,0.000993541977148535,0.0114257327372081,0.0191256830601093,0.00645802285146547,0.000496770988574267,0.00322901142573274,0.0144063586686538,0.0029806259314456,0.0156482861400894,0.00447093889716841,0.000248385494287134,0.00347739692001987,0.00248385494287134,0.00422255340288127,0,0,0,0,0,0,0,0,0,0,0.000496770988574267,0,0,0,114,63,10,0,83,29,5,4,3,93,35,0.0283159463487332,0.0156482861400894,0.00248385494287134,0,0.0206159960258321,0.00720317933432688,0.00124192747143567,0.000993541977148535,0.000745156482861401,0.0230998509687034,0.00869349230004968,4026,2880,4,6.08235820968091,0.000496770988574267,0,4026,1,1,0,0,0
"2012-04-01","Dominican Republic",10,6,276,35,37,23,1,170,86,12,6,16,50,5,55,11,5,18,27,23,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00274951883420401,0.00164971130052241,0.0758867198240308,0.00962331591971405,0.0101732196865549,0.00632389331866923,0.000274951883420401,0.0467418201814682,0.0236458619741545,0.00329942260104482,0.00164971130052241,0.00439923013472642,0.0137475941710201,0.00137475941710201,0.0151223535881221,0.00302447071762442,0.00137475941710201,0.00494913390156723,0.00742370085235084,0.00632389331866923,0,0,0,0,0,0,0,0,0.000274951883420401,0,0,0.000274951883420401,0,0,87,46,3,0,68,16,4,2,5,94,32,0.0239208138575749,0.0126477866373385,0.000824855650261204,0,0.0186967280725873,0.00439923013472642,0.00109980753368161,0.000549903766840803,0.00137475941710201,0.0258454770415177,0.00879846026945285,3637,2431,6,6.98736818421081,0.000549903766840803,0,3637,1,1,0,0,0
"2012-05-01","Dominican Republic",19,9,671,111,64,8,0,110,76,41,4,22,32,7,58,28,1,21,21,36,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.00449491365034303,0.0021291696238467,0.158741424177904,0.0262597586941093,0.0151407617695765,0.00189259522119707,0,0.0260231842914597,0.0179796546013721,0.00969955050863497,0.000946297610598533,0.00520463685829193,0.00757038088478827,0.00165602081854743,0.0137213153536787,0.00662408327418973,0.000236574402649633,0.0049680624556423,0.0049680624556423,0.0085166784953868,0,0,0,0,0,0,0.000236574402649633,0,0,0,0,0.000236574402649633,0,0,86,38,6,0,71,25,7,2,3,102,20,0.0203453986278685,0.00898982730068607,0.0014194464158978,0,0.016796782588124,0.00591436006624083,0.00165602081854743,0.000473148805299267,0.0007097232079489,0.0241305890702626,0.00473148805299267,4227,2551,9,6.39749930838474,0,0.000946297610598533,4227,1,1,0,0,0
"2012-06-01","Dominican Republic",14,0,91,20,58,20,1,83,99,30,2,14,14,5,65,45,0,11,27,18,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0.00353624652690073,0,0.0229856024248548,0.00505178075271533,0.0146501641828745,0.00505178075271533,0.000252589037635767,0.0209648901237686,0.0250063147259409,0.007577671129073,0.000505178075271533,0.00353624652690073,0.00353624652690073,0.00126294518817883,0.0164182874463248,0.0113665066936095,0,0.00277847941399343,0.0068199040161657,0.0045466026774438,0,0,0,0,0.000252589037635767,0,0,0,0.000505178075271533,0,0,0.000252589037635767,0,0,147,67,12,0,80,63,1,17,4,119,43,0.0371305885324577,0.0169234655215964,0.0030310684516292,0,0.0202071230108613,0.0159131093710533,0.000252589037635767,0.00429401363980803,0.00101035615054307,0.0300580954786562,0.010861328618338,3959,2810,7,6.15815911035975,0.000252589037635767,0.0007577671129073,3959,0,1,0,0,0
"2012-07-01","Dominican Republic",5,2,51,11,58,16,5,77,105,54,3,11,34,7,70,15,1,6,11,25,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.00135795763172189,0.000543183052688756,0.0138511678435633,0.00298750678978816,0.0157523085279739,0.00434546442151005,0.00135795763172189,0.0209125475285171,0.0285171102661597,0.0146659424225964,0.000814774579033134,0.00298750678978816,0.00923411189570885,0.00190114068441065,0.0190114068441065,0.00407387289516567,0.000271591526344378,0.00162954915806627,0.00298750678978816,0.00678978815860945,0,0,0,0,0,0,0,0,0.000271591526344378,0.000271591526344378,0,0.000271591526344378,0,0,134,55,10,3,88,64,7,12,5,120,58,0.0363932645301467,0.0149375339489408,0.00271591526344378,0.000814774579033134,0.0239000543183053,0.0173818576860402,0.00190114068441065,0.00325909831613254,0.00135795763172189,0.0325909831613254,0.0157523085279739,3682,2595,17,6.48040041066809,0.000271591526344378,0.000543183052688756,3682,1,1,0,0,0
"2012-08-01","Dominican Republic",11,4,19,5,64,15,2,285,78,89,6,6,41,5,25,13,1,11,21,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.00295540032240731,0.00107469102632993,0.00510478237506717,0.00134336378291241,0.0171950564212789,0.00403009134873724,0.000537345513164965,0.0765717356260075,0.0209564750134336,0.0239118753358409,0.0016120365394949,0.0016120365394949,0.0110155830198818,0.00134336378291241,0.00671681891456206,0.00349274583557227,0.000268672756582483,0.00295540032240731,0.00564212788823213,0.00241805480924234,0.000268672756582483,0,0,0,0,0,0.000268672756582483,0,0,0,0,0.000268672756582483,0,0,83,66,10,1,72,38,3,3,5,63,29,0.0222998387963461,0.0177324019344438,0.00268672756582483,0.000268672756582483,0.0193444384739387,0.0102095647501343,0.000806018269747448,0.000806018269747448,0.00134336378291241,0.0169263836646964,0.00779150994089199,3722,2689,32,5.65534831788153,0,0.000806018269747448,3722,1,1,0,0,0
"2012-09-01","Dominican Republic",5,5,43,4,64,15,9,67,103,63,0,16,24,7,61,21,2,9,28,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.00128600823045267,0.00128600823045267,0.011059670781893,0.00102880658436214,0.0164609053497942,0.00385802469135802,0.00231481481481481,0.0172325102880658,0.0264917695473251,0.0162037037037037,0,0.00411522633744856,0.00617283950617284,0.00180041152263374,0.0156893004115226,0.00540123456790123,0.00051440329218107,0.00231481481481481,0.00720164609053498,0.00257201646090535,0,0,0,0,0,0,0.000257201646090535,0,0,0,0,0.000257201646090535,0,0,133,103,20,0,76,71,6,7,6,107,38,0.0342078189300411,0.0264917695473251,0.0051440329218107,0,0.0195473251028807,0.018261316872428,0.00154320987654321,0.00180041152263374,0.00154320987654321,0.0275205761316872,0.00977366255144033,3888,2808,4,6.38239075261402,0,0.00051440329218107,3888,1,1,0,0,0
"2012-10-01","Dominican Republic",10,0,58,5,97,7,3,188,79,159,3,14,36,8,100,20,0,11,22,7,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0.0022737608003638,0,0.01318781264211,0.0011368804001819,0.0220554797635289,0.00159163256025466,0.000682128240109141,0.0427467030468395,0.017962710322874,0.0361527967257844,0.000682128240109141,0.00318326512050932,0.00818553888130969,0.00181900864029104,0.022737608003638,0.0045475216007276,0,0.00250113688040018,0.00500227376080036,0.00159163256025466,0,0,0,0,0,0,0.00022737608003638,0,0.00045475216007276,0,0,0.00045475216007276,0,0,154,109,24,1,96,146,3,9,8,149,37,0.0350159163256025,0.0247839927239654,0.00545702592087312,0.00022737608003638,0.0218281036834925,0.0331969076853115,0.000682128240109141,0.00204638472032742,0.00181900864029104,0.0338790359254206,0.00841291496134607,4398,2882,12,6.0322843530217,0.00022737608003638,0.000909504320145521,4398,1,1,0,0,0
