"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","elcomercio.com","metroecuador.com.ec"
"2012-01-01","Ecuador",6,7,61,4,27,3,9,186,101,69,6,6,29,9,14,23,0,4,8,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.00104693770720642,0.00122142732507416,0.0106438666899319,0.000697958471470948,0.0047112196824289,0.000523468853603211,0.00157040656080963,0.0324550689233991,0.0176234514046414,0.0120397836328738,0.00104693770720642,0.00104693770720642,0.00506019891816437,0.00157040656080963,0.00244285465014832,0.00401326121095795,0,0.000697958471470948,0.0013959169429419,0.00244285465014832,0,0,0,0,0,0,0,0,0,0,0,0.000174489617867737,0,0,0,0,0.000174489617867737,0,65,28,12,3,78,49,9,7,4,58,49,0.0113418251614029,0.00488570930029663,0.00209387541441284,0.000523468853603211,0.0136101901936835,0.00854999127551911,0.00157040656080963,0.00122142732507416,0.000697958471470948,0.0101203978363287,0.00854999127551911,5731,4832,10,6.42077816900005,0.000174489617867737,0.000174489617867737,5731,0,0
"2012-02-01","Ecuador",10,4,51,1,22,4,13,158,105,46,2,8,18,7,36,19,2,3,13,14,0,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0,0,0,0.00209073803052478,0.00083629521220991,0.0106627639556764,0.000209073803052478,0.00459962366715451,0.00083629521220991,0.00271795943968221,0.0330336608822914,0.0219527493205101,0.00961739494041397,0.000418147606104955,0.00167259042441982,0.0037633284549446,0.00146351662136734,0.00752665690988919,0.00397240225799707,0.000418147606104955,0.000627221409157433,0.00271795943968221,0.00292703324273469,0,0,0,0,0,0.000209073803052478,0.000209073803052478,0,0.000418147606104955,0,0,0.00083629521220991,0,0,0,0,0,0,58,31,4,2,69,28,3,2,4,56,67,0.0121262805770437,0.0064812878946268,0.00083629521220991,0.000418147606104955,0.0144260924106209,0.00585406648546937,0.000627221409157433,0.000418147606104955,0.00083629521220991,0.0117081329709387,0.014007944804516,4783,3956,3,6.47921801240638,0.000209073803052478,0.00146351662136734,4783,1,0
"2012-03-01","Ecuador",12,2,41,5,21,4,2,152,75,37,13,13,21,8,127,11,1,9,17,14,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.00240192153722978,0.000400320256204964,0.00820656525220176,0.00100080064051241,0.00420336269015212,0.000800640512409928,0.000400320256204964,0.0304243394715773,0.0150120096076861,0.00740592473979183,0.00260208166533227,0.00260208166533227,0.00420336269015212,0.00160128102481986,0.0254203362690152,0.0022017614091273,0.000200160128102482,0.00180144115292234,0.00340272217774219,0.00280224179343475,0,0,0,0,0,0,0,0,0.000200160128102482,0,0.000200160128102482,0.000200160128102482,0,0,0,0,0.000200160128102482,0,71,27,12,0,69,41,4,3,3,49,63,0.0142113690952762,0.00540432345876701,0.00240192153722978,0,0.0138110488390713,0.00820656525220176,0.000800640512409928,0.000600480384307446,0.000600480384307446,0.00980784627702162,0.0126100880704564,4996,4094,15,7.65920430386805,0.000200160128102482,0.000600480384307446,4996,0,0
"2012-04-01","Ecuador",11,0,30,1,26,4,1,139,88,35,1,9,22,9,26,38,1,1,8,16,0,0,0,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0.00231822971548999,0,0.00632244467860906,0.000210748155953635,0.00547945205479452,0.000842992623814542,0.000210748155953635,0.0292939936775553,0.0185458377239199,0.00737618545837724,0.000210748155953635,0.00189673340358272,0.00463645943097998,0.00189673340358272,0.00547945205479452,0.00800842992623815,0.000210748155953635,0.000210748155953635,0.00168598524762908,0.00337197049525817,0,0,0,0,0.000210748155953635,0,0,0,0.000632244467860906,0,0,0.000842992623814542,0,0,0,0,0,0,63,39,9,0,64,53,4,2,1,51,64,0.013277133825079,0.00821917808219178,0.00189673340358272,0,0.0134878819810327,0.0111696522655427,0.000842992623814542,0.000421496311907271,0.000210748155953635,0.0107481559536354,0.0134878819810327,4745,3955,11,7.31343596329654,0.00105374077976818,0.000632244467860906,4745,0,0
"2012-05-01","Ecuador",20,5,63,4,45,3,2,124,90,37,1,9,20,11,37,15,0,7,11,11,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0.00430292598967298,0.00107573149741824,0.0135542168674699,0.000860585197934596,0.0096815834767642,0.000645438898450947,0.000430292598967298,0.0266781411359725,0.0193631669535284,0.00796041308089501,0.000215146299483649,0.00193631669535284,0.00430292598967298,0.00236660929432014,0.00796041308089501,0.00322719449225473,0,0.00150602409638554,0.00236660929432014,0.00236660929432014,0,0,0,0,0,0,0,0,0.000430292598967298,0,0,0.00172117039586919,0,0,0,0,0,0,58,25,10,1,67,61,4,5,5,40,59,0.0124784853700516,0.00537865748709122,0.00215146299483649,0.000215146299483649,0.0144148020654045,0.0131239242685026,0.000860585197934596,0.00107573149741824,0.00107573149741824,0.00860585197934595,0.0126936316695353,4648,3827,10,7.31547605022164,0,0.00215146299483649,4648,1,0
"2012-06-01","Ecuador",15,9,58,1,42,5,1,90,85,29,0,8,22,6,27,30,1,9,17,12,1,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0.0029382957884427,0.00176297747306562,0.0113614103819785,0.00019588638589618,0.00822722820763957,0.000979431929480901,0.00019588638589618,0.0176297747306562,0.0166503428011753,0.00568070519098923,0,0.00156709108716944,0.00430950048971596,0.00117531831537708,0.00528893241919687,0.00587659157688541,0.00019588638589618,0.00176297747306562,0.00333006856023506,0.00235063663075416,0.00019588638589618,0,0,0,0,0,0,0,0.000979431929480901,0,0,0.00039177277179236,0.00039177277179236,0,0,0,0,0,77,22,15,1,69,61,7,7,2,39,40,0.0150832517140059,0.00430950048971596,0.0029382957884427,0.00019588638589618,0.0135161606268364,0.011949069539667,0.00137120470127326,0.00137120470127326,0.00039177277179236,0.00763956904995103,0.00783545543584721,5105,4331,26,7.52944187194961,0.000587659157688541,0.00137120470127326,5105,0,0
"2012-07-01","Ecuador",16,5,93,15,32,2,0,90,81,55,2,18,30,6,44,21,2,1,22,19,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0.00304994281357225,0.000953107129241327,0.0177277926038887,0.00285932138772398,0.00609988562714449,0.000381242851696531,0,0.0171559283263439,0.0154403354937095,0.0104841784216546,0.000381242851696531,0.00343118566526878,0.00571864277544796,0.00114372855508959,0.00838734273732368,0.00400304994281357,0.000381242851696531,0.000190621425848265,0.00419367136866184,0.00362180709111704,0,0,0,0,0,0,0,0,0.000953107129241327,0,0,0.000571864277544796,0.000381242851696531,0,0,0,0,0,88,26,6,1,76,54,3,4,3,46,45,0.0167746854746474,0.0049561570720549,0.00114372855508959,0.000190621425848265,0.0144872283644682,0.0102935569958063,0.000571864277544796,0.000762485703393061,0.000571864277544796,0.00876858558902021,0.00857796416317194,5246,4365,30,7.57567910803843,0.000190621425848265,0.00171559283263439,5246,0,0
"2012-08-01","Ecuador",30,6,71,8,62,3,3,129,116,25,1,10,32,4,40,15,6,24,14,19,0,0,0,0,2,0,0,0,3,0,0,4,1,0,0,0,0,0,0.00527055516514406,0.00105411103302881,0.0124736472241743,0.00140548137737175,0.0108924806746311,0.000527055516514406,0.000527055516514406,0.0226633872101195,0.0203794799718904,0.00439212930428672,0.000175685172171469,0.00175685172171469,0.005621925509487,0.000702740688685875,0.00702740688685875,0.00263527758257203,0.00105411103302881,0.00421644413211525,0.00245959241040056,0.00333801827125791,0,0,0,0,0.000351370344342937,0,0,0,0.000527055516514406,0,0,0.000702740688685875,0.000175685172171469,0,0,0,0,0,87,30,13,2,103,39,5,7,2,61,49,0.0152846099789178,0.00527055516514406,0.00228390723822909,0.000351370344342937,0.0180955727336613,0.00685172171468728,0.000878425860857344,0.00122979620520028,0.000351370344342937,0.0107167955024596,0.00860857343640197,5692,4714,36,8.17284755140046,0.000878425860857344,0.000878425860857344,5692,1,0
"2012-09-01","Ecuador",7,12,100,6,38,3,3,148,66,26,0,12,19,6,28,16,2,19,15,13,0,0,0,1,0,0,0,0,7,1,0,0,1,0,0,1,0,0,0.0014201663623453,0.00243457090687766,0.0202880908906472,0.00121728545343883,0.00770947453844593,0.000608642726719416,0.000608642726719416,0.0300263745181578,0.0133901399878271,0.00527490363156827,0,0.00243457090687766,0.00385473726922297,0.00121728545343883,0.00568066544938121,0.00324609454250355,0.000405761817812944,0.00385473726922297,0.00304321363359708,0.00263745181578413,0,0,0,0.000202880908906472,0,0,0,0,0.0014201663623453,0.000202880908906472,0,0,0.000202880908906472,0,0,0.000202880908906472,0,0,76,28,11,0,80,41,9,0,4,47,59,0.0154189490768919,0.00568066544938121,0.00223168999797119,0,0.0162304727125178,0.00831811726516535,0.00182592818015825,0,0.000811523635625888,0.00953540271860418,0.0119699736254818,4929,4058,18,7.56945688795283,0.000405761817812944,0.00202880908906472,4929,0,0
"2012-10-01","Ecuador",20,6,111,1,39,0,1,65,73,50,0,9,34,10,20,13,5,10,12,20,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,2,0,0,0.00381024957134692,0.00114307487140408,0.0211468851209754,0.000190512478567346,0.0074299866641265,0,0.000190512478567346,0.0123833111068775,0.0139074109354163,0.00952562392836731,0,0.00171461230710612,0.00647742427128977,0.00190512478567346,0.00381024957134692,0.0024766622213755,0.000952562392836731,0.00190512478567346,0.00228614974280815,0.00381024957134692,0,0,0,0,0,0,0,0,0.000381024957134692,0,0,0.00152409982853877,0,0,0,0.000381024957134692,0,0,66,33,16,2,84,37,4,6,1,45,39,0.0125738235854448,0.00628691179272242,0.00304819965707754,0.000381024957134692,0.0160030481996571,0.00704896170699181,0.000762049914269385,0.00114307487140408,0.000190512478567346,0.00857306153553058,0.0074299866641265,5249,4461,17,7.39093063725363,0.000762049914269385,0.00152409982853877,5249,0,0
"2012-11-01","Ecuador",14,4,169,0,38,2,3,76,73,30,1,8,22,14,25,7,0,1,12,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.00277557494052339,0.000793021411578113,0.0335051546391753,0,0.00753370340999207,0.000396510705789056,0.000594766058683584,0.0150674068199841,0.0144726407613006,0.00594766058683584,0.000198255352894528,0.00158604282315623,0.00436161776367962,0.00277557494052339,0.0049563838223632,0.0013877874702617,0,0.000198255352894528,0.00237906423473434,0.00416336241078509,0,0,0,0,0,0,0,0,0,0,0,0.000396510705789056,0,0,0,0,0,0,62,30,7,0,56,50,3,2,6,31,43,0.0122918318794607,0.00594766058683584,0.0013877874702617,0,0.0111022997620936,0.00991276764472641,0.000594766058683584,0.000396510705789056,0.00118953211736717,0.00614591593973037,0.00852498017446471,5044,4262,9,6.52804165833055,0.000198255352894528,0.000198255352894528,5044,0,0
"2012-12-01","Ecuador",8,4,75,4,30,4,0,100,57,33,0,9,29,8,19,17,0,1,15,8,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0.0017520805957074,0.000876040297853701,0.0164257555847569,0.000876040297853701,0.00657030223390276,0.000876040297853701,0,0.0219010074463425,0.0124835742444152,0.00722733245729304,0,0.00197109067017083,0.00635129215943933,0.0017520805957074,0.00416119141480508,0.00372317126587823,0,0.000219010074463425,0.00328515111695138,0.0017520805957074,0,0,0,0,0,0,0,0,0.000876040297853701,0,0,0,0,0.000657030223390276,0,0,0,0,50,24,3,0,69,38,4,3,1,38,37,0.0109505037231713,0.00525624178712221,0.000657030223390276,0,0.0151116951379763,0.00832238282961016,0.000876040297853701,0.000657030223390276,0.000219010074463425,0.00832238282961016,0.00810337275514674,4566,3892,28,6.91478168040629,0.000657030223390276,0.000876040297853701,4566,0,0
"2013-01-01","Ecuador",10,4,79,4,23,3,0,90,61,23,2,10,23,9,18,14,0,5,11,9,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0.00230467849734962,0.000921871398939848,0.018206960129062,0.000921871398939848,0.00530076054390413,0.000691403549204886,0,0.0207421064761466,0.0140585388338327,0.00530076054390413,0.000460935699469924,0.00230467849734962,0.00530076054390413,0.00207421064761466,0.00414842129522932,0.00322654989628947,0,0.00115233924867481,0.00253514634708458,0.00207421064761466,0,0,0,0,0,0,0,0,0.000230467849734962,0,0,0.000460935699469924,0,0.000230467849734962,0,0,0,0,67,15,5,0,64,34,3,0,3,59,39,0.0154413459322425,0.00345701774602443,0.00115233924867481,0,0.0147499423830376,0.00783590689098871,0.000691403549204886,0,0.000691403549204886,0.0135976031343628,0.00898824613966352,4339,3672,16,7.11169675979802,0.000230467849734962,0.000691403549204886,4339,0,0
"2013-02-01","Ecuador",3,4,188,9,20,1,0,59,30,15,0,8,14,7,19,15,0,0,12,9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.000976880494952784,0.00130250732660371,0.0612178443503745,0.00293064148485835,0.00651253663301856,0.000325626831650928,0,0.0192119830674048,0.00976880494952784,0.00488440247476392,0,0.00260501465320742,0.00455877564311299,0.0022793878215565,0.00618690980136763,0.00488440247476392,0,0,0.00390752197981114,0.00293064148485835,0,0,0,0,0,0.000325626831650928,0.000325626831650928,0,0,0,0,0,0.000325626831650928,0,0,0,0,0,45,5,3,1,40,23,1,3,1,29,20,0.0146532074242918,0.00162813415825464,0.000976880494952784,0.000325626831650928,0.0130250732660371,0.00748941712797134,0.000325626831650928,0.000976880494952784,0.000325626831650928,0.00944317811787691,0.00651253663301856,3071,2501,5,6.80311983072789,0.000325626831650928,0.000651253663301856,3071,0,0
"2013-03-01","Ecuador",9,1,42,0,16,1,3,87,52,14,1,8,13,8,28,10,0,3,9,11,0,0,0,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0.00273639404074187,0.000304043782304652,0.0127698388567954,0,0.00486470051687443,0.000304043782304652,0.000912131346913956,0.0264518090605047,0.0158102766798419,0.00425661295226513,0.000304043782304652,0.00243235025843721,0.00395256916996047,0.00243235025843721,0.00851322590453025,0.00304043782304652,0,0.000912131346913956,0.00273639404074187,0.00334448160535117,0,0,0,0.000304043782304652,0.000304043782304652,0.000304043782304652,0,0,0.000304043782304652,0,0,0.000608087564609304,0.000304043782304652,0,0,0,0,0,45,24,11,0,35,30,3,9,2,35,21,0.0136819702037093,0.00729705077531164,0.00334448160535117,0,0.0106415323806628,0.00912131346913956,0.000912131346913956,0.00273639404074187,0.000608087564609304,0.0106415323806628,0.00638491942839769,3289,2779,4,6.79264257927245,0.00121617512921861,0.000912131346913956,3289,0,0
"2013-04-01","Ecuador",21,1,55,8,29,1,3,104,63,23,1,6,17,5,32,24,1,3,9,15,1,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0.00473826714801444,0.000225631768953069,0.0124097472924188,0.00180505415162455,0.00654332129963899,0.000225631768953069,0.000676895306859206,0.0234657039711191,0.0142148014440433,0.00518953068592058,0.000225631768953069,0.00135379061371841,0.00383574007220217,0.00112815884476534,0.0072202166064982,0.00541516245487365,0.000225631768953069,0.000676895306859206,0.00203068592057762,0.00338447653429603,0.000225631768953069,0,0,0,0,0,0.000225631768953069,0,0.000225631768953069,0,0,0.000902527075812274,0.000225631768953069,0,0,0,0,0,76,29,9,2,63,27,3,7,2,37,48,0.0171480144404332,0.00654332129963899,0.00203068592057762,0.000451263537906137,0.0142148014440433,0.00609205776173285,0.000676895306859206,0.00157942238267148,0.000451263537906137,0.00834837545126354,0.0108303249097473,4432,3731,14,6.96306943801133,0.000676895306859206,0.00135379061371841,4432,0,0
