"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","elsalvador.com","diario.elmundo.sv","diarioelsalvador.com","revistafactum.com","gatoencerrado.news"
"2012-06-01","El Salvador",11,0,42,2,16,3,0,36,24,13,0,4,4,4,12,10,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939368061485909,0,0.035866780529462,0.00170794192997438,0.013663535439795,0.00256191289496157,0,0.0307429547395389,0.0204953031596926,0.0111016225448335,0,0.00341588385994876,0.00341588385994876,0.00341588385994876,0.0102476515798463,0.0085397096498719,0.00085397096498719,0.00170794192997438,0.00683176771989752,0.00597779675491033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,14,12,0,61,9,1,0,0,39,7,0.0418445772843723,0.0119555935098207,0.0102476515798463,0,0.0520922288642186,0.00768573868488471,0.00085397096498719,0,0,0.0333048676345004,0.00597779675491033,1171,793,3,3.89233481963005,0,0,1171,0,0,0,0,0
"2012-07-01","El Salvador",5,3,31,5,22,1,0,51,36,22,0,3,7,3,24,5,0,5,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0040650406504065,0.0024390243902439,0.0252032520325203,0.0040650406504065,0.0178861788617886,0.000813008130081301,0,0.0414634146341463,0.0292682926829268,0.0178861788617886,0,0.0024390243902439,0.00569105691056911,0.0024390243902439,0.0195121951219512,0.0040650406504065,0,0.0040650406504065,0.00894308943089431,0.00569105691056911,0,0,0,0,0,0,0,0,0,0,0,0,0.000813008130081301,0,0,0,0,0,0,50,12,2,1,43,15,0,2,1,32,7,0.040650406504065,0.00975609756097561,0.0016260162601626,0.000813008130081301,0.0349593495934959,0.0121951219512195,0,0.0016260162601626,0.000813008130081301,0.0260162601626016,0.00569105691056911,1230,832,2,4.14671924042137,0.000813008130081301,0,1230,1,0,0,0,0
"2012-08-01","El Salvador",2,0,8,0,4,0,1,23,11,2,0,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904977375565611,0,0.0361990950226244,0,0.0180995475113122,0,0.00452488687782805,0.104072398190045,0.0497737556561086,0.00904977375565611,0,0.00452488687782805,0.0135746606334842,0,0.00904977375565611,0,0,0,0.00452488687782805,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,5,2,0,0,0,2,0,0.0180995475113122,0.00904977375565611,0.00452488687782805,0,0.0226244343891403,0.00904977375565611,0,0,0,0.00904977375565611,0,221,150,0,2.76496904762385,0,0,221,1,1,0,0,0
"2012-09-01","El Salvador",13,1,38,2,18,1,0,69,42,29,0,3,9,1,21,8,0,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00753186558516802,0.000579374275782155,0.0220162224797219,0.00115874855156431,0.0104287369640788,0.000579374275782155,0,0.0399768250289687,0.0243337195828505,0.0168018539976825,0,0.00173812282734647,0.0052143684820394,0.000579374275782155,0.0121668597914253,0.00463499420625724,0,0.00231749710312862,0.0052143684820394,0.00463499420625724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,17,13,0,69,25,2,2,1,39,13,0.0428736964078795,0.00984936268829664,0.00753186558516802,0,0.0399768250289687,0.0144843568945539,0.00115874855156431,0.00115874855156431,0.000579374275782155,0.0225955967555041,0.00753186558516802,1726,1213,3,3.30186410683462,0,0,1726,1,1,0,0,0
"2012-10-01","El Salvador",19,0,48,2,13,0,1,44,46,18,0,4,20,4,29,9,0,1,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121019108280255,0,0.0305732484076433,0.00127388535031847,0.00828025477707006,0,0.000636942675159236,0.0280254777070064,0.0292993630573248,0.0114649681528662,0,0.00254777070063694,0.0127388535031847,0.00254777070063694,0.0184713375796178,0.00573248407643312,0,0.000636942675159236,0.00764331210191083,0.00445859872611465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,21,14,1,76,31,1,4,0,59,13,0.0375796178343949,0.0133757961783439,0.0089171974522293,0.000636942675159236,0.0484076433121019,0.0197452229299363,0.000636942675159236,0.00254777070063694,0,0.0375796178343949,0.00828025477707006,1570,1045,2,3.38736997813857,0,0,1570,1,1,0,0,0
"2012-11-01","El Salvador",17,0,33,1,23,0,0,49,43,17,1,3,20,3,15,7,0,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109254498714653,0,0.0212082262210797,0.0006426735218509,0.0147814910025707,0,0,0.0314910025706941,0.0276349614395887,0.0109254498714653,0.0006426735218509,0.0019280205655527,0.012853470437018,0.0019280205655527,0.0096401028277635,0.0044987146529563,0,0.0019280205655527,0.0077120822622108,0.0032133676092545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,28,14,0,65,26,2,0,2,48,23,0.0417737789203085,0.0179948586118252,0.0089974293059126,0,0.0417737789203085,0.0167095115681234,0.0012853470437018,0,0.0012853470437018,0.0308483290488432,0.0147814910025707,1556,1056,5,3.81860768039992,0,0,1556,1,0,0,0,0
"2012-12-01","El Salvador",12,0,23,0,13,3,0,63,32,26,0,6,12,3,13,15,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810263335584065,0,0.0155300472653612,0,0.0087778528021607,0.00202565833896016,0,0.0425388251181634,0.0216070222822417,0.0175557056043214,0,0.00405131667792032,0.00810263335584065,0.00202565833896016,0.0087778528021607,0.0101282916948008,0,0,0.00675219446320054,0.0087778528021607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,21,0,41,28,1,0,3,43,13,0.0465901417960837,0.00540175557056043,0.0141796083727211,0,0.0276839972991222,0.0189061444969615,0.000675219446320054,0,0.00202565833896016,0.0290344361917623,0.0087778528021607,1481,1038,3,3.32780874108932,0,0,1481,0,1,0,0,0
"2013-01-01","El Salvador",41,3,76,6,38,1,2,83,93,56,0,10,23,1,33,11,1,8,42,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0.0132428940568475,0.000968992248062015,0.0245478036175711,0.00193798449612403,0.0122739018087855,0.000322997416020672,0.000645994832041344,0.0268087855297158,0.0300387596899225,0.0180878552971576,0,0.00322997416020672,0.00742894056847545,0.000322997416020672,0.0106589147286822,0.00355297157622739,0.000322997416020672,0.00258397932816537,0.0135658914728682,0.0080749354005168,0,0,0,0,0,0,0,0.000322997416020672,0,0,0,0,0,0,0.000645994832041344,0.000322997416020672,0,0.000322997416020672,0,124,44,22,0,129,52,1,0,1,92,34,0.0400516795865633,0.0142118863049096,0.00710594315245478,0,0.0416666666666667,0.0167958656330749,0.000322997416020672,0,0.000322997416020672,0.0297157622739018,0.0109819121447028,3096,2079,4,2.99142572280596,0,0.00161498708010336,3096,1,0,0,0,0
"2013-02-01","El Salvador",40,2,54,4,32,3,7,63,97,100,2,15,44,8,40,25,0,1,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0136193394620361,0.000680966973101805,0.0183861082737487,0.00136193394620361,0.0108954715696289,0.00102145045965271,0.00238338440585632,0.0214504596527068,0.0330268981954375,0.0340483486550902,0.000680966973101805,0.00510725229826353,0.0149812734082397,0.00272386789240722,0.0136193394620361,0.00851208716377256,0,0.000340483486550902,0.00919305413687436,0.00646918624446714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000680966973101805,0,0,0,0,118,28,16,0,98,43,0,0,0,123,23,0.0401770514130065,0.00953353762342526,0.00544773578481444,0,0.0333673816819884,0.0146407899216888,0,0,0,0.041879468845761,0.00783112019067075,2937,1965,0,4.68261746864754,0,0.000680966973101805,2937,1,1,0,0,0
"2013-03-01","El Salvador",32,1,71,5,35,1,3,94,67,33,0,14,10,11,26,14,0,0,48,14,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0.0113114174620007,0.000353481795687522,0.0250972074938141,0.00176740897843761,0.0123718628490633,0.000353481795687522,0.00106044538706257,0.0332272887946271,0.023683280311064,0.0116648992576882,0,0.00494874513962531,0.00353481795687522,0.00388829975256274,0.00919052668787558,0.00494874513962531,0,0,0.0169671261930011,0.00494874513962531,0,0,0,0,0.000353481795687522,0,0.000353481795687522,0.000353481795687522,0,0,0.000353481795687522,0,0.000706963591375044,0,0,0,0,0,0,99,24,4,0,86,28,3,1,0,138,18,0.0349946977730647,0.00848356309650053,0.00141392718275009,0,0.0303994344291269,0.00989749027925062,0.00106044538706257,0.000353481795687522,0,0.0487804878048781,0.0063626723223754,2829,1965,8,2.69629604073119,0.00106044538706257,0.00106044538706257,2829,1,0,0,0,0
