"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","addisfortune.news","addisstandard.com","capitalethiopia.com","thereporterethiopia.com","ethiopianmonitor.com"
"2012-01-01","Ethiopia",0,0,5,0,4,0,0,3,2,2,0,2,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.024390243902439,0,0.0195121951219512,0,0,0.0146341463414634,0.00975609756097561,0.00975609756097561,0,0.00975609756097561,0.0048780487804878,0,0,0,0,0,0.0390243902439024,0.024390243902439,0,0,0,0,0,0,0,0.0048780487804878,0,0,0,0,0,0,1,2,2,0,3,1,0,0,0,0,0,0.0048780487804878,0.00975609756097561,0.00975609756097561,0,0.0146341463414634,0.0048780487804878,0,0,0,0,0,205,166,204,3.72115599258518,0,0.0146341463414634,205,0,0,1,0,0
"2012-02-01","Ethiopia",1,0,0,0,3,0,0,2,5,1,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0072463768115942,0,0,0,0.0217391304347826,0,0,0.0144927536231884,0.036231884057971,0.0072463768115942,0,0,0.0289855072463768,0,0,0,0,0,0.0072463768115942,0.0144927536231884,0,0,0,0,0,0,0,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,138,119,137,4.33514372156462,0,0.0144927536231884,138,0,0,1,0,0
"2012-03-01","Ethiopia",1,0,0,0,6,1,0,1,0,0,0,1,2,0,1,0,4,0,5,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00540540540540541,0,0,0,0.0324324324324324,0.00540540540540541,0,0.00540540540540541,0,0,0,0.00540540540540541,0.0108108108108108,0,0.00540540540540541,0,0.0216216216216216,0,0.027027027027027,0.118918918918919,0,0,0,0,0,0,0,0,0.00540540540540541,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.00540540540540541,0,0,0,0.00540540540540541,0.00540540540540541,0,0,0.00540540540540541,0,185,137,184,8.41015213312583,0.00540540540540541,0,185,0,1,1,0,0
"2012-04-01","Ethiopia",0,0,2,0,11,1,0,1,1,0,0,0,1,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,0.0617977528089888,0.00561797752808989,0,0.00561797752808989,0.00561797752808989,0,0,0,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0,0.00561797752808989,0.0112359550561798,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0.0112359550561798,0,0,0,0.0112359550561798,0,0,0,0,0.00561797752808989,178,150,177,3.2267387367147,0,0.0168539325842697,178,0,0,1,0,0
"2012-05-01","Ethiopia",2,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186915887850467,0.00934579439252336,0,0,0.0654205607476635,0,0,0,0,0,0,0.0186915887850467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0186915887850467,0,0,0,0,0,107,93,107,3.499875164317,0,0.00934579439252336,107,0,1,1,0,0
"2012-06-01","Ethiopia",1,1,0,0,13,3,0,2,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.00609756097560976,0.00609756097560976,0,0,0.0792682926829268,0.0182926829268293,0,0.0121951219512195,0.024390243902439,0,0,0.00609756097560976,0.00609756097560976,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0.00609756097560976,0.00609756097560976,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0.0182926829268293,0,0,0,0.00609756097560976,0,0,0,0,0.00609756097560976,164,136,162,3.68967886336004,0.00609756097560976,0.0304878048780488,164,0,1,1,0,0
"2012-07-01","Ethiopia",5,0,5,0,23,0,0,0,3,1,0,2,1,0,1,1,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0226244343891403,0,0.0226244343891403,0,0.104072398190045,0,0,0,0.0135746606334842,0.00452488687782805,0,0.00904977375565611,0.00452488687782805,0,0.00452488687782805,0.00452488687782805,0,0.00452488687782805,0.0226244343891403,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,6,2,0,1,7,2,0,0,0,0,0,0.0271493212669683,0.00904977375565611,0,0.00452488687782805,0.0316742081447964,0.00904977375565611,0,0,0,0,221,158,220,4.31722463198503,0,0.0226244343891403,221,0,1,1,0,0
"2012-08-01","Ethiopia",0,0,2,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0.00458715596330275,0.0321100917431193,0,0,0.0137614678899083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,0,0,0,218,204,217,2.12529946956183,0,0.00917431192660551,218,0,1,1,0,0
"2012-09-01","Ethiopia",0,3,1,0,45,0,0,2,5,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0140845070422535,0.00469483568075117,0,0.211267605633803,0,0,0.00938967136150235,0.0234741784037559,0,0,0.00469483568075117,0,0,0,0,0.00469483568075117,0,0,0.0140845070422535,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0328638497652582,0,0,0,0,0,0,0,0,0,213,145,212,3.99738524292377,0,0.00469483568075117,213,0,1,1,0,0
"2012-10-01","Ethiopia",1,1,1,0,7,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00584795321637427,0.00584795321637427,0.00584795321637427,0,0.0409356725146199,0,0,0.00584795321637427,0.0116959064327485,0,0,0,0.00584795321637427,0,0,0.00584795321637427,0,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0.0175438596491228,0,0,0,0.0175438596491228,0,0,0,0.00584795321637427,0,171,149,170,3.14130873608351,0.00584795321637427,0.0233918128654971,171,0,1,1,0,0
