"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","georgiatoday.ge"
"2012-09-01","Georgia",4,1,49,2,0,0,0,3,8,1,0,2,8,0,27,8,0,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0.00674536256323777,0.00168634064080944,0.0826306913996627,0.00337268128161889,0,0,0,0.00505902192242833,0.0134907251264755,0.00168634064080944,0,0.00337268128161889,0.0134907251264755,0,0.045531197301855,0.0134907251264755,0,0.00168634064080944,0.00337268128161889,0.00337268128161889,0,0,0,0,0,0,0,0,0,0,0.00674536256323777,0,0,0.00168634064080944,0,0,0,0,0,7,1,0,0,2,1,1,0,2,3,5,0.0118043844856661,0.00168634064080944,0,0,0.00337268128161889,0.00168634064080944,0.00168634064080944,0,0.00337268128161889,0.00505902192242833,0.00843170320404722,593,445,536,12.3177228567527,0.00843170320404722,0.00168634064080944,593,0
"2012-10-01","Georgia",2,1,62,3,8,1,0,5,10,0,0,0,5,0,7,4,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0.00326797385620915,0.00163398692810458,0.101307189542484,0.00490196078431373,0.0130718954248366,0.00163398692810458,0,0.00816993464052288,0.0163398692810458,0,0,0,0.00816993464052288,0,0.011437908496732,0.0065359477124183,0,0,0.00163398692810458,0,0,0,0,0.00163398692810458,0.00163398692810458,0.00326797385620915,0,0,0,0,0,0,0.00163398692810458,0.00326797385620915,0.00163398692810458,0,0,0,0,2,0,3,0,5,3,1,0,0,2,0,0.00326797385620915,0,0.00490196078431373,0,0.00816993464052288,0.00490196078431373,0.00163398692810458,0,0,0.00326797385620915,0,612,464,605,10.2451114098563,0.0212418300653595,0.00163398692810458,612,0
"2012-11-01","Georgia",14,0,5,0,3,1,0,1,13,0,1,0,3,0,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0299145299145299,0,0.0106837606837607,0,0.00641025641025641,0.00213675213675214,0,0.00213675213675214,0.0277777777777778,0,0.00213675213675214,0,0.00641025641025641,0,0.00854700854700855,0.00427350427350427,0.00213675213675214,0.00213675213675214,0,0.00427350427350427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213675213675214,0.00213675213675214,0,0,0,0,3,2,0,0,7,2,0,0,0,2,1,0.00641025641025641,0.00427350427350427,0,0,0.014957264957265,0.00427350427350427,0,0,0,0.00427350427350427,0.00213675213675214,468,391,465,12.4532245444729,0,0.00213675213675214,468,0
"2012-12-01","Georgia",4,0,2,0,4,0,0,3,6,4,0,0,5,0,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102040816326531,0,0.00510204081632653,0,0.0102040816326531,0,0,0.0076530612244898,0.0153061224489796,0.0102040816326531,0,0,0.0127551020408163,0,0.00510204081632653,0.0076530612244898,0,0,0,0.00510204081632653,0,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,1,1,0.00255102040816327,0,0.00255102040816327,0,0.00510204081632653,0.0076530612244898,0,0,0,0.00255102040816327,0.00255102040816327,392,343,391,10.7197907898661,0.0076530612244898,0,392,0
"2013-01-01","Georgia",1,0,2,0,2,2,0,4,12,2,0,0,5,1,10,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00207900207900208,0,0.00415800415800416,0,0.00415800415800416,0.00415800415800416,0,0.00831600831600832,0.0249480249480249,0.00415800415800416,0,0,0.0103950103950104,0.00207900207900208,0.0207900207900208,0.0145530145530146,0,0.00207900207900208,0,0.00415800415800416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207900207900208,0,0,0,0,0,3,1,0,0,7,3,0,1,0,0,6,0.00623700623700624,0.00207900207900208,0,0,0.0145530145530146,0.00623700623700624,0,0.00207900207900208,0,0,0.0124740124740125,481,405,478,11.6777963349611,0.00831600831600832,0,481,0
"2013-02-01","Georgia",3,1,8,2,3,1,0,7,24,2,0,1,10,3,15,8,0,0,1,8,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0.00434153400868307,0.00144717800289436,0.0115774240231548,0.00289435600578871,0.00434153400868307,0.00144717800289436,0,0.0101302460202605,0.0347322720694645,0.00289435600578871,0,0.00144717800289436,0.0144717800289436,0.00434153400868307,0.0217076700434153,0.0115774240231548,0,0,0.00144717800289436,0.0115774240231548,0,0,0,0,0,0.00144717800289436,0,0,0,0.00289435600578871,0,0,0,0.00144717800289436,0,0,0,0,0.00144717800289436,4,0,5,1,14,2,2,0,1,4,5,0.00578871201157742,0,0.00723589001447178,0.00144717800289436,0.020260492040521,0.00289435600578871,0.00289435600578871,0,0.00144717800289436,0.00578871201157742,0.00723589001447178,691,554,686,12.2363333565677,0.00868306801736614,0.00144717800289436,691,0
"2013-03-01","Georgia",5,0,9,0,2,1,0,7,9,14,0,0,8,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0.00762195121951219,0,0.013719512195122,0,0.00304878048780488,0.00152439024390244,0,0.0106707317073171,0.013719512195122,0.0213414634146341,0,0,0.0121951219512195,0.00609756097560976,0.013719512195122,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0,0.00762195121951219,0,0,0,0,0,3,1,2,0,7,6,2,1,0,1,3,0.00457317073170732,0.00152439024390244,0.00304878048780488,0,0.0106707317073171,0.00914634146341463,0.00304878048780488,0.00152439024390244,0,0.00152439024390244,0.00457317073170732,656,559,648,11.5655428489718,0.0152439024390244,0,656,0
"2013-04-01","Georgia",4,1,11,0,7,0,0,8,14,2,0,0,8,3,9,9,0,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.00539083557951483,0.00134770889487871,0.0148247978436658,0,0.00943396226415094,0,0,0.0107816711590297,0.0188679245283019,0.00269541778975741,0,0,0.0107816711590297,0.00404312668463612,0.0121293800539084,0.0121293800539084,0,0.00134770889487871,0.00539083557951483,0.00404312668463612,0,0,0,0,0,0,0,0,0,0,0.00134770889487871,0,0,0.00134770889487871,0,0,0,0,0,4,2,1,0,12,4,2,0,3,2,7,0.00539083557951483,0.00269541778975741,0.00134770889487871,0,0.0161725067385445,0.00539083557951483,0.00269541778975741,0,0.00404312668463612,0.00269541778975741,0.00943396226415094,742,616,698,11.2516220876761,0.00673854447439353,0,742,0
"2013-05-01","Georgia",12,1,12,0,1,0,0,8,15,3,0,0,11,0,13,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0171919770773639,0.00143266475644699,0.0171919770773639,0,0.00143266475644699,0,0,0.0114613180515759,0.0214899713467049,0.00429799426934097,0,0,0.0157593123209169,0,0.0186246418338109,0.00286532951289398,0,0,0.00573065902578797,0.00716332378223496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143266475644699,0,0,0,0,8,3,4,0,9,5,1,1,2,3,8,0.0114613180515759,0.00429799426934097,0.00573065902578797,0,0.0128939828080229,0.00716332378223496,0.00143266475644699,0.00143266475644699,0.00286532951289398,0.00429799426934097,0.0114613180515759,698,572,637,11.4669466904084,0.00429799426934097,0,698,0
"2013-06-01","Georgia",10,0,12,2,5,1,0,17,11,8,1,0,10,3,4,5,2,3,10,6,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0105263157894737,0,0.0126315789473684,0.00210526315789474,0.00526315789473684,0.00105263157894737,0,0.0178947368421053,0.0115789473684211,0.00842105263157895,0.00105263157894737,0,0.0105263157894737,0.00315789473684211,0.00421052631578947,0.00526315789473684,0.00210526315789474,0.00315789473684211,0.0105263157894737,0.00631578947368421,0,0,0,0.00210526315789474,0,0.00210526315789474,0,0,0.00105263157894737,0,0,0,0,0.00105263157894737,0,0,0,0,0,20,2,4,0,10,10,2,0,0,3,7,0.0210526315789474,0.00210526315789474,0.00421052631578947,0,0.0105263157894737,0.0105263157894737,0.00210526315789474,0,0,0.00315789473684211,0.00736842105263158,950,789,925,11.9923714077035,0.00631578947368421,0.00210526315789474,950,0
