"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","dailyguidenetwork.com","graphic.com.gh"
"2012-01-01","Ghana",1,1,62,6,6,0,1,6,10,3,0,0,11,4,4,18,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00125470514429109,0.00125470514429109,0.0777917189460477,0.00752823086574655,0.00752823086574655,0,0.00125470514429109,0.00752823086574655,0.0125470514429109,0.00376411543287327,0,0,0.013801756587202,0.00501882057716437,0.00501882057716437,0.0225846925972397,0.00125470514429109,0.00250941028858218,0,0.00627352572145546,0,0,0,0,0,0,0,0,0,0,0,0.00125470514429109,0,0,0,0,0,0,0,5,12,15,1,27,4,10,0,3,4,5,0.00627352572145546,0.0150564617314931,0.0188205771643664,0.00125470514429109,0.0338770388958595,0.00501882057716437,0.0125470514429109,0,0.00376411543287327,0.00501882057716437,0.00627352572145546,797,598,5,6.44069965372441,0,0.00125470514429109,797,0,0
"2012-02-01","Ghana",4,0,27,1,7,0,0,1,10,1,1,0,18,5,7,14,0,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00554016620498615,0,0.0373961218836565,0.00138504155124654,0.00969529085872576,0,0,0.00138504155124654,0.0138504155124654,0.00138504155124654,0.00138504155124654,0,0.0249307479224377,0.00692520775623269,0.00969529085872576,0.0193905817174515,0,0.00277008310249307,0,0.00692520775623269,0,0,0,0,0,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,13,6,15,2,21,2,1,1,0,2,1,0.018005540166205,0.00831024930747922,0.0207756232686981,0.00277008310249307,0.0290858725761773,0.00277008310249307,0.00138504155124654,0.00138504155124654,0,0.00277008310249307,0.00138504155124654,722,588,3,6.59932166703343,0,0.00277008310249307,722,0,0
"2012-03-01","Ghana",3,1,33,3,12,3,1,2,11,2,0,0,8,3,4,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.00324324324324324,0.00108108108108108,0.0356756756756757,0.00324324324324324,0.012972972972973,0.00324324324324324,0.00108108108108108,0.00216216216216216,0.0118918918918919,0.00216216216216216,0,0,0.00864864864864865,0.00324324324324324,0.00432432432432432,0.00216216216216216,0,0.00216216216216216,0,0.00432432432432432,0,0,0,0,0,0,0,0,0,0,0,0.00216216216216216,0,0,0,0,0,0,0,20,28,12,0,26,6,1,0,3,0,3,0.0216216216216216,0.0302702702702703,0.012972972972973,0,0.0281081081081081,0.00648648648648649,0.00108108108108108,0,0.00324324324324324,0,0.00324324324324324,925,750,10,4.92682653998597,0.00216216216216216,0,925,0,0
"2012-04-01","Ghana",5,0,36,2,12,0,1,8,7,1,0,0,5,5,4,3,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0.0461538461538462,0.00256410256410256,0.0153846153846154,0,0.00128205128205128,0.0102564102564103,0.00897435897435897,0.00128205128205128,0,0,0.00641025641025641,0.00641025641025641,0.00512820512820513,0.00384615384615385,0.00128205128205128,0.00384615384615385,0.00128205128205128,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,3,22,1,1,0,2,4,5,0.0205128205128205,0.00897435897435897,0.0115384615384615,0.00384615384615385,0.0282051282051282,0.00128205128205128,0.00128205128205128,0,0.00256410256410256,0.00512820512820513,0.00641025641025641,780,628,4,5.1128687780019,0,0,780,0,0
"2012-05-01","Ghana",1,1,25,1,10,1,1,4,14,1,0,2,7,4,0,3,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00145560407569141,0.00145560407569141,0.0363901018922853,0.00145560407569141,0.0145560407569141,0.00145560407569141,0.00145560407569141,0.00582241630276565,0.0203784570596798,0.00145560407569141,0,0.00291120815138282,0.0101892285298399,0.00582241630276565,0,0.00436681222707424,0,0.00582241630276565,0.00291120815138282,0.00436681222707424,0,0,0,0,0,0,0,0,0,0,0,0.00145560407569141,0,0,0,0,0,0,0,19,10,11,1,11,1,4,1,2,2,4,0.0276564774381368,0.0145560407569141,0.0160116448326055,0.00145560407569141,0.0160116448326055,0.00145560407569141,0.00582241630276565,0.00145560407569141,0.00291120815138282,0.00291120815138282,0.00582241630276565,687,555,9,6.29403910301513,0.00145560407569141,0,687,0,0
"2012-06-01","Ghana",1,0,23,0,3,1,0,16,4,2,1,0,4,0,5,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197628458498024,0,0.0454545454545455,0,0.00592885375494071,0.00197628458498024,0,0.0316205533596838,0.00790513833992095,0.00395256916996047,0.00197628458498024,0,0.00790513833992095,0,0.00988142292490119,0.00395256916996047,0,0.00395256916996047,0,0.00395256916996047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,8,0,10,2,4,0,0,7,5,0.0237154150197628,0.0118577075098814,0.0158102766798419,0,0.0197628458498024,0.00395256916996047,0.00790513833992095,0,0,0.0138339920948617,0.00988142292490119,506,398,8,3.95612943769306,0,0,506,0,0
"2012-07-01","Ghana",2,0,29,2,7,0,0,4,4,3,1,0,1,2,2,3,0,3,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.00256739409499358,0,0.0372272143774069,0.00256739409499358,0.00898587933247754,0,0,0.00513478818998716,0.00513478818998716,0.00385109114249037,0.00128369704749679,0,0.00128369704749679,0.00256739409499358,0.00256739409499358,0.00385109114249037,0,0.00385109114249037,0,0.00128369704749679,0,0,0,0,0.00256739409499358,0,0,0.00128369704749679,0,0,0,0.00128369704749679,0,0,0,0.00128369704749679,0,0,0,7,6,3,0,11,4,0,0,0,2,3,0.00898587933247754,0.00770218228498074,0.00385109114249037,0,0.0141206675224647,0.00513478818998716,0,0,0,0.00256739409499358,0.00385109114249037,779,683,13,2.61995193655616,0.00256739409499358,0.00385109114249037,779,0,0
"2012-08-01","Ghana",9,0,40,1,7,1,0,2,11,9,1,2,6,5,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0,0.0472813238770686,0.00118203309692671,0.008274231678487,0.00118203309692671,0,0.00236406619385343,0.0130023640661939,0.0106382978723404,0.00118203309692671,0.00236406619385343,0.00709219858156028,0.00591016548463357,0.00472813238770686,0.00709219858156028,0,0.00591016548463357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,2,1,10,6,3,1,0,6,4,0.0153664302600473,0.0189125295508274,0.00236406619385343,0.00118203309692671,0.0118203309692671,0.00709219858156028,0.00354609929078014,0.00118203309692671,0,0.00709219858156028,0.00472813238770686,846,684,9,5.22043550710198,0,0,846,0,0
"2012-09-01","Ghana",6,0,29,1,4,1,0,8,15,1,2,0,10,1,4,1,1,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0102564102564103,0,0.0495726495726496,0.00170940170940171,0.00683760683760684,0.00170940170940171,0,0.0136752136752137,0.0256410256410256,0.00170940170940171,0.00341880341880342,0,0.0170940170940171,0.00170940170940171,0.00683760683760684,0.00170940170940171,0.00170940170940171,0.00512820512820513,0.00341880341880342,0.00341880341880342,0,0,0,0,0,0,0,0.00341880341880342,0,0,0,0,0,0,0,0,0,0,0,14,14,3,2,10,1,3,0,0,2,6,0.0239316239316239,0.0239316239316239,0.00512820512820513,0.00341880341880342,0.0170940170940171,0.00170940170940171,0.00512820512820513,0,0,0.00341880341880342,0.0102564102564103,585,453,8,6.65756375978496,0,0.00341880341880342,585,0,1
"2012-10-01","Ghana",4,0,91,4,9,0,1,7,27,3,0,4,29,6,9,18,0,6,0,6,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.00386100386100386,0,0.0878378378378378,0.00386100386100386,0.00868725868725869,0,0.000965250965250965,0.00675675675675676,0.0260617760617761,0.0028957528957529,0,0.00386100386100386,0.027992277992278,0.00579150579150579,0.00868725868725869,0.0173745173745174,0,0.00579150579150579,0,0.00579150579150579,0,0.000965250965250965,0,0,0,0,0,0,0,0,0.000965250965250965,0.00193050193050193,0,0,0,0,0,0,0,24,17,10,1,22,2,5,0,2,7,5,0.0231660231660232,0.0164092664092664,0.00965250965250965,0.000965250965250965,0.0212355212355212,0.00193050193050193,0.00482625482625483,0,0.00193050193050193,0.00675675675675676,0.00482625482625483,1036,750,16,8.1428505307054,0,0.00386100386100386,1036,0,1
