"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lahora.gt"
"2013-11-01","Guatemala",4,0,13,0,1,0,0,5,9,5,0,0,4,1,3,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0129032258064516,0,0.0419354838709677,0,0.0032258064516129,0,0,0.0161290322580645,0.0290322580645161,0.0161290322580645,0,0,0.0129032258064516,0.0032258064516129,0.00967741935483871,0.00645161290322581,0,0,0.0032258064516129,0.00645161290322581,0,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,4,1,1,0,8,1,1,0,0,2,3,0.0129032258064516,0.0032258064516129,0.0032258064516129,0,0.0258064516129032,0.0032258064516129,0.0032258064516129,0,0,0.00645161290322581,0.00967741935483871,310,244,2,3.88764797907893,0,0.0032258064516129,310,1
"2013-12-01","Guatemala",5,0,5,2,1,0,0,4,5,3,0,0,6,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172413793103448,0,0.0172413793103448,0.00689655172413793,0.00344827586206897,0,0,0.0137931034482759,0.0172413793103448,0.0103448275862069,0,0,0.0206896551724138,0,0.00689655172413793,0.00344827586206897,0,0,0,0.00689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,5,2,0,0,0,1,0,0.0206896551724138,0.00344827586206897,0.00689655172413793,0,0.0172413793103448,0.00689655172413793,0,0,0,0.00344827586206897,0,290,241,2,3.87728231361091,0,0,290,1
"2014-01-01","Guatemala",0,0,4,0,2,0,0,9,10,0,0,0,1,0,5,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126984126984127,0,0.00634920634920635,0,0,0.0285714285714286,0.0317460317460317,0,0,0,0.00317460317460317,0,0.0158730158730159,0.00634920634920635,0,0,0.00634920634920635,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,1,0,2,1,1,2,0.0126984126984127,0.00317460317460317,0,0,0.019047619047619,0.00317460317460317,0,0.00634920634920635,0.00317460317460317,0.00317460317460317,0.00634920634920635,315,260,2,2.66457413442856,0,0,315,0
"2014-02-01","Guatemala",4,0,3,0,0,0,0,3,13,3,0,0,5,0,2,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153846153846154,0,0.0115384615384615,0,0,0,0,0.0115384615384615,0.05,0.0115384615384615,0,0,0.0192307692307692,0,0.00769230769230769,0.00384615384615385,0,0,0.0153846153846154,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,3,0,0,0,1,1,1,0.0269230769230769,0.00384615384615385,0.00384615384615385,0,0.0115384615384615,0,0,0,0.00384615384615385,0.00384615384615385,0.00384615384615385,260,210,2,4.95745066080729,0,0,260,0
"2014-03-01","Guatemala",5,0,9,0,2,2,0,13,15,0,1,2,11,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0.028125,0,0.00625,0.00625,0,0.040625,0.046875,0,0.003125,0.00625,0.034375,0.003125,0.00625,0.003125,0.003125,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,1,0,1,0,1,1,0.0125,0.003125,0,0,0.015625,0.003125,0,0.003125,0,0.003125,0.003125,320,250,1,7.18120120296958,0,0,320,0
"2014-04-01","Guatemala",2,1,6,0,1,0,0,6,5,2,0,0,1,3,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.004,0.024,0,0.004,0,0,0.024,0.02,0.008,0,0,0.004,0.012,0.004,0,0,0,0.008,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,1,1,0,0,0,1,0.02,0.004,0,0,0.02,0.004,0.004,0,0,0,0.004,250,204,0,0.533053640420647,0,0,250,0
"2014-05-01","Guatemala",1,0,6,1,1,0,0,10,15,0,1,2,6,2,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00320512820512821,0,0.0192307692307692,0.00320512820512821,0.00320512820512821,0,0,0.032051282051282,0.0480769230769231,0,0.00320512820512821,0.00641025641025641,0.0192307692307692,0.00641025641025641,0.00641025641025641,0.0128205128205128,0,0,0.00320512820512821,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0.00320512820512821,0,5,1,2,0,7,3,0,0,0,1,0,0.016025641025641,0.00320512820512821,0.00641025641025641,0,0.0224358974358974,0.00961538461538462,0,0,0,0.00320512820512821,0,312,247,0,4.38378781189239,0,0.00320512820512821,312,0
"2014-06-01","Guatemala",1,0,5,0,9,0,0,9,8,2,0,0,3,1,4,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289017341040462,0,0.0144508670520231,0,0.0260115606936416,0,0,0.0260115606936416,0.023121387283237,0.00578034682080925,0,0,0.00867052023121387,0.00289017341040462,0.0115606936416185,0.00578034682080925,0,0,0.00578034682080925,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,5,1,1,0,0,1,1,0.0289017341040462,0,0.00289017341040462,0,0.0144508670520231,0.00289017341040462,0.00289017341040462,0,0,0.00289017341040462,0.00289017341040462,346,282,2,2.89310134575455,0,0,346,0
"2014-07-01","Guatemala",6,0,2,0,13,0,0,21,8,9,1,4,7,1,5,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121457489878543,0,0.00404858299595142,0,0.0263157894736842,0,0,0.0425101214574899,0.0161943319838057,0.0182186234817814,0.00202429149797571,0.00809716599190283,0.01417004048583,0.00202429149797571,0.0101214574898785,0.00202429149797571,0,0.00202429149797571,0.00404858299595142,0.00404858299595142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,4,1,0,1,1,4,0.00809716599190283,0.00607287449392713,0,0,0.00809716599190283,0.00809716599190283,0.00202429149797571,0,0.00202429149797571,0.00202429149797571,0.00809716599190283,494,396,2,4.02401924887218,0,0,494,1
"2014-08-01","Guatemala",3,1,13,0,6,1,0,31,11,15,5,0,3,4,3,3,1,0,4,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00394218134034166,0.00131406044678055,0.0170827858081472,0,0.00788436268068331,0.00131406044678055,0,0.0407358738501971,0.0144546649145861,0.0197109067017083,0.00657030223390276,0,0.00394218134034166,0.00525624178712221,0.00394218134034166,0.00394218134034166,0.00131406044678055,0,0.00525624178712221,0.00919842312746386,0,0,0.00131406044678055,0,0,0,0,0,0.00131406044678055,0,0,0,0,0,12,3,1,0,20,15,1,1,1,7,7,0.0157687253613666,0.00394218134034166,0.00131406044678055,0,0.026281208935611,0.0197109067017083,0.00131406044678055,0.00131406044678055,0.00131406044678055,0.00919842312746386,0.00919842312746386,761,586,1,1.99961107832607,0.00131406044678055,0.00131406044678055,761,1
