"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","laprensa.hn","tiempo.hn"
"2012-01-01","Honduras",4,0,18,0,16,0,0,21,19,29,1,1,11,3,3,10,0,1,16,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0.00465657741559953,0,0.0209545983701979,0,0.0186263096623981,0,0,0.0244470314318976,0.0221187427240978,0.0337601862630966,0.00116414435389988,0.00116414435389988,0.0128055878928987,0.00349243306169965,0.00349243306169965,0.0116414435389988,0,0.00116414435389988,0.0186263096623981,0.0069848661233993,0,0,0,0,0,0,0,0,0.00116414435389988,0,0,0.00116414435389988,0,7,7,2,0,9,25,3,1,3,16,2,0.00814901047729918,0.00814901047729918,0.00232828870779977,0,0.010477299185099,0.0291036088474971,0.00349243306169965,0.00116414435389988,0.00349243306169965,0.0186263096623981,0.00232828870779977,859,634,0,4.12846177756529,0.00232828870779977,0.00116414435389988,859,1,0
"2012-02-01","Honduras",9,1,11,0,24,1,0,74,33,19,2,4,18,1,4,15,1,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934579439252336,0.00103842159916926,0.0114226375908619,0,0.0249221183800623,0.00103842159916926,0,0.0768431983385254,0.0342679127725857,0.019730010384216,0.00207684319833853,0.00415368639667705,0.0186915887850467,0.00103842159916926,0.00415368639667705,0.0155763239875389,0.00103842159916926,0.00415368639667705,0.0155763239875389,0.00415368639667705,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,0,7,12,1,0,2,23,5,0.0083073727933541,0.0186915887850467,0.00311526479750779,0,0.00726895119418484,0.0124610591900312,0.00103842159916926,0,0.00207684319833853,0.023883696780893,0.00519210799584631,963,656,0,5.59551253505503,0,0,963,1,0
"2012-03-01","Honduras",9,0,15,0,24,1,1,18,17,15,2,2,10,0,14,13,0,2,20,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0095440084835631,0,0.0159066808059385,0,0.0254506892895016,0.00106044538706257,0.00106044538706257,0.0190880169671262,0.0180275715800636,0.0159066808059385,0.00212089077412513,0.00212089077412513,0.0106044538706257,0,0.0148462354188759,0.0137857900318134,0,0.00212089077412513,0.0212089077412513,0.0095440084835631,0,0,0.00106044538706257,0,0,0,0,0,0,0,0,0,0,12,13,2,0,7,17,2,1,3,14,3,0.0127253446447508,0.0137857900318134,0.00212089077412513,0,0.00742311770943796,0.0180275715800636,0.00212089077412513,0.00106044538706257,0.0031813361611877,0.0148462354188759,0.0031813361611877,943,706,4,4.31382341390621,0.00106044538706257,0,943,1,0
"2012-04-01","Honduras",10,0,14,2,16,0,0,22,25,17,1,1,14,5,10,4,1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120336943441637,0,0.0168471720818291,0.00240673886883273,0.0192539109506619,0,0,0.02647412755716,0.0300842358604091,0.0204572803850782,0.00120336943441637,0.00120336943441637,0.0168471720818291,0.00601684717208183,0.0120336943441637,0.00481347773766546,0.00120336943441637,0.00240673886883273,0.022864019253911,0.00481347773766546,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,1,9,19,3,0,0,14,3,0.00962695547533093,0.0108303249097473,0.00120336943441637,0.00120336943441637,0.0108303249097473,0.022864019253911,0.0036101083032491,0,0,0.0168471720818291,0.0036101083032491,831,609,5,5.08472189431086,0,0,831,1,0
"2012-05-01","Honduras",10,1,19,1,24,0,0,26,33,14,2,5,17,3,37,7,2,1,31,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00897666068222621,0.000897666068222621,0.0170556552962298,0.000897666068222621,0.0215439856373429,0,0,0.0233393177737881,0.0296229802513465,0.0125673249551167,0.00179533213644524,0.00448833034111311,0.0152603231597846,0.00269299820466786,0.033213644524237,0.00628366247755835,0.00179533213644524,0.000897666068222621,0.0278276481149013,0.00987432675044883,0,0,0,0,0,0,0,0,0.000897666068222621,0,0,0,0,20,12,2,0,12,24,2,1,2,15,9,0.0179533213644524,0.0107719928186715,0.00179533213644524,0,0.0107719928186715,0.0215439856373429,0.00179533213644524,0.000897666068222621,0.00179533213644524,0.0134649910233393,0.00807899461400359,1114,789,2,6.12420483419139,0.000897666068222621,0,1114,1,0
"2012-06-01","Honduras",14,0,13,2,21,0,0,25,36,14,3,3,32,2,21,6,2,3,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158013544018059,0,0.0146726862302483,0.00225733634311512,0.0237020316027088,0,0,0.0282167042889391,0.0406320541760722,0.0158013544018059,0.00338600451467269,0.00338600451467269,0.036117381489842,0.00225733634311512,0.0237020316027088,0.00677200902934537,0.00225733634311512,0.00338600451467269,0.0191873589164786,0.00451467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,5,0,19,7,3,1,1,24,6,0.0293453724604966,0.0124153498871332,0.00564334085778781,0,0.0214446952595937,0.00790067720090293,0.00338600451467269,0.00112866817155756,0.00112866817155756,0.0270880361173815,0.00677200902934537,886,595,3,6.99956314312468,0,0,886,0,0
"2012-07-01","Honduras",3,0,31,2,19,3,0,20,15,13,2,5,12,2,17,8,1,2,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031813361611877,0,0.0328738069989396,0.00212089077412513,0.0201484623541888,0.0031813361611877,0,0.0212089077412513,0.0159066808059385,0.0137857900318134,0.00212089077412513,0.00530222693531283,0.0127253446447508,0.00212089077412513,0.0180275715800636,0.00848356309650053,0.00106044538706257,0.00212089077412513,0.0137857900318134,0.0116648992576882,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,3,0,10,6,0,0,2,27,7,0.0349946977730647,0.0148462354188759,0.0031813361611877,0,0.0106044538706257,0.0063626723223754,0,0,0.00212089077412513,0.0286320254506893,0.00742311770943796,943,674,3,4.21470332684768,0,0,943,1,0
"2012-08-01","Honduras",21,2,19,5,10,0,0,46,35,24,1,6,16,1,20,15,2,2,14,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0208540218470705,0.00198609731876862,0.0188679245283019,0.00496524329692155,0.0099304865938431,0,0,0.0456802383316783,0.0347567030784508,0.0238331678252234,0.00099304865938431,0.00595829195630586,0.015888778550149,0.00099304865938431,0.0198609731876862,0.0148957298907646,0.00198609731876862,0.00198609731876862,0.0139026812313803,0.00297914597815293,0,0,0,0,0,0,0,0,0.00099304865938431,0,0,0,0,22,15,3,0,11,17,1,1,1,11,2,0.0218470705064548,0.0148957298907646,0.00297914597815293,0,0.0109235352532274,0.0168818272095333,0.00099304865938431,0.00099304865938431,0.00099304865938431,0.0109235352532274,0.00198609731876862,1007,695,2,7.00596605245022,0,0.00099304865938431,1007,1,0
"2012-09-01","Honduras",12,0,16,3,13,0,0,21,21,6,0,9,12,1,20,5,0,2,22,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0160213618157543,0,0.0213618157543391,0.00400534045393859,0.0173564753004005,0,0,0.0280373831775701,0.0280373831775701,0.00801068090787717,0,0.0120160213618158,0.0160213618157543,0.00133511348464619,0.0267022696929239,0.00667556742323097,0,0.00267022696929239,0.0293724966622163,0.00534045393858478,0,0,0,0,0,0,0.00133511348464619,0,0,0,0,0,0,14,12,3,1,7,9,2,0,1,15,3,0.0186915887850467,0.0160213618157543,0.00400534045393859,0.00133511348464619,0.00934579439252336,0.0120160213618158,0.00267022696929239,0,0.00133511348464619,0.0200267022696929,0.00400534045393859,749,525,1,6.04266798233064,0,0.00133511348464619,749,1,0
"2012-10-01","Honduras",8,0,27,1,21,1,1,16,22,10,1,3,16,2,21,3,1,2,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00894854586129754,0,0.0302013422818792,0.00111856823266219,0.023489932885906,0.00111856823266219,0.00111856823266219,0.0178970917225951,0.0246085011185682,0.0111856823266219,0.00111856823266219,0.00335570469798658,0.0178970917225951,0.00223713646532438,0.023489932885906,0.00335570469798658,0.00111856823266219,0.00223713646532438,0.0212527964205817,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,5,1,16,12,1,0,1,18,2,0.0201342281879195,0.00894854586129754,0.00559284116331096,0.00111856823266219,0.0178970917225951,0.0134228187919463,0.00111856823266219,0,0.00111856823266219,0.0201342281879195,0.00223713646532438,894,650,1,4.74172063857781,0,0,894,1,0
