"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","jawapos.com","kompas.com","mediaindonesia.com","hariansib.com"
2012-01-01,"Indonesia",5,2,37,6,10,2,0,82,38,11,1,9,65,6,23,11,0,4,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156543519098309,0.000626174076393237,0.0115842204132749,0.00187852222917971,0.00313087038196619,0.000626174076393237,0,0.0256731371321227,0.0118973074514715,0.00344395742016281,0.000313087038196619,0.00281778334376957,0.0203506574827802,0.00187852222917971,0.00720100187852223,0.00344395742016281,0,0.00125234815278647,0.00187852222917971,0.00657482780212899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,30,0,51,33,9,4,7,22,35,0.0100187852222918,0.00281778334376957,0.00939261114589856,0,0.0159674389480276,0.0103318722604884,0.00281778334376957,0.00125234815278647,0.00219160926737633,0.00688791484032561,0.0109580463368817,3194,2684,3194,10.2418221095539,0.000939261114589856,0,3194,0,0,0,0
2012-02-01,"Indonesia",14,4,30,5,15,3,0,81,56,19,1,20,81,3,27,10,4,4,8,20,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.0036486838676049,0.00104248110502997,0.00781860828772478,0.00130310138128746,0.00390930414386239,0.000781860828772478,0,0.0211102423768569,0.0145947354704196,0.00495178524889236,0.000260620276257493,0.00521240552514986,0.0211102423768569,0.000781860828772478,0.00703674745895231,0.00260620276257493,0.00104248110502997,0.00104248110502997,0.00208496221005994,0.00521240552514986,0.000260620276257493,0,0,0,0,0.000260620276257493,0,0,0,0.000781860828772478,0,0,0,0,0,0,0,0,0,0.000260620276257493,0,73,21,35,0,57,39,13,19,8,34,41,0.019025280166797,0.00547302580140735,0.00912170966901225,0,0.0148553557466771,0.0101641907740422,0.00338806359134741,0.00495178524889236,0.00208496221005994,0.00886108939275476,0.0106854313265572,3837,3164,3831,12.652665526121,0.000781860828772478,0.00156372165754496,3837,0,0,0,0
2012-03-01,"Indonesia",15,1,58,4,13,2,0,57,46,37,0,29,57,15,82,7,6,14,16,38,0,0,0,1,0,0,0,0,0,6,0,1,1,0,0,0,0,0,1,0,0,0.003514526710403,0.000234301780693533,0.0135895032802249,0.000937207122774133,0.00304592314901593,0.000468603561387067,0,0.0133552014995314,0.0107778819119025,0.00866916588566073,0,0.00679475164011246,0.0133552014995314,0.003514526710403,0.0192127460168697,0.00164011246485473,0.0014058106841612,0.00328022492970947,0.00374882849109653,0.00890346766635427,0,0,0,0.000234301780693533,0,0,0,0,0,0.0014058106841612,0,0.000234301780693533,0.000234301780693533,0,0,0,0,0,0.000234301780693533,0,0,56,13,37,1,73,65,7,22,9,12,56,0.0131208997188379,0.00304592314901593,0.00866916588566073,0.000234301780693533,0.0171040299906279,0.0152296157450797,0.00164011246485473,0.00515463917525773,0.0021087160262418,0.0028116213683224,0.0131208997188379,4268,3490,4258,15.998160627367,0.000468603561387067,0.00328022492970947,4268,0,0,0,0
2012-04-01,"Indonesia",9,1,67,5,12,0,0,169,44,47,0,19,61,2,21,17,2,3,5,18,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0.00213371266002845,0.000237079184447606,0.0158843053579896,0.00118539592223803,0.00284495021337127,0,0,0.0400663821716453,0.0104314841156946,0.0111427216690375,0,0.0045045045045045,0.0144618302513039,0.000474158368895211,0.00497866287339972,0.00403034613560929,0.000474158368895211,0.000711237553342817,0.00118539592223803,0.0042674253200569,0,0,0,0,0,0.000237079184447606,0,0,0,0.00118539592223803,0,0,0,0.000237079184447606,0,0,0,0,0,0.000474158368895211,0,38,20,34,0,58,35,14,19,5,24,37,0.00900900900900901,0.00474158368895211,0.00806069227121859,0,0.0137505926979611,0.00829777145566619,0.00331910858226648,0.0045045045045045,0.00118539592223803,0.00568990042674253,0.0087719298245614,4218,3501,4209,9.9442234788103,0.000237079184447606,0.00237079184447606,4218,0,0,0,0
2012-05-01,"Indonesia",7,1,23,3,6,3,1,69,37,16,2,13,53,2,26,7,1,1,7,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0.00180272984805563,0.000257532835436518,0.00592325521503992,0.000772598506309554,0.00154519701261911,0.000772598506309554,0.000257532835436518,0.0177697656451198,0.00952871491115117,0.00412052536698429,0.000515065670873036,0.00334792686067474,0.0136492402781355,0.000515065670873036,0.00669585372134947,0.00180272984805563,0.000257532835436518,0.000257532835436518,0.00180272984805563,0.00334792686067474,0.000257532835436518,0,0,0,0,0,0,0,0,0.000257532835436518,0,0,0,0,0.00103013134174607,0,0,0,0,0.000772598506309554,0,55,20,32,0,59,43,7,11,6,31,45,0.0141643059490085,0.00515065670873036,0.00824105073396858,0,0.0151944372907546,0.0110739119237703,0.00180272984805563,0.0028328611898017,0.00154519701261911,0.00798351789853206,0.0115889775946433,3883,3341,3874,8.7282569864739,0.00540818954416688,0.00180272984805563,3883,0,0,0,0
2012-06-01,"Indonesia",9,1,38,3,7,1,0,83,62,12,0,10,97,2,14,12,2,6,7,14,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00267062314540059,0.00029673590504451,0.0112759643916914,0.000890207715133531,0.00207715133531157,0.00029673590504451,0,0.0246290801186944,0.0183976261127596,0.00356083086053412,0,0.0029673590504451,0.0287833827893175,0.000593471810089021,0.00415430267062315,0.00356083086053412,0.000593471810089021,0.00178041543026706,0.00207715133531157,0.00415430267062315,0.00029673590504451,0,0,0,0,0,0,0,0,0.000890207715133531,0,0,0,0,0,0,0,0,0,0,0,61,8,65,1,65,32,7,10,2,24,38,0.0181008902077151,0.00237388724035608,0.0192878338278932,0.00029673590504451,0.0192878338278932,0.00949554896142433,0.00207715133531157,0.0029673590504451,0.000593471810089021,0.00712166172106825,0.0112759643916914,3370,2794,3366,10.6992994774082,0.000890207715133531,0.000593471810089021,3370,0,0,0,0
2012-07-01,"Indonesia",8,1,62,6,26,1,0,77,68,17,1,16,123,7,18,10,4,7,4,11,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.00215285252960172,0.000269106566200215,0.0166846071044133,0.00161463939720129,0.0069967707212056,0.000269106566200215,0,0.0207212055974166,0.0182992465016146,0.00457481162540366,0.000269106566200215,0.00430570505920344,0.0331001076426265,0.00188374596340151,0.00484391819160388,0.00269106566200215,0.00107642626480086,0.00188374596340151,0.00107642626480086,0.00296017222820237,0,0,0,0,0,0,0,0,0,0.000807319698600646,0.000269106566200215,0,0,0,0,0,0,0,0,0,0,43,14,36,0,66,27,6,17,11,20,24,0.0115715823466093,0.00376749192680301,0.00968783638320775,0,0.0177610333692142,0.00726587728740581,0.00161463939720129,0.00457481162540366,0.00296017222820237,0.00538213132400431,0.00645855758880517,3716,3080,3712,11.0677019927762,0.000807319698600646,0.00161463939720129,3716,0,0,0,0
2012-08-01,"Indonesia",8,3,41,3,3,1,0,107,59,14,1,18,79,4,21,15,1,4,7,16,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0.00193986420950533,0.000727449078564501,0.00994180407371484,0.000727449078564501,0.000727449078564501,0.000242483026188167,0,0.0259456838021338,0.0143064985451018,0.00339476236663434,0.000242483026188167,0.004364694471387,0.0191561590688652,0.000969932104752667,0.0050921435499515,0.0036372453928225,0.000242483026188167,0.000969932104752667,0.00169738118331717,0.00387972841901067,0.000242483026188167,0,0,0,0,0,0,0,0,0.000969932104752667,0,0,0,0,0,0,0,0,0,0.000242483026188167,0,47,19,35,0,76,27,7,12,8,31,49,0.0113967022308438,0.00460717749757517,0.00848690591658584,0,0.0184287099903007,0.0065470417070805,0.00169738118331717,0.002909796314258,0.00193986420950533,0.00751697381183317,0.0118816682832202,4124,3494,4118,9.89670517962919,0.000242483026188167,0.00169738118331717,4124,0,0,0,0
2012-09-01,"Indonesia",24,4,81,3,13,0,0,129,37,20,0,14,58,2,45,15,13,15,5,25,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0.00546697038724374,0.000911161731207289,0.0184510250569476,0.000683371298405467,0.00296127562642369,0,0,0.0293849658314351,0.00842824601366743,0.00455580865603645,0,0.00318906605922551,0.0132118451025057,0.000455580865603645,0.010250569476082,0.00341685649202733,0.00296127562642369,0.00341685649202733,0.00113895216400911,0.00569476082004556,0,0,0,0,0,0.000683371298405467,0,0,0,0.000911161731207289,0,0,0,0,0,0,0,0,0,0.000683371298405467,0,61,21,52,0,75,42,9,10,4,25,52,0.0138952164009112,0.00478359908883827,0.0118451025056948,0,0.0170842824601367,0.00956719817767654,0.0020501138952164,0.00227790432801822,0.000911161731207289,0.00569476082004556,0.0118451025056948,4390,3615,4380,14.5349068886984,0.000911161731207289,0.00227790432801822,4390,0,0,0,0
2012-10-01,"Indonesia",33,3,43,2,18,4,0,94,51,30,1,34,77,9,71,15,6,11,16,38,0,0,0,0,1,0,0,0,0,7,0,0,0,2,1,0,0,0,0,1,0,0.00556868039149511,0.000506243671954101,0.00725615929800877,0.000337495781302734,0.0030374620317246,0.000674991562605467,0,0.0158623017212285,0.00860614242321971,0.00506243671954101,0.000168747890651367,0.00573742828214647,0.0129935875801552,0.0015187310158623,0.011981100236247,0.0025312183597705,0.0010124873439082,0.00185622679716504,0.00269996625042187,0.00641241984475194,0,0,0,0,0.000168747890651367,0,0,0,0,0.00118123523455957,0,0,0,0.000337495781302734,0.000168747890651367,0,0,0,0,0.000168747890651367,0,85,29,58,0,92,100,6,17,10,35,73,0.0143435707053662,0.00489368882888964,0.00978737765777928,0,0.0155248059399258,0.0168747890651367,0.0010124873439082,0.00286871414107324,0.00168747890651367,0.00590617617279784,0.0123185960175498,5926,4954,5914,13.3369178273562,0.000168747890651367,0.0025312183597705,5926,0,0,0,0
