"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","diapazon.kz","kaztag.kz"
"2012-01-01","Kazakhstan",14,2,49,22,2,1,0,13,15,11,3,1,5,4,15,3,1,0,3,2,4,1,0,0,0,0,2,1,0,1,4,0,0,0,8,2,0,0,2,0,2,1,0.00905562742561449,0.00129366106080207,0.0316946959896507,0.0142302716688228,0.00129366106080207,0.000646830530401035,0,0.00840879689521345,0.00970245795601552,0.00711513583441138,0.0019404915912031,0.000646830530401035,0.00323415265200517,0.00258732212160414,0.00970245795601552,0.0019404915912031,0.000646830530401035,0,0.0019404915912031,0.00129366106080207,0.00258732212160414,0.000646830530401035,0,0,0,0,0.00129366106080207,0.000646830530401035,0,0.000646830530401035,0.00258732212160414,0,0,0,0.00517464424320828,0.00129366106080207,0,0,0.00129366106080207,0,0.00129366106080207,0.000646830530401035,32,4,4,0,16,7,6,4,0,4,6,0.0206985769728331,0.00258732212160414,0.00258732212160414,0,0.0103492884864166,0.00452781371280724,0.00388098318240621,0.00258732212160414,0,0.00258732212160414,0.00388098318240621,1546,1305,1518,16.7182454546237,0.0297542043984476,0.00582147477360931,1546,0,1
"2012-02-01","Kazakhstan",7,1,1,0,0,1,0,23,16,1,4,4,7,2,20,2,0,1,1,4,4,0,0,0,1,0,4,0,0,0,6,0,0,0,3,4,1,1,7,0,0,1,0.0044080604534005,0.000629722921914358,0.000629722921914358,0,0,0.000629722921914358,0,0.0144836272040302,0.0100755667506297,0.000629722921914358,0.00251889168765743,0.00251889168765743,0.0044080604534005,0.00125944584382872,0.0125944584382872,0.00125944584382872,0,0.000629722921914358,0.000629722921914358,0.00251889168765743,0.00251889168765743,0,0,0,0.000629722921914358,0,0.00251889168765743,0,0,0,0.00377833753148615,0,0,0,0.00188916876574307,0.00251889168765743,0.000629722921914358,0.000629722921914358,0.0044080604534005,0,0,0.000629722921914358,30,5,9,0,17,7,2,1,0,6,8,0.0188916876574307,0.00314861460957179,0.00566750629722922,0,0.0107052896725441,0.0044080604534005,0.00125944584382872,0.000629722921914358,0,0.00377833753148615,0.00503778337531486,1588,1422,1556,16.5159372155047,0.0232997481108312,0.0107052896725441,1588,0,1
"2012-03-01","Kazakhstan",8,6,3,1,3,0,1,13,19,1,4,0,3,3,10,2,0,0,0,1,2,1,0,0,0,1,5,2,0,0,4,0,0,1,1,2,0,0,4,0,1,1,0.00529801324503311,0.00397350993377483,0.00198675496688742,0.000662251655629139,0.00198675496688742,0,0.000662251655629139,0.00860927152317881,0.0125827814569536,0.000662251655629139,0.00264900662251656,0,0.00198675496688742,0.00198675496688742,0.00662251655629139,0.00132450331125828,0,0,0,0.000662251655629139,0.00132450331125828,0.000662251655629139,0,0,0,0.000662251655629139,0.0033112582781457,0.00132450331125828,0,0,0.00264900662251656,0,0,0.000662251655629139,0.000662251655629139,0.00132450331125828,0,0,0.00264900662251656,0,0.000662251655629139,0.000662251655629139,21,3,1,0,20,5,0,5,0,4,7,0.0139072847682119,0.00198675496688742,0.000662251655629139,0,0.0132450331125828,0.0033112582781457,0,0.0033112582781457,0,0.00264900662251656,0.00463576158940397,1510,1370,1485,15.6680028491802,0.0251655629139073,0.00662251655629139,1510,0,1
"2012-04-01","Kazakhstan",8,2,4,0,5,0,0,7,25,4,0,1,4,3,7,3,0,0,1,10,2,0,1,0,0,3,2,3,1,0,1,0,3,0,2,4,0,1,5,1,1,1,0.00499687695190506,0.00124921923797626,0.00249843847595253,0,0.00312304809494066,0,0,0.00437226733291693,0.0156152404747033,0.00249843847595253,0,0.000624609618988132,0.00249843847595253,0.0018738288569644,0.00437226733291693,0.0018738288569644,0,0,0.000624609618988132,0.00624609618988132,0.00124921923797626,0,0.000624609618988132,0,0,0.0018738288569644,0.00124921923797626,0.0018738288569644,0.000624609618988132,0,0.000624609618988132,0,0.0018738288569644,0,0.00124921923797626,0.00249843847595253,0,0.000624609618988132,0.00312304809494066,0.000624609618988132,0.000624609618988132,0.000624609618988132,16,4,2,1,22,6,0,3,0,5,7,0.00999375390381012,0.00249843847595253,0.00124921923797626,0.000624609618988132,0.0137414116177389,0.00374765771392879,0,0.0018738288569644,0,0.00312304809494066,0.00437226733291693,1601,1458,1570,15.9709339170832,0.0193628981886321,0.00936914428482199,1601,0,1
"2012-05-01","Kazakhstan",5,1,1,0,2,0,0,14,17,3,0,2,9,1,17,1,1,2,8,2,2,0,1,0,0,1,0,0,0,1,1,0,2,0,9,3,2,2,6,0,5,3,0.00307881773399015,0.00061576354679803,0.00061576354679803,0,0.00123152709359606,0,0,0.00862068965517241,0.0104679802955665,0.00184729064039409,0,0.00123152709359606,0.00554187192118227,0.00061576354679803,0.0104679802955665,0.00061576354679803,0.00061576354679803,0.00123152709359606,0.00492610837438424,0.00123152709359606,0.00123152709359606,0,0.00061576354679803,0,0,0.00061576354679803,0,0,0,0.00061576354679803,0.00061576354679803,0,0.00123152709359606,0,0.00554187192118227,0.00184729064039409,0.00123152709359606,0.00123152709359606,0.00369458128078818,0,0.00307881773399015,0.00184729064039409,18,3,3,0,20,3,0,4,1,11,10,0.0110837438423645,0.00184729064039409,0.00184729064039409,0,0.0123152709359606,0.00184729064039409,0,0.00246305418719212,0.00061576354679803,0.00677339901477833,0.0061576354679803,1624,1475,1586,16.2083126308902,0.0314039408866995,0.00862068965517241,1624,0,1
"2012-06-01","Kazakhstan",8,1,2,0,5,0,0,19,16,5,0,3,8,1,9,2,0,1,9,3,2,0,2,0,0,2,5,2,1,0,4,0,1,0,4,5,1,0,2,0,3,1,0.00483383685800604,0.000604229607250755,0.00120845921450151,0,0.00302114803625378,0,0,0.0114803625377644,0.00966767371601208,0.00302114803625378,0,0.00181268882175227,0.00483383685800604,0.000604229607250755,0.0054380664652568,0.00120845921450151,0,0.000604229607250755,0.0054380664652568,0.00181268882175227,0.00120845921450151,0,0.00120845921450151,0,0,0.00120845921450151,0.00302114803625378,0.00120845921450151,0.000604229607250755,0,0.00241691842900302,0,0.000604229607250755,0,0.00241691842900302,0.00302114803625378,0.000604229607250755,0,0.00120845921450151,0,0.00181268882175227,0.000604229607250755,27,9,6,0,22,10,1,0,0,18,8,0.0163141993957704,0.0054380664652568,0.00362537764350453,0,0.0132930513595166,0.00604229607250755,0.000604229607250755,0,0,0.0108761329305136,0.00483383685800604,1655,1471,1620,15.9710920753943,0.0187311178247734,0.0145015105740181,1655,0,1
"2012-07-01","Kazakhstan",5,3,1,0,5,0,0,13,12,5,0,3,3,0,7,3,0,0,3,5,1,0,0,1,0,5,4,1,0,0,1,1,2,3,5,6,0,0,0,0,3,0,0.00331345261762757,0.00198807157057654,0.000662690523525514,0,0.00331345261762757,0,0,0.00861497680583168,0.00795228628230616,0.00331345261762757,0,0.00198807157057654,0.00198807157057654,0,0.0046388336646786,0.00198807157057654,0,0,0.00198807157057654,0.00331345261762757,0.000662690523525514,0,0,0.000662690523525514,0,0.00331345261762757,0.00265076209410205,0.000662690523525514,0,0,0.000662690523525514,0.000662690523525514,0.00132538104705103,0.00198807157057654,0.00331345261762757,0.00397614314115308,0,0,0,0,0.00198807157057654,0,18,5,3,0,9,4,2,0,1,7,9,0.0119284294234592,0.00331345261762757,0.00198807157057654,0,0.00596421471172962,0.00265076209410205,0.00132538104705103,0,0.000662690523525514,0.0046388336646786,0.00596421471172962,1509,1387,1476,15.5836040948796,0.0251822398939695,0.00596421471172962,1509,0,1
"2012-08-01","Kazakhstan",3,1,1,0,2,1,4,16,28,3,0,0,8,2,6,1,0,0,11,6,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,3,1,0,0,0,0,1,0.00194805194805195,0.000649350649350649,0.000649350649350649,0,0.0012987012987013,0.000649350649350649,0.0025974025974026,0.0103896103896104,0.0181818181818182,0.00194805194805195,0,0,0.00519480519480519,0.0012987012987013,0.0038961038961039,0.000649350649350649,0,0,0.00714285714285714,0.0038961038961039,0,0,0,0,0,0.0012987012987013,0,0.000649350649350649,0,0.000649350649350649,0.000649350649350649,0,0,0,0.0012987012987013,0.00194805194805195,0.000649350649350649,0,0,0,0,0.000649350649350649,18,3,4,0,18,4,0,4,0,20,9,0.0116883116883117,0.00194805194805195,0.0025974025974026,0,0.0116883116883117,0.0025974025974026,0,0.0025974025974026,0,0.012987012987013,0.00584415584415584,1540,1383,1528,16.3636226784863,0.012987012987013,0.00519480519480519,1540,0,1
"2012-09-01","Kazakhstan",7,2,4,0,8,0,0,13,12,2,0,6,4,3,5,6,0,0,12,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,4,6,0,0,1,1,3,0,0.00608166811468288,0.00173761946133797,0.00347523892267593,0,0.00695047784535187,0,0,0.0112945264986968,0.0104257167680278,0.00173761946133797,0,0.0052128583840139,0.00347523892267593,0.00260642919200695,0.00434404865334492,0.0052128583840139,0,0,0.0104257167680278,0.00260642919200695,0,0,0,0,0,0,0,0.00173761946133797,0,0,0.00260642919200695,0,0,0,0.00347523892267593,0.0052128583840139,0,0,0.000868809730668983,0.000868809730668983,0.00260642919200695,0,17,1,6,0,17,1,0,0,0,5,8,0.0147697654213727,0.000868809730668983,0.0052128583840139,0,0.0147697654213727,0.000868809730668983,0,0,0,0.00434404865334492,0.00695047784535187,1151,1018,1131,17.6120847856116,0.0234578627280626,0.00608166811468288,1151,0,1
"2012-10-01","Kazakhstan",10,2,2,0,5,0,0,11,17,2,0,2,7,2,11,1,0,0,3,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,5,1,0,0,0,1,3,0,0.00821018062397373,0.00164203612479475,0.00164203612479475,0,0.00410509031198686,0,0,0.0090311986863711,0.0139573070607553,0.00164203612479475,0,0.00164203612479475,0.00574712643678161,0.00164203612479475,0.0090311986863711,0.000821018062397373,0,0,0.00246305418719212,0.00492610837438424,0,0,0,0,0,0,0.000821018062397373,0.00164203612479475,0,0,0.000821018062397373,0,0,0,0.00410509031198686,0.000821018062397373,0,0,0,0.000821018062397373,0.00246305418719212,0,16,5,5,1,22,3,3,0,0,6,9,0.013136288998358,0.00410509031198686,0.00410509031198686,0.000821018062397373,0.0180623973727422,0.00246305418719212,0.00246305418719212,0,0,0.00492610837438424,0.00738916256157635,1218,1079,1204,16.6539797387017,0.0155993431855501,0.00492610837438424,1218,0,1
