"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","prishtinainsight.com","botasot.info"
"2015-03-01","Kosovo",9,1,4,1,9,0,0,2,27,11,0,2,8,1,9,4,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212264150943396,0.00235849056603774,0.00943396226415094,0.00235849056603774,0.0212264150943396,0,0,0.00471698113207547,0.0636792452830189,0.0259433962264151,0,0.00471698113207547,0.0188679245283019,0.00235849056603774,0.0212264150943396,0.00943396226415094,0,0.00707547169811321,0.0165094339622642,0.0165094339622642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,2,1,7,6,0,2,0,2,5,0.0518867924528302,0.00235849056603774,0.00471698113207547,0.00235849056603774,0.0165094339622642,0.0141509433962264,0,0.00471698113207547,0,0.00471698113207547,0.0117924528301887,424,279,424,10.3853409557656,0,0,424,1,0
"2015-04-01","Kosovo",4,1,9,2,3,1,0,3,16,3,0,4,10,0,25,4,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0.00229357798165138,0.0206422018348624,0.00458715596330275,0.00688073394495413,0.00229357798165138,0,0.00688073394495413,0.036697247706422,0.00688073394495413,0,0.00917431192660551,0.0229357798165138,0,0.0573394495412844,0.00917431192660551,0,0,0.00229357798165138,0.0160550458715596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,0,5,5,0,0,2,2,5,0.0527522935779817,0.00229357798165138,0.00229357798165138,0,0.0114678899082569,0.0114678899082569,0,0,0.00458715596330275,0.00458715596330275,0.0114678899082569,436,308,436,7.36479441876912,0,0,436,1,0
"2015-05-01","Kosovo",10,0,30,2,12,0,2,9,31,8,0,3,15,2,14,4,0,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174216027874564,0,0.0522648083623693,0.00348432055749129,0.0209059233449477,0,0.00348432055749129,0.0156794425087108,0.054006968641115,0.0139372822299652,0,0.00522648083623693,0.0261324041811847,0.00348432055749129,0.024390243902439,0.00696864111498258,0,0.00348432055749129,0.0331010452961672,0.0174216027874564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,5,0,11,7,1,0,0,4,13,0.0191637630662021,0.00174216027874564,0.00871080139372822,0,0.0191637630662021,0.0121951219512195,0.00174216027874564,0,0,0.00696864111498258,0.0226480836236934,574,364,574,9.00778527938611,0,0,574,1,0
"2015-06-01","Kosovo",25,1,38,7,26,2,0,11,40,20,0,3,19,1,24,5,1,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181554103122731,0.000726216412490922,0.027596223674655,0.00508351488743646,0.018881626724764,0.00145243282498184,0,0.00798838053740015,0.0290486564996369,0.0145243282498184,0,0.00217864923747277,0.0137981118373275,0.000726216412490922,0.0174291938997821,0.00363108206245461,0.000726216412490922,0.00508351488743646,0.00580973129992738,0.0108932461873638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,11,0,12,14,3,0,6,6,25,0.0355846042120552,0.00363108206245461,0.00798838053740015,0,0.00871459694989107,0.0101670297748729,0.00217864923747277,0,0.00435729847494553,0.00435729847494553,0.0181554103122731,1377,1014,1377,6.27500243003372,0,0,1377,1,0
"2015-07-01","Kosovo",18,1,43,4,18,2,1,28,51,15,2,9,32,3,3,7,3,7,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106132075471698,0.000589622641509434,0.0253537735849057,0.00235849056603774,0.0106132075471698,0.00117924528301887,0.000589622641509434,0.0165094339622642,0.0300707547169811,0.00884433962264151,0.00117924528301887,0.00530660377358491,0.0188679245283019,0.0017688679245283,0.0017688679245283,0.00412735849056604,0.0017688679245283,0.00412735849056604,0.00294811320754717,0.0106132075471698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,16,0,22,9,0,2,5,6,37,0.0341981132075472,0.00294811320754717,0.00943396226415094,0,0.0129716981132075,0.00530660377358491,0,0.00117924528301887,0.00294811320754717,0.0035377358490566,0.0218160377358491,1696,1301,1696,5.36121358842859,0,0,1696,1,0
"2015-08-01","Kosovo",15,1,24,3,31,2,1,13,48,21,0,5,20,4,22,8,1,15,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00938086303939963,0.000625390869293308,0.0150093808630394,0.00187617260787992,0.0193871169480926,0.00125078173858662,0.000625390869293308,0.00813008130081301,0.0300187617260788,0.0131332082551595,0,0.00312695434646654,0.0125078173858662,0.00250156347717323,0.0137585991244528,0.00500312695434647,0.000625390869293308,0.00938086303939963,0.00250156347717323,0.00562851782363977,0,0,0,0,0,0,0,0,0,0,0,0,0.000625390869293308,0,0,0,0,0,0,45,5,12,1,15,11,2,0,3,8,27,0.0281425891181989,0.00312695434646654,0.0075046904315197,0.000625390869293308,0.00938086303939963,0.00687929956222639,0.00125078173858662,0,0.00187617260787992,0.00500312695434647,0.0168855534709193,1599,1249,1598,5.47211881225326,0.000625390869293308,0,1599,1,0
"2015-09-01","Kosovo",17,0,24,6,21,6,1,11,29,14,1,3,22,12,22,14,0,11,7,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120738636363636,0,0.0170454545454545,0.00426136363636364,0.0149147727272727,0.00426136363636364,0.000710227272727273,0.0078125,0.0205965909090909,0.00994318181818182,0.000710227272727273,0.00213068181818182,0.015625,0.00852272727272727,0.015625,0.00994318181818182,0,0.0078125,0.00497159090909091,0.0149147727272727,0,0,0.000710227272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,9,0,20,27,3,5,4,15,27,0.0276988636363636,0.00497159090909091,0.00639204545454545,0,0.0142045454545455,0.0191761363636364,0.00213068181818182,0.00355113636363636,0.00284090909090909,0.0106534090909091,0.0191761363636364,1408,1034,1407,6.22157730627634,0.00142045454545455,0.000710227272727273,1408,0,0
"2015-10-01","Kosovo",27,4,33,10,37,8,0,10,64,17,0,12,37,18,89,23,7,12,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122727272727273,0.00181818181818182,0.015,0.00454545454545455,0.0168181818181818,0.00363636363636364,0,0.00454545454545455,0.0290909090909091,0.00772727272727273,0,0.00545454545454545,0.0168181818181818,0.00818181818181818,0.0404545454545455,0.0104545454545455,0.00318181818181818,0.00545454545454545,0.00318181818181818,0.0168181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,7,13,0,29,14,6,5,8,11,35,0.0286363636363636,0.00318181818181818,0.00590909090909091,0,0.0131818181818182,0.00636363636363636,0.00272727272727273,0.00227272727272727,0.00363636363636364,0.005,0.0159090909090909,2200,1595,2200,8.53768902114123,0.000454545454545455,0,2200,0,0
"2015-11-01","Kosovo",51,4,32,2,38,5,0,11,76,23,2,24,45,9,89,16,6,15,7,33,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.026998411858126,0.00211752249867655,0.0169401799894124,0.00105876124933827,0.0201164637374272,0.00264690312334569,0,0.00582318687136051,0.0402329274748544,0.0121757543673902,0.00105876124933827,0.0127051349920593,0.0238221281101112,0.00476442562202223,0.0471148755955532,0.00847008999470619,0.00317628374801482,0.00794070937003706,0.00370566437268396,0.0174695606140815,0.000529380624669137,0,0,0,0,0,0,0,0,0,0,0,0.00105876124933827,0,0.000529380624669137,0,0,0,0,66,9,12,0,35,15,0,5,3,12,24,0.034939121228163,0.00476442562202223,0.00635256749602965,0,0.0185283218634198,0.00794070937003706,0,0.00264690312334569,0.00158814187400741,0.00635256749602965,0.0127051349920593,1889,1264,1885,11.1505506185981,0.00211752249867655,0,1889,1,0
"2015-12-01","Kosovo",41,3,20,2,41,6,1,9,71,22,2,9,44,7,49,17,2,13,6,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0227524972253052,0.00166481687014428,0.0110987791342952,0.00110987791342952,0.0227524972253052,0.00332963374028857,0.000554938956714761,0.00499445061043285,0.0394006659267481,0.0122086570477248,0.00110987791342952,0.00499445061043285,0.0244173140954495,0.00388457269700333,0.0271920088790233,0.00943396226415094,0.00110987791342952,0.0072142064372919,0.00332963374028857,0.0133185349611543,0,0,0,0,0,0,0,0,0,0,0.000554938956714761,0,0,0,0,0,0,0.000554938956714761,0,63,10,10,0,31,14,3,5,3,13,44,0.03496115427303,0.00554938956714761,0.00554938956714761,0,0.0172031076581576,0.00776914539400666,0.00166481687014428,0.00277469478357381,0.00166481687014428,0.0072142064372919,0.0244173140954495,1802,1266,1800,8.75326165058249,0.00166481687014428,0,1802,1,0
