"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","X24.kg","super.kg","vb.kg","kaktus.kg","kaktus.media"
"2012-01-01","Kyrgyzstan",20,0,46,2,42,2,0,82,38,52,1,1,49,7,25,25,2,3,1,10,3,0,1,1,3,4,6,4,4,0,7,0,2,1,7,6,1,0,0,5,2,1,0.0106326422115896,0,0.024455077086656,0.00106326422115896,0.0223285486443381,0.00106326422115896,0,0.0435938330675173,0.0202020202020202,0.0276448697501329,0.000531632110579479,0.000531632110579479,0.0260499734183945,0.00372142477405635,0.013290802764487,0.013290802764487,0.00106326422115896,0.00159489633173844,0.000531632110579479,0.00531632110579479,0.00159489633173844,0,0.000531632110579479,0.000531632110579479,0.00159489633173844,0.00212652844231792,0.00318979266347687,0.00212652844231792,0.00212652844231792,0,0.00372142477405635,0,0.00106326422115896,0.000531632110579479,0.00372142477405635,0.00318979266347687,0.000531632110579479,0,0,0.0026581605528974,0.00106326422115896,0.000531632110579479,43,23,16,0,28,39,9,4,2,17,51,0.0228601807549176,0.012227538543328,0.00850611376927166,0,0.0148856990962254,0.0207336523125997,0.00478468899521531,0.00212652844231792,0.00106326422115896,0.00903774587985114,0.0271132376395534,1881,1283,2,8.82936995520079,0.0223285486443381,0.00850611376927166,1881,0,0,1,0,0
"2012-02-01","Kyrgyzstan",36,4,27,8,55,3,1,70,64,43,2,3,70,6,15,22,3,4,3,8,4,1,3,1,3,6,4,10,3,0,18,0,3,1,4,4,3,0,1,2,5,6,0.0177602368031574,0.00197335964479526,0.013320177602368,0.00394671928959053,0.0271336951159349,0.00148001973359645,0.000493339911198816,0.0345337937839171,0.0315737543167242,0.0212136161815491,0.000986679822397632,0.00148001973359645,0.0345337937839171,0.0029600394671929,0.00740009866798224,0.010853478046374,0.00148001973359645,0.00197335964479526,0.00148001973359645,0.00394671928959053,0.00197335964479526,0.000493339911198816,0.00148001973359645,0.000493339911198816,0.00148001973359645,0.0029600394671929,0.00197335964479526,0.00493339911198816,0.00148001973359645,0,0.00888011840157869,0,0.00148001973359645,0.000493339911198816,0.00197335964479526,0.00197335964479526,0.00148001973359645,0,0.000493339911198816,0.000986679822397632,0.00246669955599408,0.0029600394671929,56,40,14,1,36,64,4,4,3,13,27,0.0276270350271337,0.0197335964479526,0.00690675875678342,0.000493339911198816,0.0177602368031574,0.0315737543167242,0.00197335964479526,0.00197335964479526,0.00148001973359645,0.00641341884558461,0.013320177602368,2027,1368,2,10.1510943897898,0.0340404538727183,0.00641341884558461,2027,0,0,1,0,0
"2012-03-01","Kyrgyzstan",20,4,104,27,71,0,0,72,53,43,1,2,43,10,18,24,1,8,3,2,4,0,3,0,3,4,3,5,6,0,20,1,2,2,5,11,2,1,1,2,2,7,0.0101419878296146,0.00202839756592292,0.0527383367139959,0.0136916835699797,0.0360040567951318,0,0,0.0365111561866126,0.0268762677484787,0.0218052738336714,0.00050709939148073,0.00101419878296146,0.0218052738336714,0.0050709939148073,0.00912778904665314,0.0121703853955375,0.00050709939148073,0.00405679513184584,0.00152129817444219,0.00101419878296146,0.00202839756592292,0,0.00152129817444219,0,0.00152129817444219,0.00202839756592292,0.00152129817444219,0.00253549695740365,0.00304259634888438,0,0.0101419878296146,0.00050709939148073,0.00101419878296146,0.00101419878296146,0.00253549695740365,0.00557809330628803,0.00101419878296146,0.00050709939148073,0.00050709939148073,0.00101419878296146,0.00101419878296146,0.00354969574036511,71,44,19,0,28,35,9,2,5,16,49,0.0360040567951318,0.0223123732251521,0.00963488843813387,0,0.0141987829614604,0.0177484787018256,0.00456389452332657,0.00101419878296146,0.00253549695740365,0.00811359026369168,0.0248478701825558,1972,1230,2,8.75715452445874,0.031947261663286,0.0106490872210953,1972,0,0,1,0,0
"2012-04-01","Kyrgyzstan",19,2,18,3,82,2,1,57,25,22,0,1,34,5,21,19,0,6,1,5,3,2,3,3,10,5,9,6,6,2,31,0,1,0,4,8,3,0,3,6,9,1,0.0113977204559088,0.0011997600479904,0.0107978404319136,0.0017996400719856,0.0491901619676065,0.0011997600479904,0.000599880023995201,0.0341931613677265,0.01499700059988,0.0131973605278944,0,0.000599880023995201,0.0203959208158368,0.002999400119976,0.0125974805038992,0.0113977204559088,0,0.00359928014397121,0.000599880023995201,0.002999400119976,0.0017996400719856,0.0011997600479904,0.0017996400719856,0.0017996400719856,0.00599880023995201,0.002999400119976,0.00539892021595681,0.00359928014397121,0.00359928014397121,0.0011997600479904,0.0185962807438512,0,0.000599880023995201,0,0.0023995200959808,0.00479904019196161,0.0017996400719856,0,0.0017996400719856,0.00359928014397121,0.00539892021595681,0.000599880023995201,45,47,15,0,43,27,2,5,0,13,35,0.026994601079784,0.0281943611277744,0.00899820035992801,0,0.0257948410317936,0.0161967606478704,0.0011997600479904,0.002999400119976,0,0.00779844031193761,0.020995800839832,1667,1147,2,8.35537793452361,0.0485902819436113,0.0227954409118176,1667,1,0,1,0,0
"2012-05-01","Kyrgyzstan",17,1,17,1,68,1,0,44,35,36,1,6,37,8,10,12,0,4,1,11,2,1,3,0,4,4,7,13,2,1,32,2,3,1,11,10,2,0,3,1,3,3,0.0101250744490768,0.000595592614651578,0.0101250744490768,0.000595592614651578,0.0405002977963073,0.000595592614651578,0,0.0262060750446694,0.0208457415128052,0.0214413341274568,0.000595592614651578,0.00357355568790947,0.0220369267421084,0.00476474091721263,0.00595592614651578,0.00714711137581894,0,0.00238237045860631,0.000595592614651578,0.00655151876116736,0.00119118522930316,0.000595592614651578,0.00178677784395473,0,0.00238237045860631,0.00238237045860631,0.00416914830256105,0.00774270399047052,0.00119118522930316,0.000595592614651578,0.0190589636688505,0.00119118522930316,0.00178677784395473,0.000595592614651578,0.00655151876116736,0.00595592614651578,0.00119118522930316,0,0.00178677784395473,0.000595592614651578,0.00178677784395473,0.00178677784395473,70,42,19,0,25,33,3,3,1,13,33,0.0416914830256105,0.0250148898153663,0.01131625967838,0,0.0148898153662895,0.0196545562835021,0.00178677784395473,0.00178677784395473,0.000595592614651578,0.00774270399047052,0.0196545562835021,1679,1153,9,6.48604724381728,0.0375223347230494,0.0279928528886242,1679,0,0,1,0,0
"2012-06-01","Kyrgyzstan",24,2,13,1,65,5,0,26,43,35,2,3,44,5,12,22,0,0,1,6,0,3,1,0,6,7,7,11,7,1,25,0,1,1,8,9,0,0,0,2,7,3,0.0140350877192982,0.00116959064327485,0.00760233918128655,0.000584795321637427,0.0380116959064327,0.00292397660818713,0,0.0152046783625731,0.0251461988304094,0.0204678362573099,0.00116959064327485,0.00175438596491228,0.0257309941520468,0.00292397660818713,0.00701754385964912,0.0128654970760234,0,0,0.000584795321637427,0.00350877192982456,0,0.00175438596491228,0.000584795321637427,0,0.00350877192982456,0.00409356725146199,0.00409356725146199,0.0064327485380117,0.00409356725146199,0.000584795321637427,0.0146198830409357,0,0.000584795321637427,0.000584795321637427,0.00467836257309942,0.00526315789473684,0,0,0,0.00116959064327485,0.00409356725146199,0.00175438596491228,64,33,14,1,30,39,1,2,1,6,36,0.0374269005847953,0.0192982456140351,0.00818713450292398,0.000584795321637427,0.0175438596491228,0.0228070175438597,0.000584795321637427,0.00116959064327485,0.000584795321637427,0.00350877192982456,0.0210526315789474,1710,1211,16,8.76651004198166,0.0286549707602339,0.0298245614035088,1710,1,0,1,0,0
"2012-07-01","Kyrgyzstan",27,4,19,0,49,2,0,45,45,31,0,2,43,4,3,20,2,1,4,7,4,2,0,1,2,4,5,3,9,0,25,1,2,0,10,11,5,1,1,1,4,6,0.0162650602409639,0.00240963855421687,0.0114457831325301,0,0.0295180722891566,0.00120481927710843,0,0.0271084337349398,0.0271084337349398,0.0186746987951807,0,0.00120481927710843,0.0259036144578313,0.00240963855421687,0.00180722891566265,0.0120481927710843,0.00120481927710843,0.000602409638554217,0.00240963855421687,0.00421686746987952,0.00240963855421687,0.00120481927710843,0,0.000602409638554217,0.00120481927710843,0.00240963855421687,0.00301204819277108,0.00180722891566265,0.00542168674698795,0,0.0150602409638554,0.000602409638554217,0.00120481927710843,0,0.00602409638554217,0.00662650602409639,0.00301204819277108,0.000602409638554217,0.000602409638554217,0.000602409638554217,0.00240963855421687,0.0036144578313253,79,33,29,1,35,39,6,4,3,6,27,0.0475903614457831,0.0198795180722892,0.0174698795180723,0.000602409638554217,0.0210843373493976,0.0234939759036145,0.0036144578313253,0.00240963855421687,0.00180722891566265,0.0036144578313253,0.0162650602409639,1660,1139,2,8.63378125222874,0.0481927710843374,0.0102409638554217,1660,0,0,1,0,0
"2012-08-01","Kyrgyzstan",20,8,25,1,115,3,0,29,43,18,2,2,35,5,9,32,0,1,7,11,0,2,1,0,5,9,5,5,6,0,40,0,0,0,8,15,4,2,1,3,6,2,0.0106326422115896,0.00425305688463583,0.013290802764487,0.000531632110579479,0.0611376927166401,0.00159489633173844,0,0.0154173312068049,0.0228601807549176,0.00956937799043062,0.00106326422115896,0.00106326422115896,0.0186071238702818,0.0026581605528974,0.00478468899521531,0.0170122275385433,0,0.000531632110579479,0.00372142477405635,0.00584795321637427,0,0.00106326422115896,0.000531632110579479,0,0.0026581605528974,0.00478468899521531,0.0026581605528974,0.0026581605528974,0.00318979266347687,0,0.0212652844231792,0,0,0,0.00425305688463583,0.00797448165869218,0.00212652844231792,0.00106326422115896,0.000531632110579479,0.00159489633173844,0.00318979266347687,0.00106326422115896,43,54,22,0,45,39,6,5,2,8,30,0.0228601807549176,0.0287081339712919,0.0116959064327485,0,0.0239234449760766,0.0207336523125997,0.00318979266347687,0.0026581605528974,0.00106326422115896,0.00425305688463583,0.0159489633173844,1881,1302,1,7.67257107450412,0.0372142477405635,0.0239234449760766,1881,0,0,1,0,0
"2012-09-01","Kyrgyzstan",15,8,52,6,102,2,0,44,50,29,0,2,42,2,11,33,0,7,7,12,1,4,0,2,2,2,8,22,17,0,33,3,0,1,9,20,10,0,2,7,13,2,0.00735294117647059,0.00392156862745098,0.0254901960784314,0.00294117647058824,0.05,0.000980392156862745,0,0.0215686274509804,0.0245098039215686,0.0142156862745098,0,0.000980392156862745,0.0205882352941176,0.000980392156862745,0.0053921568627451,0.0161764705882353,0,0.00343137254901961,0.00343137254901961,0.00588235294117647,0.000490196078431373,0.00196078431372549,0,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00392156862745098,0.0107843137254902,0.00833333333333333,0,0.0161764705882353,0.00147058823529412,0,0.000490196078431373,0.00441176470588235,0.00980392156862745,0.00490196078431373,0,0.000980392156862745,0.00343137254901961,0.00637254901960784,0.000980392156862745,54,32,24,1,36,39,7,6,2,6,30,0.0264705882352941,0.0156862745098039,0.0117647058823529,0.000490196078431373,0.0176470588235294,0.0191176470588235,0.00343137254901961,0.00294117647058824,0.000980392156862745,0.00294117647058824,0.0147058823529412,2040,1426,8,8.21132258146493,0.0583333333333333,0.0196078431372549,2040,0,0,1,0,0
"2012-10-01","Kyrgyzstan",36,3,87,9,66,13,0,21,68,40,2,6,38,10,49,20,0,2,3,12,0,0,0,0,4,8,6,2,5,1,30,1,0,0,12,4,5,1,1,1,6,2,0.0150313152400835,0.00125260960334029,0.0363256784968685,0.00375782881002088,0.0275574112734864,0.00542797494780793,0,0.00876826722338205,0.02839248434238,0.0167014613778706,0.000835073068893528,0.00250521920668058,0.015866388308977,0.00417536534446764,0.0204592901878914,0.00835073068893528,0,0.000835073068893528,0.00125260960334029,0.00501043841336117,0,0,0,0,0.00167014613778706,0.00334029227557411,0.00250521920668058,0.000835073068893528,0.00208768267223382,0.000417536534446764,0.0125260960334029,0.000417536534446764,0,0,0.00501043841336117,0.00167014613778706,0.00208768267223382,0.000417536534446764,0.000417536534446764,0.000417536534446764,0.00250521920668058,0.000835073068893528,57,44,30,0,70,59,5,9,2,3,31,0.0237995824634656,0.0183716075156576,0.0125260960334029,0,0.0292275574112735,0.0246346555323591,0.00208768267223382,0.00375782881002088,0.000835073068893528,0.00125260960334029,0.0129436325678497,2395,1645,0,8.34185387678268,0.0267223382045929,0.0104384133611691,2395,0,1,1,0,0
