"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","times.mw","faceofmalawi.com","malawivoice.com"
"2012-01-01","Malawi",4,1,8,2,8,2,1,17,17,1,0,5,4,9,24,6,1,6,1,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.0067001675041876,0.0016750418760469,0.0134003350083752,0.0033500837520938,0.0134003350083752,0.0033500837520938,0.0016750418760469,0.0284757118927973,0.0284757118927973,0.0016750418760469,0,0.00837520938023451,0.0067001675041876,0.0150753768844221,0.0402010050251256,0.0100502512562814,0.0016750418760469,0.0100502512562814,0.0016750418760469,0.0150753768844221,0,0,0,0,0,0,0,0,0.0016750418760469,0,0,0,0.0016750418760469,0.0016750418760469,0,0.0016750418760469,0,0,0,15,5,7,2,8,4,1,1,2,5,6,0.0251256281407035,0.00837520938023451,0.0117252931323283,0.0033500837520938,0.0134003350083752,0.0067001675041876,0.0016750418760469,0.0016750418760469,0.0033500837520938,0.00837520938023451,0.0100502512562814,597,428,0,11.3844545775464,0,0.0067001675041876,597,0,1,0
"2012-02-01","Malawi",9,2,10,1,4,2,1,9,14,6,1,0,15,13,11,7,1,1,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0.016728624535316,0.00371747211895911,0.0185873605947955,0.00185873605947955,0.00743494423791822,0.00371747211895911,0.00185873605947955,0.016728624535316,0.0260223048327138,0.0111524163568773,0.00185873605947955,0,0.0278810408921933,0.0241635687732342,0.0204460966542751,0.0130111524163569,0.00185873605947955,0.00185873605947955,0.00371747211895911,0.00743494423791822,0,0,0.00185873605947955,0,0,0,0,0,0,0.00185873605947955,0,0,0,0,0,0.00185873605947955,0,0.00557620817843866,0,7,0,3,2,10,2,0,1,1,4,2,0.0130111524163569,0,0.00557620817843866,0.00371747211895911,0.0185873605947955,0.00371747211895911,0,0.00185873605947955,0.00185873605947955,0.00743494423791822,0.00371747211895911,538,412,1,8.59742291559481,0,0.0111524163568773,538,0,1,0
"2012-03-01","Malawi",7,2,4,2,11,12,2,0,14,3,1,2,9,5,10,7,0,11,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.0120689655172414,0.00344827586206897,0.00689655172413793,0.00344827586206897,0.0189655172413793,0.0206896551724138,0.00344827586206897,0,0.0241379310344828,0.00517241379310345,0.00172413793103448,0.00344827586206897,0.0155172413793103,0.00862068965517241,0.0172413793103448,0.0120689655172414,0,0.0189655172413793,0.00172413793103448,0.00517241379310345,0,0,0,0,0,0,0,0,0.00172413793103448,0,0,0,0,0,0,0.00344827586206897,0,0,0,13,6,3,0,7,2,2,1,1,2,1,0.0224137931034483,0.0103448275862069,0.00517241379310345,0,0.0120689655172414,0.00344827586206897,0.00344827586206897,0.00172413793103448,0.00172413793103448,0.00344827586206897,0.00172413793103448,580,449,0,10.5614765854693,0,0.00689655172413793,580,0,1,0
"2012-04-01","Malawi",5,2,8,1,14,10,0,7,14,3,0,1,15,7,2,23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.00561797752808989,0.00224719101123596,0.00898876404494382,0.00112359550561798,0.0157303370786517,0.0112359550561798,0,0.00786516853932584,0.0157303370786517,0.00337078651685393,0,0.00112359550561798,0.0168539325842697,0.00786516853932584,0.00224719101123596,0.0258426966292135,0,0.00112359550561798,0,0.00112359550561798,0,0,0,0,0,0,0,0,0.00112359550561798,0,0,0,0,0,0,0.00112359550561798,0,0,0,10,5,6,0,12,2,0,0,0,1,1,0.0112359550561798,0.00561797752808989,0.00674157303370787,0,0.0134831460674157,0.00224719101123596,0,0,0,0.00112359550561798,0.00112359550561798,890,759,1,5.12748692928511,0,0.00224719101123596,890,0,1,0
"2012-05-01","Malawi",13,2,14,2,11,15,0,4,26,24,1,0,23,4,9,16,0,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0149769585253456,0.00230414746543779,0.0161290322580645,0.00230414746543779,0.0126728110599078,0.0172811059907834,0,0.00460829493087558,0.0299539170506912,0.0276497695852535,0.00115207373271889,0,0.0264976958525346,0.00460829493087558,0.01036866359447,0.0184331797235023,0,0.00460829493087558,0,0.00230414746543779,0,0,0,0,0,0,0,0.00115207373271889,0,0.00115207373271889,0,0,0.00115207373271889,0,0,0,0,0.00115207373271889,0,10,9,18,1,29,13,9,1,3,3,3,0.0115207373271889,0.01036866359447,0.0207373271889401,0.00115207373271889,0.0334101382488479,0.0149769585253456,0.01036866359447,0.00115207373271889,0.00345622119815668,0.00345622119815668,0.00345622119815668,868,638,0,6.72693834633354,0,0.00460829493087558,868,0,1,0
"2012-06-01","Malawi",4,4,13,1,13,4,1,7,32,22,0,2,20,7,10,4,0,10,0,1,0,0,0,0,0,2,2,1,0,1,0,0,1,0,1,1,0,0,1,0.00458190148911798,0.00458190148911798,0.0148911798396334,0.0011454753722795,0.0148911798396334,0.00458190148911798,0.0011454753722795,0.00801832760595647,0.0366552119129439,0.0252004581901489,0,0.00229095074455899,0.0229095074455899,0.00801832760595647,0.011454753722795,0.00458190148911798,0,0.011454753722795,0,0.0011454753722795,0,0,0,0,0,0.00229095074455899,0.00229095074455899,0.0011454753722795,0,0.0011454753722795,0,0,0.0011454753722795,0,0.0011454753722795,0.0011454753722795,0,0,0.0011454753722795,15,4,12,2,19,13,4,2,1,4,3,0.0171821305841924,0.00458190148911798,0.013745704467354,0.00229095074455899,0.0217640320733104,0.0148911798396334,0.00458190148911798,0.00229095074455899,0.0011454753722795,0.00458190148911798,0.00343642611683849,873,671,0,7.91976543024998,0,0.011454753722795,873,0,1,0
"2012-07-01","Malawi",10,1,18,1,14,2,0,3,26,8,1,2,23,10,23,10,2,2,2,7,0,0,0,0,0,3,1,1,1,4,0,0,2,0,0,0,0,2,0,0.0113378684807256,0.00113378684807256,0.0204081632653061,0.00113378684807256,0.0158730158730159,0.00226757369614512,0,0.00340136054421769,0.0294784580498866,0.0090702947845805,0.00113378684807256,0.00226757369614512,0.0260770975056689,0.0113378684807256,0.0260770975056689,0.0113378684807256,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00793650793650794,0,0,0,0,0,0.00340136054421769,0.00113378684807256,0.00113378684807256,0.00113378684807256,0.00453514739229025,0,0,0.00226757369614512,0,0,0,0,0.00226757369614512,0,25,14,18,1,31,10,3,5,1,7,5,0.0283446712018141,0.0158730158730159,0.0204081632653061,0.00113378684807256,0.0351473922902494,0.0113378684807256,0.00340136054421769,0.00566893424036281,0.00113378684807256,0.00793650793650794,0.00566893424036281,882,637,1,7.73916204893393,0,0.0158730158730159,882,0,1,0
"2012-08-01","Malawi",3,1,36,2,21,2,1,9,32,6,0,0,20,17,18,6,1,7,3,1,0,0,0,0,1,0,0,1,0,2,0,1,0,1,0,2,0,1,0,0.00336322869955157,0.00112107623318386,0.0403587443946188,0.00224215246636771,0.023542600896861,0.00224215246636771,0.00112107623318386,0.0100896860986547,0.0358744394618834,0.00672645739910314,0,0,0.0224215246636771,0.0190582959641256,0.0201793721973094,0.00672645739910314,0.00112107623318386,0.007847533632287,0.00336322869955157,0.00112107623318386,0,0,0,0,0.00112107623318386,0,0,0.00112107623318386,0,0.00224215246636771,0,0.00112107623318386,0,0.00112107623318386,0,0.00224215246636771,0,0.00112107623318386,0,27,9,20,2,38,10,6,2,4,5,7,0.0302690582959641,0.0100896860986547,0.0224215246636771,0.00224215246636771,0.0426008968609865,0.0112107623318386,0.00672645739910314,0.00224215246636771,0.00448430493273543,0.00560538116591928,0.007847533632287,892,619,0,7.0849966811555,0.00112107623318386,0.00896860986547085,892,0,1,0
"2012-09-01","Malawi",4,1,26,2,31,2,1,10,24,8,0,1,21,10,23,10,1,1,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0040650406504065,0.00101626016260163,0.0264227642276423,0.00203252032520325,0.0315040650406504,0.00203252032520325,0.00101626016260163,0.0101626016260163,0.024390243902439,0.00813008130081301,0,0.00101626016260163,0.0213414634146341,0.0101626016260163,0.0233739837398374,0.0101626016260163,0.00101626016260163,0.00101626016260163,0.00203252032520325,0.00508130081300813,0,0,0,0,0,0,0,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,18,10,14,0,18,7,5,0,1,7,5,0.0182926829268293,0.0101626016260163,0.0142276422764228,0,0.0182926829268293,0.00711382113821138,0.00508130081300813,0,0.00101626016260163,0.00711382113821138,0.00508130081300813,984,750,4,6.16155986655075,0,0.00304878048780488,984,0,1,0
"2012-10-01","Malawi",18,4,37,7,31,1,3,16,33,17,1,3,23,14,12,8,0,5,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0165137614678899,0.0036697247706422,0.0339449541284404,0.00642201834862385,0.0284403669724771,0.000917431192660551,0.00275229357798165,0.0146788990825688,0.0302752293577982,0.0155963302752294,0.000917431192660551,0.00275229357798165,0.0211009174311927,0.0128440366972477,0.0110091743119266,0.0073394495412844,0,0.00458715596330275,0.000917431192660551,0.00917431192660551,0,0,0,0,0,0,0,0,0,0.000917431192660551,0,0,0,0,0,0,0,0,0,26,15,14,0,26,13,6,1,4,5,2,0.0238532110091743,0.0137614678899083,0.0128440366972477,0,0.0238532110091743,0.0119266055045872,0.0055045871559633,0.000917431192660551,0.0036697247706422,0.00458715596330275,0.0018348623853211,1090,771,0,7.97329948493953,0.000917431192660551,0,1090,0,1,0
