"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","malaymail.com","nst.com.my","thestar.com.my","utusan.com.my","thesun.my"
"2012-01-01","Malaysia",13,5,98,17,36,6,14,13,123,18,7,10,58,26,87,33,1,26,5,45,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0.00568181818181818,0.00218531468531469,0.0428321678321678,0.00743006993006993,0.0157342657342657,0.00262237762237762,0.00611888111888112,0.00568181818181818,0.0537587412587413,0.00786713286713287,0.00305944055944056,0.00437062937062937,0.0253496503496503,0.0113636363636364,0.0380244755244755,0.0144230769230769,0.000437062937062937,0.0113636363636364,0.00218531468531469,0.0196678321678322,0,0,0,0,0,0,0.000437062937062937,0,0,0,0,0,0.000437062937062937,0,0.00218531468531469,0,0,0,0,0,0,0,25,8,27,7,65,11,4,3,5,9,18,0.0109265734265734,0.0034965034965035,0.0118006993006993,0.00305944055944056,0.0284090909090909,0.00480769230769231,0.00174825174825175,0.00131118881118881,0.00218531468531469,0.00393356643356643,0.00786713286713287,2288,1538,2281,11.1541506354814,0,0.00437062937062937,2288,0,0,0,0,1
"2012-02-01","Malaysia",20,14,76,26,26,7,7,11,109,28,3,9,73,30,68,20,2,17,2,48,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0.00829187396351575,0.00580431177446103,0.0315091210613599,0.0107794361525705,0.0107794361525705,0.00290215588723051,0.00290215588723051,0.00456053067993367,0.0451907131011609,0.0116086235489221,0.00124378109452736,0.00373134328358209,0.0302653399668325,0.0124378109452736,0.0281923714759536,0.00829187396351575,0.000829187396351575,0.00704809286898839,0.000829187396351575,0.0199004975124378,0,0,0.000414593698175788,0,0,0,0,0,0,0,0,0,0.000414593698175788,0,0.00373134328358209,0,0,0,0,0,0,0,18,17,19,1,56,10,3,0,7,4,29,0.00746268656716418,0.00704809286898839,0.00787728026533997,0.000414593698175788,0.0232172470978441,0.00414593698175788,0.00124378109452736,0,0.00290215588723051,0.00165837479270315,0.0120232172470978,2412,1713,2401,10.0514752097587,0,0.00621890547263682,2412,0,0,0,0,0
"2012-03-01","Malaysia",19,5,120,51,30,4,15,34,165,31,2,5,85,50,89,23,0,16,8,27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0.00676156583629893,0.00177935943060498,0.0427046263345196,0.0181494661921708,0.0106761565836299,0.00142348754448399,0.00533807829181495,0.0120996441281139,0.0587188612099644,0.0110320284697509,0.000711743772241993,0.00177935943060498,0.0302491103202847,0.0177935943060498,0.0316725978647687,0.00818505338078292,0,0.00569395017793594,0.00284697508896797,0.0096085409252669,0,0,0,0,0,0,0,0,0,0,0.000711743772241993,0,0,0,0.00320284697508897,0,0,0,0,0,0,0,17,16,30,2,87,26,2,0,2,4,29,0.00604982206405694,0.00569395017793594,0.0106761565836299,0.000711743772241993,0.0309608540925267,0.00925266903914591,0.000711743772241993,0,0.000711743772241993,0.00142348754448399,0.0103202846975089,2810,1900,2799,9.55187620072612,0.000355871886120996,0.00640569395017794,2810,0,0,0,0,1
"2012-04-01","Malaysia",24,12,129,60,31,8,8,27,91,107,7,21,67,34,166,7,5,19,5,57,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0,0,0,0,0,1,0,0.00905318747642399,0.004526593738212,0.048660882685779,0.02263296869106,0.011693700490381,0.003017729158808,0.003017729158808,0.010184835910977,0.034326669181441,0.040362127499057,0.002640513013957,0.00792153904187099,0.025273481705017,0.012825348924934,0.0626178800452659,0.002640513013957,0.001886080724255,0.00716710675216899,0.001886080724255,0.021501320256507,0,0,0,0,0,0,0,0,0,0,0.000754432289701999,0.000754432289701999,0.000377216144851,0.000377216144851,0.001131648434553,0,0,0,0,0,0.000377216144851,0,15,12,26,4,74,37,2,1,5,1,36,0.00565824217276499,0.004526593738212,0.00980761976612599,0.001508864579404,0.027913994718974,0.013956997359487,0.000754432289701999,0.000377216144851,0.001886080724255,0.000377216144851,0.013579781214636,2651,1617,2641,11.3075382357028,0,0.004526593738212,2651,0,0,0,0,0
"2012-05-01","Malaysia",24,26,108,52,39,16,14,14,161,32,1,14,48,43,214,17,5,16,7,76,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0.0082135523613963,0.00889801505817933,0.0369609856262834,0.0177960301163587,0.013347022587269,0.0054757015742642,0.00479123887748118,0.00479123887748118,0.0550992470910335,0.0109514031485284,0.000342231348391513,0.00479123887748118,0.0164271047227926,0.014715947980835,0.0732375085557837,0.00581793292265572,0.00171115674195756,0.0054757015742642,0.00239561943874059,0.026009582477755,0,0,0,0,0,0,0,0,0,0,0.000684462696783025,0,0,0,0.00342231348391513,0,0,0,0,0,0,0,22,24,15,2,64,3,2,4,7,2,24,0.00752908966461328,0.0082135523613963,0.00513347022587269,0.000684462696783025,0.0219028062970568,0.00102669404517454,0.000684462696783025,0.00136892539356605,0.00239561943874059,0.000684462696783025,0.0082135523613963,2922,1884,2910,12.9728381804597,0,0.00581793292265572,2922,0,0,0,0,1
"2012-06-01","Malaysia",3,12,118,44,29,6,12,33,136,44,2,8,102,35,57,18,1,20,2,15,0,0,1,0,0,0,1,0,0,0,4,0,1,0,13,0,0,0,0,0,1,0,0.00112443778110945,0.00449775112443778,0.0442278860569715,0.0164917541229385,0.0108695652173913,0.00224887556221889,0.00449775112443778,0.0123688155922039,0.0509745127436282,0.0164917541229385,0.000749625187406297,0.00299850074962519,0.0382308845577211,0.0131184407796102,0.0213643178410795,0.00674662668665667,0.000374812593703148,0.00749625187406297,0.000749625187406297,0.00562218890554723,0,0,0.000374812593703148,0,0,0,0.000374812593703148,0,0,0,0.00149925037481259,0,0.000374812593703148,0,0.00487256371814093,0,0,0,0,0,0.000374812593703148,0,8,14,29,3,78,35,3,2,5,4,14,0.00299850074962519,0.00524737631184408,0.0108695652173913,0.00112443778110945,0.0292353823088456,0.0131184407796102,0.00112443778110945,0.000749625187406297,0.00187406296851574,0.00149925037481259,0.00524737631184408,2668,1862,2647,8.88360371105472,0.00187406296851574,0.00899550224887556,2668,0,0,0,0,0
"2012-07-01","Malaysia",16,8,90,25,33,12,10,24,85,45,0,11,41,30,53,21,5,18,3,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1,0,0,1,0,0.00604914933837429,0.00302457466918715,0.0340264650283554,0.00945179584120983,0.012476370510397,0.00453686200378072,0.00378071833648393,0.00907372400756144,0.0321361058601134,0.0170132325141777,0,0.00415879017013232,0.0155009451795841,0.0113421550094518,0.0200378071833648,0.00793950850661626,0.00189035916824197,0.00680529300567108,0.00113421550094518,0.0113421550094518,0,0,0,0,0,0,0,0,0,0,0.00113421550094518,0,0,0,0.00264650283553875,0,0,0.000378071833648393,0,0,0.000378071833648393,0,19,29,34,6,78,38,2,6,3,10,18,0.00718336483931947,0.0109640831758034,0.0128544423440454,0.00226843100189036,0.0294896030245747,0.0143667296786389,0.000756143667296786,0.00226843100189036,0.00113421550094518,0.00378071833648393,0.00680529300567108,2645,1890,2633,8.83261863328594,0.000756143667296786,0.0056710775047259,2645,0,0,0,0,0
"2012-08-01","Malaysia",11,13,54,6,33,6,5,28,100,59,3,7,50,25,44,18,4,17,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0.00445885691122821,0.00526955816781516,0.0218889339278476,0.00243210376976084,0.0133765707336846,0.00243210376976084,0.00202675314146737,0.0113498175922173,0.0405350628293474,0.023915687069315,0.00121605188488042,0.00283745439805432,0.0202675314146737,0.0101337657073368,0.0178354276449128,0.00729631130928253,0.0016214025131739,0.00689096068098906,0.0016214025131739,0.00405350628293474,0,0,0,0,0,0,0,0,0,0,0.000405350628293474,0,0,0,0.00283745439805432,0,0,0,0,0,0,0,17,18,14,4,54,26,2,0,11,8,12,0.00689096068098906,0.00729631130928253,0.00567490879610863,0.0016214025131739,0.0218889339278476,0.0105391163356303,0.000810701256586948,0,0.00445885691122821,0.00324280502634779,0.00486420753952169,2467,1853,2459,8.13125035056095,0,0.00445885691122821,2467,0,0,0,0,0
"2012-09-01","Malaysia",15,8,106,20,26,9,8,6,120,37,2,12,75,37,69,10,5,17,1,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0.00569476082004556,0.00303720577069096,0.0402429764616553,0.00759301442672741,0.00987091875474563,0.00341685649202733,0.00303720577069096,0.00227790432801822,0.0455580865603645,0.0140470766894457,0.000759301442672741,0.00455580865603645,0.0284738041002278,0.0140470766894457,0.0261958997722096,0.00379650721336371,0.00189825360668185,0.0064540622627183,0.000379650721336371,0.0170842824601367,0,0,0,0,0,0,0,0,0,0,0.000379650721336371,0,0,0,0.00303720577069096,0,0,0,0,0,0.000759301442672741,0,28,16,19,4,77,33,1,2,13,9,24,0.0106302201974184,0.00607441154138193,0.00721336370539104,0.00151860288534548,0.0292331055429005,0.0125284738041002,0.000379650721336371,0.000759301442672741,0.00493545937737282,0.00341685649202733,0.00911161731207289,2634,1833,2623,9.4705981368093,0,0.00569476082004556,2634,0,0,0,0,0
"2012-10-01","Malaysia",5,12,76,11,37,9,11,21,129,39,3,5,110,29,37,10,3,8,6,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,2,0,0.00188323917137476,0.00451977401129944,0.0286252354048964,0.00414312617702448,0.0139359698681733,0.00338983050847458,0.00414312617702448,0.00790960451977401,0.0485875706214689,0.0146892655367232,0.00112994350282486,0.00188323917137476,0.0414312617702448,0.0109227871939736,0.0139359698681733,0.00376647834274953,0.00112994350282486,0.00301318267419962,0.00225988700564972,0.00715630885122411,0,0,0,0,0,0,0,0,0,0,0.00150659133709981,0,0,0,0.00188323917137476,0,0,0,0,0,0.000753295668549906,0,24,17,27,3,75,37,3,2,1,6,18,0.00903954802259887,0.0064030131826742,0.0101694915254237,0.00112994350282486,0.0282485875706215,0.0139359698681733,0.00112994350282486,0.000753295668549906,0.000376647834274953,0.00225988700564972,0.00677966101694915,2655,1955,2644,8.0781621116064,0,0.00602636534839925,2655,0,0,1,0,1
