"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles"
"2012-02-01","Mali",0,0,8,2,5,2,0,3,1,0,0,3,2,0,2,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307692307692308,0.00769230769230769,0.0192307692307692,0.00769230769230769,0,0.0115384615384615,0.00384615384615385,0,0,0.0115384615384615,0.00769230769230769,0,0.00769230769230769,0,0,0,0.0307692307692308,0.0730769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0.00384615384615385,0.00769230769230769,0,0,0.00384615384615385,0.00769230769230769,0,0,0,0,0,260,199,2,5.71221242953526,0,0,260
"2012-03-01","Mali",4,1,31,3,14,94,0,1,2,6,1,4,1,0,18,5,0,5,4,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00634920634920635,0.00158730158730159,0.0492063492063492,0.00476190476190476,0.0222222222222222,0.149206349206349,0,0.00158730158730159,0.00317460317460317,0.00952380952380952,0.00158730158730159,0.00634920634920635,0.00158730158730159,0,0.0285714285714286,0.00793650793650794,0,0.00793650793650794,0.00634920634920635,0.0714285714285714,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,1,0,3,0.00158730158730159,0,0.00158730158730159,0,0.00634920634920635,0,0,0.00158730158730159,0.00158730158730159,0,0.00476190476190476,630,382,1,5.02675119560201,0.00158730158730159,0.00158730158730159,630
"2012-04-01","Mali",29,0,20,2,71,36,1,3,16,6,1,26,8,2,13,20,0,16,9,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0172619047619048,0,0.0119047619047619,0.00119047619047619,0.0422619047619048,0.0214285714285714,0.000595238095238095,0.00178571428571429,0.00952380952380952,0.00357142857142857,0.000595238095238095,0.0154761904761905,0.00476190476190476,0.00119047619047619,0.00773809523809524,0.0119047619047619,0,0.00952380952380952,0.00535714285714286,0.05,0,0,0,0,0,0.000595238095238095,0,0,0,0,0,0,0,0,0,0.000595238095238095,0,0,0,0,0,0,9,1,2,0,1,1,1,1,0,2,10,0.00535714285714286,0.000595238095238095,0.00119047619047619,0,0.000595238095238095,0.000595238095238095,0.000595238095238095,0.000595238095238095,0,0.00119047619047619,0.00595238095238095,1680,1292,1,6.66645524944578,0.000595238095238095,0.000595238095238095,1680
"2012-05-01","Mali",11,3,8,3,46,37,1,5,11,8,1,24,1,7,21,7,3,9,37,74,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00701978302488832,0.001914486279515,0.00510529674537333,0.001914486279515,0.0293554562858966,0.0236119974473516,0.000638162093171666,0.00319081046585833,0.00701978302488832,0.00510529674537333,0.000638162093171666,0.01531589023612,0.000638162093171666,0.00446713465220166,0.013401403956605,0.00446713465220166,0.001914486279515,0.00574345883854499,0.0236119974473516,0.0472239948947033,0,0,0,0,0,0,0.000638162093171666,0,0,0,0.000638162093171666,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,3,2,2,0,1,0,18,0.00319081046585833,0.00255264837268666,0.00127632418634333,0,0.001914486279515,0.00127632418634333,0.00127632418634333,0,0.000638162093171666,0,0.01148691767709,1567,1215,2,5.88480025894874,0.000638162093171666,0.000638162093171666,1567
"2012-06-01","Mali",10,5,10,0,40,4,0,12,12,5,1,26,7,4,13,7,1,3,24,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884955752212389,0.00442477876106195,0.00884955752212389,0,0.0353982300884956,0.00353982300884956,0,0.0106194690265487,0.0106194690265487,0.00442477876106195,0.000884955752212389,0.0230088495575221,0.00619469026548673,0.00353982300884956,0.0115044247787611,0.00619469026548673,0.000884955752212389,0.00265486725663717,0.0212389380530973,0.0495575221238938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,6,1,0,0,0,1,4,0.000884955752212389,0.00884955752212389,0,0,0.00530973451327434,0.000884955752212389,0,0,0,0.000884955752212389,0.00353982300884956,1130,869,1,6.2870216383647,0,0,1130
"2012-07-01","Mali",11,3,7,0,44,4,0,15,14,2,0,18,3,4,22,16,0,5,5,83,0,0,0,0,1,0,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.00783475783475784,0.00213675213675214,0.00498575498575499,0,0.0313390313390313,0.00284900284900285,0,0.0106837606837607,0.00997150997150997,0.00142450142450142,0,0.0128205128205128,0.00213675213675214,0.00284900284900285,0.0156695156695157,0.0113960113960114,0,0.00356125356125356,0.00356125356125356,0.0591168091168091,0,0,0,0,0.000712250712250712,0,0.00356125356125356,0.00213675213675214,0,0,0,0,0,0,0.000712250712250712,0,0,0,0.000712250712250712,0,0,0,0,5,1,0,3,1,0,0,0,1,16,0,0.00356125356125356,0.000712250712250712,0,0.00213675213675214,0.000712250712250712,0,0,0,0.000712250712250712,0.0113960113960114,1404,1121,0,6.8198346740186,0.00142450142450142,0.00641025641025641,1404
"2012-08-01","Mali",10,3,4,0,48,1,0,15,12,10,0,8,2,1,13,4,1,6,6,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0108225108225108,0.00324675324675325,0.00432900432900433,0,0.051948051948052,0.00108225108225108,0,0.0162337662337662,0.012987012987013,0.0108225108225108,0,0.00865800865800866,0.00216450216450216,0.00108225108225108,0.0140692640692641,0.00432900432900433,0.00108225108225108,0.00649350649350649,0.00649350649350649,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0.00108225108225108,0,0,0,0.00108225108225108,0,0,0,0,0,0,3,4,0,0,2,0,2,0,2,1,5,0.00324675324675325,0.00432900432900433,0,0,0.00216450216450216,0,0.00216450216450216,0,0.00216450216450216,0.00108225108225108,0.00541125541125541,924,734,1,7.39323212604881,0,0.00216450216450216,924
"2012-09-01","Mali",11,2,11,0,37,4,0,14,7,1,1,26,3,0,8,5,0,9,31,36,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0.00840336134453781,0.00152788388082506,0.00840336134453781,0,0.0282658517952636,0.00305576776165011,0,0.0106951871657754,0.0053475935828877,0.000763941940412529,0.000763941940412529,0.0198624904507257,0.00229182582123759,0,0.00611153552330023,0.00381970970206264,0,0.00687547746371276,0.0236822001527884,0.027501909854851,0,0,0,0,0.000763941940412529,0,0,0,0,0,0.000763941940412529,0.000763941940412529,0.000763941940412529,0,0,0,0,0,0.000763941940412529,0,0,0,3,9,1,0,8,1,0,0,0,3,7,0.00229182582123759,0.00687547746371276,0.000763941940412529,0,0.00611153552330023,0.000763941940412529,0,0,0,0.00229182582123759,0.0053475935828877,1309,1072,1,6.70179655783604,0,0.00381970970206264,1309
"2012-10-01","Mali",4,2,20,8,73,4,0,5,10,10,0,37,7,2,37,6,1,9,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225988700564972,0.00112994350282486,0.0112994350282486,0.00451977401129944,0.0412429378531073,0.00225988700564972,0,0.00282485875706215,0.00564971751412429,0.00564971751412429,0,0.0209039548022599,0.00395480225988701,0.00112994350282486,0.0209039548022599,0.00338983050847458,0.000564971751412429,0.00508474576271186,0.00734463276836158,0.0163841807909605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,6,5,1,0,1,2,2,0.00338983050847458,0.00395480225988701,0.00112994350282486,0,0.00338983050847458,0.00282485875706215,0.000564971751412429,0,0.000564971751412429,0.00112994350282486,0.00112994350282486,1770,1465,1,7.52568027327619,0,0,1770
"2012-11-01","Mali",15,2,23,4,62,2,0,4,23,5,0,28,8,2,17,9,1,7,9,52,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0.00977198697068404,0.00130293159609121,0.0149837133550489,0.00260586319218241,0.0403908794788274,0.00130293159609121,0,0.00260586319218241,0.0149837133550489,0.00325732899022801,0,0.0182410423452769,0.00521172638436482,0.00130293159609121,0.0110749185667752,0.00586319218241042,0.000651465798045603,0.00456026058631922,0.00586319218241042,0.0338762214983713,0,0,0,0,0,0,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0,0.00195439739413681,0.000651465798045603,0,0,9,16,2,0,5,1,0,0,0,1,10,0.00586319218241042,0.0104234527687296,0.00130293159609121,0,0.00325732899022801,0.000651465798045603,0,0,0,0.000651465798045603,0.00651465798045603,1535,1226,1,7.20412117018196,0,0.00586319218241042,1535
