"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","alwiam.info","lecalame.info","alakhbar.info","saharamedias.net"
"2012-01-01","Mauritania",1,0,3,0,10,1,2,2,5,18,0,1,1,1,16,1,0,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0.00328947368421053,0,0.00986842105263158,0,0.0328947368421053,0.00328947368421053,0.00657894736842105,0.00657894736842105,0.0164473684210526,0.0592105263157895,0,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.0526315789473684,0.00328947368421053,0,0.00328947368421053,0.00328947368421053,0.0164473684210526,0,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,8,10,0,0,5,5,0,1,1,1,3,0.0263157894736842,0.0328947368421053,0,0,0.0164473684210526,0.0164473684210526,0,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.00986842105263158,304,201,303,9.68847425381557,0,0.00328947368421053,304,0,0,0,1
"2012-02-01","Mauritania",4,0,11,2,15,0,0,7,3,9,1,3,1,8,20,3,2,1,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0.010752688172043,0,0.0295698924731183,0.00537634408602151,0.0403225806451613,0,0,0.0188172043010753,0.00806451612903226,0.0241935483870968,0.00268817204301075,0.00806451612903226,0.00268817204301075,0.021505376344086,0.0537634408602151,0.00806451612903226,0.00537634408602151,0.00268817204301075,0.00268817204301075,0.0241935483870968,0,0,0,0,0,0.00268817204301075,0,0,0,0,0,0,8,7,2,0,10,5,1,6,1,3,4,0.021505376344086,0.0188172043010753,0.00537634408602151,0,0.0268817204301075,0.0134408602150538,0.00268817204301075,0.0161290322580645,0.00268817204301075,0.00806451612903226,0.010752688172043,372,228,371,11.1268264779814,0,0.00268817204301075,372,0,0,1,1
"2012-03-01","Mauritania",11,0,1,2,5,10,0,6,17,2,0,1,3,1,21,3,2,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0.0360655737704918,0,0.00327868852459016,0.00655737704918033,0.0163934426229508,0.0327868852459016,0,0.019672131147541,0.0557377049180328,0.00655737704918033,0,0.00327868852459016,0.00983606557377049,0.00327868852459016,0.0688524590163934,0.00983606557377049,0.00655737704918033,0.00327868852459016,0,0.0163934426229508,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,5,1,1,0,6,1,0,3,1,0,0,0.0163934426229508,0.00327868852459016,0.00327868852459016,0,0.019672131147541,0.00327868852459016,0,0.00983606557377049,0.00327868852459016,0,0,305,204,304,15.3223399062504,0,0.00327868852459016,305,0,0,0,1
"2012-04-01","Mauritania",5,0,3,0,15,4,0,1,0,3,0,3,0,3,27,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0158227848101266,0,0.00949367088607595,0,0.0474683544303797,0.0126582278481013,0,0.00316455696202532,0,0.00949367088607595,0,0.00949367088607595,0,0.00949367088607595,0.0854430379746835,0,0.00316455696202532,0.00632911392405063,0,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,1,4,1,0,1,0.0253164556962025,0.00632911392405063,0,0,0,0.00316455696202532,0.00316455696202532,0.0126582278481013,0.00316455696202532,0,0.00316455696202532,316,223,315,12.2345156088715,0,0.00316455696202532,316,0,0,0,1
"2012-05-01","Mauritania",5,0,6,1,10,6,0,4,10,2,0,3,4,2,34,6,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0153846153846154,0,0.0184615384615385,0.00307692307692308,0.0307692307692308,0.0184615384615385,0,0.0123076923076923,0.0307692307692308,0.00615384615384615,0,0.00923076923076923,0.0123076923076923,0.00615384615384615,0.104615384615385,0.0184615384615385,0.00307692307692308,0.00615384615384615,0.00923076923076923,0.00923076923076923,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,4,4,0,0,3,1,0,2,1,4,1,0.0123076923076923,0.0123076923076923,0,0,0.00923076923076923,0.00307692307692308,0,0.00615384615384615,0.00307692307692308,0.0123076923076923,0.00307692307692308,325,208,324,13.0737862815432,0.00307692307692308,0,325,0,0,1,1
"2012-06-01","Mauritania",1,0,2,0,7,0,0,1,3,2,0,1,1,2,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00636942675159236,0,0.0127388535031847,0,0.0445859872611465,0,0,0.00636942675159236,0.0191082802547771,0.0127388535031847,0,0.00636942675159236,0.00636942675159236,0.0127388535031847,0.10828025477707,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,4,7,0,0,2,3,0,0,2,0,1,0.0254777070063694,0.0445859872611465,0,0,0.0127388535031847,0.0191082802547771,0,0,0.0127388535031847,0,0.00636942675159236,157,100,155,8.9215556371693,0,0.0127388535031847,157,0,0,0,1
"2012-07-01","Mauritania",5,0,1,2,15,0,0,12,8,1,0,2,3,2,17,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0148367952522255,0,0.0029673590504451,0.00593471810089021,0.0445103857566766,0,0,0.0356083086053412,0.0237388724035608,0.0029673590504451,0,0.00593471810089021,0.00890207715133531,0.00593471810089021,0.0504451038575668,0,0,0.0029673590504451,0.00593471810089021,0.00890207715133531,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,4,3,0,0,1,1,0,0.0118694362017804,0.029673590504451,0,0,0.0118694362017804,0.00890207715133531,0,0,0.0029673590504451,0.0029673590504451,0,337,241,336,8.9334637572636,0,0.0029673590504451,337,0,0,0,1
"2012-08-01","Mauritania",0,1,3,1,8,2,0,6,3,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490196078431373,0.0147058823529412,0.00490196078431373,0.0392156862745098,0.00980392156862745,0,0.0294117647058824,0.0147058823529412,0,0,0.00490196078431373,0,0.00980392156862745,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,1,0.0196078431372549,0.0245098039215686,0,0,0,0,0,0,0,0.0196078431372549,0.00490196078431373,204,158,204,7.43620061622149,0,0,204,0,0,0,1
"2012-09-01","Mauritania",2,0,2,0,4,4,0,2,9,4,0,1,4,0,10,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0.00900900900900901,0,0.018018018018018,0.018018018018018,0,0.00900900900900901,0.0405405405405405,0.018018018018018,0,0.0045045045045045,0.018018018018018,0,0.045045045045045,0,0,0,0.018018018018018,0.0045045045045045,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,2,0,0,1,1,1,0.0045045045045045,0.0225225225225225,0,0,0.00900900900900901,0.00900900900900901,0,0,0.0045045045045045,0.0045045045045045,0.0045045045045045,222,169,222,9.99685782210098,0.0045045045045045,0,222,0,0,0,1
"2012-10-01","Mauritania",1,1,1,1,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0.00917431192660551,0.00917431192660551,0.00917431192660551,0.018348623853211,0.00917431192660551,0,0,0.00917431192660551,0.018348623853211,0,0,0,0,0,0,0,0.00917431192660551,0,0.0458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,2,0.00917431192660551,0.018348623853211,0,0,0.00917431192660551,0,0.00917431192660551,0,0,0,0.018348623853211,109,86,109,10.0340631642951,0,0,109,0,0,0,1
