"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","correiodabeiraserra.com","canal.co.mz","mmo.co.mz","cartamz.com","clubofmozambique.com","portalmoznews.com","jornaldomingo.co.mz","tvm.co.mz"
"2012-01-01","Mozambique",3,1,3,0,3,1,2,23,11,3,0,0,4,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748129675810474,0.00249376558603491,0.00748129675810474,0,0.00748129675810474,0.00249376558603491,0.00498753117206983,0.057356608478803,0.027431421446384,0.00748129675810474,0,0,0.00997506234413965,0,0.00498753117206983,0.00249376558603491,0,0,0.00498753117206983,0.00249376558603491,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,3,0,0,1,0,5,6,0.0224438902743142,0.00249376558603491,0,0,0.00748129675810474,0,0,0.00249376558603491,0,0.0124688279301746,0.0149625935162095,401,322,0,5.44782410821346,0,0.00249376558603491,401,1,0,0,0,0,0,0,0
"2012-02-01","Mozambique",4,0,3,1,2,1,1,17,4,1,0,2,3,2,3,1,0,1,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00992555831265509,0,0.00744416873449132,0.00248138957816377,0.00496277915632754,0.00248138957816377,0.00248138957816377,0.0421836228287841,0.00992555831265509,0.00248138957816377,0,0.00496277915632754,0.00744416873449132,0.00496277915632754,0.00744416873449132,0.00248138957816377,0,0.00248138957816377,0.00248138957816377,0.00744416873449132,0,0.00248138957816377,0,0,0,0.00248138957816377,0,0.00248138957816377,0,0,0,0,0,0,0,0,0,0,0,0,0.00248138957816377,10,2,0,0,1,1,1,0,1,5,5,0.0248138957816377,0.00496277915632754,0,0,0.00248138957816377,0.00248138957816377,0.00248138957816377,0,0.00248138957816377,0.0124069478908189,0.0124069478908189,403,331,3,5.29406750942802,0.00248138957816377,0.00744416873449132,403,1,0,0,0,0,0,0,0
"2012-03-01","Mozambique",5,3,4,1,2,0,0,16,6,2,0,0,2,1,2,2,0,0,4,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0.0102459016393443,0.00614754098360656,0.00819672131147541,0.00204918032786885,0.00409836065573771,0,0,0.0327868852459016,0.0122950819672131,0.00409836065573771,0,0,0.00409836065573771,0.00204918032786885,0.00409836065573771,0.00409836065573771,0,0,0.00819672131147541,0.00409836065573771,0,0,0,0,0.00204918032786885,0,0,0,0,0.00409836065573771,0,0,0,0.00204918032786885,0,0,0,0,0,0.00204918032786885,0.00204918032786885,5,3,0,0,3,8,0,0,0,3,3,0.0102459016393443,0.00614754098360656,0,0,0.00614754098360656,0.0163934426229508,0,0,0,0.00614754098360656,0.00614754098360656,488,413,1,4.61676634280956,0.00204918032786885,0.0102459016393443,488,1,0,0,0,0,0,0,0
"2012-04-01","Mozambique",1,1,15,0,5,0,0,9,3,5,0,0,1,0,2,0,0,1,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.00229357798165138,0.00229357798165138,0.0344036697247706,0,0.0114678899082569,0,0,0.0206422018348624,0.00688073394495413,0.0114678899082569,0,0,0.00229357798165138,0,0.00458715596330275,0,0,0.00229357798165138,0.00458715596330275,0.00688073394495413,0,0,0,0,0,0.00229357798165138,0.00458715596330275,0,0,0,0,0,0,0.00229357798165138,0.00229357798165138,0,0,0.00229357798165138,0,0,0,6,5,1,0,6,4,0,1,1,7,6,0.0137614678899083,0.0114678899082569,0.00229357798165138,0,0.0137614678899083,0.00917431192660551,0,0.00229357798165138,0.00229357798165138,0.0160550458715596,0.0137614678899083,436,352,4,3.48044915370724,0.00229357798165138,0.0114678899082569,436,1,0,0,0,0,0,0,0
"2012-05-01","Mozambique",2,0,7,1,3,0,0,13,10,2,0,1,7,1,2,2,0,0,8,2,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.00376647834274953,0,0.0131826741996234,0.00188323917137476,0.00564971751412429,0,0,0.0244821092278719,0.0188323917137476,0.00376647834274953,0,0.00188323917137476,0.0131826741996234,0.00188323917137476,0.00376647834274953,0.00376647834274953,0,0,0.0150659133709981,0.00376647834274953,0,0.00188323917137476,0,0,0,0,0,0,0,0.00753295668549906,0,0.00188323917137476,0,0,0,0,0,0,0,0,0,12,4,0,0,3,5,1,2,0,7,5,0.0225988700564972,0.00753295668549906,0,0,0.00564971751412429,0.00941619585687382,0.00188323917137476,0.00376647834274953,0,0.0131826741996234,0.00941619585687382,531,435,0,5.48330250789414,0.00188323917137476,0.00941619585687382,531,1,0,1,0,0,0,0,0
"2012-06-01","Mozambique",2,3,4,0,1,1,0,9,9,1,0,1,7,2,7,2,1,2,4,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00328947368421053,0.00493421052631579,0.00657894736842105,0,0.00164473684210526,0.00164473684210526,0,0.0148026315789474,0.0148026315789474,0.00164473684210526,0,0.00164473684210526,0.0115131578947368,0.00328947368421053,0.0115131578947368,0.00328947368421053,0.00164473684210526,0.00328947368421053,0.00657894736842105,0.0180921052631579,0,0.00164473684210526,0,0,0,0,0,0,0,0.00164473684210526,0,0,0,0,0,0,0,0,0,0,0.00164473684210526,29,5,3,0,11,5,0,0,0,16,9,0.0476973684210526,0.00822368421052632,0.00493421052631579,0,0.0180921052631579,0.00822368421052632,0,0,0,0.0263157894736842,0.0148026315789474,608,470,3,5.32272429281136,0.00164473684210526,0.00328947368421053,608,1,0,1,0,0,0,0,0
"2012-07-01","Mozambique",5,0,3,0,0,0,2,17,10,3,0,0,6,0,2,2,0,0,7,7,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,1,1,1,0.00792393026941363,0,0.00475435816164818,0,0,0,0.00316957210776545,0.0269413629160063,0.0158478605388273,0.00475435816164818,0,0,0.00950871632329636,0,0.00316957210776545,0.00316957210776545,0,0,0.0110935023771791,0.0110935023771791,0,0,0,0,0,0,0.00158478605388273,0.00158478605388273,0,0.00475435816164818,0,0,0,0.00158478605388273,0.00158478605388273,0,0,0,0.00158478605388273,0.00158478605388273,0.00158478605388273,12,9,3,0,4,7,0,0,1,15,11,0.0190174326465927,0.0142630744849445,0.00475435816164818,0,0.0063391442155309,0.0110935023771791,0,0,0.00158478605388273,0.0237717908082409,0.01743264659271,631,513,1,5.25237868271555,0.00316957210776545,0.0126782884310618,631,1,0,1,0,0,0,0,0
"2012-08-01","Mozambique",2,0,5,0,4,0,1,16,8,8,1,0,5,0,4,3,0,3,6,5,0,0,0,0,0,0,1,1,1,4,0,0,0,2,0,0,0,0,0,0,1,0.0027359781121751,0,0.00683994528043776,0,0.00547195622435021,0,0.00136798905608755,0.0218878248974008,0.0109439124487004,0.0109439124487004,0.00136798905608755,0,0.00683994528043776,0,0.00547195622435021,0.00410396716826265,0,0.00410396716826265,0.00820793433652531,0.00683994528043776,0,0,0,0,0,0,0.00136798905608755,0.00136798905608755,0.00136798905608755,0.00547195622435021,0,0,0,0.0027359781121751,0,0,0,0,0,0,0.00136798905608755,11,5,3,0,6,11,3,1,1,15,11,0.0150478796169631,0.00683994528043776,0.00410396716826265,0,0.00820793433652531,0.0150478796169631,0.00410396716826265,0.00136798905608755,0.00136798905608755,0.0205198358413133,0.0150478796169631,731,599,2,4.60529944607369,0.00547195622435021,0.00820793433652531,731,1,0,1,0,0,0,0,0
"2012-09-01","Mozambique",9,0,6,0,4,1,0,18,5,5,1,1,7,1,1,3,1,0,2,7,0,1,0,0,2,2,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0135135135135135,0,0.00900900900900901,0,0.00600600600600601,0.0015015015015015,0,0.027027027027027,0.00750750750750751,0.00750750750750751,0.0015015015015015,0.0015015015015015,0.0105105105105105,0.0015015015015015,0.0015015015015015,0.0045045045045045,0.0015015015015015,0,0.003003003003003,0.0105105105105105,0,0.0015015015015015,0,0,0.003003003003003,0.003003003003003,0.0015015015015015,0.0015015015015015,0,0.0015015015015015,0,0,0,0,0,0.0015015015015015,0,0.0015015015015015,0,0.0015015015015015,0.0015015015015015,13,8,2,0,6,7,0,0,0,14,14,0.0195195195195195,0.012012012012012,0.003003003003003,0,0.00900900900900901,0.0105105105105105,0,0,0,0.021021021021021,0.021021021021021,666,536,3,5.54487806120396,0.0015015015015015,0.0165165165165165,666,1,0,1,0,0,0,0,0
"2012-10-01","Mozambique",4,1,7,0,4,0,1,11,16,9,0,3,10,0,8,4,0,1,7,7,0,2,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.00544959128065395,0.00136239782016349,0.00953678474114441,0,0.00544959128065395,0,0.00136239782016349,0.0149863760217984,0.0217983651226158,0.0122615803814714,0,0.00408719346049046,0.0136239782016349,0,0.0108991825613079,0.00544959128065395,0,0.00136239782016349,0.00953678474114441,0.00953678474114441,0,0.00272479564032698,0,0.00136239782016349,0.00136239782016349,0,0,0,0,0.00136239782016349,0,0,0,0.00272479564032698,0,0,0,0,0,0,0,18,9,1,0,3,3,2,1,0,11,7,0.0245231607629428,0.0122615803814714,0.00136239782016349,0,0.00408719346049046,0.00408719346049046,0.00272479564032698,0.00136239782016349,0,0.0149863760217984,0.00953678474114441,734,593,2,5.67603523292083,0.00408719346049046,0.00544959128065395,734,1,0,1,0,0,0,0,0
