"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","confidentenamibia.com","thevillager.com.na","observer24.com.na","informante.web.na"
"2017-01-01","Namibia",0,0,0,0,0,0,0,8,4,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0.0213903743315508,0.0106951871657754,0.0053475935828877,0,0,0.00267379679144385,0,0.00267379679144385,0.00267379679144385,0,0,0,0,0,0,0,0,0,0.00267379679144385,0,0.00267379679144385,0,0,0,0.00267379679144385,0.00267379679144385,0.00267379679144385,0,0,0,0,0.00267379679144385,0.0053475935828877,4,1,11,1,24,1,0,0,0,1,3,0.0106951871657754,0.00267379679144385,0.0294117647058824,0.00267379679144385,0.0641711229946524,0.00267379679144385,0,0,0,0.00267379679144385,0.00802139037433155,374,323,0,1.8852754708372,0.00802139037433155,0.0133689839572193,374,0,0,0,0
"2017-02-01","Namibia",5,0,0,0,3,0,0,11,6,1,0,0,4,3,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0.0110864745011086,0,0,0,0.00665188470066519,0,0,0.024390243902439,0.0133037694013304,0.00221729490022173,0,0,0.00886917960088692,0.00665188470066519,0,0,0,0.00443458980044346,0,0.00443458980044346,0,0,0,0,0.00221729490022173,0,0,0,0,0.00443458980044346,0,0.00221729490022173,0,0.00221729490022173,0.00221729490022173,0,0,0,0,0,4,1,13,1,24,3,0,0,0,3,3,0.00886917960088692,0.00221729490022173,0.0288248337028825,0.00221729490022173,0.0532150776053215,0.00665188470066519,0,0,0,0.00665188470066519,0.00665188470066519,451,379,0,3.46388712365316,0.00221729490022173,0.0133037694013304,451,0,1,0,0
"2017-03-01","Namibia",0,0,1,0,6,0,0,18,6,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0017825311942959,0,0.0106951871657754,0,0,0.0320855614973262,0.0106951871657754,0.0017825311942959,0.0017825311942959,0.0017825311942959,0.0035650623885918,0.0017825311942959,0.0035650623885918,0.0017825311942959,0,0,0,0,0,0,0,0,0.0017825311942959,0,0,0,0,0.0017825311942959,0,0,0,0,0,0.0017825311942959,0,0,0,0,3,4,2,0,15,6,0,1,1,2,1,0.0053475935828877,0.0071301247771836,0.0035650623885918,0,0.0267379679144385,0.0106951871657754,0,0.0017825311942959,0.0017825311942959,0.0035650623885918,0.0017825311942959,561,490,0,1.87486441927377,0.0017825311942959,0.0035650623885918,561,0,0,0,0
"2017-04-01","Namibia",1,0,1,0,0,0,0,7,3,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0.00226757369614512,0,0.00226757369614512,0,0,0,0,0.0158730158730159,0.00680272108843537,0.00226757369614512,0,0,0.00226757369614512,0,0,0,0,0,0.00226757369614512,0.00453514739229025,0,0,0,0,0.00226757369614512,0.00226757369614512,0.00226757369614512,0,0,0.00453514739229025,0,0,0.00226757369614512,0,0,0,0,0,0,0.00226757369614512,0,3,0,0,11,5,1,0,0,1,4,0,0.00680272108843537,0,0,0.0249433106575964,0.0113378684807256,0.00226757369614512,0,0,0.00226757369614512,0.0090702947845805,441,400,0,1.47352875140587,0.00680272108843537,0.0113378684807256,441,0,0,0,0
"2017-05-01","Namibia",2,0,0,0,2,0,1,4,6,3,0,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00451467268623025,0,0,0,0.00451467268623025,0,0.00225733634311512,0.0090293453724605,0.0135440180586907,0.00677200902934537,0,0,0.00451467268623025,0.00225733634311512,0.00451467268623025,0.00451467268623025,0,0,0,0.00225733634311512,0,0,0,0,0,0,0,0,0,0.00225733634311512,0,0,0,0,0,0,0,0,0,0,4,4,3,1,7,1,2,1,1,1,2,0.0090293453724605,0.0090293453724605,0.00677200902934537,0.00225733634311512,0.0158013544018059,0.00225733634311512,0.00451467268623025,0.00225733634311512,0.00225733634311512,0.00225733634311512,0.00451467268623025,443,397,0,3.66428181436247,0,0.00225733634311512,443,0,0,0,0
"2017-06-01","Namibia",0,1,0,0,0,0,0,4,3,1,0,0,5,4,1,4,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0.00191938579654511,0,0,0,0,0,0.00767754318618042,0.00575815738963532,0.00191938579654511,0,0,0.00959692898272553,0.00767754318618042,0.00191938579654511,0.00767754318618042,0.00191938579654511,0.00383877159309021,0,0,0,0,0.00383877159309021,0,0.00191938579654511,0,0,0,0,0,0,0,0.00575815738963532,0,0,0,0.00191938579654511,0,0,0,8,3,7,2,10,1,3,1,2,0,0,0.0153550863723608,0.00575815738963532,0.0134357005758157,0.00383877159309021,0.0191938579654511,0.00191938579654511,0.00575815738963532,0.00191938579654511,0.00383877159309021,0,0,521,472,0,3.98935182416502,0.00767754318618042,0.00575815738963532,521,0,0,0,0
"2017-07-01","Namibia",2,0,2,0,0,0,0,4,2,1,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0.00809716599190283,0,0.00809716599190283,0,0,0,0,0.0161943319838057,0.00809716599190283,0.00404858299595142,0,0,0.0202429149797571,0.00404858299595142,0,0.00404858299595142,0,0,0,0.00404858299595142,0,0,0,0,0,0.00404858299595142,0.00404858299595142,0,0,0.00404858299595142,0,0,0,0,0,0.00404858299595142,0.00404858299595142,0,0.00404858299595142,0,0,3,1,1,6,5,0,0,1,1,0,0,0.0121457489878543,0.00404858299595142,0.00404858299595142,0.0242914979757085,0.0202429149797571,0,0,0.00404858299595142,0.00404858299595142,0,247,216,0,3.67041049167128,0,0.0242914979757085,247,0,0,0,0
"2017-08-01","Namibia",1,0,3,0,0,0,0,3,3,2,0,0,4,0,0,2,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0.0033003300330033,0,0.0099009900990099,0,0,0,0,0.0099009900990099,0.0099009900990099,0.0066006600660066,0,0,0.0132013201320132,0,0,0.0066006600660066,0,0.0066006600660066,0,0.0033003300330033,0,0,0,0,0.0033003300330033,0.0033003300330033,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0.0099009900990099,0.0066006600660066,5,3,3,0,12,1,0,0,0,1,0,0.0165016501650165,0.0099009900990099,0.0099009900990099,0,0.0396039603960396,0.0033003300330033,0,0,0,0.0033003300330033,0,303,264,3,3.56243185791502,0.0099009900990099,0.0165016501650165,303,0,0,0,0
"2017-09-01","Namibia",0,0,2,1,0,0,0,5,2,1,0,0,3,3,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0.00394477317554241,0.0019723865877712,0,0,0,0.00986193293885602,0.00394477317554241,0.0019723865877712,0,0,0.00591715976331361,0.00591715976331361,0.0019723865877712,0.00591715976331361,0.0019723865877712,0.0019723865877712,0,0,0,0,0.0019723865877712,0,0,0,0,0,0,0,0,0,0.0019723865877712,0,0.0019723865877712,0,0.0019723865877712,0,0,0.0019723865877712,5,6,8,1,15,6,4,0,0,0,2,0.00986193293885602,0.0118343195266272,0.0157790927021696,0.0019723865877712,0.029585798816568,0.0118343195266272,0.00788954635108481,0,0,0,0.00394477317554241,507,449,0,2.44117621962569,0,0.00986193293885602,507,0,0,0,0
"2017-10-01","Namibia",0,0,4,1,1,1,0,8,3,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0.0075046904315197,0.00187617260787992,0.00187617260787992,0.00187617260787992,0,0.0150093808630394,0.00562851782363977,0.00375234521575985,0.00187617260787992,0.00187617260787992,0.00375234521575985,0.00187617260787992,0,0,0,0.00187617260787992,0,0,0,0,0,0,0,0,0,0,0,0,0.00187617260787992,0,0.00375234521575985,0.00187617260787992,0,0,0.00187617260787992,0,0,0,1,3,5,0,14,2,1,0,2,2,2,0.00187617260787992,0.00562851782363977,0.00938086303939963,0,0.026266416510319,0.00375234521575985,0.00187617260787992,0,0.00375234521575985,0.00375234521575985,0.00375234521575985,533,481,1,1.75854222345589,0.00375234521575985,0.0075046904315197,533,0,0,0,0
