"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","onlinekhabar.com","english.onlinekhabar.com","en.setopati.com","thehimalayantimes.com","nepalitimes.com"
"2014-01-01","Nepal",1,1,12,2,18,1,0,4,10,8,0,1,3,7,14,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274725274725275,0.00274725274725275,0.032967032967033,0.00549450549450549,0.0494505494505494,0.00274725274725275,0,0.010989010989011,0.0274725274725275,0.021978021978022,0,0.00274725274725275,0.00824175824175824,0.0192307692307692,0.0384615384615385,0.00549450549450549,0,0.00549450549450549,0,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,4,0,5,17,1,0,0,2,3,0.0192307692307692,0.0467032967032967,0.010989010989011,0,0.0137362637362637,0.0467032967032967,0.00274725274725275,0,0,0.00549450549450549,0.00824175824175824,364,228,364,6.42157829701784,0,0.00549450549450549,364,1,0,0,0,0
"2014-02-01","Nepal",0,0,7,0,5,2,0,13,5,8,1,2,1,3,5,1,0,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0207715133531157,0,0.0148367952522255,0.00593471810089021,0,0.0385756676557863,0.0148367952522255,0.0237388724035608,0.0029673590504451,0.00593471810089021,0.0029673590504451,0.00890207715133531,0.0148367952522255,0.0029673590504451,0,0.00890207715133531,0.0029673590504451,0.00593471810089021,0.0029673590504451,0,0,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0,0,0.0029673590504451,0,0,0,0,8,15,4,0,3,13,0,1,1,0,0,0.0237388724035608,0.0445103857566766,0.0118694362017804,0,0.00890207715133531,0.0385756676557863,0,0.0029673590504451,0.0029673590504451,0,0,337,237,334,7.95748820414684,0.00593471810089021,0.00890207715133531,337,0,0,0,0,0
"2014-03-01","Nepal",2,0,10,5,13,1,0,7,5,5,0,3,1,3,16,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00544959128065395,0,0.0272479564032698,0.0136239782016349,0.0354223433242507,0.00272479564032698,0,0.0190735694822888,0.0136239782016349,0.0136239782016349,0,0.00817438692098093,0.00272479564032698,0.00817438692098093,0.0435967302452316,0.00544959128065395,0.00544959128065395,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0.00272479564032698,0,0,0,0,0,0,0,0,0.00272479564032698,0,0,0,0,0,4,20,4,0,7,16,1,0,1,0,0,0.0108991825613079,0.0544959128065395,0.0108991825613079,0,0.0190735694822888,0.0435967302452316,0.00272479564032698,0,0.00272479564032698,0,0,367,240,364,8.33291327723768,0.00272479564032698,0.00817438692098093,367,0,0,0,0,0
"2014-04-01","Nepal",0,0,13,2,21,1,1,17,3,11,0,1,2,2,10,0,0,4,4,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317848410757946,0.00488997555012225,0.0513447432762836,0.00244498777506112,0.00244498777506112,0.0415647921760391,0.00733496332518337,0.0268948655256724,0,0.00244498777506112,0.00488997555012225,0.00488997555012225,0.0244498777506112,0,0,0.0097799511002445,0.0097799511002445,0.00733496332518337,0,0,0,0,0,0.00733496332518337,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,6,0,10,10,1,0,3,1,3,0.00733496332518337,0.0488997555012225,0.0146699266503667,0,0.0244498777506112,0.0244498777506112,0.00244498777506112,0,0.00733496332518337,0.00244498777506112,0.00733496332518337,409,266,405,7.44629087883208,0,0.019559902200489,409,0,0,0,0,0
"2014-05-01","Nepal",5,0,14,7,16,2,0,10,5,9,1,1,7,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015015015015015,0,0.042042042042042,0.021021021021021,0.048048048048048,0.00600600600600601,0,0.03003003003003,0.015015015015015,0.027027027027027,0.003003003003003,0.003003003003003,0.021021021021021,0,0.042042042042042,0.003003003003003,0,0,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,7,0,6,13,0,0,0,1,2,0.024024024024024,0.0750750750750751,0.021021021021021,0,0.018018018018018,0.039039039039039,0,0,0,0.003003003003003,0.00600600600600601,333,191,333,5.41157235755025,0,0.003003003003003,333,0,0,0,1,0
"2014-06-01","Nepal",2,0,12,3,15,2,0,9,6,7,0,1,7,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00547945205479452,0,0.0328767123287671,0.00821917808219178,0.0410958904109589,0.00547945205479452,0,0.0246575342465753,0.0164383561643836,0.0191780821917808,0,0.00273972602739726,0.0191780821917808,0.00273972602739726,0.00547945205479452,0.00547945205479452,0,0,0,0.00273972602739726,0,0,0,0,0,0,0.00273972602739726,0,0,0,0.00273972602739726,0,0,0,0,0,0,0,0,0,0,0,7,10,4,0,4,9,2,0,2,1,2,0.0191780821917808,0.0273972602739726,0.010958904109589,0,0.010958904109589,0.0246575342465753,0.00547945205479452,0,0.00547945205479452,0.00273972602739726,0.00547945205479452,365,266,363,4.830868183558,0.00273972602739726,0.00547945205479452,365,1,1,0,1,0
"2014-07-01","Nepal",8,0,22,3,26,2,0,13,10,13,1,5,13,3,12,6,2,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.0119225037257824,0,0.0327868852459016,0.00447093889716841,0.0387481371087928,0.0029806259314456,0,0.0193740685543964,0.014903129657228,0.0193740685543964,0.0014903129657228,0.00745156482861401,0.0193740685543964,0.00447093889716841,0.0178837555886736,0.00894187779433681,0.0029806259314456,0.00447093889716841,0.0014903129657228,0.0029806259314456,0,0,0,0,0,0,0,0,0,0,0.0029806259314456,0,0,0,0.0014903129657228,0,0,0,0,0,0,0,8,27,2,0,3,26,1,1,2,2,4,0.0119225037257824,0.0402384500745156,0.0029806259314456,0,0.00447093889716841,0.0387481371087928,0.0014903129657228,0.0014903129657228,0.0029806259314456,0.0029806259314456,0.00596125186289121,671,464,668,6.38092888761937,0,0.00745156482861401,671,1,1,0,0,0
"2014-08-01","Nepal",5,4,9,2,43,1,0,67,20,10,0,1,19,5,14,6,3,8,7,4,1,0,0,0,1,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0.00585480093676815,0.00468384074941452,0.0105386416861827,0.00234192037470726,0.0503512880562061,0.00117096018735363,0,0.0784543325526932,0.0234192037470726,0.0117096018735363,0,0.00117096018735363,0.022248243559719,0.00585480093676815,0.0163934426229508,0.00702576112412178,0.00351288056206089,0.00936768149882904,0.00819672131147541,0.00468384074941452,0.00117096018735363,0,0,0,0.00117096018735363,0,0,0.00351288056206089,0.00234192037470726,0,0.00585480093676815,0,0,0,0,0,0,0,0,0,0.00117096018735363,0,24,20,6,1,8,19,4,3,2,8,6,0.0281030444964871,0.0234192037470726,0.00702576112412178,0.00117096018735363,0.00936768149882904,0.022248243559719,0.00468384074941452,0.00351288056206089,0.00234192037470726,0.00936768149882904,0.00702576112412178,854,551,841,5.92323308762236,0.00468384074941452,0.0175644028103044,854,1,0,0,1,0
"2014-09-01","Nepal",1,0,11,4,42,3,0,17,29,13,0,2,19,5,18,6,0,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0.00137174211248285,0,0.0150891632373114,0.00548696844993141,0.0576131687242798,0.00411522633744856,0,0.0233196159122085,0.0397805212620027,0.0178326474622771,0,0.00274348422496571,0.0260631001371742,0.00685871056241427,0.0246913580246914,0.00823045267489712,0,0.00411522633744856,0.00137174211248285,0.00411522633744856,0,0,0,0,0,0,0,0.00137174211248285,0,0,0,0,0,0,0.00274348422496571,0,0.00137174211248285,0,0,0,0,0,14,24,3,1,9,8,1,3,2,0,4,0.0192043895747599,0.0329218106995885,0.00411522633744856,0.00137174211248285,0.0123456790123457,0.0109739368998628,0.00137174211248285,0.00411522633744856,0.00274348422496571,0,0.00548696844993141,729,504,725,4.34857697666265,0.00411522633744856,0.00685871056241427,729,1,0,0,0,0
"2014-10-01","Nepal",5,1,9,3,36,1,0,52,7,11,0,3,13,8,6,4,0,4,6,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.00794912559618442,0.00158982511923688,0.014308426073132,0.00476947535771065,0.0572337042925278,0.00158982511923688,0,0.082670906200318,0.0111287758346582,0.0174880763116057,0,0.00476947535771065,0.0206677265500795,0.0127186009538951,0.0095389507154213,0.00635930047694754,0,0.00635930047694754,0.0095389507154213,0.00476947535771065,0,0,0,0,0,0,0.00317965023847377,0,0,0,0.00476947535771065,0,0,0,0,0.00158982511923688,0,0,0,0,0,0,11,19,4,0,10,11,0,0,1,0,0,0.0174880763116057,0.0302066772655008,0.00635930047694754,0,0.0158982511923688,0.0174880763116057,0,0,0.00158982511923688,0,0,629,415,623,6.88515252198993,0.00317965023847377,0.0127186009538951,629,1,0,0,0,0
