"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","confidencial.com.ni","nuevaya.com.ni","articulo66.com","laverdadnica.com","ondalocalni.com","canal2tv.com","lajornadanet.com"
"2012-01-01","Nicaragua",2,1,31,3,15,1,2,13,22,3,0,2,8,2,12,5,0,2,1,10,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0.00223713646532438,0.00111856823266219,0.034675615212528,0.00335570469798658,0.0167785234899329,0.00111856823266219,0.00223713646532438,0.0145413870246085,0.0246085011185682,0.00335570469798658,0,0.00223713646532438,0.00894854586129754,0.00223713646532438,0.0134228187919463,0.00559284116331096,0,0.00223713646532438,0.00111856823266219,0.0111856823266219,0,0,0,0,0,0,0,0,0.00223713646532438,0,0,0.00111856823266219,0.00111856823266219,0,0,0,0,0,0,0,1,6,4,0,10,12,2,0,0,6,4,0.00111856823266219,0.00671140939597315,0.00447427293064877,0,0.0111856823266219,0.0134228187919463,0.00223713646532438,0,0,0.00671140939597315,0.00447427293064877,894,723,6,5.65027833192444,0.00335570469798658,0.00111856823266219,894,0,0,0,1,0,0,0
"2012-02-01","Nicaragua",1,0,12,3,7,1,3,5,15,7,1,5,5,0,9,5,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.00150602409638554,0,0.0180722891566265,0.00451807228915663,0.0105421686746988,0.00150602409638554,0.00451807228915663,0.00753012048192771,0.0225903614457831,0.0105421686746988,0.00150602409638554,0.00753012048192771,0.00753012048192771,0,0.0135542168674699,0.00753012048192771,0,0.00451807228915663,0.00451807228915663,0.0105421686746988,0,0,0,0,0,0,0,0,0,0,0,0.00150602409638554,0.00150602409638554,0,0,0,0,0,0,0,5,9,3,1,8,8,0,0,1,4,3,0.00753012048192771,0.0135542168674699,0.00451807228915663,0.00150602409638554,0.0120481927710843,0.0120481927710843,0,0,0.00150602409638554,0.00602409638554217,0.00451807228915663,664,542,9,6.26812973290081,0.00150602409638554,0.00150602409638554,664,0,1,0,1,0,0,0
"2012-03-01","Nicaragua",3,0,7,1,15,2,0,9,8,8,0,1,5,3,18,7,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038961038961039,0,0.00909090909090909,0.0012987012987013,0.0194805194805195,0.0025974025974026,0,0.0116883116883117,0.0103896103896104,0.0103896103896104,0,0.0012987012987013,0.00649350649350649,0.0038961038961039,0.0233766233766234,0.00909090909090909,0.0012987012987013,0.0012987012987013,0.00779220779220779,0.00779220779220779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,1,0,15,15,0,0,0,2,5,0.00779220779220779,0.0194805194805195,0.0012987012987013,0,0.0194805194805195,0.0194805194805195,0,0,0,0.0025974025974026,0.00649350649350649,770,611,3,6.17635860194398,0,0,770,0,1,0,1,0,0,0
"2012-04-01","Nicaragua",2,0,12,1,6,3,0,19,12,9,0,1,6,3,7,0,0,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00318979266347687,0,0.0191387559808612,0.00159489633173844,0.00956937799043062,0.00478468899521531,0,0.0303030303030303,0.0191387559808612,0.0143540669856459,0,0.00159489633173844,0.00956937799043062,0.00478468899521531,0.0111642743221691,0,0,0.00159489633173844,0.0127591706539075,0,0,0,0,0,0,0,0,0,0.00318979266347687,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,11,6,0,1,0,6,4,0.00478468899521531,0.00797448165869218,0.00318979266347687,0,0.0175438596491228,0.00956937799043062,0,0.00159489633173844,0,0.00956937799043062,0.00637958532695375,627,507,12,6.04122136971832,0,0.00318979266347687,627,0,1,0,1,0,0,0
"2012-05-01","Nicaragua",5,0,11,1,6,1,0,24,18,13,0,1,5,1,29,7,0,1,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00600240096038415,0,0.0132052821128451,0.00120048019207683,0.00720288115246098,0.00120048019207683,0,0.0288115246098439,0.021608643457383,0.0156062424969988,0,0.00120048019207683,0.00600240096038415,0.00120048019207683,0.0348139255702281,0.00840336134453781,0,0.00120048019207683,0.00480192076830732,0.00720288115246098,0,0,0,0,0,0,0,0.00120048019207683,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,1,9,4,1,3,1,3,3,0.00720288115246098,0.00720288115246098,0.00240096038415366,0.00120048019207683,0.0108043217286915,0.00480192076830732,0.00120048019207683,0.00360144057623049,0.00120048019207683,0.00360144057623049,0.00360144057623049,833,667,3,5.8155220100782,0.00120048019207683,0,833,0,0,0,1,0,0,0
"2012-06-01","Nicaragua",3,0,8,1,4,1,0,7,12,9,1,4,5,0,11,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556586270871985,0,0.0148423005565863,0.00185528756957328,0.00742115027829314,0.00185528756957328,0,0.012987012987013,0.0222634508348794,0.0166975881261596,0.00185528756957328,0.00742115027829314,0.00927643784786642,0,0.0204081632653061,0.00742115027829314,0,0.00371057513914657,0.00556586270871985,0.00185528756957328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,9,9,0,0,0,1,0,0.012987012987013,0.00742115027829314,0.00185528756957328,0,0.0166975881261596,0.0166975881261596,0,0,0,0.00185528756957328,0,539,436,1,6.35528731417867,0,0,539,0,0,0,1,0,0,0
"2012-07-01","Nicaragua",2,0,28,7,5,1,0,14,13,8,2,3,4,2,28,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240384615384615,0,0.0336538461538462,0.00841346153846154,0.00600961538461538,0.00120192307692308,0,0.0168269230769231,0.015625,0.00961538461538462,0.00240384615384615,0.00360576923076923,0.00480769230769231,0.00240384615384615,0.0336538461538462,0.00841346153846154,0,0,0.00240384615384615,0.00600961538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,18,7,1,1,1,8,4,0.00600961538461538,0.00360576923076923,0.00600961538461538,0,0.0216346153846154,0.00841346153846154,0.00120192307692308,0.00120192307692308,0.00120192307692308,0.00961538461538462,0.00480769230769231,832,655,0,5.8628203086222,0,0,832,0,1,0,1,0,0,0
"2012-08-01","Nicaragua",7,0,29,4,8,1,0,36,27,5,1,4,13,0,25,5,0,2,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00856793145654835,0,0.0354957160342717,0.00489596083231334,0.00979192166462668,0.00122399020807834,0,0.0440636474908201,0.0330477356181151,0.00611995104039168,0.00122399020807834,0.00489596083231334,0.0159118727050184,0,0.0305997552019584,0.00611995104039168,0,0.00244798041615667,0.00856793145654835,0.00367197062423501,0,0,0,0,0,0,0.00122399020807834,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,0,29,7,5,1,0,8,7,0.00979192166462668,0.00734394124847001,0.00979192166462668,0,0.0354957160342717,0.00856793145654835,0.00611995104039168,0.00122399020807834,0,0.00979192166462668,0.00856793145654835,817,579,7,6.28062872129159,0.00122399020807834,0,817,0,0,0,1,0,0,0
"2012-09-01","Nicaragua",3,0,14,2,9,0,0,41,18,5,0,3,9,1,5,3,0,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00505902192242833,0,0.0236087689713322,0.00337268128161889,0.015177065767285,0,0,0.0691399662731872,0.03035413153457,0.00843170320404722,0,0.00505902192242833,0.015177065767285,0.00168634064080944,0.00843170320404722,0.00505902192242833,0,0.00168634064080944,0.00337268128161889,0.00843170320404722,0,0,0,0,0,0,0,0,0.00168634064080944,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,16,3,0,0,0,4,2,0.00843170320404722,0.00168634064080944,0.0101180438448567,0,0.0269814502529511,0.00505902192242833,0,0,0,0.00674536256323777,0.00337268128161889,593,448,9,5.81045434651664,0,0.00168634064080944,593,0,0,0,1,0,0,0
"2012-10-01","Nicaragua",4,0,43,2,6,0,0,10,4,7,0,0,2,0,11,3,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00599700149925037,0,0.0644677661169415,0.00299850074962519,0.00899550224887556,0,0,0.0149925037481259,0.00599700149925037,0.0104947526236882,0,0,0.00299850074962519,0,0.0164917541229385,0.00449775112443778,0.00149925037481259,0,0.00599700149925037,0.00599700149925037,0.00149925037481259,0,0,0,0,0,0,0,0,0,0,0,0.00149925037481259,0,0,0,0,0,0,0,5,5,2,0,13,5,0,0,1,3,5,0.00749625187406297,0.00749625187406297,0.00299850074962519,0,0.0194902548725637,0.00749625187406297,0,0,0.00149925037481259,0.00449775112443778,0.00749625187406297,667,529,4,4.58488979910413,0.00149925037481259,0.00149925037481259,667,0,0,0,1,0,0,0
