"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","guardian.ng","thenewsnigeria.com.ng","vanguardngr.com","thenationonlineng.net"
"2012-01-01","Nigeria",18,0,17,5,47,4,1,28,43,17,14,16,22,8,217,19,7,27,114,71,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0.00841908325537886,0,0.00795135640785781,0.00233863423760524,0.0219831618334892,0.00187090739008419,0.000467726847521048,0.0130963517305893,0.0201122544434051,0.00795135640785781,0.00654817586529467,0.00748362956033676,0.010289990645463,0.00374181478016838,0.101496725912067,0.00888681010289991,0.00327408793264733,0.0126286248830683,0.0533208606173994,0.0332086061739944,0,0.000467726847521048,0,0,0,0,0.000467726847521048,0,0,0,0,0.000467726847521048,0,0,0.000935453695042095,0,0,0,0,0,0.000467726847521048,0,19,28,11,1,31,19,7,1,3,11,18,0.00888681010289991,0.0130963517305893,0.00514499532273152,0.000467726847521048,0.0144995322731525,0.00888681010289991,0.00327408793264733,0.000467726847521048,0.00140318054256314,0.00514499532273152,0.00841908325537886,2138,1326,1,0.310006863152998,0,0.00280636108512629,2138,0,0,1,0
"2012-02-01","Nigeria",22,1,50,18,19,1,0,39,73,10,4,10,45,11,23,28,2,14,57,60,0,0,0,0,0,0,1,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0.0106847984458475,0.000485672656629432,0.0242836328314716,0.00874210781932977,0.0092277804759592,0.000485672656629432,0,0.0189412336085478,0.0354541039339485,0.00485672656629432,0.00194269062651773,0.00485672656629432,0.0218552695483244,0.00534239922292375,0.0111704711024769,0.0135988343856241,0.000971345313258863,0.00679941719281204,0.0276833414278776,0.0291403593977659,0,0,0,0,0,0,0.000485672656629432,0.000485672656629432,0,0.000485672656629432,0.000971345313258863,0.000485672656629432,0,0,0.000485672656629432,0.000485672656629432,0,0,0,0,0,0,30,16,18,1,63,29,6,2,5,21,16,0.014570179698883,0.00777076250607091,0.00874210781932977,0.000485672656629432,0.0305973773676542,0.0140845070422535,0.00291403593977659,0.000971345313258863,0.00242836328314716,0.0101991257892181,0.00777076250607091,2059,1425,3,4.0972260848518,0.00194269062651773,0.00194269062651773,2059,0,0,1,0
"2012-03-01","Nigeria",17,1,42,1,40,5,2,54,87,17,2,11,56,4,16,20,3,20,81,37,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0.0070364238410596,0.000413907284768212,0.0173841059602649,0.000413907284768212,0.0165562913907285,0.00206953642384106,0.000827814569536424,0.0223509933774834,0.0360099337748344,0.0070364238410596,0.000827814569536424,0.00455298013245033,0.0231788079470199,0.00165562913907285,0.00662251655629139,0.00827814569536424,0.00124172185430464,0.00827814569536424,0.0335264900662252,0.0153145695364238,0,0,0,0,0,0,0,0,0,0,0,0.000827814569536424,0,0,0,0.000413907284768212,0,0,0.000413907284768212,0,0.000413907284768212,0,43,52,27,3,83,16,6,4,8,16,22,0.0177980132450331,0.021523178807947,0.0111754966887417,0.00124172185430464,0.0343543046357616,0.00662251655629139,0.00248344370860927,0.00165562913907285,0.0033112582781457,0.00662251655629139,0.00910596026490066,2416,1703,2,3.9559022477217,0,0.00206953642384106,2416,0,0,1,0
"2012-04-01","Nigeria",8,0,28,4,21,4,1,49,91,16,3,12,59,11,45,33,7,22,73,63,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00346921075455334,0,0.0121422376409367,0.00173460537727667,0.00910667823070251,0.00173460537727667,0.000433651344319167,0.0212489158716392,0.0394622723330442,0.00693842150910668,0.0013009540329575,0.00520381613183001,0.0255854293148309,0.00477016478751084,0.0195143104943625,0.0143104943625325,0.00303555941023417,0.00954032957502168,0.0316565481352992,0.0273200346921075,0.000433651344319167,0,0,0,0,0.000433651344319167,0,0.000867302688638335,0.000433651344319167,0,0,0,0,0,0,0.000433651344319167,0,0,0,0,0,0,27,23,31,1,78,29,3,2,7,14,25,0.0117085862966175,0.00997398091934085,0.0134431916738942,0.000433651344319167,0.0338248048568951,0.0125758889852559,0.0013009540329575,0.000867302688638335,0.00303555941023417,0.00607111882046834,0.0108412836079792,2306,1604,3,4.5512425218232,0.000433651344319167,0.00216825672159584,2306,0,0,1,0
"2012-05-01","Nigeria",19,4,32,3,23,4,3,26,67,18,2,9,40,10,35,19,6,20,64,42,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,3,1,0.00822154911293812,0.00173085244482908,0.0138468195586326,0.00129813933362181,0.0099524015577672,0.00173085244482908,0.00129813933362181,0.011250540891389,0.0289917784508871,0.00778883600173085,0.000865426222414539,0.00389441800086543,0.0173085244482908,0.0043271311120727,0.0151449588922544,0.00822154911293812,0.00259627866724362,0.00865426222414539,0.0276936391172653,0.0181739506707053,0,0,0,0,0,0,0.00043271311120727,0.00043271311120727,0,0,0.000865426222414539,0.00043271311120727,0,0,0.00043271311120727,0.00043271311120727,0,0,0,0,0.00129813933362181,0.00043271311120727,41,30,25,2,61,26,7,6,8,21,29,0.0177412375594981,0.0129813933362181,0.0108178277801817,0.000865426222414539,0.0263954997836434,0.011250540891389,0.00302899177845089,0.00259627866724362,0.00346170488965816,0.00908697533535266,0.0125486802250108,2311,1676,7,4.04040428015697,0.00043271311120727,0.0043271311120727,2311,0,0,1,0
"2012-06-01","Nigeria",12,2,29,5,14,0,1,80,77,15,17,10,62,7,17,32,2,16,91,62,0,0,1,0,0,1,3,3,0,0,1,1,0,1,0,0,0,2,2,0,2,1,0.00500834724540901,0.000834724540901503,0.0121035058430718,0.00208681135225376,0.00584307178631052,0,0.000417362270450751,0.0333889816360601,0.0321368948247078,0.00626043405676127,0.00709515859766277,0.00417362270450751,0.0258764607679466,0.00292153589315526,0.00709515859766277,0.013355592654424,0.000834724540901503,0.00667779632721202,0.0379799666110184,0.0258764607679466,0,0,0.000417362270450751,0,0,0.000417362270450751,0.00125208681135225,0.00125208681135225,0,0,0.000417362270450751,0.000417362270450751,0,0.000417362270450751,0,0,0,0.000834724540901503,0.000834724540901503,0,0.000834724540901503,0.000417362270450751,47,24,31,0,58,24,8,5,3,15,9,0.0196160267111853,0.010016694490818,0.0129382303839733,0,0.0242070116861436,0.010016694490818,0.00333889816360601,0.00208681135225376,0.00125208681135225,0.00626043405676127,0.00375626043405676,2396,1707,10,3.02892741986441,0.000834724540901503,0.00667779632721202,2396,0,0,1,0
"2012-07-01","Nigeria",7,3,59,6,24,3,0,69,94,23,6,16,79,15,23,26,1,24,75,37,0,0,0,0,0,3,1,2,0,0,5,1,1,0,6,1,0,0,1,0,2,0,0.00259836674090572,0.00111358574610245,0.0219005196733482,0.0022271714922049,0.0089086859688196,0.00111358574610245,0,0.0256124721603563,0.0348923533778768,0.00853749072011878,0.0022271714922049,0.00593912397921307,0.0293244246473645,0.00556792873051225,0.00853749072011878,0.00965107646622123,0.000371195248700817,0.0089086859688196,0.0278396436525612,0.0137342242019302,0,0,0,0,0,0.00111358574610245,0.000371195248700817,0.000742390497401633,0,0,0.00185597624350408,0.000371195248700817,0.000371195248700817,0,0.0022271714922049,0.000371195248700817,0,0,0.000371195248700817,0,0.000742390497401633,0,45,36,29,1,80,35,4,5,9,14,19,0.0167037861915367,0.0133630289532294,0.0107646622123237,0.000371195248700817,0.0296956198960653,0.0129918337045286,0.00148478099480327,0.00185597624350408,0.00334075723830735,0.00519673348181143,0.00705270972531552,2694,1930,13,4.29102094300976,0.00259836674090572,0.00631031922791388,2694,0,0,1,0
"2012-08-01","Nigeria",16,0,22,9,33,3,0,59,67,16,5,10,57,8,39,28,6,15,63,51,0,0,0,0,0,0,7,2,0,0,3,3,0,0,4,0,2,0,1,0,1,2,0.0058287795992714,0,0.00801457194899818,0.00327868852459016,0.0120218579234973,0.00109289617486339,0,0.0214936247723133,0.024408014571949,0.0058287795992714,0.00182149362477231,0.00364298724954463,0.0207650273224044,0.0029143897996357,0.014207650273224,0.010200364298725,0.00218579234972678,0.00546448087431694,0.0229508196721311,0.0185792349726776,0,0,0,0,0,0,0.00255009107468124,0.000728597449908925,0,0,0.00109289617486339,0.00109289617486339,0,0,0.00145719489981785,0,0.000728597449908925,0,0.000364298724954463,0,0.000364298724954463,0.000728597449908925,58,37,23,0,78,33,7,4,7,21,27,0.0211293260473588,0.0134790528233151,0.00837887067395264,0,0.0284153005464481,0.0120218579234973,0.00255009107468124,0.00145719489981785,0.00255009107468124,0.00765027322404372,0.00983606557377049,2745,2018,8,3.15547291148287,0.00145719489981785,0.00765027322404372,2745,0,0,1,1
"2012-09-01","Nigeria",19,2,25,3,25,3,1,69,70,15,6,11,45,13,42,14,6,8,48,27,0,0,0,0,0,0,2,2,3,0,4,1,0,0,4,0,1,0,2,0,1,1,0.00805767599660729,0.000848176420695505,0.0106022052586938,0.00127226463104326,0.0106022052586938,0.00127226463104326,0.000424088210347752,0.0292620865139949,0.0296861747243427,0.00636132315521628,0.00254452926208651,0.00466497031382528,0.0190839694656489,0.00551314673452078,0.0178117048346056,0.00593723494486853,0.00254452926208651,0.00339270568278202,0.0203562340966921,0.0114503816793893,0,0,0,0,0,0,0.000848176420695505,0.000848176420695505,0.00127226463104326,0,0.00169635284139101,0.000424088210347752,0,0,0.00169635284139101,0,0.000424088210347752,0,0.000848176420695505,0,0.000424088210347752,0.000424088210347752,29,25,19,0,38,23,3,7,8,20,24,0.0122985581000848,0.0106022052586938,0.00805767599660729,0,0.0161153519932146,0.0097540288379983,0.00127226463104326,0.00296861747243427,0.00339270568278202,0.00848176420695505,0.0101781170483461,2358,1770,5,3.88884389912741,0.00296861747243427,0.00636132315521628,2358,0,0,1,1
"2012-10-01","Nigeria",28,0,47,8,22,7,1,145,72,20,3,11,44,13,26,20,5,19,100,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0106951871657754,0,0.0179526355996944,0.00305576776165011,0.00840336134453781,0.00267379679144385,0.000381970970206264,0.0553857906799083,0.027501909854851,0.00763941940412529,0.00114591291061879,0.00420168067226891,0.0168067226890756,0.00496562261268144,0.00993124522536287,0.00763941940412529,0.00190985485103132,0.00725744843391902,0.0381970970206264,0.0225362872421696,0,0,0,0,0,0,0.000381970970206264,0,0,0,0,0,0,0,0.000381970970206264,0,0,0,0,0,0.000381970970206264,0,47,26,41,1,80,23,8,2,7,19,21,0.0179526355996944,0.00993124522536287,0.0156608097784568,0.000381970970206264,0.0305576776165011,0.00878533231474408,0.00305576776165011,0.000763941940412529,0.00267379679144385,0.00725744843391902,0.00802139037433155,2618,1776,31,3.24063422578765,0,0.00114591291061879,2618,0,0,1,1
"2012-11-01","Nigeria",11,1,26,5,30,2,3,55,69,36,2,8,53,5,14,20,2,12,76,38,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0.00457190357439734,0.000415627597672485,0.0108063175394846,0.00207813798836243,0.0124688279301746,0.000831255195344971,0.00124688279301746,0.0228595178719867,0.0286783042394015,0.0149625935162095,0.000831255195344971,0.00332502078137988,0.0220282626766417,0.00207813798836243,0.0058187863674148,0.00831255195344971,0.000831255195344971,0.00498753117206983,0.0315876974231089,0.0157938487115544,0,0,0,0,0,0,0,0,0,0,0.00374064837905237,0,0,0,0.000831255195344971,0,0,0,0,0,0,0,33,33,25,1,54,33,8,0,5,17,7,0.013715710723192,0.013715710723192,0.0103906899418121,0.000415627597672485,0.0224438902743142,0.013715710723192,0.00332502078137988,0,0.00207813798836243,0.00706566916043225,0.0029093931837074,2406,1802,23,3.64540610237302,0,0.00457190357439734,2406,0,0,1,1
"2012-12-01","Nigeria",28,1,27,4,15,1,1,51,68,23,1,11,62,5,21,20,5,10,62,69,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.0123293703214443,0.000440334654337296,0.011889035667107,0.00176133861734919,0.00660501981505945,0.000440334654337296,0.000440334654337296,0.0224570673712021,0.0299427564949362,0.0101276970497578,0.000440334654337296,0.00484368119771026,0.0273007485689124,0.00220167327168648,0.00924702774108322,0.00880669308674593,0.00220167327168648,0.00440334654337296,0.0273007485689124,0.0303830911492734,0,0,0,0,0,0,0,0,0,0,0.000880669308674593,0,0,0,0,0,0,0,0,0,0.000440334654337296,0,30,23,30,2,67,26,6,0,4,10,29,0.0132100396301189,0.0101276970497578,0.0132100396301189,0.000880669308674593,0.0295024218405989,0.0114487010127697,0.00264200792602378,0,0.00176133861734919,0.00440334654337296,0.0127697049757816,2271,1646,10,3.75921503517922,0,0.00132100396301189,2271,0,0,1,1
