"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","jang.com.pk","dailytimes.com.pk","pakobserver.net","tribune.com.pk"
2012-01-01,"Pakistan",35,3,87,15,82,11,1,68,173,44,2,8,76,18,81,34,3,21,156,46,0,0,0,0,1,0,6,2,1,0,2,0,0,0,0,5,0,0,0,0,2,0,0.00974658869395711,0.000835421888053467,0.0242272347535505,0.00417710944026733,0.0228348649401281,0.00306321358952938,0.000278473962684489,0.0189362294625453,0.0481759955444166,0.0122528543581175,0.000556947925368978,0.00222779170147591,0.0211640211640212,0.0050125313283208,0.0225563909774436,0.00946811473127263,0.000835421888053467,0.00584795321637427,0.0434419381787803,0.0128098022834865,0,0,0,0,0.000278473962684489,0,0.00167084377610693,0.000556947925368978,0.000278473962684489,0,0.000556947925368978,0,0,0,0,0.00139236981342244,0,0,0,0,0.000556947925368978,0,64,36,24,1,87,24,15,7,9,76,44,0.0178223336118073,0.0100250626566416,0.00668337510442774,0.000278473962684489,0.0242272347535505,0.00668337510442774,0.00417710944026733,0.00194931773879142,0.0025062656641604,0.0211640211640212,0.0122528543581175,3591,2334,3572,6.32172692306315,0.00167084377610693,0.0100250626566416,3591,1,0,0,1
2012-02-01,"Pakistan",41,6,113,19,120,8,1,126,217,71,4,14,101,19,139,27,5,17,192,65,1,0,1,3,0,0,15,1,0,0,3,0,1,0,3,1,3,0,1,1,1,0,0.00850622406639004,0.0012448132780083,0.0234439834024896,0.00394190871369295,0.024896265560166,0.0016597510373444,0.00020746887966805,0.0261410788381743,0.0450207468879668,0.0147302904564315,0.000829875518672199,0.0029045643153527,0.020954356846473,0.00394190871369295,0.0288381742738589,0.00560165975103734,0.00103734439834025,0.00352697095435685,0.0398340248962656,0.0134854771784232,0.00020746887966805,0,0.00020746887966805,0.000622406639004149,0,0,0.00311203319502075,0.00020746887966805,0,0,0.000622406639004149,0,0.00020746887966805,0,0.000622406639004149,0.00020746887966805,0.000622406639004149,0,0.00020746887966805,0.00020746887966805,0.00020746887966805,0,98,52,33,3,136,46,6,10,10,99,72,0.0203319502074689,0.0107883817427386,0.00684647302904564,0.000622406639004149,0.0282157676348548,0.00954356846473029,0.0012448132780083,0.0020746887966805,0.0020746887966805,0.0205394190871369,0.0149377593360996,4820,3076,4785,5.65722329848134,0.00394190871369295,0.00850622406639004,4820,0,1,0,1
2012-03-01,"Pakistan",40,11,73,28,86,10,3,100,228,51,3,9,89,41,134,32,6,45,205,62,0,0,0,0,0,2,4,2,0,1,4,1,0,0,1,1,3,0,2,0,0,0,0.00805152979066022,0.00221417069243156,0.0146940418679549,0.00563607085346216,0.0173107890499195,0.00201288244766506,0.000603864734299517,0.0201288244766506,0.0458937198067633,0.0102657004830918,0.000603864734299517,0.00181159420289855,0.017914653784219,0.00825281803542673,0.0269726247987118,0.00644122383252818,0.00120772946859903,0.00905797101449275,0.0412640901771337,0.0124798711755233,0,0,0,0,0,0.000402576489533011,0.000805152979066023,0.000402576489533011,0,0.000201288244766506,0.000805152979066023,0.000201288244766506,0,0,0.000201288244766506,0.000201288244766506,0.000603864734299517,0,0.000402576489533011,0,0,0,75,44,35,3,132,37,14,9,6,111,64,0.0150966183574879,0.00885668276972625,0.0070450885668277,0.000603864734299517,0.0265700483091787,0.00744766505636071,0.00281803542673108,0.00181159420289855,0.00120772946859903,0.0223429951690821,0.0128824476650564,4968,3300,4947,8.01301644504239,0.0036231884057971,0.00563607085346216,4968,0,1,0,1
2012-04-01,"Pakistan",29,5,49,13,106,15,6,143,227,37,22,22,68,34,136,37,6,28,158,98,0,0,0,0,0,3,7,1,3,0,7,0,0,0,1,2,2,1,2,1,2,0,0.0056640625,0.0009765625,0.0095703125,0.0025390625,0.020703125,0.0029296875,0.001171875,0.0279296875,0.0443359375,0.0072265625,0.004296875,0.004296875,0.01328125,0.006640625,0.0265625,0.0072265625,0.001171875,0.00546875,0.030859375,0.019140625,0,0,0,0,0,0.0005859375,0.0013671875,0.0001953125,0.0005859375,0,0.0013671875,0,0,0,0.0001953125,0.000390625,0.000390625,0.0001953125,0.000390625,0.0001953125,0.000390625,0,66,44,37,4,150,38,10,6,8,93,66,0.012890625,0.00859375,0.0072265625,0.00078125,0.029296875,0.007421875,0.001953125,0.001171875,0.0015625,0.0181640625,0.012890625,5120,3467,5088,6.89794585320587,0.00234375,0.008984375,5120,0,1,0,1
2012-05-01,"Pakistan",45,14,40,12,131,11,0,122,237,77,2,25,98,32,157,43,8,38,219,87,1,0,0,1,0,1,8,2,0,0,11,1,0,0,3,1,1,0,1,0,1,0,0.00791835298257962,0.00246348759458033,0.00703853598451522,0.00211156079535457,0.0230512053492873,0.00193559739574169,0,0.0214675347527714,0.0417033257082527,0.0135491817701918,0.000351926799225761,0.00439908499032201,0.0172444131620623,0.00563082878761218,0.0276262537392222,0.00756642618335386,0.00140770719690304,0.00668660918528946,0.0385359845152208,0.0153088157663206,0.000175963399612881,0,0,0.000175963399612881,0,0.000175963399612881,0.00140770719690304,0.000351926799225761,0,0,0.00193559739574169,0.000175963399612881,0,0,0.000527890198838642,0.000175963399612881,0.000175963399612881,0,0.000175963399612881,0,0.000175963399612881,0,96,57,45,3,157,49,13,10,13,103,86,0.0168924863628365,0.0100299137779342,0.00791835298257962,0.000527890198838642,0.0276262537392222,0.00862220658103115,0.00228752419496745,0.00175963399612881,0.00228752419496745,0.0181242301601267,0.0151328523667077,5683,3787,5651,7.45832335674286,0.00228752419496745,0.00739046278374098,5683,0,1,0,1
2012-06-01,"Pakistan",37,3,71,8,145,12,12,150,217,62,2,18,110,30,173,46,11,30,252,84,0,0,0,0,0,0,6,6,1,0,13,0,0,0,0,6,0,0,2,0,3,0,0.00663796196627198,0.000538213132400431,0.0127377108001435,0.00143523501973448,0.0260136347326875,0.00215285252960172,0.00215285252960172,0.0269106566200215,0.0389307499102978,0.0111230714029422,0.00035880875493362,0.00322927879440258,0.0197344815213491,0.00538213132400431,0.0310369573017582,0.00825260136347327,0.00197344815213491,0.00538213132400431,0.0452099031216362,0.0150699677072121,0,0,0,0,0,0,0.00107642626480086,0.00107642626480086,0.00017940437746681,0,0.00233225690706853,0,0,0,0,0.00107642626480086,0,0,0.00035880875493362,0,0.000538213132400431,0,74,56,62,3,184,54,12,10,5,120,70,0.013275923932544,0.0100466451381414,0.0111230714029422,0.000538213132400431,0.0330104054538931,0.00968783638320775,0.00215285252960172,0.0017940437746681,0.000897021887334051,0.0215285252960172,0.0125583064226767,5574,3626,5537,7.14720848397113,0.00538213132400431,0.00968783638320775,5574,0,1,0,1
2012-07-01,"Pakistan",36,4,77,13,148,9,2,144,200,98,7,22,93,31,166,50,3,25,237,109,0,1,0,1,1,1,5,2,1,0,5,0,0,0,0,2,0,2,0,1,3,0,0.00662983425414365,0.000736648250460405,0.0141804788213628,0.00239410681399632,0.027255985267035,0.00165745856353591,0.000368324125230203,0.0265193370165746,0.0368324125230203,0.0180478821362799,0.00128913443830571,0.00405156537753223,0.0171270718232044,0.00570902394106814,0.0305709023941068,0.00920810313075507,0.000552486187845304,0.00460405156537753,0.043646408839779,0.020073664825046,0,0.000184162062615101,0,0.000184162062615101,0.000184162062615101,0.000184162062615101,0.000920810313075506,0.000368324125230203,0.000184162062615101,0,0.000920810313075506,0,0,0,0,0.000368324125230203,0,0.000368324125230203,0,0.000184162062615101,0.000552486187845304,0,86,65,48,4,173,60,15,6,5,109,72,0.0158379373848987,0.0119705340699816,0.00883977900552486,0.000736648250460405,0.0318600368324125,0.0110497237569061,0.00276243093922652,0.00110497237569061,0.000920810313075506,0.020073664825046,0.0132596685082873,5430,3446,5405,6.90524622890228,0.00184162062615101,0.00534069981583794,5430,0,1,0,1
2012-08-01,"Pakistan",41,10,61,9,120,14,2,151,196,51,6,32,108,31,103,46,11,31,256,124,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,1,0,0,0,1,1,0.00815271425730762,0.00198846689202625,0.0121296480413601,0.00178962020282362,0.023861602704315,0.00278385364883675,0.00039769337840525,0.0300258500695963,0.0389739510837145,0.0101411811493339,0.00119308013521575,0.00636309405448399,0.0214754424338835,0.00616424736528137,0.0204812089878704,0.00914694770332074,0.00218731358122887,0.00616424736528137,0.0509047524358719,0.0246569894611255,0,0,0,0,0,0,0,0.000198846689202625,0,0,0.00039769337840525,0.000198846689202625,0,0,0.000198846689202625,0.000198846689202625,0.000198846689202625,0,0,0,0.000198846689202625,0.000198846689202625,128,45,29,2,128,61,13,13,14,105,80,0.025452376217936,0.00894810101411811,0.00576655398687612,0.00039769337840525,0.025452376217936,0.0121296480413601,0.00258500695963412,0.00258500695963412,0.00278385364883675,0.0208789023662756,0.01590773513621,5029,3132,5020,8.73925272842026,0.00178962020282362,0.00417578047325512,5029,0,1,0,1
2012-09-01,"Pakistan",44,33,77,16,141,10,3,240,247,74,6,25,80,34,204,39,4,13,228,97,0,1,0,1,1,2,7,8,2,0,7,0,1,0,2,10,2,1,1,4,2,1,0.00816326530612245,0.00612244897959184,0.0142857142857143,0.00296846011131725,0.0261595547309833,0.00185528756957328,0.000556586270871985,0.0445269016697588,0.0458256029684601,0.0137291280148423,0.00111317254174397,0.00463821892393321,0.0148423005565863,0.00630797773654916,0.037847866419295,0.00723562152133581,0.000742115027829314,0.00241187384044527,0.0423005565862709,0.0179962894248609,0,0.000185528756957328,0,0.000185528756957328,0.000185528756957328,0.000371057513914657,0.0012987012987013,0.00148423005565863,0.000371057513914657,0,0.0012987012987013,0,0.000185528756957328,0,0.000371057513914657,0.00185528756957328,0.000371057513914657,0.000185528756957328,0.000185528756957328,0.000742115027829314,0.000371057513914657,0.000185528756957328,93,77,37,3,163,45,8,14,15,102,61,0.0172541743970315,0.0142857142857143,0.00686456400742115,0.000556586270871985,0.0302411873840445,0.00834879406307978,0.00148423005565863,0.0025974025974026,0.00278293135435993,0.0189239332096475,0.011317254174397,5390,3274,5337,7.76211374594255,0.00408163265306122,0.0122448979591837,5390,0,1,0,1
2012-10-01,"Pakistan",36,23,92,21,92,6,9,103,197,60,6,23,79,36,148,27,3,38,208,145,2,0,1,2,0,2,6,7,2,0,8,0,0,0,1,3,2,0,2,2,2,1,0.00695652173913044,0.00444444444444444,0.0177777777777778,0.00405797101449275,0.0177777777777778,0.00115942028985507,0.00173913043478261,0.0199033816425121,0.0380676328502415,0.0115942028985507,0.00115942028985507,0.00444444444444444,0.0152657004830918,0.00695652173913044,0.0285990338164251,0.00521739130434783,0.000579710144927536,0.00734299516908213,0.0401932367149758,0.0280193236714976,0.000386473429951691,0,0.000193236714975845,0.000386473429951691,0,0.000386473429951691,0.00115942028985507,0.00135265700483092,0.000386473429951691,0,0.00154589371980676,0,0,0,0.000193236714975845,0.000579710144927536,0.000386473429951691,0,0.000386473429951691,0.000386473429951691,0.000386473429951691,0.000193236714975845,85,43,31,1,127,41,12,12,7,94,68,0.0164251207729469,0.00830917874396135,0.00599033816425121,0.000193236714975845,0.0245410628019324,0.00792270531400966,0.00231884057971014,0.00231884057971014,0.00135265700483092,0.0181642512077295,0.0131400966183575,5175,3414,5132,8.92840579577263,0.00579710144927536,0.0063768115942029,5175,0,0,0,1
