"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lanacion.com.py"
"2012-12-01","Paraguay",0,0,5.5,0,0,0,0,7.5,6,4.5,1,0,1,3.5,0,2,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257009345794393,0,0,0,0,0.0350467289719626,0.0280373831775701,0.0210280373831776,0.00467289719626168,0,0.00467289719626168,0.0163551401869159,0,0.00934579439252336,0,0,0.0163551401869159,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,2,0,0,0,1,1,0.0280373831775701,0.00467289719626168,0,0,0.014018691588785,0.00934579439252336,0,0,0,0.00467289719626168,0.00467289719626168,214,166.5,2,6.12457629068172,0,0,214,0
"2013-01-01","Paraguay",0,0,2.73809523809524,0,1,0,0,11.7380952380952,5.47619047619048,1,0,0,2.73809523809524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106127722406792,0,0.00387596899224806,0,0,0.0454964931709118,0.0212255444813584,0.00387596899224806,0,0,0.0106127722406792,0,0,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7.47619047619048,0,0,0,1,1,0.00387596899224806,0,0,0,0.0116279069767442,0.0289774824658546,0,0,0,0.00387596899224806,0.00387596899224806,258,221.571428571429,3,3.62114817487526,0,0,258,0
"2013-02-01","Paraguay",1,0,2,0,0,1,0,7.94736842105263,3.47368421052632,0,0,0,0,0,2,3.47368421052632,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00467289719626168,0,0.00934579439252336,0,0,0.00467289719626168,0,0.0371372356123955,0.0162321692080669,0,0,0,0,0,0.00934579439252336,0.0162321692080669,0,0,0.00467289719626168,0.00467289719626168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.47368421052632,0,1,0,0,3.47368421052632,5.94736842105263,0.00467289719626168,0,0,0,0.0395966551893753,0,0.00467289719626168,0,0,0.0162321692080669,0.0277914412198721,214,171.210526315789,0,2.22778051927455,0,0,214,0
"2013-03-01","Paraguay",0,0,3,1,0,0,1,8.57142857142857,6.57142857142857,2,0,1,0,0,1,1,0,0,2.57142857142857,2.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148514851485149,0.00495049504950495,0,0,0.00495049504950495,0.0424328147100424,0.0325318246110325,0.0099009900990099,0,0.00495049504950495,0,0,0.00495049504950495,0.00495049504950495,0,0,0.0127298444130127,0.0127298444130127,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,1,0,0,0,2,0.0198019801980198,0.00495049504950495,0,0,0.00495049504950495,0.0099009900990099,0.00495049504950495,0,0,0,0.0099009900990099,202,161.714285714286,2.57142857142857,4.65699340840683,0,0,202,0
"2013-04-01","Paraguay",0,0,45,3,0,0,0,5,12.5652173913043,4,0,1,2,0,5,1,0,0,1,8.56521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105882352941176,0.00705882352941176,0,0,0,0.0117647058823529,0.0295652173913043,0.00941176470588235,0,0.00235294117647059,0.00470588235294118,0,0.0117647058823529,0.00235294117647059,0,0,0.00235294117647059,0.020153452685422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5652173913043,4,0,0,0,0,2,0,0.00235294117647059,0,0,0.0295652173913043,0.00941176470588235,0,0,0,0,0.00470588235294118,425,318.304347826087,0,3.15858482589372,0,0,425,0
"2013-05-01","Paraguay",0,0,3.97826086956522,0,0,0,0,5.97826086956522,11.9347826086957,0,0,1,8.93478260869565,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0139100030404378,0,0,0,0,0.0209030100334448,0.0417300091213135,0,0,0.0034965034965035,0.031240498631803,0.0034965034965035,0.0034965034965035,0.0104895104895105,0,0.0034965034965035,0,0.0034965034965035,0,0,0,0,0,0.0034965034965035,0,0,0,0,0,0,8.95652173913043,4.97826086956522,0,0,4.97826086956522,3.97826086956522,0,0,1,1,2,0.0313165095773791,0.0174065065369413,0,0,0.0174065065369413,0.0139100030404378,0,0,0.0034965034965035,0.0034965034965035,0.00699300699300699,286,229.217391304348,0,7.19317632132358,0,0.0034965034965035,286,0
"2013-06-01","Paraguay",2.39285714285714,0,5.39285714285714,1,5.78571428571429,0,0,11.1785714285714,4.39285714285714,3,0,2.39285714285714,1,1,6,2.39285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00827978250123579,0,0.018660405338606,0.00346020761245675,0.0200197726149283,0,0,0.0386801779535344,0.0152001977261493,0.0103806228373702,0,0.00827978250123579,0.00346020761245675,0.00346020761245675,0.0207612456747405,0.00827978250123579,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78571428571429,2.39285714285714,0,0,2.39285714285714,3.39285714285714,0,0,0,0,1,0.0200197726149283,0.00827978250123579,0,0,0.00827978250123579,0.0117399901136925,0,0,0,0,0.00346020761245675,289,228.107142857143,1,2.93098025719473,0,0,289,0
"2013-07-01","Paraguay",0,0,1.03571428571429,0,2,0,0,6.14285714285714,5.07142857142857,2.03571428571429,0,0,1.03571428571429,1.03571428571429,11.1428571428571,0,4,0,0,3.03571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319664902998236,0,0.00617283950617284,0,0,0.0189594356261023,0.015652557319224,0.00628306878306878,0,0,0.00319664902998236,0.00319664902998236,0.0343915343915344,0,0.0123456790123457,0,0,0.0093694885361552,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10714285714286,1,0,3.03571428571429,2.03571428571429,0,1,1,1.03571428571429,1.03571428571429,0,0.0126763668430335,0.00308641975308642,0,0.0093694885361552,0.00628306878306878,0,0.00308641975308642,0.00308641975308642,0.00319664902998236,0.00319664902998236,324,275.25,2.03571428571429,2.48556970439443,0.00308641975308642,0,324,0
"2013-08-01","Paraguay",0,0,1,0,3.6,1,0,6.6,16.6,12.2,3.6,1,7.6,1,16.2,2,0,1,4.6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113895216400911,0,0.0041002277904328,0.00113895216400911,0,0.00751708428246014,0.0189066059225513,0.0138952164009112,0.0041002277904328,0.00113895216400911,0.00865603644646925,0.00113895216400911,0.0184510250569476,0.00227790432801822,0,0.00113895216400911,0.00523917995444191,0.00683371298405467,0,0,0,0,0,0,0,0,0,0,0,0,13.8,6.2,2,0,7,6.6,0,0,2.6,3,13.8,0.0157175398633257,0.00706150341685649,0.00227790432801822,0,0.00797266514806378,0.00751708428246014,0,0,0.00296127562642369,0.00341685649202733,0.0157175398633257,878,746,2,3.75832147539263,0,0,878,0
"2013-09-01","Paraguay",0,0,2,1.24444444444444,4.24444444444444,0,0,7.46666666666667,9.22222222222222,4.48888888888889,1,1,4.48888888888889,0,2,3.24444444444444,0,1,1.24444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0.00347610180012415,0.0118559900682806,0,0,0.0208566108007449,0.0257603972687772,0.0125387957790192,0.00279329608938547,0.00279329608938547,0.0125387957790192,0,0.00558659217877095,0.0090626939788951,0,0.00279329608938547,0.00347610180012415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8.24444444444444,2.24444444444444,1,0,0,0,2,0.00279329608938547,0.00279329608938547,0.00279329608938547,0,0.0230291744258225,0.00626939788950962,0.00279329608938547,0,0,0,0.00558659217877095,358,301.355555555556,1.24444444444444,5.29013432413575,0,0,358,0
