"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","gestion.pe","larepublica.pe","ojo.publico.com"
"2012-07-01","Peru",0,0,2,1,5,0,0,11,9,3,5,0,3,1,16,7,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0.003125,0.015625,0,0,0.034375,0.028125,0.009375,0.015625,0,0.009375,0.003125,0.05,0.021875,0,0.00625,0.03125,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0.003125,0.003125,0,0,0.00625,0.003125,0,0,0,0.009375,0,320,237,8,4.80812217271829,0,0,320,0,0,0
"2012-08-01","Peru",0,0,1,0,4,0,0,9,7,6,4,0,4,1,10,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323624595469256,0,0.0129449838187702,0,0,0.029126213592233,0.0226537216828479,0.0194174757281553,0.0129449838187702,0,0.0129449838187702,0.00323624595469256,0.0323624595469256,0.00970873786407767,0,0,0.0194174757281553,0.0194174757281553,0,0,0,0,0,0,0,0,0,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,1,0,1,2,0.00970873786407767,0,0,0,0.00323624595469256,0.0194174757281553,0,0.00323624595469256,0,0.00323624595469256,0.00647249190938511,309,238,4,3.21211931736301,0,0.00323624595469256,309,0,0,0
"2012-09-01","Peru",1,0,2,0,1,1,0,10,2,4,2,0,1,4,11,3,0,0,6,4,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0036231884057971,0,0.0072463768115942,0,0.0036231884057971,0.0036231884057971,0,0.036231884057971,0.0072463768115942,0.0144927536231884,0.0072463768115942,0,0.0036231884057971,0.0144927536231884,0.0398550724637681,0.0108695652173913,0,0,0.0217391304347826,0.0144927536231884,0,0,0,0.0036231884057971,0,0,0.0036231884057971,0.0072463768115942,0,0,0.0108695652173913,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,2,1,0.0036231884057971,0.0036231884057971,0,0,0.0036231884057971,0,0.0072463768115942,0,0,0.0072463768115942,0.0036231884057971,276,217,7,1.38827353977988,0.0217391304347826,0.0144927536231884,276,0,0,0
"2012-10-01","Peru",1,0,5,0,5,0,0,10,8,7,3,1,5,0,16,4,0,1,10,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00294985250737463,0,0.0147492625368732,0,0.0147492625368732,0,0,0.0294985250737463,0.023598820058997,0.0206489675516224,0.00884955752212389,0.00294985250737463,0.0147492625368732,0,0.0471976401179941,0.0117994100294985,0,0.00294985250737463,0.0294985250737463,0.0294985250737463,0,0,0,0,0,0,0,0,0,0,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,1,0,0,0,1,3,0.00589970501474926,0.00294985250737463,0.00589970501474926,0,0.0147492625368732,0.00294985250737463,0,0,0,0.00294985250737463,0.00884955752212389,339,245,3,4.09733483277198,0.00589970501474926,0.00294985250737463,339,0,0,0
"2012-11-01","Peru",1,0,8,0,7,0,0,9,6,1,0,2,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.00462962962962963,0,0.037037037037037,0,0.0324074074074074,0,0,0.0416666666666667,0.0277777777777778,0.00462962962962963,0,0.00925925925925926,0.0138888888888889,0.00462962962962963,0.00462962962962963,0.00462962962962963,0,0,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925925925925926,0,0,1,1,0,3,1,1,0,0,0,2,0,0.00462962962962963,0.00462962962962963,0,0.0138888888888889,0.00462962962962963,0.00462962962962963,0,0,0,0.00925925925925926,216,169,2,4.60464958547441,0,0.00925925925925926,216,0,0,0
"2012-12-01","Peru",1,0,0,0,3,0,0,7,8,3,1,0,1,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00431034482758621,0,0,0,0.0129310344827586,0,0,0.0301724137931034,0.0344827586206897,0.0129310344827586,0.00431034482758621,0,0.00431034482758621,0.00862068965517241,0.0172413793103448,0,0,0,0.0129310344827586,0,0,0,0,0,0,0,0,0,0,0,0.00431034482758621,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0.00431034482758621,0,0,0,0.00431034482758621,0.00431034482758621,0.00431034482758621,0,0,0.00862068965517241,0.00431034482758621,232,193,2,3.31164750667253,0,0.00431034482758621,232,0,0,0
"2013-01-01","Peru",8,0,45,2,21,4,0,77,57,24,2,9,31,3,40,9,0,3,13,19,0,0,0,0,0,2,1,0,0,1,7,0,2,0,3,0,0,0,0,0,9,0,0.00272016320979259,0,0.0153009180550833,0.000680040802448147,0.00714042842570554,0.00136008160489629,0,0.0261815708942537,0.0193811628697722,0.00816048962937776,0.000680040802448147,0.00306018361101666,0.0105406324379463,0.00102006120367222,0.0136008160489629,0.00306018361101666,0,0.00102006120367222,0.00442026521591295,0.0064603876232574,0,0,0,0,0,0.000680040802448147,0.000340020401224073,0,0,0.000340020401224073,0.00238014280856851,0,0.000680040802448147,0,0.00102006120367222,0,0,0,0,0,0.00306018361101666,0,13,15,12,0,31,28,1,2,0,13,22,0.00442026521591295,0.0051003060183611,0.00408024481468888,0,0.0105406324379463,0.00952057123427406,0.000340020401224073,0.000680040802448147,0,0.00442026521591295,0.00748044882692962,2941,2468,6,4.38250162802451,0.00340020401224073,0.00612036722203332,2941,1,0,0
"2013-02-01","Peru",8,1,54,3,17,1,1,81,48,11,8,2,25,1,20,10,0,2,15,15,3,1,0,0,0,0,0,5,0,0,5,0,1,0,5,2,0,0,4,1,6,1,0.00293040293040293,0.000366300366300366,0.0197802197802198,0.0010989010989011,0.00622710622710623,0.000366300366300366,0.000366300366300366,0.0296703296703297,0.0175824175824176,0.00402930402930403,0.00293040293040293,0.000732600732600733,0.00915750915750916,0.000366300366300366,0.00732600732600733,0.00366300366300366,0,0.000732600732600733,0.00549450549450549,0.00549450549450549,0.0010989010989011,0.000366300366300366,0,0,0,0,0,0.00183150183150183,0,0,0.00183150183150183,0,0.000366300366300366,0,0.00183150183150183,0.000732600732600733,0,0,0.00146520146520147,0.000366300366300366,0.0021978021978022,0.000366300366300366,16,13,7,0,26,30,1,2,1,15,9,0.00586080586080586,0.00476190476190476,0.00256410256410256,0,0.00952380952380952,0.010989010989011,0.000366300366300366,0.000732600732600733,0.000366300366300366,0.00549450549450549,0.0032967032967033,2730,2309,0,4.3627145294662,0.00476190476190476,0.00842490842490842,2730,1,0,0
"2013-03-01","Peru",11,2,111,6,13,2,1,54,49,22,3,12,19,1,17,10,1,8,14,10,2,1,2,0,0,0,2,3,2,0,2,0,0,1,1,4,0,2,1,3,5,2,0.00388418079096045,0.000706214689265537,0.0391949152542373,0.00211864406779661,0.00459039548022599,0.000706214689265537,0.000353107344632768,0.0190677966101695,0.0173022598870056,0.0077683615819209,0.00105932203389831,0.00423728813559322,0.0067090395480226,0.000353107344632768,0.00600282485875706,0.00353107344632768,0.000353107344632768,0.00282485875706215,0.00494350282485876,0.00353107344632768,0.000706214689265537,0.000353107344632768,0.000706214689265537,0,0,0,0.000706214689265537,0.00105932203389831,0.000706214689265537,0,0.000706214689265537,0,0,0.000353107344632768,0.000353107344632768,0.00141242937853107,0,0.000706214689265537,0.000353107344632768,0.00105932203389831,0.00176553672316384,0.000706214689265537,16,11,3,0,23,21,1,1,2,11,15,0.00564971751412429,0.00388418079096045,0.00105932203389831,0,0.00812146892655367,0.00741525423728814,0.000353107344632768,0.000353107344632768,0.000706214689265537,0.00388418079096045,0.00529661016949153,2832,2379,2,5.22891481403752,0.00317796610169492,0.00847457627118644,2832,1,0,0
"2013-04-01","Peru",16,2,46,7,26,3,0,59,71,22,2,5,30,4,19,19,1,9,18,18,0,0,0,0,1,4,8,9,0,0,14,0,0,0,5,2,0,2,2,5,6,0,0.00553059108192188,0.000691323885240235,0.0159004493605254,0.00241963359834082,0.00898721050812306,0.00103698582786035,0,0.0203940546145869,0.0245419979260283,0.00760456273764259,0.000691323885240235,0.00172830971310059,0.0103698582786035,0.00138264777048047,0.00656757690978223,0.00656757690978223,0.000345661942620118,0.00311095748358106,0.00622191496716212,0.00622191496716212,0,0,0,0,0.000345661942620118,0.00138264777048047,0.00276529554096094,0.00311095748358106,0,0,0.00483926719668165,0,0,0,0.00172830971310059,0.000691323885240235,0,0.000691323885240235,0.000691323885240235,0.00172830971310059,0.00207397165572071,0,11,11,6,0,16,22,1,2,2,12,17,0.00380228136882129,0.00380228136882129,0.00207397165572071,0,0.00553059108192188,0.00760456273764259,0.000345661942620118,0.000691323885240235,0.000691323885240235,0.00414794331144141,0.005876253024542,2893,2442,8,5.65735574878628,0.00345661942620118,0.0169374351883858,2893,1,0,0
