"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","therwandan.com","umuseke.rw"
"2012-01-01","Rwanda",9,0,0,0,15,0,1,4,18,5,0,1,11,2,3,7,0,1,2,3,0,0,0,0,0,2,1,0,2,1,0,0,0,0.00805729632945389,0,0,0,0.0134288272157565,0,0.000895255147717099,0.0035810205908684,0.0161145926589078,0.0044762757385855,0,0.000895255147717099,0.00984780662488809,0.0017905102954342,0.0026857654431513,0.0062667860340197,0,0.000895255147717099,0.0017905102954342,0.0026857654431513,0,0,0,0,0,0.0017905102954342,0.000895255147717099,0,0.0017905102954342,0.000895255147717099,0,0,0,13,10,4,0,6,8,3,0,0,13,5,0.0116383169203223,0.00895255147717099,0.0035810205908684,0,0.0053715308863026,0.00716204118173679,0.0026857654431513,0,0,0.0116383169203223,0.0044762757385855,1117,986,1110,4.97313915101828,0.0017905102954342,0.0116383169203223,1117,0,0
"2012-02-01","Rwanda",2,0,4,1,14,1,0,9,13,6,0,1,5,10,0,6,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00172117039586919,0,0.00344234079173838,0.000860585197934596,0.0120481927710843,0.000860585197934596,0,0.00774526678141136,0.0111876075731497,0.00516351118760757,0,0.000860585197934596,0.00430292598967298,0.00860585197934595,0,0.00516351118760757,0,0.00172117039586919,0.000860585197934596,0,0,0.000860585197934596,0,0.000860585197934596,0,0,0,0,0,0,0,0,0,14,19,3,0,8,10,0,1,1,4,3,0.0120481927710843,0.0163511187607573,0.00258175559380379,0,0.00688468158347676,0.00860585197934595,0,0.000860585197934596,0.000860585197934596,0.00344234079173838,0.00258175559380379,1162,1030,1160,4.84155906385482,0.00258175559380379,0.00344234079173838,1162,0,0
"2012-03-01","Rwanda",6,0,5,0,5,1,1,11,23,10,0,2,8,7,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475435816164818,0,0.00396196513470681,0,0.00396196513470681,0.000792393026941363,0.000792393026941363,0.00871632329635499,0.0182250396196513,0.00792393026941363,0,0.00158478605388273,0.0063391442155309,0.00554675118858954,0.00237717908082409,0.00237717908082409,0,0.00158478605388273,0.000792393026941363,0.000792393026941363,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,0,0,6,8,2,0,0,4,6,0.0103011093502377,0.0166402535657686,0,0,0.00475435816164818,0.0063391442155309,0.00158478605388273,0,0,0.00316957210776545,0.00475435816164818,1262,1122,1262,4.92638718592801,0.00158478605388273,0.00237717908082409,1262,0,0
"2012-04-01","Rwanda",5,0,3,2,7,1,2,14,23,4,0,5,6,6,2,1,0,1,3,2,0,2,2,2,0,0,0,1,0,0,0,0,0,0.00407166123778502,0,0.00244299674267101,0.00162866449511401,0.00570032573289902,0.000814332247557003,0.00162866449511401,0.011400651465798,0.0187296416938111,0.00325732899022801,0,0.00407166123778502,0.00488599348534202,0.00488599348534202,0.00162866449511401,0.000814332247557003,0,0.000814332247557003,0.00244299674267101,0.00162866449511401,0,0.00162866449511401,0.00162866449511401,0.00162866449511401,0,0,0,0.000814332247557003,0,0,0,0,0,21,15,2,0,14,11,1,1,1,10,2,0.0171009771986971,0.012214983713355,0.00162866449511401,0,0.011400651465798,0.00895765472312704,0.000814332247557003,0.000814332247557003,0.000814332247557003,0.00814332247557003,0.00162866449511401,1228,1072,1221,4.93786853388137,0.00162866449511401,0.010586319218241,1228,0,0
"2012-05-01","Rwanda",0,0,3,0,17,1,0,15,26,5,0,2,2,5,4,2,0,2,7,9,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.0023094688221709,0,0.0130869899923018,0.000769822940723634,0,0.0115473441108545,0.0200153964588145,0.00384911470361817,0,0.00153964588144727,0.00153964588144727,0.00384911470361817,0.00307929176289453,0.00153964588144727,0,0.00153964588144727,0.00538876058506543,0.0069284064665127,0,0,0,0,0,0.00153964588144727,0,0,0.000769822940723634,0,0,0,0,15,11,3,0,14,15,0,0,0,4,3,0.0115473441108545,0.00846805234795997,0.0023094688221709,0,0.0107775211701309,0.0115473441108545,0,0,0,0.00307929176289453,0.0023094688221709,1299,1140,1296,5.97200613362384,0,0.0046189376443418,1299,0,0
"2012-06-01","Rwanda",2,1,3,0,15,4,0,1,18,6,0,1,8,5,1,2,0,1,6,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00155642023346304,0.000778210116731518,0.00233463035019455,0,0.0116731517509728,0.00311284046692607,0,0.000778210116731518,0.0140077821011673,0.0046692607003891,0,0.000778210116731518,0.00622568093385214,0.00389105058365759,0.000778210116731518,0.00155642023346304,0,0.000778210116731518,0.0046692607003891,0.00778210116731518,0,0,0,0,0,0,0,0,0.000778210116731518,0,0,0,0,17,17,0,1,11,9,1,1,0,2,0,0.0132295719844358,0.0132295719844358,0,0.000778210116731518,0.00856031128404669,0.00700389105058366,0.000778210116731518,0.000778210116731518,0,0.00155642023346304,0,1285,1149,1284,5.39210567003025,0.00233463035019455,0.0046692607003891,1285,0,0
"2012-07-01","Rwanda",4,0,4,0,38,2,0,4,21,12,0,9,10,4,2,4,0,1,2,30,0,0,0,0,0,1,1,1,0,1,0,1,0,0.00279329608938547,0,0.00279329608938547,0,0.026536312849162,0.00139664804469274,0,0.00279329608938547,0.0146648044692737,0.00837988826815642,0,0.00628491620111732,0.00698324022346369,0.00279329608938547,0.00139664804469274,0.00279329608938547,0,0.000698324022346369,0.00139664804469274,0.0209497206703911,0,0,0,0,0,0.000698324022346369,0.000698324022346369,0.000698324022346369,0,0.000698324022346369,0,0.000698324022346369,0,10,18,4,0,16,12,1,0,1,5,6,0.00698324022346369,0.0125698324022346,0.00279329608938547,0,0.0111731843575419,0.00837988826815642,0.000698324022346369,0,0.000698324022346369,0.00349162011173184,0.00418994413407821,1432,1226,1427,6.39440308020606,0,0.00768156424581006,1432,1,0
"2012-08-01","Rwanda",7,2,3,0,25,3,0,6,21,12,0,1,13,6,7,2,0,2,1,11,0,0,0,0,1,0,0,1,2,0,0,0,0,0.00498575498575499,0.00142450142450142,0.00213675213675214,0,0.0178062678062678,0.00213675213675214,0,0.00427350427350427,0.014957264957265,0.00854700854700855,0,0.000712250712250712,0.00925925925925926,0.00427350427350427,0.00498575498575499,0.00142450142450142,0,0.00142450142450142,0.000712250712250712,0.00783475783475784,0,0,0,0,0.000712250712250712,0,0,0.000712250712250712,0.00142450142450142,0,0,0,0,11,18,3,0,8,10,0,1,0,11,4,0.00783475783475784,0.0128205128205128,0.00213675213675214,0,0.0056980056980057,0.00712250712250712,0,0.000712250712250712,0,0.00783475783475784,0.00284900284900285,1404,1231,1400,5.78624306021085,0.00142450142450142,0.00854700854700855,1404,1,0
"2012-09-01","Rwanda",3,2,7,0,20,2,0,10,25,8,0,6,12,5,4,3,0,3,1,8,0,1,0,0,0,1,1,1,1,1,0,0,0,0.00213371266002845,0.00142247510668563,0.00497866287339972,0,0.0142247510668563,0.00142247510668563,0,0.00711237553342817,0.0177809388335704,0.00568990042674253,0,0.0042674253200569,0.0085348506401138,0.00355618776671408,0.00284495021337127,0.00213371266002845,0,0.00213371266002845,0.000711237553342817,0.00568990042674253,0,0.000711237553342817,0,0,0,0.000711237553342817,0.000711237553342817,0.000711237553342817,0.000711237553342817,0.000711237553342817,0,0,0,9,13,2,0,11,7,0,1,0,3,9,0.00640113798008535,0.00924608819345661,0.00142247510668563,0,0.00782361308677098,0.00497866287339972,0,0.000711237553342817,0,0.00213371266002845,0.00640113798008535,1406,1242,1399,5.91097088561257,0,0.0085348506401138,1406,1,0
"2012-10-01","Rwanda",7,0,19,0,21,0,1,13,41,10,2,5,15,6,2,2,0,7,7,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0.00467289719626168,0,0.0126835781041389,0,0.014018691588785,0,0.000667556742323097,0.00867823765020027,0.027369826435247,0.00667556742323097,0.00133511348464619,0.00333778371161549,0.0100133511348465,0.00400534045393859,0.00133511348464619,0.00133511348464619,0,0.00467289719626168,0.00467289719626168,0.00267022696929239,0,0,0,0,0.00133511348464619,0,0,0,0.000667556742323097,0,0,0,0,16,17,3,0,15,14,3,0,0,4,9,0.0106809078771696,0.0113484646194927,0.00200267022696929,0,0.0100133511348465,0.00934579439252336,0.00200267022696929,0,0,0.00267022696929239,0.00600801068090788,1498,1273,1494,5.81244118202497,0.000667556742323097,0.00267022696929239,1498,1,0
