"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lesoleil.sn","lasnews.sn","ferloo.com","nouvelobs.com","sudquotidien.sn"
"2012-01-01","Senegal",2,2,69,5,4,1,0,2,5,6,4,2,1,1,20,5,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199203187250996,0.00199203187250996,0.0687250996015936,0.0049800796812749,0.00398406374501992,0.00099601593625498,0,0.00199203187250996,0.0049800796812749,0.00597609561752988,0.00398406374501992,0.00199203187250996,0.00099601593625498,0.00099601593625498,0.0199203187250996,0.0049800796812749,0,0.00298804780876494,0.00697211155378486,0.00896414342629482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,8,3,3,0,5,2,4,0.0049800796812749,0.00199203187250996,0,0,0.00796812749003984,0.00298804780876494,0.00298804780876494,0,0.0049800796812749,0.00199203187250996,0.00398406374501992,1004,824,0,11.8977929812926,0,0,1004,0,0,0,0,0
"2012-02-01","Senegal",5,1,156,21,14,2,0,4,6,4,3,3,3,4,49,3,1,9,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407497962510187,0.000814995925020375,0.127139364303178,0.0171149144254279,0.0114099429502852,0.00162999185004075,0,0.0032599837000815,0.00488997555012225,0.0032599837000815,0.00244498777506112,0.00244498777506112,0.00244498777506112,0.0032599837000815,0.0399348003259984,0.00244498777506112,0.000814995925020375,0.00733496332518337,0.00896495517522412,0.0277098614506927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,3,1,0,1,5,4,0.0032599837000815,0.000814995925020375,0.00244498777506112,0,0.00244498777506112,0.00244498777506112,0.000814995925020375,0,0.000814995925020375,0.00407497962510187,0.0032599837000815,1227,870,3,15.2462407700753,0,0,1227,0,0,0,0,0
"2012-03-01","Senegal",1,1,130,9,2,12,0,2,8,3,0,0,3,1,2,5,0,4,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000881834215167548,0.000881834215167548,0.114638447971781,0.00793650793650794,0.0017636684303351,0.0105820105820106,0,0.0017636684303351,0.00705467372134039,0.00264550264550265,0,0,0.00264550264550265,0.000881834215167548,0.0017636684303351,0.00440917107583774,0,0.00352733686067019,0.0017636684303351,0.00529100529100529,0,0,0,0,0,0,0,0,0,0,0.000881834215167548,0,0,0,0,0,5,5,2,0,8,1,1,0,5,0,7,0.00440917107583774,0.00440917107583774,0.0017636684303351,0,0.00705467372134039,0.000881834215167548,0.000881834215167548,0,0.00440917107583774,0,0.00617283950617284,1134,910,1,10.118197111173,0,0.000881834215167548,1134,0,0,0,0,0
"2012-04-01","Senegal",5,0,15,1,11,7,1,5,13,4,0,1,2,2,4,5,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00549450549450549,0,0.0164835164835165,0.0010989010989011,0.0120879120879121,0.00769230769230769,0.0010989010989011,0.00549450549450549,0.0142857142857143,0.0043956043956044,0,0.0010989010989011,0.0021978021978022,0.0021978021978022,0.0043956043956044,0.00549450549450549,0,0.00549450549450549,0.0010989010989011,0.00549450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010989010989011,0,0,4,4,2,1,8,4,0,0,2,3,3,0.0043956043956044,0.0043956043956044,0.0021978021978022,0.0010989010989011,0.00879120879120879,0.0043956043956044,0,0,0.0021978021978022,0.0032967032967033,0.0032967032967033,910,797,1,10.7412360032858,0,0.0010989010989011,910,0,0,0,0,0
"2012-05-01","Senegal",4,0,16,0,1,2,0,5,4,6,1,3,7,0,0,6,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420168067226891,0,0.0168067226890756,0,0.00105042016806723,0.00210084033613445,0,0.00525210084033613,0.00420168067226891,0.00630252100840336,0.00105042016806723,0.00315126050420168,0.00735294117647059,0,0,0.00630252100840336,0,0.00315126050420168,0.00105042016806723,0.00420168067226891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,13,6,0,1,0,1,4,0.00630252100840336,0.00210084033613445,0.00105042016806723,0,0.0136554621848739,0.00630252100840336,0,0.00105042016806723,0,0.00105042016806723,0.00420168067226891,952,861,0,9.62492494006839,0,0,952,0,0,0,0,0
"2012-06-01","Senegal",6,1,20,1,5,2,1,2,20,1,0,1,8,2,6,3,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601202404809619,0.00100200400801603,0.0200400801603206,0.00100200400801603,0.00501002004008016,0.00200400801603206,0.00100200400801603,0.00200400801603206,0.0200400801603206,0.00100200400801603,0,0.00100200400801603,0.00801603206412826,0.00200400801603206,0.00601202404809619,0.0030060120240481,0,0.00100200400801603,0.00400801603206413,0.0030060120240481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,0,26,0,1,1,1,1,3,0.0100200400801603,0.00400801603206413,0.00701402805611222,0,0.0260521042084168,0,0.00100200400801603,0.00100200400801603,0.00100200400801603,0.00100200400801603,0.0030060120240481,998,867,2,10.70290046787,0,0,998,0,0,0,0,0
"2012-07-01","Senegal",3,2,52,5,3,2,1,6,18,4,0,1,9,0,9,6,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0025974025974026,0.00173160173160173,0.045021645021645,0.00432900432900433,0.0025974025974026,0.00173160173160173,0.000865800865800866,0.00519480519480519,0.0155844155844156,0.00346320346320346,0,0.000865800865800866,0.00779220779220779,0,0.00779220779220779,0.00519480519480519,0,0.00173160173160173,0,0.0025974025974026,0,0,0,0,0.000865800865800866,0,0,0,0,0,0,0,0,0,0,0,4,2,11,0,18,6,0,0,1,4,0,0.00346320346320346,0.00173160173160173,0.00952380952380952,0,0.0155844155844156,0.00519480519480519,0,0,0.000865800865800866,0.00346320346320346,0,1155,996,3,10.0436842029158,0,0.000865800865800866,1155,0,0,0,0,0
"2012-08-01","Senegal",4,0,14,3,4,1,0,42,23,8,0,1,7,6,5,6,0,6,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.00344827586206897,0,0.0120689655172414,0.00258620689655172,0.00344827586206897,0.000862068965517241,0,0.0362068965517241,0.0198275862068966,0.00689655172413793,0,0.000862068965517241,0.00603448275862069,0.00517241379310345,0.00431034482758621,0.00517241379310345,0,0.00517241379310345,0.000862068965517241,0.00603448275862069,0,0,0,0.000862068965517241,0,0.000862068965517241,0,0,0,0,0,0,0,0,0,0,3,3,5,0,16,3,2,0,3,9,3,0.00258620689655172,0.00258620689655172,0.00431034482758621,0,0.0137931034482759,0.00258620689655172,0.00172413793103448,0,0.00258620689655172,0.00775862068965517,0.00258620689655172,1160,982,5,10.5991450000687,0.000862068965517241,0.000862068965517241,1160,0,0,0,0,0
"2012-09-01","Senegal",3,2,14,0,3,2,3,18,19,17,0,2,3,4,8,6,0,2,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00267857142857143,0.00178571428571429,0.0125,0,0.00267857142857143,0.00178571428571429,0.00267857142857143,0.0160714285714286,0.0169642857142857,0.0151785714285714,0,0.00178571428571429,0.00267857142857143,0.00357142857142857,0.00714285714285714,0.00535714285714286,0,0.00178571428571429,0.00267857142857143,0.00446428571428571,0,0,0,0,0.000892857142857143,0,0,0,0,0,0.000892857142857143,0,0,0,0,0,5,4,4,1,17,4,2,0,2,4,6,0.00446428571428571,0.00357142857142857,0.00357142857142857,0.000892857142857143,0.0151785714285714,0.00357142857142857,0.00178571428571429,0,0.00178571428571429,0.00357142857142857,0.00535714285714286,1120,966,0,11.5576633850518,0,0.00178571428571429,1120,0,0,0,0,0
"2012-10-01","Senegal",2,0,9,0,6,1,0,4,10,2,0,1,6,2,10,16,0,2,2,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00166527893422148,0,0.00749375520399667,0,0.00499583680266445,0.000832639467110741,0,0.00333055786844296,0.00832639467110741,0.00166527893422148,0,0.000832639467110741,0.00499583680266445,0.00166527893422148,0.00832639467110741,0.0133222314737719,0,0.00166527893422148,0.00166527893422148,0.00915903413821815,0,0,0,0,0.00166527893422148,0,0,0,0,0,0,0,0,0,0,0,10,6,5,2,22,6,4,0,0,7,12,0.00832639467110741,0.00499583680266445,0.00416319733555371,0.00166527893422148,0.0183180682764363,0.00499583680266445,0.00333055786844296,0,0,0.00582847626977519,0.00999167360532889,1201,1051,2,10.1603343426934,0,0.00166527893422148,1201,0,0,0,0,0
