"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","rs.n1info.com","insajder.net"
2012-01-01,"Serbia",5,2,28,0,14,1,1,16,11,6,2,7,10,2,14,2,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347463516330785,0.00138985406532314,0.019457956914524,0,0.00972897845726199,0.000694927032661571,0.000694927032661571,0.0111188325225851,0.00764419735927728,0.00416956219596942,0.00138985406532314,0.00486448922863099,0.00694927032661571,0.00138985406532314,0.00972897845726199,0.00138985406532314,0,0.00208478109798471,0.000694927032661571,0.00347463516330785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,5,1,18,4,3,1,2,4,14,0.00833912439193885,0.00138985406532314,0.00347463516330785,0.000694927032661571,0.0125086865879083,0.00277970813064628,0.00208478109798471,0.000694927032661571,0.00138985406532314,0.00277970813064628,0.00972897845726199,1439,1252,1439,8.90709454471859,0.000694927032661571,0,1439,0,0
2012-02-01,"Serbia",8,2,35,0,18,0,0,33,21,7,9,3,6,6,10,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.00518806744487678,0.0012970168612192,0.0226977950713359,0,0.0116731517509728,0,0,0.0214007782101167,0.0136186770428016,0.00453955901426719,0.00583657587548638,0.00194552529182879,0.00389105058365759,0.00389105058365759,0.00648508430609598,0.0012970168612192,0,0.000648508430609598,0,0.00324254215304799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012970168612192,0,0,0,0,0,0,0,13,5,3,0,25,8,2,1,0,1,22,0.00843060959792477,0.00324254215304799,0.00194552529182879,0,0.0162127107652399,0.00518806744487678,0.0012970168612192,0.000648508430609598,0,0.000648508430609598,0.0142671854734112,1542,1303,1540,8.59576011437518,0,0.0012970168612192,1542,0,1
2012-03-01,"Serbia",5,3,95,4,26,0,0,24,25,2,1,2,13,6,32,3,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.00257864878803507,0.00154718927282104,0.0489943269726663,0.00206291903042806,0.0134089736977824,0,0,0.0123775141825683,0.0128932439401753,0.00103145951521403,0.000515729757607014,0.00103145951521403,0.00670448684889118,0.00309437854564208,0.0165033522434244,0.00154718927282104,0,0.00103145951521403,0,0.00309437854564208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103145951521403,0,0,0,0,0,0,0.000515729757607014,17,12,3,1,26,10,1,0,1,4,13,0.00876740587931924,0.00618875709128417,0.00154718927282104,0.000515729757607014,0.0134089736977824,0.00515729757607014,0.000515729757607014,0,0.000515729757607014,0.00206291903042806,0.00670448684889118,1939,1612,1936,8.53448102621026,0.00103145951521403,0.00103145951521403,1939,0,0
2012-04-01,"Serbia",11,1,93,5,13,2,2,8,18,10,2,1,12,2,33,6,0,4,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00610771793448084,0.000555247084952804,0.0516379789006108,0.00277623542476402,0.00721821210438645,0.00111049416990561,0.00111049416990561,0.00444197667962243,0.00999444752915047,0.00555247084952804,0.00111049416990561,0.000555247084952804,0.00666296501943365,0.00111049416990561,0.0183231538034425,0.00333148250971682,0,0.00222098833981122,0.00166574125485841,0.00277623542476402,0,0,0,0,0,0,0,0,0,0.000555247084952804,0,0,0,0.000555247084952804,0,0,0,0,0,0,0,20,8,2,0,26,5,0,1,0,7,13,0.0111049416990561,0.00444197667962243,0.00111049416990561,0,0.0144364242087729,0.00277623542476402,0,0.000555247084952804,0,0.00388672959466963,0.00721821210438645,1801,1497,1799,9.16005514922439,0.00388672959466963,0,1801,0,0
2012-05-01,"Serbia",6,2,186,20,37,0,0,20,26,4,0,1,13,4,22,3,0,3,1,7,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00297324083250743,0.000991080277502478,0.0921704658077304,0.00991080277502478,0.0183349851337958,0,0,0.00991080277502478,0.0128840436075322,0.00198216055500496,0,0.000495540138751239,0.0064420218037661,0.00198216055500496,0.0109018830525273,0.00148662041625372,0,0.00148662041625372,0.000495540138751239,0.00346878097125867,0,0,0,0.000495540138751239,0,0,0.000991080277502478,0,0,0,0,0,0,0.000495540138751239,0,0,0,0,0,0,0,11,13,7,0,28,2,0,1,0,2,9,0.00545094152626363,0.0064420218037661,0.00346878097125867,0,0.0138751238850347,0.000991080277502478,0,0.000495540138751239,0,0.000991080277502478,0.00445986124876115,2018,1604,2014,8.29797772543401,0.00346878097125867,0.000495540138751239,2018,0,0
2012-06-01,"Serbia",3,1,20,3,31,0,0,12,33,2,0,1,12,2,12,10,0,0,3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.00180831826401447,0.000602772754671489,0.0120554550934298,0.00180831826401447,0.0186859553948162,0,0,0.00723327305605787,0.0198915009041591,0.00120554550934298,0,0.000602772754671489,0.00723327305605787,0.00120554550934298,0.00723327305605787,0.00602772754671489,0,0,0.00180831826401447,0.00723327305605787,0,0,0,0,0,0,0,0,0,0.000602772754671489,0,0,0,0.000602772754671489,0,0,0,0,0,0,0.000602772754671489,7,12,5,0,21,6,0,0,2,3,14,0.00421940928270042,0.00723327305605787,0.00301386377335744,0,0.0126582278481013,0.00361663652802893,0,0,0.00120554550934298,0.00180831826401447,0.00843881856540084,1659,1446,1656,8.50027383878169,0.00120554550934298,0.00120554550934298,1659,0,0
2012-07-01,"Serbia",6,2,20,1,23,1,0,19,11,3,2,2,6,4,9,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00377595972309629,0.0012586532410321,0.012586532410321,0.000629326620516048,0.0144745122718691,0.000629326620516048,0,0.0119572057898049,0.00692259282567653,0.00188797986154814,0.0012586532410321,0.0012586532410321,0.00377595972309629,0.00251730648206419,0.00566393958464443,0.00692259282567653,0,0.000629326620516048,0,0.00251730648206419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000629326620516048,0,0,0,0,0,0,0,11,9,3,0,13,9,0,1,2,5,15,0.00692259282567653,0.00566393958464443,0.00188797986154814,0,0.00818124606670862,0.00566393958464443,0,0.000629326620516048,0.0012586532410321,0.00314663310258024,0.00943989930774072,1589,1401,1588,7.91899951799999,0.000629326620516048,0.000629326620516048,1589,0,0
2012-08-01,"Serbia",6,0,10,1,11,3,0,31,17,4,2,3,14,3,5,10,1,3,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.00384122919334187,0,0.00640204865556978,0.000640204865556978,0.00704225352112676,0.00192061459667093,0,0.0198463508322663,0.0108834827144686,0.00256081946222791,0.00128040973111396,0.00192061459667093,0.0089628681177977,0.00192061459667093,0.00320102432778489,0.00640204865556978,0.000640204865556978,0.00192061459667093,0.00256081946222791,0.00320102432778489,0,0,0,0,0,0,0,0,0,0.000640204865556978,0,0,0,0,0.000640204865556978,0,0,0,0,0,0,15,6,10,2,19,12,1,1,1,3,14,0.00960307298335467,0.00384122919334187,0.00640204865556978,0.00128040973111396,0.0121638924455826,0.00768245838668374,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.00192061459667093,0.0089628681177977,1562,1367,1560,9.13080270315935,0.00192061459667093,0.000640204865556978,1562,0,0
2012-09-01,"Serbia",0,0,16,1,11,3,0,29,13,7,0,2,13,3,15,18,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123456790123457,0.000771604938271605,0.00848765432098765,0.00231481481481481,0,0.0223765432098765,0.0100308641975309,0.00540123456790123,0,0.00154320987654321,0.0100308641975309,0.00231481481481481,0.0115740740740741,0.0138888888888889,0,0,0.000771604938271605,0.00154320987654321,0,0,0,0,0,0,0,0.000771604938271605,0,0.000771604938271605,0,0,0,0,0,0,0,0,0,0,0,8,7,5,1,17,9,2,0,0,3,8,0.00617283950617284,0.00540123456790123,0.00385802469135802,0.000771604938271605,0.0131172839506173,0.00694444444444444,0.00154320987654321,0,0,0.00231481481481481,0.00617283950617284,1296,1114,1294,8.23408089124602,0.00231481481481481,0.000771604938271605,1296,0,1
2012-10-01,"Serbia",4,1,23,1,26,1,1,23,29,10,2,1,11,3,15,12,0,3,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.00253646163601776,0.000634115409004439,0.0145846544071021,0.000634115409004439,0.0164870006341154,0.000634115409004439,0.000634115409004439,0.0145846544071021,0.0183893468611287,0.00634115409004439,0.00126823081800888,0.000634115409004439,0.00697526949904883,0.00190234622701332,0.00951173113506658,0.00760938490805327,0,0.00190234622701332,0,0.00253646163601776,0,0,0,0,0,0,0,0,0.000634115409004439,0.000634115409004439,0,0,0,0.000634115409004439,0,0,0,0,0,0,0,15,10,7,0,31,13,2,1,1,3,8,0.00951173113506658,0.00634115409004439,0.00443880786303107,0,0.0196575776791376,0.0082435003170577,0.00126823081800888,0.000634115409004439,0.000634115409004439,0.00190234622701332,0.00507292327203551,1577,1333,1574,8.79508142033817,0.000634115409004439,0.00126823081800888,1577,0,1
