"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","sudantribune.com","paanluelwel.com","onecitizendaily.com","eyeradio.org"
"2012-01-01","South Sudan",2,0,1,0,29,4,0,8,14,2,0,4,7,2,3,2,2,8,28,18,0,0,0,0,3,0,0,2,0,1,3,0,0,0,0.00699300699300699,0,0.0034965034965035,0,0.101398601398601,0.013986013986014,0,0.027972027972028,0.048951048951049,0.00699300699300699,0,0.013986013986014,0.0244755244755245,0.00699300699300699,0.0104895104895105,0.00699300699300699,0.00699300699300699,0.027972027972028,0.0979020979020979,0.0629370629370629,0,0,0,0,0.0104895104895105,0,0,0.00699300699300699,0,0.0034965034965035,0.0104895104895105,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0.0034965034965035,0,0,0.0034965034965035,0,0,0,0,0.0034965034965035,0.00699300699300699,286,153,277,8.87635546891037,0.0174825174825175,0.0174825174825175,286,1,0,0,0
"2012-02-01","South Sudan",3,1,1,0,36,3,0,3,12,5,1,2,12,1,3,10,0,7,10,26,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0.0103448275862069,0.00344827586206897,0.00344827586206897,0,0.124137931034483,0.0103448275862069,0,0.0103448275862069,0.0413793103448276,0.0172413793103448,0.00344827586206897,0.00689655172413793,0.0413793103448276,0.00344827586206897,0.0103448275862069,0.0344827586206897,0,0.0241379310344828,0.0344827586206897,0.0896551724137931,0,0.0103448275862069,0,0.00344827586206897,0.00689655172413793,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0.00344827586206897,0.0172413793103448,0,0,0,0,0,0,0,0,0,290,161,284,10.3676456093796,0.00344827586206897,0.0344827586206897,290,1,0,0,0
"2012-03-01","South Sudan",3,3,0,0,49,1,0,7,7,5,0,11,4,4,3,1,1,6,10,43,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.00761421319796954,0.00761421319796954,0,0,0.124365482233503,0.00253807106598985,0,0.0177664974619289,0.0177664974619289,0.0126903553299492,0,0.0279187817258883,0.0101522842639594,0.0101522842639594,0.00761421319796954,0.00253807106598985,0.00253807106598985,0.0152284263959391,0.0253807106598985,0.109137055837563,0,0,0,0,0,0,0,0.00253807106598985,0,0.00253807106598985,0.00253807106598985,0,0,0,5,5,2,0,1,0,0,0,0,2,1,0.0126903553299492,0.0126903553299492,0.0050761421319797,0,0.00253807106598985,0,0,0,0,0.0050761421319797,0.00253807106598985,394,225,391,7.1789279826911,0.00253807106598985,0.0050761421319797,394,1,0,0,0
"2012-04-01","South Sudan",12,1,2,0,55,1,0,5,8,10,10,35,3,2,1,7,4,15,14,111,1,1,1,0,8,2,2,6,0,2,1,0,0,1,0.0179640718562874,0.00149700598802395,0.0029940119760479,0,0.0823353293413174,0.00149700598802395,0,0.00748502994011976,0.0119760479041916,0.0149700598802395,0.0149700598802395,0.0523952095808383,0.00449101796407186,0.0029940119760479,0.00149700598802395,0.0104790419161677,0.00598802395209581,0.0224550898203593,0.0209580838323353,0.166167664670659,0.00149700598802395,0.00149700598802395,0.00149700598802395,0,0.0119760479041916,0.0029940119760479,0.0029940119760479,0.00898203592814371,0,0.0029940119760479,0.00149700598802395,0,0,0.00149700598802395,2,0,0,0,1,0,0,0,0,0,1,0.0029940119760479,0,0,0,0.00149700598802395,0,0,0,0,0,0.00149700598802395,668,371,642,8.0963506564174,0.0029940119760479,0.0464071856287425,668,1,1,0,0
"2012-05-01","South Sudan",6,0,0,0,47,0,0,7,12,7,0,24,3,3,2,3,0,15,4,44,0,2,0,0,3,0,1,0,0,0,0,0,0,3,0.0136986301369863,0,0,0,0.107305936073059,0,0,0.0159817351598174,0.0273972602739726,0.0159817351598174,0,0.0547945205479452,0.00684931506849315,0.00684931506849315,0.0045662100456621,0.00684931506849315,0,0.0342465753424658,0.0091324200913242,0.100456621004566,0,0.0045662100456621,0,0,0.00684931506849315,0,0.00228310502283105,0,0,0,0,0,0,0.00684931506849315,2,1,0,0,1,0,1,0,0,2,0,0.0045662100456621,0.00228310502283105,0,0,0.00228310502283105,0,0.00228310502283105,0,0,0.0045662100456621,0,438,257,429,8.01027305213777,0.0091324200913242,0.0251141552511416,438,1,1,0,0
"2012-06-01","South Sudan",7,5,0,1,44,0,0,6,18,9,0,10,19,2,22,16,4,1,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0193905817174515,0.0138504155124654,0,0.00277008310249307,0.121883656509695,0,0,0.0166204986149584,0.0498614958448753,0.0249307479224377,0,0.0277008310249307,0.0526315789473684,0.00554016620498615,0.0609418282548476,0.0443213296398892,0.0110803324099723,0.00277008310249307,0.0221606648199446,0.0249307479224377,0,0,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,2,0,0.00554016620498615,0.00277008310249307,0,0,0,0.0110803324099723,0,0,0,0.00554016620498615,0,361,190,360,13.6657913722238,0,0.00831024930747922,361,1,1,0,0
"2012-07-01","South Sudan",0,1,2,0,49,1,0,8,7,7,0,2,9,1,6,6,0,1,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292397660818713,0.00584795321637427,0,0.14327485380117,0.00292397660818713,0,0.0233918128654971,0.0204678362573099,0.0204678362573099,0,0.00584795321637427,0.0263157894736842,0.00292397660818713,0.0175438596491228,0.0175438596491228,0,0.00292397660818713,0.0233918128654971,0.0467836257309941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0.00292397660818713,0.0087719298245614,0,0,0,0.00292397660818713,0,0,0,0,0.00292397660818713,342,220,342,7.31961651640496,0,0,342,1,1,0,0
"2012-08-01","South Sudan",5,0,3,0,51,2,0,20,6,3,0,1,7,1,4,2,0,4,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0138121546961326,0,0.00828729281767956,0,0.140883977900552,0.00552486187845304,0,0.0552486187845304,0.0165745856353591,0.00828729281767956,0,0.00276243093922652,0.0193370165745856,0.00276243093922652,0.0110497237569061,0.00552486187845304,0,0.0110497237569061,0.0331491712707182,0.0303867403314917,0,0.00276243093922652,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0.00276243093922652,0.0138121546961326,0,0,0,0,0,0.00276243093922652,0,0,0.00276243093922652,362,226,361,6.19392903961918,0,0.00276243093922652,362,1,1,0,0
"2012-09-01","South Sudan",1,1,1,1,73,1,0,14,2,1,0,1,2,4,2,2,3,6,4,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.00297619047619048,0.00297619047619048,0.00297619047619048,0.00297619047619048,0.217261904761905,0.00297619047619048,0,0.0416666666666667,0.00595238095238095,0.00297619047619048,0,0.00297619047619048,0.00595238095238095,0.0119047619047619,0.00595238095238095,0.00595238095238095,0.00892857142857143,0.0178571428571429,0.0119047619047619,0.0267857142857143,0,0,0,0,0,0,0,0.00297619047619048,0.00297619047619048,0,0,0,0,0,3,3,0,0,1,1,1,0,0,1,1,0.00892857142857143,0.00892857142857143,0,0,0.00297619047619048,0.00297619047619048,0.00297619047619048,0,0,0.00297619047619048,0.00297619047619048,336,198,334,5.62061864780558,0,0.00892857142857143,336,1,1,0,0
"2012-10-01","South Sudan",3,2,2,0,34,5,0,9,5,4,0,4,6,2,8,9,2,3,9,23,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.0101694915254237,0.00677966101694915,0.00677966101694915,0,0.115254237288136,0.0169491525423729,0,0.0305084745762712,0.0169491525423729,0.0135593220338983,0,0.0135593220338983,0.0203389830508475,0.00677966101694915,0.0271186440677966,0.0305084745762712,0.00677966101694915,0.0101694915254237,0.0305084745762712,0.0779661016949153,0,0,0,0,0.00677966101694915,0,0.00338983050847458,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0,0.00338983050847458,0.00338983050847458,0,0,0,0.00338983050847458,0,0.0135593220338983,0,0.00338983050847458,0,295,163,292,9.39463502319386,0.0101694915254237,0,295,1,1,0,0
"2012-11-01","South Sudan",5,1,2,0,24,2,0,9,6,10,2,4,2,3,9,7,1,5,12,19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0165016501650165,0.0033003300330033,0.0066006600660066,0,0.0792079207920792,0.0066006600660066,0,0.0297029702970297,0.0198019801980198,0.033003300330033,0.0066006600660066,0.0132013201320132,0.0066006600660066,0.0099009900990099,0.0297029702970297,0.0231023102310231,0.0033003300330033,0.0165016501650165,0.0396039603960396,0.0627062706270627,0,0.0033003300330033,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0.0033003300330033,1,5,0,0,1,4,1,1,2,0,2,0.0033003300330033,0.0165016501650165,0,0,0.0033003300330033,0.0132013201320132,0.0033003300330033,0.0033003300330033,0.0066006600660066,0,0.0066006600660066,303,165,300,7.78523008836609,0.0033003300330033,0.0066006600660066,303,1,1,0,0
"2012-12-01","South Sudan",7,0,0,0,42,0,0,18,10,4,2,12,4,0,9,5,0,3,27,17,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0.0207100591715976,0,0,0,0.124260355029586,0,0,0.0532544378698225,0.029585798816568,0.0118343195266272,0.00591715976331361,0.0355029585798817,0.0118343195266272,0,0.0266272189349112,0.014792899408284,0,0.00887573964497041,0.0798816568047337,0.0502958579881657,0,0.00591715976331361,0,0,0.0029585798816568,0,0.0029585798816568,0,0,0.0029585798816568,0.0029585798816568,0,0,0,1,1,0,0,1,1,0,0,0,4,0,0.0029585798816568,0.0029585798816568,0,0,0.0029585798816568,0.0029585798816568,0,0,0,0.0118343195266272,0,338,174,332,7.29190435511773,0.0177514792899408,0.00591715976331361,338,1,1,0,0
