"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","island.lk","divaina.lk","adaderana.lk"
"2012-01-01","Sri Lanka",15.6617647058824,1,9.99705882352941,3,24.3264705882353,0,0,33.6558823529412,42.3235294117647,1,0,5.33235294117647,21.9941176470588,6.66470588235294,46.3235294117647,16.6617647058824,0,3.33235294117647,0,16.6617647058824,0,0,0,0,2.33235294117647,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.00972176580129258,0.000620732464307883,0.00620549895936028,0.00186219739292365,0.0151002300361485,0,0,0.0208912987913974,0.0262715887099719,0.000620732464307883,0,0.00330996458173586,0.0136524628473363,0.00413699930624019,0.0287545185672034,0.0103424982656005,0,0.00206849965312009,0,0.0103424982656005,0,0,0,0,0.00144776718881221,0,0,0,0,0.000620732464307883,0,0,0.00124146492861577,0,0,0,0,0,0,0,78.6470588235294,16.3294117647059,7.66470588235294,0,65.6470588235294,22.3264705882353,10.3294117647059,4.66470588235294,3.33235294117647,16.3294117647059,20.3294117647059,0.0488187826340965,0.010136196005404,0.00475773177054807,0,0.040749260598094,0.0138587651075328,0.00641180121955673,0.00289553437762442,0.00206849965312009,0.010136196005404,0.0126191258626356,1611,1144.12352941176,1605.66764705882,13.556250289489,0.000620732464307883,0.00330996458173586,1611,0,0,1
"2012-02-01","Sri Lanka",8.81556195965418,3.90778097982709,14.6311239193084,4.90778097982709,17.7233429394813,5.81556195965418,0,76.0634005763689,52.6167146974063,9.72334293948127,4.90778097982709,6.90778097982709,21.5389048991354,11.7233429394813,123.878962536023,9.81556195965418,1,8.81556195965418,7,17.5389048991354,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00430027412666058,0.0019062346243059,0.00713713361917481,0.00239403950235468,0.00864553314121038,0.00283685949251423,0,0.0371040978421312,0.0256666900962958,0.00474309411682013,0.00239403950235468,0.00336964925845224,0.010506782877627,0.00571870387291769,0.0604287622126942,0.00478807900470936,0.00048780487804878,0.00430027412666058,0.00341463414634146,0.00855556336543192,0.00048780487804878,0,0,0,0.00048780487804878,0,0.000975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0.000975609756097561,58.8933717579251,19.5389048991354,8.90778097982709,0,66.8011527377522,27.4466858789625,5.81556195965418,2.90778097982709,3.90778097982709,48.8933717579251,8.90778097982709,0.0287284740282561,0.00953117312152949,0.0043452590145498,0,0.0325859281647572,0.0133886272580305,0.00283685949251423,0.00141842974625712,0.0019062346243059,0.0238504252477683,0.0043452590145498,2050,1415.18731988473,2044,14.0244597895637,0.00048780487804878,0.00341463414634146,2050,0,0,1
"2012-03-01","Sri Lanka",19.195652173913,1,23.3451086956522,11.7472826086957,8.44836956521739,0,0,45.6902173913043,16.7472826086957,26.6440217391304,2.14945652173913,8.29891304347826,9.59782608695652,4.14945652173913,31.195652173913,4.14945652173913,0,11.5978260869565,5.14945652173913,9.59782608695652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116126147452589,0.000604960677555959,0.0141228727741392,0.00710664404639785,0.00511093137641705,0,0,0.0276407848707225,0.0101314474341776,0.01611858544412,0.00130033667376838,0.00502051605776059,0.00580630737262947,0.0025102580288803,0.0188721428759305,0.0025102580288803,0,0.00701622872774139,0.00311521870643626,0.00580630737262947,0,0,0,0,0,0.000604960677555959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8396739130435,6.14945652173913,2.14945652173913,0,49.3913043478261,15.5978260869565,3,0,3.14945652173913,37.0923913043478,16.8967391304348,0.0343857676424945,0.00372017938399221,0.00130033667376838,0,0.0298797969436334,0.00943607143796523,0.00181488203266788,0,0.00190529735132434,0.022439438175649,0.0102218627528341,1653,1235.77717391304,1652,13.3859872130831,0,0.00120992135511192,1653,0,0,1
"2012-04-01","Sri Lanka",20.4285714285714,0,9.14285714285714,0,29.1428571428571,1,1,75.8571428571429,25,9.14285714285714,0,3.57142857142857,13.8571428571429,0,31.5714285714286,10.7142857142857,3,7.14285714285714,0,21.4285714285714,0,0,0,0,0,0,0,0,0,2.57142857142857,1,0,3.57142857142857,1,0,0,0,0,0,0,0.0127043354655295,0,0.00568585643212509,0,0.0181236673773987,0.000621890547263682,0.000621890547263682,0.0471748400852878,0.015547263681592,0.00568585643212509,0,0.00222103766879886,0.00861762615493959,0,0.0196339729921819,0.00666311300639659,0.00186567164179104,0.00444207533759773,0,0.0133262260127932,0,0,0,0,0,0,0,0,0,0.00159914712153518,0.000621890547263682,0,0.00222103766879886,0.000621890547263682,0,0,0,0,0,0,76.1428571428571,22,1,0,40.1428571428571,4,1,2,0,41.2857142857143,25.4285714285714,0.0473525230987918,0.013681592039801,0.000621890547263682,0,0.0249644633972992,0.00248756218905473,0.000621890547263682,0.00124378109452736,0,0.0256751954513149,0.0158137882018479,1608,1149.85714285714,1599.85714285714,15.0335653992183,0,0.00506396588486141,1608,0,0,1
"2012-05-01","Sri Lanka",12.2389078498294,0,6.11945392491468,0,15.4778156996587,1,0,66.9112627986348,51.1945392491468,6.11945392491468,0,7.11945392491468,16.4778156996587,6.23890784982935,44.0750853242321,27.9556313993174,0,5.11945392491468,4,7.11945392491468,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00639441371464439,0,0.00319720685732219,0,0.008086633071922,0.000522466039707419,0,0.0349588624862251,0.0267474081761477,0.00319720685732219,0,0.00371967289702961,0.00860909911162942,0.00325961747639987,0.0230277352791181,0.0146058680247217,0,0.00267474081761477,0.00208986415882968,0.00371967289702961,0,0,0,0,0.00104493207941484,0.00104493207941484,0,0,0,0,0,0,0,0.000522466039707419,0,0,0,0,0,0,120.941979522184,9.23890784982935,20.4778156996587,0,63.4334470989761,23.7167235494881,4.11945392491468,2,6.23890784982935,57.5529010238908,29.8361774744027,0.0631880770753314,0.00482701559552213,0.0106989632704591,0,0.0331418218907921,0.0123911826277367,0.00215227477790735,0.00104493207941484,0.00325961747639987,0.0300694362716253,0.0155883894850589,1914,1336.23208191126,1909,13.1061033508282,0,0.00365726227795193,1914,0,0,1
"2012-06-01","Sri Lanka",25.7297297297297,4.12162162162162,6.12162162162162,0,25.8513513513514,6.12162162162162,1,103.040540540541,27.8513513513514,6.12162162162162,4.12162162162162,6.12162162162162,13.3648648648649,7.24324324324324,27.8513513513514,14.4864864864865,0,3.12162162162162,8.24324324324324,10.1216216216216,0,0,0,0,0,0,0,0,0,0,0,0,3.12162162162162,3.12162162162162,0,0,0,0,1,0,0.0135135135135135,0.00216471723824665,0.00321513740631388,0,0.0135773904156257,0.00321513740631388,0.000525210084033613,0.0541179309561662,0.0146278105836929,0.00321513740631388,0.00216471723824665,0.00321513740631388,0.00701936179877356,0.00380422439245969,0.0146278105836929,0.00760844878491937,0,0.00163950715421304,0.0043294344764933,0.00531597774244833,0,0,0,0,0,0,0,0,0,0,0,0,0.00163950715421304,0.00163950715421304,0,0,0,0,0.000525210084033613,0,133.256756756757,9.36486486486486,10.3648648648649,0,54.5810810810811,4,6.24324324324324,8.24324324324324,5.12162162162162,38.0945945945946,19.4864864864865,0.069987792414263,0.00491852146263911,0.00544373154667272,0,0.0286665341812401,0.00210084033613445,0.00327901430842607,0.0043294344764933,0.00268992732228026,0.0200076652282535,0.0102344992050874,1904,1339.33783783784,1896.75675675676,13.8445901159557,0.00163950715421304,0.00485464456052691,1904,0,0,1
"2012-07-01","Sri Lanka",19.5616045845272,4.14040114613181,50.8252148997135,7.28080229226361,15.5616045845272,0,0,56.8252148997135,25.702005730659,5.14040114613181,3.14040114613181,3,11.2808022922636,11.4212034383954,49.404011461318,12.4212034383954,1,7.28080229226361,6.14040114613181,12.4212034383954,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.00869018417793302,0.0018393607934837,0.0225789493112899,0.00323447458563466,0.00691319617260205,0,0,0.0252444313192863,0.0114180389740822,0.00228360779481644,0.00139511379215096,0.00133274100399822,0.00501146259096562,0.00507383537911835,0.0219475839454989,0.0055180823804511,0.000444247001332741,0.00323447458563466,0.00272785479614918,0.0055180823804511,0,0,0,0,0,0,0,0,0,0,0.000444247001332741,0,0.000888494002665482,0,0,0,0,0,0,0,215.002865329513,10.2808022922636,3,0,57.6848137535817,20.5616045845272,11.4212034383954,11.4212034383954,4.14040114613181,59.2464183381089,24.702005730659,0.0955143782005833,0.00456721558963288,0.00133274100399822,0,0.0256263055324663,0.00913443117926576,0.00507383537911835,0.00507383537911835,0.0018393607934837,0.02632004368641,0.0109737919727495,2251,1544.27220630372,2248,13.6446870647499,0.000444247001332741,0.00133274100399822,2251,0,0,1
"2012-08-01","Sri Lanka",39.6246418338109,0,8.77077363896848,2.88538681948424,11.6561604584527,2,0,74.8223495702006,30.0830945558739,6.88538681948424,5.77077363896848,5.88538681948424,18.4269340974212,2,88.5931232091691,32.1977077363897,2,1,10.7707736389685,16.541547277937,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0191054203634575,0,0.00422891689439175,0.00139121833147745,0.0056201352258692,0.000964320154291225,0,0.0360763498409839,0.0145048671918389,0.0033198586400599,0.00278243666295491,0.00283769856291429,0.00888473196596972,0.000964320154291225,0.0427160671211037,0.0155244492460895,0.000964320154291225,0.000482160077145612,0.00519323704868297,0.00797567371163788,0,0,0,0,0.000482160077145612,0,0.000482160077145612,0.000482160077145612,0,0,0,0,0,0.000482160077145612,0,0,0,0,0,0,165.727793696275,6.88538681948424,4,0,37.9684813753582,15.6561604584527,1,12.541547277937,2,51.1661891117478,15.7707736389685,0.0799073257937681,0.0033198586400599,0.00192864030858245,0,0.0183068859090444,0.00754877553445165,0.000482160077145612,0.00604703340305543,0.000964320154291225,0.0246702936893673,0.00760403743441103,2074,1420.79656160458,2070,15.2333444137321,0.000964320154291225,0.000964320154291225,2074,0,0,1
"2012-09-01","Sri Lanka",29.9760479041916,3.99700598802395,66.9431137724551,7.9940119760479,23.9790419161677,2.99700598802395,0,89.934131736527,32.9790419161677,10.9940119760479,0,7.9940119760479,14.9880239520958,2,58.9580838323353,29.9760479041916,2,6.9940119760479,13.9910179640719,17.9880239520958,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0.0140271632682226,0.00187038183810199,0.0313257434592677,0.00374076367620398,0.0112208899935272,0.00140243611980531,0,0.0420842918748371,0.0154324014581973,0.00514460083109401,0,0.00374076367620398,0.00701358163411128,0.000935891436593355,0.0275891828883179,0.0140271632682226,0.000935891436593355,0.0032728179579073,0.00654703695089932,0.00841741878900131,0,0,0,0,0.000467945718296678,0.000467945718296678,0,0,0,0,0,0,0.000467945718296678,0.000467945718296678,0.000467945718296678,0,0,0,0.000935891436593355,0.000467945718296678,117.910179640719,7.99700598802395,9.9940119760479,0,33.9760479041916,25.9790419161677,5.99700598802395,2,0,35.9730538922156,36.9760479041916,0.0551755637064663,0.0037421647112887,0.00467665511279733,0,0.0158989461414093,0.0121567814301206,0.00280627327469534,0.000935891436593355,0,0.0168334365429179,0.0173027832962993,2137,1458.49700598802,2129,15.1481593303246,0.000467945718296678,0.00514740290126345,2137,0,0,1
"2012-10-01","Sri Lanka",4.40412979351032,1,5.40412979351032,0,16.212389380531,13.212389380531,0,106.699115044248,48.0412979351032,19.6165191740413,1,4.40412979351032,27.4247787610619,4.40412979351032,78.4660766961652,10.212389380531,0,1,0,21.6165191740413,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.00186773952226901,0.000424088210347752,0.00229182773261676,0,0.00687548319785028,0.00560321856680703,0,0.045249836744804,0.0203737480640811,0.00831913450977154,0.000424088210347752,0.00186773952226901,0.0116305253439618,0.00186773952226901,0.0332765380390862,0.00433095393576377,0,0.000424088210347752,0,0.00916731093046705,0,0,0,0,0,0,0,0,0,0,0.000424088210347752,0,0.000424088210347752,0.000424088210347752,0,0,0,0,0,0,185.802359882006,9.80825958702065,19.6165191740413,0,50.6371681415929,31.8289085545723,4,2,4.40412979351032,60.6578171091445,38.2330383480826,0.0787965902807489,0.00415956725488577,0.00831913450977154,0,0.0214746260142464,0.0134982648662308,0.00169635284139101,0.000848176420695505,0.00186773952226901,0.0257242651014184,0.0162141808091953,2358,1633.93510324484,2355,13.0358323322947,0.000424088210347752,0.00127226463104326,2358,0,0,1
