"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","ippmedia.com","mtanzania.co.tz","jamhurimedia.co.tz","mzalendo.co.tz"
"2012-01-01","Tanzania",1,0,3,0,6,0,0,9,18,9,0,0,7,8,8,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152671755725191,0,0.00458015267175573,0,0.00916030534351145,0,0,0.0137404580152672,0.0274809160305344,0.0137404580152672,0,0,0.0106870229007634,0.0122137404580153,0.0122137404580153,0.00305343511450382,0,0.00458015267175573,0.00458015267175573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,18,13,3,1,2,8,7,0.00610687022900763,0.00763358778625954,0.00916030534351145,0,0.0274809160305344,0.0198473282442748,0.00458015267175573,0.00152671755725191,0.00305343511450382,0.0122137404580153,0.0106870229007634,655,522,4,4.78882348597891,0,0,655,0,0,0,0
"2012-02-01","Tanzania",1,0,11,0,6,0,0,10,13,5,0,0,7,8,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00145985401459854,0,0.0160583941605839,0,0.00875912408759124,0,0,0.0145985401459854,0.018978102189781,0.0072992700729927,0,0,0.0102189781021898,0.0116788321167883,0.00875912408759124,0.00291970802919708,0,0,0.0102189781021898,0,0,0,0,0,0,0,0,0,0,0,0.00145985401459854,0,0,0,0,0,0,4,7,1,0,17,10,0,2,1,6,1,0.00583941605839416,0.0102189781021898,0.00145985401459854,0,0.0248175182481752,0.0145985401459854,0,0.00291970802919708,0.00145985401459854,0.00875912408759124,0.00145985401459854,685,567,4,3.84408821195799,0,0.00145985401459854,685,0,0,0,0
"2012-03-01","Tanzania",5,1,12,1,9,1,0,18,16,8,1,4,13,13,10,2,0,1,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0049800796812749,0.00099601593625498,0.0119521912350598,0.00099601593625498,0.00896414342629482,0.00099601593625498,0,0.0179282868525896,0.0159362549800797,0.00796812749003984,0.00099601593625498,0.00398406374501992,0.0129482071713147,0.0129482071713147,0.0099601593625498,0.00199203187250996,0,0.00099601593625498,0.00597609561752988,0,0,0,0,0,0,0,0,0.00298804780876494,0,0,0,0,0,0,0,0,0,10,13,5,0,26,12,0,1,1,6,3,0.0099601593625498,0.0129482071713147,0.0049800796812749,0,0.0258964143426295,0.0119521912350598,0,0.00099601593625498,0.00099601593625498,0.00597609561752988,0.00298804780876494,1004,822,12,4.38117875511287,0,0.00298804780876494,1004,0,0,0,0
"2012-04-01","Tanzania",3,0,16,5,4,0,2,17,18,5,0,2,8,6,4,7,0,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00337078651685393,0,0.0179775280898876,0.00561797752808989,0.00449438202247191,0,0.00224719101123596,0.0191011235955056,0.0202247191011236,0.00561797752808989,0,0.00224719101123596,0.00898876404494382,0.00674157303370787,0.00449438202247191,0.00786516853932584,0,0.00224719101123596,0.00449438202247191,0.00337078651685393,0,0,0,0,0,0,0,0.00112359550561798,0,0,0,0,0,0,0,0,0,16,9,4,0,19,20,1,0,0,8,2,0.0179775280898876,0.0101123595505618,0.00449438202247191,0,0.0213483146067416,0.0224719101123595,0.00112359550561798,0,0,0.00898876404494382,0.00224719101123596,890,718,1,5.0426545475259,0,0.00112359550561798,890,0,0,1,0
"2012-05-01","Tanzania",2,0,6,0,6,0,0,15,12,6,0,3,11,6,5,10,0,1,0,5,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0.0020703933747412,0,0.0062111801242236,0,0.0062111801242236,0,0,0.015527950310559,0.0124223602484472,0.0062111801242236,0,0.0031055900621118,0.0113871635610766,0.0062111801242236,0.005175983436853,0.010351966873706,0,0.0010351966873706,0,0.005175983436853,0,0,0,0,0.0010351966873706,0,0,0.0010351966873706,0,0,0.0020703933747412,0,0,0,0,0,0,9,16,8,3,29,22,4,1,1,3,4,0.0093167701863354,0.0165631469979296,0.0082815734989648,0.0031055900621118,0.0300207039337474,0.0227743271221532,0.0041407867494824,0.0010351966873706,0.0010351966873706,0.0031055900621118,0.0041407867494824,966,800,3,3.22141511135484,0,0.0041407867494824,966,0,0,0,0
"2012-06-01","Tanzania",5,3,9,1,6,0,1,9,25,9,1,0,13,9,14,7,0,2,2,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0.00452898550724638,0.00271739130434783,0.00815217391304348,0.000905797101449275,0.00543478260869565,0,0.000905797101449275,0.00815217391304348,0.0226449275362319,0.00815217391304348,0.000905797101449275,0,0.0117753623188406,0.00815217391304348,0.0126811594202899,0.00634057971014493,0,0.00181159420289855,0.00181159420289855,0.0036231884057971,0,0,0,0,0,0,0,0.00271739130434783,0,0,0.00181159420289855,0,0,0,0,0,0,17,9,17,0,26,20,6,2,1,8,5,0.0153985507246377,0.00815217391304348,0.0153985507246377,0,0.0235507246376812,0.0181159420289855,0.00543478260869565,0.00181159420289855,0.000905797101449275,0.0072463768115942,0.00452898550724638,1104,901,6,5.46498111285613,0,0.00452898550724638,1104,0,0,0,0
"2012-07-01","Tanzania",6,2,1,1,5,1,0,32,18,9,0,1,15,7,15,6,0,1,3,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.00603621730382294,0.00201207243460765,0.00100603621730382,0.00100603621730382,0.00503018108651911,0.00100603621730382,0,0.0321931589537223,0.0181086519114688,0.00905432595573441,0,0.00100603621730382,0.0150905432595573,0.00704225352112676,0.0150905432595573,0.00603621730382294,0,0.00100603621730382,0.00301810865191147,0.00603621730382294,0,0,0,0,0.00100603621730382,0,0,0.00100603621730382,0,0,0.00100603621730382,0,0,0,0,0.00100603621730382,0,11,12,6,1,23,25,3,0,2,5,4,0.0110663983903421,0.0120724346076459,0.00603621730382294,0.00100603621730382,0.0231388329979879,0.0251509054325956,0.00301810865191147,0,0.00201207243460765,0.00503018108651911,0.00402414486921529,994,794,16,5.59203267505115,0,0.00402414486921529,994,0,0,0,0
"2012-08-01","Tanzania",0,0,8,1,11,1,2,18,22,6,1,1,11,10,10,2,0,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00810536980749747,0.00101317122593718,0.011144883485309,0.00101317122593718,0.00202634245187437,0.0182370820668693,0.022289766970618,0.0060790273556231,0.00101317122593718,0.00101317122593718,0.011144883485309,0.0101317122593718,0.0101317122593718,0.00202634245187437,0,0.00405268490374873,0.00202634245187437,0.00202634245187437,0,0,0,0,0,0,0,0.00101317122593718,0,0,0,0,0,0,0,0,0,7,10,8,1,19,20,6,0,1,10,9,0.00709219858156028,0.0101317122593718,0.00810536980749747,0.00101317122593718,0.0192502532928065,0.0202634245187437,0.0060790273556231,0,0.00101317122593718,0.0101317122593718,0.00911854103343465,987,800,11,4.71246993754604,0,0.00101317122593718,987,0,0,0,0
"2012-09-01","Tanzania",0,2,11,0,14,0,0,8,15,15,0,0,9,9,0,5,0,2,3,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0.00203252032520325,0.0111788617886179,0,0.0142276422764228,0,0,0.00813008130081301,0.0152439024390244,0.0152439024390244,0,0,0.00914634146341463,0.00914634146341463,0,0.00508130081300813,0,0.00203252032520325,0.00304878048780488,0.00203252032520325,0,0,0,0.00101626016260163,0,0,0.00304878048780488,0,0,0,0.00101626016260163,0,0,0,0,0.00101626016260163,0,8,24,5,1,15,16,5,1,0,2,2,0.00813008130081301,0.024390243902439,0.00508130081300813,0.00101626016260163,0.0152439024390244,0.016260162601626,0.00508130081300813,0.00101626016260163,0,0.00203252032520325,0.00203252032520325,984,820,12,2.96756767789338,0.00101626016260163,0.00508130081300813,984,0,0,0,0
"2012-10-01","Tanzania",4,0,10,0,16,0,0,14,19,15,0,1,16,4,13,7,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.00388726919339164,0,0.00971817298347911,0,0.0155490767735666,0,0,0.0136054421768707,0.0184645286686103,0.0145772594752187,0,0.000971817298347911,0.0155490767735666,0.00388726919339164,0.0126336248785228,0.00680272108843537,0,0.000971817298347911,0.00194363459669582,0.010689990281827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000971817298347911,0.000971817298347911,0,6,20,7,1,18,16,4,0,4,2,2,0.00583090379008746,0.0194363459669582,0.00680272108843537,0.000971817298347911,0.0174927113702624,0.0155490767735666,0.00388726919339164,0,0.00388726919339164,0.00194363459669582,0.00194363459669582,1029,833,7,5.43935597318337,0,0.00194363459669582,1029,1,0,0,0
