"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","assarih.com","jomhouria.com","lapresse.tn"
"2012-04-01","Tunisia",1,0,7,3,12,1,0,2,9,5,1,1,2,3,40,1,0,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240963855421687,0,0.0168674698795181,0.0072289156626506,0.0289156626506024,0.00240963855421687,0,0.00481927710843374,0.0216867469879518,0.0120481927710843,0.00240963855421687,0.00240963855421687,0.00481927710843374,0.0072289156626506,0.0963855421686747,0.00240963855421687,0,0.00481927710843374,0.0072289156626506,0.0481927710843374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,5,5,1,0,0,0,4,0.00963855421686747,0.00963855421686747,0,0.00481927710843374,0.0120481927710843,0.0120481927710843,0.00240963855421687,0,0,0,0.00963855421686747,415,280,415,8.25866124716013,0,0,415,0,0,1
"2012-05-01","Tunisia",4,4,17,5,7,10,0,1,17,7,1,0,5,0,29,10,2,1,5,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00858369098712446,0.00858369098712446,0.036480686695279,0.0107296137339056,0.0150214592274678,0.0214592274678112,0,0.00214592274678112,0.036480686695279,0.0150214592274678,0.00214592274678112,0,0.0107296137339056,0,0.0622317596566524,0.0214592274678112,0.00429184549356223,0.00214592274678112,0.0107296137339056,0.0257510729613734,0,0,0,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,2,0,0,1,0,5,0.00214592274678112,0.00429184549356223,0,0,0.00643776824034335,0.00429184549356223,0,0,0.00214592274678112,0,0.0107296137339056,466,325,464,10.2815187716263,0,0.00429184549356223,466,0,0,1
"2012-06-01","Tunisia",11,0,11,0,15,15,3,16,37,10,14,0,6,1,40,16,0,2,4,33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.014745308310992,0,0.014745308310992,0,0.0201072386058981,0.0201072386058981,0.00402144772117962,0.0214477211796247,0.049597855227882,0.0134048257372654,0.0187667560321716,0,0.00804289544235925,0.00134048257372654,0.0536193029490617,0.0214477211796247,0,0.00268096514745308,0.00536193029490617,0.0442359249329759,0,0,0,0,0,0,0.00134048257372654,0,0,0,0,0,0,0.00134048257372654,0,6,2,1,0,16,3,1,1,0,2,3,0.00804289544235925,0.00268096514745308,0.00134048257372654,0,0.0214477211796247,0.00402144772117962,0.00134048257372654,0.00134048257372654,0,0.00268096514745308,0.00402144772117962,746,498,744,10.0429946097752,0,0.00268096514745308,746,0,0,0
"2012-07-01","Tunisia",8,1,29,2,20,5,1,7,16,10,2,0,9,2,26,18,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109739368998628,0.00137174211248285,0.0397805212620027,0.00274348422496571,0.0274348422496571,0.00685871056241427,0.00137174211248285,0.00960219478737997,0.0219478737997256,0.0137174211248285,0.00274348422496571,0,0.0123456790123457,0.00274348422496571,0.0356652949245542,0.0246913580246914,0,0.00274348422496571,0.00548696844993141,0.0150891632373114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,15,2,0,0,3,1,2,0.00823045267489712,0.00411522633744856,0,0,0.0205761316872428,0.00274348422496571,0,0,0.00411522633744856,0.00137174211248285,0.00274348422496571,729,534,729,6.78403552097075,0,0,729,0,0,0
"2012-08-01","Tunisia",5,1,7,2,6,3,0,11,11,10,1,0,2,7,37,2,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102880658436214,0.00205761316872428,0.01440329218107,0.00411522633744856,0.0123456790123457,0.00617283950617284,0,0.0226337448559671,0.0226337448559671,0.0205761316872428,0.00205761316872428,0,0.00411522633744856,0.01440329218107,0.0761316872427984,0.00411522633744856,0,0.00617283950617284,0,0.0493827160493827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,10,1,1,1,1,1,5,0.00823045267489712,0.00411522633744856,0.00823045267489712,0,0.0205761316872428,0.00205761316872428,0.00205761316872428,0.00205761316872428,0.00205761316872428,0.00205761316872428,0.0102880658436214,486,332,486,8.6839189639419,0,0,486,0,0,0
"2012-09-01","Tunisia",13,2,11,0,17,3,0,11,7,12,5,6,6,1,51,12,3,2,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0175438596491228,0.00269905533063428,0.0148448043184885,0,0.0229419703103914,0.00404858299595142,0,0.0148448043184885,0.00944669365721997,0.0161943319838057,0.0067476383265857,0.00809716599190283,0.00809716599190283,0.00134952766531714,0.0688259109311741,0.0161943319838057,0.00404858299595142,0.00269905533063428,0.0229419703103914,0.0242914979757085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269905533063428,12,1,1,0,12,3,1,2,2,2,12,0.0161943319838057,0.00134952766531714,0.00134952766531714,0,0.0161943319838057,0.00404858299595142,0.00134952766531714,0.00269905533063428,0.00269905533063428,0.00269905533063428,0.0161943319838057,741,497,739,10.5333172948398,0,0.00269905533063428,741,0,0,0
"2012-10-01","Tunisia",5,2,22,1,18,2,0,5,20,14,4,4,4,3,46,10,1,4,9,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00662251655629139,0.00264900662251656,0.0291390728476821,0.00132450331125828,0.023841059602649,0.00264900662251656,0,0.00662251655629139,0.0264900662251656,0.0185430463576159,0.00529801324503311,0.00529801324503311,0.00529801324503311,0.00397350993377483,0.0609271523178808,0.0132450331125828,0.00132450331125828,0.00529801324503311,0.0119205298013245,0.0317880794701987,0,0,0,0,0,0,0,0,0,0.00132450331125828,0,0,0,0,0,9,10,0,0,13,2,0,0,0,2,7,0.0119205298013245,0.0132450331125828,0,0,0.0172185430463576,0.00264900662251656,0,0,0,0.00264900662251656,0.00927152317880795,755,517,754,9.07206000384942,0,0.00132450331125828,755,0,0,1
"2012-11-01","Tunisia",3,0,18,2,22,3,0,16,25,13,5,4,6,1,52,10,0,3,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429184549356223,0,0.0257510729613734,0.00286123032904149,0.0314735336194564,0.00429184549356223,0,0.0228898426323319,0.0357653791130186,0.0185979971387697,0.00715307582260372,0.00572246065808298,0.00858369098712446,0.00143061516452074,0.0743919885550787,0.0143061516452074,0,0.00429184549356223,0.011444921316166,0.0371959942775393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,0,13,4,0,0,1,1,7,0.0128755364806867,0.00572246065808298,0.00143061516452074,0,0.0185979971387697,0.00572246065808298,0,0,0.00143061516452074,0.00143061516452074,0.0100143061516452,699,446,699,8.70086520265285,0,0,699,0,0,0
"2012-12-01","Tunisia",7,1,7,1,24,1,0,6,19,18,0,4,9,1,68,11,0,3,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091264667535854,0.00130378096479791,0.0091264667535854,0.00130378096479791,0.0312907431551499,0.00130378096479791,0,0.00782268578878748,0.0247718383311604,0.0234680573663625,0,0.00521512385919166,0.0117340286831812,0.00130378096479791,0.0886571056062582,0.0143415906127771,0,0.00391134289439374,0.00521512385919166,0.0325945241199478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2,1,11,6,1,0,1,0,10,0.0208604954367666,0.0091264667535854,0.00260756192959583,0.00130378096479791,0.0143415906127771,0.00782268578878748,0.00130378096479791,0,0.00130378096479791,0,0.0130378096479791,767,511,767,8.17749115051671,0,0,767,0,0,0
"2013-01-01","Tunisia",7,1,11,4,27,2,1,14,25,16,1,7,8,2,42,17,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876095118898623,0.00125156445556946,0.0137672090112641,0.00500625782227785,0.0337922403003755,0.00250312891113892,0.00125156445556946,0.0175219023779725,0.0312891113892365,0.0200250312891114,0.00125156445556946,0.00876095118898623,0.0100125156445557,0.00250312891113892,0.0525657071339174,0.0212765957446809,0,0.00250312891113892,0.00250312891113892,0.0137672090112641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,13,4,3,0,1,1,5,0.00750938673341677,0.00375469336670839,0.00125156445556946,0,0.016270337922403,0.00500625782227785,0.00375469336670839,0,0.00125156445556946,0.00125156445556946,0.00625782227784731,799,566,799,7.50214164225437,0,0,799,0,0,0
