"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","diken.com.tr","sozcu.com.tr","posta.com.tr"
"2012-01-01","Turkey",47,12,57,4,51,13,0,273,99,82,2,29,20,11,42,22,5,28,34,49,1,0,0,0,0,1,1,2,0,0,3,0,0,0,2,0,0,0,1,0,5,0,0.00404405437962485,0.00103252452245741,0.00490449148167269,0.000344174840819136,0.00438822922044399,0.00111856823266219,0,0.023489932885906,0.00851832731027362,0.00705558423679229,0.000172087420409568,0.00249526759593874,0.00172087420409568,0.000946480812252624,0.00361383582860093,0.00189296162450525,0.00043021855102392,0.00240922388573395,0.00292548614696266,0.00421614180003442,8.6043710204784e-05,0,0,0,0,8.6043710204784e-05,8.6043710204784e-05,0.000172087420409568,0,0,0.000258131130614352,0,0,0,0.000172087420409568,0,0,0,8.6043710204784e-05,0,0.00043021855102392,0,129,24,28,2,175,91,19,27,4,148,143,0.0110996386164171,0.00206504904491482,0.00240922388573395,0.000172087420409568,0.0150576492858372,0.00782997762863535,0.0016348304938909,0.00232318017552917,0.000344174840819136,0.012734469110308,0.0123042505592841,11622,9993,11606,6.68558739982854,0.00111856823266219,0.00103252452245741,11622,0,0,1
"2012-02-01","Turkey",43,3,60,2,32,14,0,199,85,36,5,21,22,3,32,20,4,7,48,65,1,0,0,0,0,0,0,3,0,0,2,0,1,0,2,1,1,0,0,0,3,0,0.00452869931542917,0.000315955766192733,0.00631911532385466,0.000210637177461822,0.00337019483938915,0.00147446024223275,0,0.0209583991574513,0.00895208004212743,0.0037914691943128,0.000526592943654555,0.00221169036334913,0.00231700895208004,0.000315955766192733,0.00337019483938915,0.00210637177461822,0.000421274354923644,0.000737230121116377,0.00505529225908373,0.00684570826750922,0.000105318588730911,0,0,0,0,0,0,0.000315955766192733,0,0,0.000210637177461822,0,0.000105318588730911,0,0.000210637177461822,0.000105318588730911,0.000105318588730911,0,0,0,0.000315955766192733,0,114,27,34,2,143,60,9,19,3,152,137,0.0120063191153239,0.0028436018957346,0.00358083201685097,0.000210637177461822,0.0150605581885203,0.00631911532385466,0.000947867298578199,0.00200105318588731,0.000315955766192733,0.0160084254870985,0.0144286466561348,9495,8136,9481,6.30489242483258,0.00200105318588731,0.000631911532385466,9495,0,0,1
"2012-03-01","Turkey",34,8,42,1,47,14,1,221,74,30,6,26,21,19,70,17,5,7,49,92,0,0,0,0,0,0,4,0,1,0,6,0,0,0,3,2,0,1,0,0,3,1,0.00340510766149224,0.000801201802704056,0.00420630946419629,0.000100150225338007,0.00470706059088633,0.0014021031547321,0.000100150225338007,0.0221331997996995,0.00741111667501252,0.00300450676014021,0.000600901352028042,0.00260390585878818,0.00210315473209815,0.00190285428142213,0.00701051577366049,0.00170255383074612,0.000500751126690035,0.000701051577366049,0.00490736104156234,0.00921382073109664,0,0,0,0,0,0,0.000400600901352028,0,0.000100150225338007,0,0.000600901352028042,0,0,0,0.000300450676014021,0.000200300450676014,0,0.000100150225338007,0,0,0.000300450676014021,0.000100150225338007,124,20,20,3,116,47,6,13,5,139,159,0.0124186279419129,0.00200300450676014,0.00200300450676014,0.000300450676014021,0.0116174261392088,0.00470706059088633,0.000600901352028042,0.00130195292939409,0.000500751126690035,0.013920881321983,0.0159238858287431,9985,8585,9964,6.84729976476856,0.00180270405608413,0.0014021031547321,9985,0,0,1
"2012-04-01","Turkey",30,7,34,0,88,32,0,232,56,29,2,20,15,10,37,11,7,18,60,96,0,0,0,0,0,1,1,5,0,1,7,0,0,0,1,6,1,0,0,0,1,0,0.00317729294640966,0.000741368354162254,0.00360093200593095,0,0.00932005930946833,0.0033891124761703,0,0.0245710654522347,0.00593094683329803,0.00307138318152934,0.000211819529760644,0.00211819529760644,0.00158864647320483,0.00105909764880322,0.00391866130057191,0.00116500741368354,0.000741368354162254,0.0019063757678458,0.00635458589281932,0.0101673374285109,0,0,0,0,0,0.000105909764880322,0.000105909764880322,0.00052954882440161,0,0.000105909764880322,0.000741368354162254,0,0,0,0.000105909764880322,0.000635458589281932,0.000105909764880322,0,0,0,0.000105909764880322,0,101,17,12,1,156,53,7,11,3,159,149,0.0106968862529125,0.00180046600296547,0.00127091717856386,0.000105909764880322,0.0165219233213302,0.00561321753865706,0.000741368354162254,0.00116500741368354,0.000317729294640966,0.0168396526159712,0.015780554967168,9442,8008,9418,6.83414970720547,0.00148273670832451,0.00233001482736708,9442,0,0,1
"2012-05-01","Turkey",38,3,72,0,48,8,0,228,99,38,3,18,19,10,45,31,2,9,77,91,0,0,0,0,0,2,1,1,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0.00382794399113529,0.000302206104563312,0.00725294650951949,0,0.00483529767301299,0.000805882945502166,0,0.0229676639468117,0.0099728014505893,0.00382794399113529,0.000302206104563312,0.00181323662737987,0.00191397199556764,0.00100735368187771,0.00453309156844968,0.00312279641382089,0.000201470736375541,0.000906618313689937,0.00775662335045835,0.00916691850508714,0,0,0,0,0,0.000201470736375541,0.000100735368187771,0.000100735368187771,0,0,0.000705147577314395,0,0,0,0.000201470736375541,0,0,0,0,0,0,0,115,23,24,1,138,68,8,18,6,164,191,0.0115845673415936,0.00231691346831873,0.0024176488365065,0.000100735368187771,0.0139014808099124,0.00685000503676841,0.000805882945502166,0.00181323662737987,0.000604412209126624,0.0165206003827944,0.0192404553238642,9927,8365,9914,6.7131085592101,0.00130955978644102,0.000906618313689937,9927,0,0,1
"2012-06-01","Turkey",40,10,42,2,90,8,1,260,67,30,2,36,16,10,36,18,8,31,77,114,0,0,0,0,0,3,3,0,0,0,8,0,1,0,1,0,1,1,1,0,3,0,0.00415196180195142,0.00103799045048786,0.00435955989204899,0.000207598090097571,0.0093419140543907,0.000830392360390284,0.000103799045048786,0.0269877517126842,0.00695453601826863,0.00311397135146357,0.000207598090097571,0.00373676562175628,0.00166078472078057,0.00103799045048786,0.00373676562175628,0.00186838281087814,0.000830392360390284,0.00321777039651235,0.00799252646875649,0.0118330911355616,0,0,0,0,0,0.000311397135146357,0.000311397135146357,0,0,0,0.000830392360390284,0,0.000103799045048786,0,0.000103799045048786,0,0.000103799045048786,0.000103799045048786,0.000103799045048786,0,0.000311397135146357,0,130,23,20,1,92,56,14,17,7,142,140,0.0134938758563421,0.00238737803612207,0.00207598090097571,0.000103799045048786,0.00954951214448827,0.00581274652273199,0.001453186630683,0.00176458376582935,0.000726593315341499,0.0147394643969275,0.01453186630683,9634,8125,9612,7.84742138558272,0.00435955989204899,0.00166078472078057,9634,0,0,1
"2012-07-01","Turkey",43,7,42,1,41,8,3,277,80,29,4,47,25,4,36,18,6,18,75,148,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,4,1,0,0,0,4,0,0.0041156202143951,0.000669984686064319,0.00401990811638591,9.57120980091884e-05,0.00392419601837672,0.000765696784073507,0.000287136294027565,0.0265122511485452,0.00765696784073507,0.00277565084226646,0.000382848392036753,0.00449846860643185,0.00239280245022971,0.000382848392036753,0.00344563552833078,0.00172281776416539,0.00057427258805513,0.00172281776416539,0.00717840735068913,0.0141653905053599,0,0,0,0,0,0,0.000382848392036753,0,0,0,0.000287136294027565,0,0,0,0.000191424196018377,0.000382848392036753,9.57120980091884e-05,0,0,0,0.000382848392036753,0,68,18,27,0,104,39,8,11,3,179,148,0.00650842266462481,0.00172281776416539,0.00258422664624809,0,0.00995405819295559,0.00373277182235835,0.000765696784073507,0.00105283307810107,0.000287136294027565,0.0171324655436447,0.0141653905053599,10448,8972,10430,7.62534912421716,0.00153139356814701,0.000765696784073507,10448,0,1,1
"2012-08-01","Turkey",28,6,32,3,50,12,0,299,65,12,3,24,15,4,32,18,12,15,163,216,0,0,2,0,0,2,5,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0.00251211196841916,0.000538309707518392,0.00287098510676476,0.000269154853759196,0.00448591422931994,0.00107661941503678,0,0.0268257670913332,0.00583168849811592,0.00107661941503678,0.000269154853759196,0.00215323883007357,0.00134577426879598,0.000358873138345595,0.00287098510676476,0.00161492912255518,0.00107661941503678,0.00134577426879598,0.014624080387583,0.0193791494706621,0,0,0.000179436569172797,0,0,0.000179436569172797,0.000448591422931994,0,0,8.97182845863987e-05,0.000269154853759196,0,0,0,0,0,0,0,0,0,8.97182845863987e-05,8.97182845863987e-05,92,14,22,0,99,27,7,19,8,170,189,0.00825408218194868,0.00125605598420958,0.00197380226090077,0,0.00888211017405347,0.00242239368383277,0.000628027992104791,0.00170464740714158,0.00071774627669119,0.0152521083796878,0.0169567557868294,11146,9518,11131,7.73424879266024,0.00188408397631437,0.00116633769962318,11146,0,1,1
"2012-09-01","Turkey",43,12,70,4,52,23,0,266,69,14,4,33,18,11,68,27,12,7,193,187,0,0,0,0,0,0,1,1,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0.00383997142346848,0.00107161993213074,0.00625111627076264,0.000357206644043579,0.00464368637256653,0.00205393820325058,0,0.023754241828898,0.00616181460975174,0.00125022325415253,0.000357206644043579,0.00294695481335953,0.00160742989819611,0.000982318271119843,0.00607251294874085,0.00241114484729416,0.00107161993213074,0.000625111627076264,0.0172352205751027,0.0166994106090373,0,0,0,0,0,0,8.93016610108948e-05,8.93016610108948e-05,0,0,0.000803714949098053,0,0,0,0.000357206644043579,0,0,0,0,0,0,0,115,22,24,4,104,41,5,12,4,170,135,0.0102696910162529,0.00196463654223969,0.00214323986426148,0.000357206644043579,0.00928737274513306,0.00366136810144669,0.000446508305054474,0.00107161993213074,0.000357206644043579,0.0151812823718521,0.0120557242364708,11198,9482,11183,8.42655939233883,0.00133952491516342,0.00142882657617432,11198,0,1,1
"2012-10-01","Turkey",41,9,89,7,70,17,0,279,61,35,8,52,11,8,117,22,6,34,127,253,7,0,0,0,0,4,12,1,1,0,2,0,0,0,1,7,0,0,0,0,1,0,0.00358673781821363,0.000787332691802992,0.00778584550782959,0.000612369871402327,0.00612369871402327,0.00148718397340565,0,0.0244073134458927,0.00533636602222028,0.00306184935701163,0.000699851281602659,0.00454903333041729,0.000962295512203657,0.000699851281602659,0.0102353249934389,0.00192459102440731,0.000524888461201995,0.0029743679468113,0.0111101390954422,0.0221327967806841,0.000612369871402327,0,0,0,0,0.00034992564080133,0.00104977692240399,8.74814102003324e-05,8.74814102003324e-05,0,0.000174962820400665,0,0,0,8.74814102003324e-05,0.000612369871402327,0,0,0,0,8.74814102003324e-05,0,99,20,29,4,98,53,11,12,13,175,190,0.00866065960983291,0.00174962820400665,0.00253696089580964,0.00034992564080133,0.00857317819963258,0.00463651474061762,0.000962295512203657,0.00104977692240399,0.00113725833260432,0.0153092467850582,0.0166214679380632,11431,9507,11395,8.58945008518026,0.00533636602222028,0.000787332691802992,11431,0,1,1
