"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","kyivpost.com","kyivindependent.com"
"2012-01-01","Ukraine",22,4,72,5,98,1,1,147,106,72,6,2,35,17,34,30,3,12,7,22,2,0,0,0,1,1,3,1,0,0,18,0,1,2,3,0,0,0,0,0,12,0,0.0042397379071112,0.000770861437656581,0.0138755058778185,0.000963576797070727,0.0188861052225862,0.000192715359414145,0.000192715359414145,0.0283291578338794,0.0204278280978994,0.0138755058778185,0.00115629215648487,0.000385430718828291,0.00674503757949509,0.00327616111004047,0.00655232222008094,0.00578146078242436,0.000578146078242436,0.00231258431296974,0.00134900751589902,0.0042397379071112,0.000385430718828291,0,0,0,0.000192715359414145,0.000192715359414145,0.000578146078242436,0.000192715359414145,0,0,0.00346887646945462,0,0.000192715359414145,0.000385430718828291,0.000578146078242436,0,0,0,0,0,0.00231258431296974,0,40,52,14,0,143,95,5,6,5,36,82,0.00770861437656581,0.0100211986895356,0.00269801503179803,0,0.0275582963962228,0.0183079591443438,0.000963576797070727,0.00115629215648487,0.000963576797070727,0.00693775293890923,0.0158026594719599,5189,4049,5145,5.39914194104734,0.0136827905184043,0.000578146078242436,5189,1,0
"2012-02-01","Ukraine",36,9,82,10,105,9,0,231,127,81,1,7,65,12,29,49,1,14,13,26,1,0,1,0,0,0,3,1,0,0,21,1,0,4,4,3,0,0,0,4,23,0,0.00630914826498423,0.00157728706624606,0.0143708377146863,0.00175254118471784,0.0184016824395373,0.00157728706624606,0,0.0404837013669821,0.0222572730459166,0.0141955835962145,0.000175254118471784,0.00122677882930249,0.011391517700666,0.00210304942166141,0.00508236943568174,0.00858745180511742,0.000175254118471784,0.00245355765860498,0.00227830354013319,0.00455660708026639,0.000175254118471784,0,0.000175254118471784,0,0,0,0.000525762355415352,0.000175254118471784,0,0,0.00368033648790747,0.000175254118471784,0,0.000701016473887136,0.000701016473887136,0.000525762355415352,0,0,0,0.000701016473887136,0.00403084472485103,0,42,43,17,0,130,102,12,5,8,32,62,0.00736067297581493,0.00753592709428672,0.00297932001402033,0,0.0227830354013319,0.017875920084122,0.00210304942166141,0.00087627059235892,0.00140203294777427,0.00560813179109709,0.0108657553452506,5706,4396,5640,5.58867163455355,0.0143708377146863,0.000525762355415352,5706,1,0
"2012-03-01","Ukraine",36,14,181,7,147,0,0,129,124,101,1,10,54,14,20,22,5,13,22,28,0,0,4,0,1,5,2,6,0,0,17,0,0,7,5,4,1,0,0,1,9,0,0.00603015075376884,0.00234505862646566,0.0303182579564489,0.00117252931323283,0.0246231155778894,0,0,0.021608040201005,0.0207705192629816,0.0169179229480737,0.00016750418760469,0.0016750418760469,0.00904522613065327,0.00234505862646566,0.0033500837520938,0.00368509212730318,0.000837520938023451,0.00217755443886097,0.00368509212730318,0.00469011725293132,0,0,0.000670016750418761,0,0.00016750418760469,0.000837520938023451,0.00033500837520938,0.00100502512562814,0,0,0.00284757118927973,0,0,0.00117252931323283,0.000837520938023451,0.000670016750418761,0.00016750418760469,0,0,0.00016750418760469,0.00150753768844221,0,48,75,10,0,96,130,7,12,2,39,77,0.00804020100502513,0.0125628140703518,0.0016750418760469,0,0.0160804020100503,0.0217755443886097,0.00117252931323283,0.00201005025125628,0.00033500837520938,0.00653266331658291,0.0128978224455611,5970,4585,5908,5.33185867583818,0.0135678391959799,0.00134003350083752,5970,1,0
"2012-04-01","Ukraine",27,11,146,18,89,2,1,144,212,89,8,16,69,13,42,22,2,21,8,83,2,0,0,0,0,0,4,0,0,1,4,0,0,0,6,3,4,0,0,1,4,0,0.00433874337136429,0.0017676361883336,0.0234613530451551,0.00289249558090953,0.0143017837056082,0.000321388397878837,0.000160694198939418,0.0231399646472762,0.0340671701751567,0.0143017837056082,0.00128555359151535,0.00257110718303069,0.0110878997268199,0.00208902458621244,0.00674915635545557,0.0035352723766672,0.000321388397878837,0.00337457817772778,0.00128555359151535,0.0133376185119717,0.000321388397878837,0,0,0,0,0,0.000642776795757673,0,0,0.000160694198939418,0.000642776795757673,0,0,0,0.00096416519363651,0.000482082596818255,0.000642776795757673,0,0,0.000160694198939418,0.000642776795757673,0,47,52,25,0,148,106,10,8,14,31,92,0.00755262735015266,0.00835609834484975,0.00401735497348546,0,0.0237827414430339,0.0170335850875783,0.00160694198939418,0.00128555359151535,0.00224971878515186,0.00498152016712197,0.0147838663024265,6223,4732,6194,5.68989403236741,0.00642776795757673,0.000482082596818255,6223,1,0
"2012-05-01","Ukraine",27,13,81,5,139,4,0,128,182,115,1,11,56,14,51,33,8,23,18,70,2,0,0,0,0,0,1,5,0,3,13,3,0,1,5,2,0,0,0,0,4,0,0.00429457610943216,0.00206775886750437,0.0128837283282965,0.000795291872117067,0.0221091140448545,0.000636233497693654,0,0.0203594719261969,0.0289486241450612,0.0182917130586925,0.000159058374423413,0.00174964211865755,0.00890726896771115,0.00222681724192779,0.00811197709559408,0.00524892635597264,0.00127246699538731,0.00365834261173851,0.00286305073962144,0.0111340862096389,0.000318116748846827,0,0,0,0,0,0.000159058374423413,0.000795291872117067,0,0.00047717512327024,0.00206775886750437,0.00047717512327024,0,0.000159058374423413,0.000795291872117067,0.000318116748846827,0,0,0,0,0.000636233497693654,0,55,46,20,1,145,106,4,7,11,32,74,0.00874821059328774,0.00731668522347702,0.00318116748846827,0.000159058374423413,0.0230634642913949,0.0168601876888818,0.000636233497693654,0.00111340862096389,0.00174964211865755,0.00508986798154923,0.0117703197073326,6287,4867,6248,5.57603739617555,0.00890726896771115,0.00047717512327024,6287,1,0
"2012-06-01","Ukraine",39,7,60,11,70,2,0,174,131,126,2,19,52,8,41,17,0,10,3,45,2,0,0,0,0,1,3,1,0,0,12,0,0,0,14,2,0,0,0,2,7,0,0.00663265306122449,0.00119047619047619,0.0102040816326531,0.00187074829931973,0.0119047619047619,0.000340136054421769,0,0.0295918367346939,0.0222789115646259,0.0214285714285714,0.000340136054421769,0.0032312925170068,0.00884353741496599,0.00136054421768707,0.00697278911564626,0.00289115646258503,0,0.00170068027210884,0.000510204081632653,0.0076530612244898,0.000340136054421769,0,0,0,0,0.000170068027210884,0.000510204081632653,0.000170068027210884,0,0,0.00204081632653061,0,0,0,0.00238095238095238,0.000340136054421769,0,0,0,0.000340136054421769,0.00119047619047619,0,28,56,20,1,123,111,5,1,3,28,75,0.00476190476190476,0.00952380952380952,0.00340136054421769,0.000170068027210884,0.0209183673469388,0.0188775510204082,0.000850340136054422,0.000170068027210884,0.000510204081632653,0.00476190476190476,0.0127551020408163,5880,4664,5836,5.36544703649547,0.0125850340136054,0.000340136054421769,5880,1,0
"2012-07-01","Ukraine",21,13,244,16,96,3,0,215,157,197,3,14,47,16,115,42,5,11,16,46,1,0,0,0,1,1,1,4,3,0,18,1,0,0,14,4,1,0,0,0,6,0,0.00321592649310873,0.00199081163859112,0.0373660030627871,0.00245022970903522,0.0147013782542113,0.000459418070444104,0,0.0329249617151608,0.0240428790199081,0.0301684532924962,0.000459418070444104,0.00214395099540582,0.00719754977029096,0.00245022970903522,0.0176110260336907,0.00643185298621746,0.000765696784073507,0.00168453292496172,0.00245022970903522,0.00704441041347626,0.000153139356814701,0,0,0,0.000153139356814701,0.000153139356814701,0.000153139356814701,0.000612557427258805,0.000459418070444104,0,0.00275650842266462,0.000153139356814701,0,0,0.00214395099540582,0.000612557427258805,0.000153139356814701,0,0,0,0.000918836140888208,0,50,71,13,0,118,136,12,4,7,37,84,0.00765696784073507,0.0108728943338438,0.00199081163859112,0,0.0180704441041348,0.0208269525267994,0.00183767228177642,0.000612557427258805,0.00107197549770291,0.00566615620214395,0.0128637059724349,6530,4766,6475,5.95398048199762,0.00872894333843798,0.00153139356814701,6530,1,0
"2012-08-01","Ukraine",33,7,257,26,40,2,2,202,261,115,3,7,73,8,48,30,6,7,12,33,0,0,0,0,1,5,2,0,0,0,8,0,0,2,33,3,1,1,1,0,7,0,0.00555462043427033,0.00117825281939067,0.0432587106547719,0.00437636761487965,0.006732873253661,0.00033664366268305,0.00033664366268305,0.034001009930988,0.043931997980138,0.0193570106042754,0.000504965494024575,0.00117825281939067,0.0122874936879313,0.0013465746507322,0.0080794479043932,0.00504965494024575,0.00100993098804915,0.00117825281939067,0.0020198619760983,0.00555462043427033,0,0,0,0,0.000168321831341525,0.000841609156707625,0.00033664366268305,0,0,0,0.0013465746507322,0,0,0.00033664366268305,0.00555462043427033,0.000504965494024575,0.000168321831341525,0.000168321831341525,0.000168321831341525,0,0.00117825281939067,0,58,46,20,0,115,97,6,2,6,43,73,0.00976266621780845,0.00774280424171015,0.0033664366268305,0,0.0193570106042754,0.0163272176401279,0.00100993098804915,0.00033664366268305,0.00100993098804915,0.00723783874768557,0.0122874936879313,5941,4374,5877,6.82002700854348,0.0121191718565898,0.00151489648207372,5941,1,0
"2012-09-01","Ukraine",22,10,224,56,71,5,1,116,118,145,4,10,63,12,61,18,3,17,7,39,2,0,0,0,0,0,2,0,0,0,7,0,0,0,15,8,0,0,0,2,24,0,0.0038515406162465,0.00175070028011204,0.0392156862745098,0.00980392156862745,0.0124299719887955,0.000875350140056022,0.000175070028011204,0.0203081232492997,0.0206582633053221,0.0253851540616246,0.000700280112044818,0.00175070028011204,0.0110294117647059,0.00210084033613445,0.0106792717086835,0.00315126050420168,0.000525210084033613,0.00297619047619048,0.00122549019607843,0.00682773109243697,0.000350140056022409,0,0,0,0,0,0.000350140056022409,0,0,0,0.00122549019607843,0,0,0,0.00262605042016807,0.00140056022408964,0,0,0,0.000350140056022409,0.00420168067226891,0,51,63,18,1,103,109,5,11,5,54,98,0.00892857142857143,0.0110294117647059,0.00315126050420168,0.000175070028011204,0.0180322128851541,0.0190826330532213,0.000875350140056022,0.00192577030812325,0.000875350140056022,0.00945378151260504,0.017156862745098,5712,4249,5652,5.75908670267485,0.0129551820728291,0.00140056022408964,5712,1,0
"2012-10-01","Ukraine",35,23,1205,280,178,4,1,134,177,170,4,14,87,15,72,21,2,27,23,73,2,0,0,0,0,11,2,6,0,1,12,3,0,16,10,3,0,0,0,2,14,0,0.004251184258472,0.00279363536985303,0.146362200898822,0.034009474067776,0.0216203085145148,0.000485849629539657,0.000121462407384914,0.0162759625895785,0.0214988461071298,0.0206486092554354,0.000485849629539657,0.0017004737033888,0.0105672294424875,0.00182193611077372,0.00874529333171383,0.0025507105550832,0.000242924814769829,0.00327948499939269,0.00279363536985303,0.00886675573909875,0.000242924814769829,0,0,0,0,0.00133608648123406,0.000242924814769829,0.000728774444309486,0,0.000121462407384914,0.00145754888861897,0.000364387222154743,0,0.00194339851815863,0.00121462407384914,0.000364387222154743,0,0,0,0.000242924814769829,0.0017004737033888,0,75,59,23,0,94,120,8,9,6,71,99,0.00910968055386858,0.00716628203570995,0.00279363536985303,0,0.011417466294182,0.0145754888861897,0.000971699259079315,0.00109316166646423,0.000728774444309486,0.00862383092432892,0.0120247783311065,8233,5183,8151,5.4941166135368,0.0125106279606462,0.00109316166646423,8233,1,0
