"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","fergana.ru","kun.uz","podrobno.uz","batafsil.uz","sof.uz","anhor.uz","asiaterra.info","daryo.uz"
"2013-06-01","Uzbekistan",0,0,1,0,18,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,5,0,0,0,3,1,0,0,0,0,1,2,0,0,0.00289017341040462,0,0.0520231213872832,0,0,0.00867052023121387,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0.00578034682080925,0,0,0,0,0.00578034682080925,0,0.00289017341040462,0.00289017341040462,0,0,0.0144508670520231,0,0,0,0.00867052023121387,0.00289017341040462,0,0,0,0,0.00289017341040462,0.00578034682080925,2,11,0,0,0,13,0,0,1,0,2,0.00578034682080925,0.0317919075144509,0,0,0,0.0375722543352601,0,0,0.00289017341040462,0,0.00578034682080925,346,292,330,1.22932082394182,0.0520231213872832,0.0115606936416185,346,0,0,1,0,0,0,0,1
"2013-07-01","Uzbekistan",1,0,0,0,10,1,0,5,1,8,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,2,0,5,0,0,3,1,0,0,0,0,0,0,2,1,1,0,0.00278551532033426,0,0,0,0.0278551532033426,0.00278551532033426,0,0.0139275766016713,0.00278551532033426,0.0222841225626741,0,0,0.00557103064066852,0,0,0,0,0,0.00835654596100279,0.00557103064066852,0,0,0,0,0,0.00557103064066852,0,0.0139275766016713,0,0,0.00835654596100279,0.00278551532033426,0,0,0,0,0,0,0.00557103064066852,0.00278551532033426,0.00278551532033426,0,4,5,1,0,1,8,0,0,0,0,0,0.011142061281337,0.0139275766016713,0.00278551532033426,0,0.00278551532033426,0.0222841225626741,0,0,0,0,0,359,309,344,2.02205350247331,0.0167130919220056,0.0473537604456825,359,0,0,1,0,0,0,0,0
"2013-08-01","Uzbekistan",0,1,1,0,8,0,0,4,1,3,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,4,2,0,0,1,0,0,0,0,0.00267379679144385,0.00267379679144385,0,0.0213903743315508,0,0,0.0106951871657754,0.00267379679144385,0.00802139037433155,0,0,0.0053475935828877,0,0,0.00267379679144385,0,0,0,0,0.00267379679144385,0,0,0,0,0,0,0.0053475935828877,0,0,0.0106951871657754,0,0,0,0.0106951871657754,0.0053475935828877,0,0,0.00267379679144385,0,0,0,1,5,0,0,1,10,0,0,0,0,1,0.00267379679144385,0.0133689839572193,0,0,0.00267379679144385,0.0267379679144385,0,0,0,0,0.00267379679144385,374,337,360,3.15353580492114,0.0374331550802139,0.0294117647058824,374,0,0,1,0,0,0,0,1
"2013-09-01","Uzbekistan",2,0,3,0,23,0,0,2,1,3,0,0,2,1,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,7,0,0,0,5,1,0,0,0.0050251256281407,0,0.00753768844221105,0,0.0577889447236181,0,0,0.0050251256281407,0.00251256281407035,0.00753768844221105,0,0,0.0050251256281407,0.00251256281407035,0,0.0050251256281407,0,0.00251256281407035,0,0,0,0.00251256281407035,0,0,0,0,0.00251256281407035,0.00251256281407035,0,0,0.0150753768844221,0,0,0,0.0175879396984925,0,0,0,0.0125628140703518,0.00251256281407035,0,0,1,11,1,0,0,9,0,1,0,0,0,0.00251256281407035,0.0276381909547739,0.00251256281407035,0,0,0.0226130653266332,0,0.00251256281407035,0,0,0,398,337,376,4.4374596793097,0.042713567839196,0.0804020100502513,398,0,0,1,0,0,0,0,1
"2013-10-01","Uzbekistan",0,1,2,0,21,1,1,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,3,0,0,0,2,1,0,0,1,0,1,0,0,0.00251889168765743,0.00503778337531486,0,0.052896725440806,0.00251889168765743,0.00251889168765743,0.0125944584382872,0.00755667506297229,0.00251889168765743,0,0,0.00251889168765743,0,0,0,0,0,0.00251889168765743,0,0,0,0.00251889168765743,0.00503778337531486,0.00503778337531486,0,0.00251889168765743,0,0,0,0.00755667506297229,0,0,0,0.00503778337531486,0.00251889168765743,0,0,0.00251889168765743,0,0.00251889168765743,0,9,6,0,0,2,11,1,1,0,1,0,0.0226700251889169,0.0151133501259446,0,0,0.00503778337531486,0.0277078085642317,0.00251889168765743,0.00251889168765743,0,0.00251889168765743,0,397,331,383,4.40535908088462,0.0226700251889169,0.0226700251889169,397,0,0,1,0,0,0,0,1
"2013-11-01","Uzbekistan",0,1,2,0,22,0,0,4,3,4,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0.00278551532033426,0.00557103064066852,0,0.0612813370473538,0,0,0.011142061281337,0.00835654596100279,0.011142061281337,0,0,0.00557103064066852,0.00278551532033426,0,0,0,0,0,0.00557103064066852,0,0,0,0,0,0,0,0.011142061281337,0,0,0,0,0,0,0.00557103064066852,0.00278551532033426,0,0,0.00557103064066852,0,0.00278551532033426,0,5,13,1,0,3,14,2,0,0,1,1,0.0139275766016713,0.0362116991643454,0.00278551532033426,0,0.00835654596100279,0.0389972144846797,0.00557103064066852,0,0,0.00278551532033426,0.00278551532033426,359,281,349,3.72296876341935,0.0194986072423398,0.0334261838440111,359,0,0,1,0,0,0,0,1
"2013-12-01","Uzbekistan",1,0,1,0,16,0,0,4,1,8,1,2,2,1,0,1,0,0,0,0,0,0,2,0,3,5,2,2,0,0,3,0,1,0,4,3,0,0,0,0,1,0,0.0028735632183908,0,0.0028735632183908,0,0.0459770114942529,0,0,0.0114942528735632,0.0028735632183908,0.0229885057471264,0.0028735632183908,0.00574712643678161,0.00574712643678161,0.0028735632183908,0,0.0028735632183908,0,0,0,0,0,0,0.00574712643678161,0,0.00862068965517241,0.014367816091954,0.00574712643678161,0.00574712643678161,0,0,0.00862068965517241,0,0.0028735632183908,0,0.0114942528735632,0.00862068965517241,0,0,0,0,0.0028735632183908,0,8,7,1,0,1,14,0,1,0,0,1,0.0229885057471264,0.0201149425287356,0.0028735632183908,0,0.0028735632183908,0.0402298850574713,0,0.0028735632183908,0,0,0.0028735632183908,348,279,322,3.26944859678494,0.0718390804597701,0.0258620689655172,348,0,0,1,0,0,0,0,1
"2014-01-01","Uzbekistan",3,0,0,0,10,0,0,0,3,5,1,0,3,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,1,0,1,1,0.0102389078498294,0,0,0,0.0341296928327645,0,0,0,0.0102389078498294,0.0170648464163823,0.00341296928327645,0,0.0102389078498294,0.00341296928327645,0,0.00341296928327645,0,0,0,0,0.0136518771331058,0,0,0.00341296928327645,0,0,0,0,0,0,0.00341296928327645,0,0,0,0.0068259385665529,0.0102389078498294,0,0,0.00341296928327645,0,0.00341296928327645,0.00341296928327645,6,5,1,1,2,13,0,0,0,1,0,0.0204778156996587,0.0170648464163823,0.00341296928327645,0.00341296928327645,0.0068259385665529,0.0443686006825939,0,0,0,0.00341296928327645,0,293,241,279,5.81765401807235,0.0614334470989761,0.0136518771331058,293,0,0,1,0,0,0,0,1
"2014-02-01","Uzbekistan",1,0,1,0,2,0,0,2,2,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,1,0,0,1,0,2,1,0.0037037037037037,0,0.0037037037037037,0,0.00740740740740741,0,0,0.00740740740740741,0.00740740740740741,0.0148148148148148,0,0.0037037037037037,0.0037037037037037,0,0.0037037037037037,0,0,0,0.0037037037037037,0,0,0,0,0,0.0037037037037037,0.0037037037037037,0,0,0,0,0.00740740740740741,0,0,0,0.0111111111111111,0.0037037037037037,0,0,0.0037037037037037,0,0.00740740740740741,0.0037037037037037,1,8,0,0,2,9,0,0,0,0,0,0.0037037037037037,0.0296296296296296,0,0,0.00740740740740741,0.0333333333333333,0,0,0,0,0,270,235,258,3.18707209012388,0.0481481481481481,0.0037037037037037,270,0,0,1,0,0,1,0,1
"2014-03-01","Uzbekistan",2,1,3,1,16,0,0,4,7,11,0,2,6,0,0,0,3,0,1,0,1,0,0,0,0,3,1,0,0,0,2,0,1,0,4,1,0,0,0,3,1,0,0.00413223140495868,0.00206611570247934,0.00619834710743802,0.00206611570247934,0.0330578512396694,0,0,0.00826446280991736,0.0144628099173554,0.0227272727272727,0,0.00413223140495868,0.012396694214876,0,0,0,0.00619834710743802,0,0.00206611570247934,0,0.00206611570247934,0,0,0,0,0.00619834710743802,0.00206611570247934,0,0,0,0.00413223140495868,0,0.00206611570247934,0,0.00826446280991736,0.00206611570247934,0,0,0,0.00619834710743802,0.00206611570247934,0,2,16,5,0,8,6,0,0,0,1,0,0.00413223140495868,0.0330578512396694,0.0103305785123967,0,0.0165289256198347,0.012396694214876,0,0,0,0.00206611570247934,0,484,400,467,5.41057036286841,0.0413223140495868,0.0103305785123967,484,0,0,1,0,0,1,0,1
