"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","mwebantu.com","diggers.news","openzambia.com","lusakavoice.com","dailynationzambia.com","zambianewsnetwork.com","zambianobserver.com"
"2012-01-01","Zambia",2,0,4,0,0,1,1,0,18,4,0,0,19,3,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062111801242236,0,0.0124223602484472,0,0,0.0031055900621118,0.0031055900621118,0,0.0559006211180124,0.0124223602484472,0,0,0.0590062111801242,0.0093167701863354,0.0093167701863354,0.0186335403726708,0.0031055900621118,0.0031055900621118,0,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,11,1,1,0,4,1,0,0.0062111801242236,0.0093167701863354,0.0124223602484472,0.0062111801242236,0.0341614906832298,0.0031055900621118,0.0031055900621118,0,0.0124223602484472,0.0031055900621118,0,322,253,322,6.19122905530012,0,0,322,0,0,0,0,0,0,0
"2012-02-01","Zambia",2,0,11,0,5,0,0,5,4,3,0,1,5,0,3,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00536193029490617,0,0.0294906166219839,0,0.0134048257372654,0,0,0.0134048257372654,0.0107238605898123,0.00804289544235925,0,0.00268096514745308,0.0134048257372654,0,0.00804289544235925,0.0160857908847185,0.00268096514745308,0.00536193029490617,0.00268096514745308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,6,2,1,1,0,1,1,0.00536193029490617,0,0.0107238605898123,0,0.0160857908847185,0.00536193029490617,0.00268096514745308,0.00268096514745308,0,0.00268096514745308,0.00268096514745308,373,312,373,2.15811598574821,0,0,373,0,0,0,0,0,0,0
"2012-03-01","Zambia",3,0,3,1,2,0,0,2,12,9,0,3,9,2,9,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.00864553314121038,0,0.00864553314121038,0.00288184438040346,0.00576368876080692,0,0,0.00576368876080692,0.0345821325648415,0.0259365994236311,0,0.00864553314121038,0.0259365994236311,0.00576368876080692,0.0259365994236311,0,0,0.00576368876080692,0,0.00288184438040346,0,0,0,0,0,0,0,0.00576368876080692,0,0,0,0,0,0,0,0,4,1,2,0,3,2,0,0,0,2,2,0.0115273775216138,0.00288184438040346,0.00576368876080692,0,0.00864553314121038,0.00576368876080692,0,0,0,0.00576368876080692,0.00576368876080692,347,280,345,2.93253884537413,0,0.00576368876080692,347,0,0,0,0,0,0,0
"2012-04-01","Zambia",3,0,4,0,5,0,1,0,11,4,0,1,11,2,1,4,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00917431192660551,0,0.0122324159021407,0,0.0152905198776758,0,0.00305810397553517,0,0.0336391437308868,0.0122324159021407,0,0.00305810397553517,0.0336391437308868,0.00611620795107034,0.00305810397553517,0.0122324159021407,0,0.00611620795107034,0,0.00305810397553517,0,0,0,0,0,0,0,0.00305810397553517,0,0,0,0,0,0,0,0,10,4,8,2,12,4,2,1,0,3,1,0.0305810397553517,0.0122324159021407,0.0244648318042813,0.00611620795107034,0.036697247706422,0.0122324159021407,0.00611620795107034,0.00305810397553517,0,0.00917431192660551,0.00305810397553517,327,252,326,3.92393103404778,0,0.00305810397553517,327,0,0,0,0,0,0,0
"2012-05-01","Zambia",2,0,7,0,5,0,0,0,20,12,0,0,19,0,3,12,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0056980056980057,0,0.0199430199430199,0,0.0142450142450142,0,0,0,0.056980056980057,0.0341880341880342,0,0,0.0541310541310541,0,0.00854700854700855,0.0341880341880342,0,0.0113960113960114,0,0,0,0.00284900284900285,0,0,0,0,0,0.0113960113960114,0,0,0,0,0,0,0,0,0,4,7,0,16,2,0,0,2,3,1,0,0.0113960113960114,0.0199430199430199,0,0.0455840455840456,0.0056980056980057,0,0,0.0056980056980057,0.00854700854700855,0.00284900284900285,351,253,346,5.67563467342788,0,0.0142450142450142,351,0,0,0,0,1,0,0
"2012-06-01","Zambia",3,2,11,1,7,1,1,2,17,8,0,0,8,3,8,2,1,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00892857142857143,0.00595238095238095,0.0327380952380952,0.00297619047619048,0.0208333333333333,0.00297619047619048,0.00297619047619048,0.00595238095238095,0.0505952380952381,0.0238095238095238,0,0,0.0238095238095238,0.00892857142857143,0.0238095238095238,0.00595238095238095,0.00297619047619048,0.0208333333333333,0.00297619047619048,0.00297619047619048,0,0,0,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,2,1,2,3,5,6,1,0,2,0,1,0.00595238095238095,0.00297619047619048,0.00595238095238095,0.00892857142857143,0.0148809523809524,0.0178571428571429,0.00297619047619048,0,0.00595238095238095,0,0.00297619047619048,336,242,335,5.6581815699956,0,0.00297619047619048,336,0,0,0,0,0,0,0
"2012-07-01","Zambia",1,1,5,2,1,0,0,0,9,11,0,2,7,1,5,6,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.00284090909090909,0.00284090909090909,0.0142045454545455,0.00568181818181818,0.00284090909090909,0,0,0,0.0255681818181818,0.03125,0,0.00568181818181818,0.0198863636363636,0.00284090909090909,0.0142045454545455,0.0170454545454545,0,0.0113636363636364,0,0,0,0,0,0,0,0,0,0.0142045454545455,0,0,0,0,0,0,0,0,4,2,4,0,8,7,0,0,3,0,3,0.0113636363636364,0.00568181818181818,0.0113636363636364,0,0.0227272727272727,0.0198863636363636,0,0,0.00852272727272727,0,0.00852272727272727,352,276,347,2.88363644668713,0,0.0142045454545455,352,0,0,0,0,1,0,0
"2012-08-01","Zambia",7,1,0,0,4,0,0,7,21,9,1,3,13,0,4,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016548463356974,0.00236406619385343,0,0,0.00945626477541371,0,0,0.016548463356974,0.049645390070922,0.0212765957446809,0.00236406619385343,0.00709219858156028,0.0307328605200946,0,0.00945626477541371,0.016548463356974,0.00709219858156028,0.00709219858156028,0.00709219858156028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,11,6,2,1,0,4,2,0.0141843971631206,0.00472813238770686,0.0118203309692671,0,0.0260047281323877,0.0141843971631206,0.00472813238770686,0.00236406619385343,0,0.00945626477541371,0.00472813238770686,423,314,423,4.81612486001841,0,0.00236406619385343,423,0,0,0,0,1,0,0
"2012-09-01","Zambia",3,3,9,1,5,2,0,2,18,9,0,4,12,3,5,10,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.00662251655629139,0.00662251655629139,0.0198675496688742,0.0022075055187638,0.011037527593819,0.00441501103752759,0,0.00441501103752759,0.0397350993377483,0.0198675496688742,0,0.00883002207505519,0.0264900662251656,0.00662251655629139,0.011037527593819,0.022075055187638,0,0.0132450331125828,0,0.00441501103752759,0,0,0,0,0,0,0,0.0022075055187638,0,0,0,0,0,0,0.0022075055187638,0,2,2,3,0,6,1,1,0,0,0,0,0.00441501103752759,0.00441501103752759,0.00662251655629139,0,0.0132450331125828,0.0022075055187638,0.0022075055187638,0,0,0,0,453,356,451,4.51346960411927,0,0.00441501103752759,453,0,0,0,0,1,0,0
"2012-10-01","Zambia",2,1,11,1,4,0,0,7,29,5,0,2,35,3,10,8,0,5,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00449438202247191,0.00224719101123596,0.0247191011235955,0.00224719101123596,0.00898876404494382,0,0,0.0157303370786517,0.0651685393258427,0.0112359550561798,0,0.00449438202247191,0.0786516853932584,0.00674157303370787,0.0224719101123595,0.0179775280898876,0,0.0112359550561798,0,0.0134831460674157,0,0,0,0,0.00224719101123596,0,0,0.00224719101123596,0,0,0,0,0,0,0,0,7,6,5,0,10,2,1,2,2,2,3,0.0157303370786517,0.0134831460674157,0.0112359550561798,0,0.0224719101123595,0.00449438202247191,0.00224719101123596,0.00449438202247191,0.00449438202247191,0.00449438202247191,0.00674157303370787,445,312,443,6.20334935248264,0.00224719101123596,0.00224719101123596,445,0,0,0,0,1,0,0
